"Município";"Público";"Filantropico";"Privado";"Sindicato";"Total"
"351080 Casa Branca";6;18;-;-;24
"351090 Cássia dos Coqueiros";1;-;-;-;1
"351100 Castilho";1;-;-;-;1
"351110 Catanduva";20;4;7;-;31
"351130 Cedral";1;-;-;-;1
"351140 Cerqueira César";4;2;1;-;7
"351150 Cerquilho";2;-;11;-;13
"351160 Cesário Lange";2;-;-;-;2
"351170 Charqueada";-;-;1;-;1
"355720 Chavantes";1;-;-;-;1
"351190 Clementina";1;-;-;-;1
"351200 Colina";2;-;1;-;3
"351210 Colômbia";2;-;-;-;2
"351220 Conchal";4;-;-;-;4
"351230 Conchas";1;-;-;-;1
"351240 Cordeirópolis";5;-;1;-;6
"351260 Coronel Macedo";1;-;-;-;1
"351270 Corumbataí";1;-;-;-;1
"351280 Cosmópolis";5;-;-;-;5
"351290 Cosmorama";1;-;-;-;1
"351300 Cotia";10;-;5;-;15
"351310 Cravinhos";3;-;-;-;3
"351320 Cristais Paulista";1;-;-;-;1
"351330 Cruzália";1;-;-;-;1
"351340 Cruzeiro";11;-;5;-;16
"351350 Cubatão";11;3;10;-;24
"351360 Cunha";1;1;-;-;2
"351370 Descalvado";8;-;1;-;9
"351380 Diadema";37;-;12;-;49
"351385 Dirce Reis";1;-;-;-;1
"351390 Divinolândia";1;-;1;-;2
"351400 Dobrada";1;-;-;-;1
"351410 Dois Córregos";2;-;-;-;2
"351420 Dolcinópolis";1;-;-;-;1
"351430 Dourado";1;-;-;-;1
"351440 Dracena";6;3;4;-;13
"351450 Duartina";2;1;1;-;4
"351480 Eldorado";1;-;-;-;1
"351490 Elias Fausto";3;-;-;-;3
"351492 Elisiário";1;-;-;-;1
"351495 Embaúba";1;-;-;-;1
"351500 Embu das Artes";12;-;-;-;12
"351510 Embu-Guaçu";4;-;2;-;6
"351512 Emilianópolis";1;-;-;-;1
"351515 Engenheiro Coelho";1;-;1;-;2
"351518 Espírito Santo do Pinhal";4;1;5;-;10
"351519 Espírito Santo do Turvo";1;-;-;-;1
"355730 Estiva Gerbi";1;-;-;-;1
"351520 Estrela d'Oeste";1;2;-;-;3
"351530 Estrela do Norte";1;-;-;-;1
"351535 Euclides da Cunha Paulista";1;-;-;-;1
"351540 Fartura";1;1;1;-;3
"351560 Fernando Prestes";1;-;-;-;1
"351550 Fernandópolis";3;-;8;-;11
"351565 Fernão";1;-;-;-;1
"351570 Ferraz de Vasconcelos";14;-;1;-;15
"351580 Flora Rica";1;-;-;-;1
"351590 Floreal";1;-;-;-;1
"351600 Flórida Paulista";3;-;-;-;3
"351610 Florínia";1;-;-;-;1
"351620 Franca";27;13;2;-;42
"351630 Francisco Morato";6;-;-;-;6
"351640 Franco da Rocha";57;-;2;-;59
"351660 Gália";1;-;-;-;1
"351670 Garça";5;3;-;-;8
"351680 Gastão Vidigal";1;-;-;-;1
"351685 Gavião Peixoto";1;-;-;-;1
"351690 General Salgado";1;-;-;-;1
"351700 Getulina";2;-;-;-;2
"351710 Glicério";1;-;-;-;1
"351720 Guaiçara";1;-;-;-;1
"351740 Guaíra";4;-;-;-;4
"351750 Guapiaçu";1;-;-;-;1
"351760 Guapiara";1;-;-;-;1
"351770 Guará";4;2;-;-;6
"351780 Guaraçaí";1;-;-;-;1
"351790 Guaraci";2;-;-;-;2
"351800 Guarani d'Oeste";2;-;-;-;2
"351820 Guararapes";2;-;-;-;2
"351830 Guararema";2;-;-;-;2
"351840 Guaratinguetá";3;7;5;-;15
"351850 Guareí";1;-;-;-;1
"351860 Guariba";5;-;-;-;5
"351870 Guarujá";15;2;5;-;22
"351880 Guarulhos";80;6;24;-;110
"351885 Guatapará";1;-;-;-;1
"351890 Guzolândia";1;-;-;-;1
"351900 Herculândia";1;1;-;-;2
"351905 Holambra";2;-;-;-;2
"351907 Hortolândia";27;-;-;-;27
"351925 Iaras";1;-;-;-;1
"351930 Ibaté";2;-;-;-;2
"351940 Ibirá";1;-;-;-;1
"351950 Ibirarema";1;-;-;-;1
"351960 Ibitinga";1;-;-;-;1
"351970 Ibiúna";2;-;2;-;4
"351980 Icém";1;-;-;-;1
"351990 Iepê";1;-;-;-;1
"352000 Igaraçu do Tietê";1;-;-;-;1
"352010 Igarapava";6;-;-;-;6
"352020 Igaratá";1;-;-;-;1
"352030 Iguape";1;-;-;-;1
"352042 Ilha Comprida";3;-;-;-;3
"352044 Ilha Solteira";4;-;2;-;6
"352040 Ilhabela";3;-;-;-;3
"352050 Indaiatuba";18;6;6;-;30
"352060 Indiana";1;-;-;-;1
"352070 Indiaporã";1;-;-;-;1
"352080 Inúbia Paulista";1;-;-;-;1
"352090 Ipaussu";1;-;-;-;1
"352100 Iperó";9;-;-;-;9
"352110 Ipeúna";2;-;-;-;2
"352115 Ipiguá";1;-;-;-;1
"352130 Ipuã";3;-;-;-;3
"352140 Iracemápolis";1;-;-;-;1
"352150 Irapuã";1;-;-;-;1
"352160 Irapuru";2;-;-;-;2
"352170 Itaberá";3;-;-;-;3
"352180 Itaí";3;-;-;-;3
"352190 Itajobi";1;-;-;-;1
"352200 Itaju";1;-;-;-;1
"352210 Itanhaém";11;-;-;-;11
"352220 Itapecerica da Serra";10;-;2;-;12
"352230 Itapetininga";12;-;1;-;13
"352240 Itapeva";4;-;1;-;5
"352250 Itapevi";13;-;-;-;13
"352260 Itapira";6;12;13;-;31
"352270 Itápolis";7;-;-;-;7
"352280 Itaporanga";1;-;-;-;1
"352290 Itapuí";1;-;-;-;1
"352300 Itapura";1;-;-;-;1
"352310 Itaquaquecetuba";8;-;-;-;8
"352320 Itararé";3;-;1;-;4
"352340 Itatiba";5;3;5;-;13
"352350 Itatinga";1;-;-;-;1
"352360 Itirapina";5;-;-;-;5
"352370 Itirapuã";2;-;-;-;2
"352380 Itobi";1;-;-;-;1
"352390 Itu";19;2;4;-;25
"352400 Itupeva";5;-;3;-;8
"352410 Ituverava";3;3;-;-;6
"352420 Jaborandi";2;-;-;-;2
"352430 Jaboticabal";4;4;1;-;9
"352440 Jacareí";21;8;30;-;59
"352450 Jaci";2;9;-;-;11
"352470 Jaguariúna";5;-;3;-;8
"352480 Jales";3;-;2;-;5
"352500 Jandira";8;-;-;-;8
"352510 Jardinópolis";2;-;-;-;2
"352520 Jarinu";-;-;1;-;1
"352530 Jaú";10;16;3;-;29
"352540 Jeriquara";2;-;-;-;2
"352550 Joanópolis";1;-;-;-;1
"352560 João Ramalho";2;-;-;-;2
"352570 José Bonifácio";2;-;1;-;3
"352580 Júlio Mesquita";1;-;-;-;1
"352590 Jundiaí";16;34;37;-;87
"352600 Junqueirópolis";1;-;-;-;1
"352610 Juquiá";2;-;-;-;2
"352620 Juquitiba";3;-;-;-;3
"352630 Lagoinha";1;-;-;-;1
"352640 Laranjal Paulista";3;-;-;-;3
"352650 Lavínia";2;-;-;-;2
"352670 Leme";6;2;1;-;9
"352680 Lençóis Paulista";4;2;3;-;9
"352690 Limeira";23;13;13;-;49
"352710 Lins";15;-;5;-;20
"352720 Lorena";9;-;5;-;14
"352730 Louveira";3;-;-;-;3
"352740 Lucélia";3;-;-;-;3
"352760 Luís Antônio";2;-;-;-;2
"352790 Lutécia";2;-;-;-;2
"352800 Macatuba";1;2;1;-;4
"352810 Macaubal";1;-;-;-;1
"352820 Macedônia";1;-;-;-;1
"352830 Magda";1;-;-;-;1
"352840 Mairinque";3;-;-;-;3
"352850 Mairiporã";10;-;-;-;10
"352860 Manduri";1;-;-;-;1
"352870 Marabá Paulista";3;-;-;-;3
"352880 Maracaí";7;-;-;-;7
"352900 Marília";29;21;5;-;55
"352920 Martinópolis";7;-;-;-;7
"352930 Matão";9;-;2;-;11
"352940 Mauá";24;-;11;-;35
"352950 Mendonça";1;-;-;-;1
"352960 Meridiano";1;-;-;-;1
"352965 Mesópolis";1;-;-;-;1
"352970 Miguelópolis";1;-;-;-;1
"352980 Mineiros do Tietê";2;-;-;-;2
"353000 Mira Estrela";1;-;-;-;1
"352990 Miracatu";1;-;-;-;1
"353010 Mirandópolis";7;-;-;-;7
"353020 Mirante do Paranapanema";1;-;-;-;1
"353030 Mirassol";11;-;2;-;13
"353050 Mococa";6;-;6;-;12
"353060 Mogi das Cruzes";24;3;3;-;30
"353070 Mogi Guaçu";12;2;7;-;21
"353080 Mogi Mirim";11;3;3;-;17
"353090 Mombuca";1;-;-;-;1
"353100 Monções";1;-;-;-;1
"353110 Mongaguá";5;-;-;-;5
"353120 Monte Alegre do Sul";1;-;-;-;1
"353130 Monte Alto";5;-;9;-;14
"353140 Monte Aprazível";2;-;-;-;2
"353150 Monte Azul Paulista";-;-;1;-;1
"353160 Monte Castelo";1;-;-;-;1
"353180 Monte Mor";3;-;-;-;3
"353170 Monteiro Lobato";1;-;-;-;1
"353190 Morro Agudo";2;-;1;-;3
"353200 Morungaba";2;-;-;-;2
"353210 Murutinga do Sul";1;-;-;-;1
"353215 Nantes";2;-;-;-;2
"353220 Narandiba";1;-;-;-;1
"353230 Natividade da Serra";1;-;-;-;1
"353240 Nazaré Paulista";2;-;-;-;2
"353250 Neves Paulista";1;-;-;-;1
"353260 Nhandeara";3;1;-;-;4
"353270 Nipoã";1;-;-;-;1
"353280 Nova Aliança";1;-;-;-;1
"353290 Nova Europa";2;-;-;-;2
"353300 Nova Granada";2;1;1;-;4
"353310 Nova Guataporanga";1;-;-;-;1
"353320 Nova Independência";1;-;-;-;1
"353340 Nova Odessa";2;2;1;-;5
"353325 Novais";1;-;-;-;1
"353350 Novo Horizonte";4;-;2;-;6
"353380 Óleo";1;-;-;-;1
"353390 Olímpia";7;-;-;-;7
"353400 Onda Verde";2;-;-;-;2
"353420 Orindiúva";1;-;-;-;1
"353430 Orlândia";6;-;1;-;7
"353440 Osasco";37;2;20;-;59
"353450 Oscar Bressane";1;-;-;-;1
"353460 Osvaldo Cruz";5;-;-;-;5
"353470 Ourinhos";6;1;15;-;22
"353475 Ouroeste";1;-;-;-;1
"353490 Pacaembu";4;-;-;-;4
"353500 Palestina";1;-;1;-;2
"353520 Palmeira d'Oeste";1;-;-;-;1
"353530 Palmital";3;-;-;-;3
"353540 Panorama";1;-;-;-;1
"353550 Paraguaçu Paulista";7;1;-;-;8
"353560 Paraibuna";4;-;-;-;4
"353570 Paraíso";1;-;-;-;1
"353580 Paranapanema";2;-;-;-;2
"353600 Parapuã";1;-;-;-;1
"353610 Pardinho";1;-;-;-;1
"353620 Pariquera-Açu";4;-;-;-;4
"353630 Patrocínio Paulista";1;1;-;-;2
"353640 Paulicéia";1;-;-;-;1
"353650 Paulínia";15;-;8;-;23
"353657 Paulistânia";1;-;-;-;1
"353670 Pederneiras";1;-;3;-;4
"353680 Pedra Bela";1;-;-;-;1
"353700 Pedregulho";2;-;-;-;2
"353710 Pedreira";6;-;-;-;6
"353715 Pedrinhas Paulista";1;-;-;-;1
"353720 Pedro de Toledo";1;-;-;-;1
"353730 Penápolis";5;-;6;-;11
"353740 Pereira Barreto";2;-;-;-;2
"353750 Pereiras";1;-;-;-;1
"353760 Peruíbe";4;-;2;-;6
"353770 Piacatu";1;-;-;-;1
"353780 Piedade";2;-;6;-;8
"353790 Pilar do Sul";3;-;-;-;3
"353800 Pindamonhangaba";3;3;5;-;11
"353810 Pindorama";2;-;-;-;2
"353820 Pinhalzinho";1;-;-;-;1
"353850 Piquete";1;-;-;-;1
"353860 Piracaia";1;-;-;-;1
"353870 Piracicaba";17;12;22;-;51
"353880 Piraju";2;-;1;-;3
"353890 Pirajuí";4;4;-;-;8
"353900 Pirangi";2;-;-;-;2
"353910 Pirapora do Bom Jesus";1;-;-;-;1
"353920 Pirapozinho";3;-;1;-;4
"353930 Pirassununga";5;4;1;-;10
"353940 Piratininga";2;-;-;-;2
"353950 Pitangueiras";4;-;-;-;4
"353980 Poá";9;-;2;-;11
"353990 Poloni";1;-;-;-;1
"354000 Pompéia";3;2;1;-;6
"354010 Pongaí";1;-;-;-;1
"354020 Pontal";1;1;-;-;2
"354025 Pontalinda";1;-;-;-;1
"354050 Porangaba";1;-;-;-;1
"354060 Porto Feliz";2;-;1;-;3
"354070 Porto Ferreira";2;-;-;-;2
"354075 Potim";5;-;-;-;5
"354080 Potirendaba";1;-;-;-;1
"354085 Pracinha";3;-;-;-;3
"354090 Pradópolis";1;-;-;-;1
"354100 Praia Grande";17;-;3;-;20
"354105 Pratânia";1;-;-;-;1
"354120 Presidente Bernardes";7;-;-;-;7
"354130 Presidente Epitácio";3;-;1;-;4
"354140 Presidente Prudente";25;15;15;-;55
"354150 Presidente Venceslau";11;1;-;-;12
"354160 Promissão";5;-;-;-;5
"354170 Quatá";2;-;-;-;2
"354190 Queluz";2;-;-;-;2
"354200 Quintana";1;-;-;-;1
"354210 Rafard";1;-;-;-;1
"354220 Rancharia";10;-;-;-;10
"354240 Regente Feijó";2;-;-;-;2
"354250 Reginópolis";3;-;-;-;3
"354260 Registro";5;1;-;-;6
"354270 Restinga";1;-;-;-;1
"354300 Ribeirão Branco";1;-;-;-;1
"354310 Ribeirão Corrente";2;-;-;-;2
"354320 Ribeirão do Sul";1;-;-;-;1
"354323 Ribeirão dos Índios";1;-;-;-;1
"354330 Ribeirão Pires";10;8;18;-;36
"354340 Ribeirão Preto";53;10;34;-;97
"354380 Rinópolis";1;-;-;-;1
"354390 Rio Claro";20;5;6;-;31
"354400 Rio das Pedras";-;-;1;-;1
"354410 Rio Grande da Serra";1;-;-;-;1
"354420 Riolândia";3;-;-;-;3
"354350 Riversul";1;-;-;-;1
"354430 Roseira";1;-;-;-;1
"354450 Rubinéia";1;-;-;-;1
"354480 Sales";1;-;-;-;1
"354490 Sales Oliveira";1;-;-;-;1
"354500 Salesópolis";1;-;-;-;1
"354520 Salto";13;-;-;-;13
"354530 Salto de Pirapora";4;-;6;-;10
"354540 Salto Grande";1;-;-;-;1
"354550 Sandovalina";1;-;-;-;1
"354560 Santa Adélia";1;-;-;-;1
"354570 Santa Albertina";1;-;-;-;1
"354580 Santa Bárbara d'Oeste";3;2;3;-;8
"354600 Santa Branca";1;-;-;-;1
"354610 Santa Clara d'Oeste";1;-;-;-;1
"354620 Santa Cruz da Conceição";1;-;-;-;1
"354625 Santa Cruz da Esperança";1;-;-;-;1
"354630 Santa Cruz das Palmeiras";3;2;4;-;9
"354640 Santa Cruz do Rio Pardo";4;-;-;-;4
"354650 Santa Ernestina";1;-;-;-;1
"354660 Santa Fé do Sul";5;1;1;-;7
"354670 Santa Gertrudes";2;-;1;-;3
"354680 Santa Isabel";3;1;-;-;4
"354690 Santa Lúcia";3;-;-;-;3
"354710 Santa Mercedes";1;-;-;-;1
"354750 Santa Rita do Passa Quatro";13;-;-;-;13
"354760 Santa Rosa de Viterbo";2;-;-;-;2
"354765 Santa Salete";1;-;-;-;1
"354730 Santana de Parnaíba";22;-;2;-;24
"354770 Santo Anastácio";1;-;1;-;2
"354780 Santo André";56;7;56;-;119
"354790 Santo Antônio da Alegria";2;-;-;-;2
"354800 Santo Antônio de Posse";1;-;-;-;1
"354820 Santo Antônio do Pinhal";1;-;-;-;1
"354850 Santos";87;-;61;1;149
"354860 São Bento do Sapucaí";1;1;-;-;2
"354870 São Bernardo do Campo";31;5;80;-;116
"354880 São Caetano do Sul";20;-;42;-;62
"354890 São Carlos";16;-;13;-;29
"354910 São João da Boa Vista";11;2;4;-;17
"354930 São João do Pau d'Alho";1;-;-;-;1
"354940 São Joaquim da Barra";4;-;2;-;6
"354950 São José da Bela Vista";2;-;-;-;2
"354960 São José do Barreiro";1;-;-;-;1
"354970 São José do Rio Pardo";9;-;-;-;9
"354980 São José do Rio Preto";38;40;24;-;102
"354990 São José dos Campos";31;6;186;-;223
"354995 São Lourenço da Serra";1;-;-;-;1
"355000 São Luís do Paraitinga";1;-;-;-;1
"355010 São Manuel";3;-;1;-;4
"355020 São Miguel Arcanjo";2;-;-;-;2
"355030 São Paulo";1072;143;312;1;1528
"355040 São Pedro";3;-;-;-;3
"355060 São Roque";3;1;5;-;9
"355070 São Sebastião";14;1;1;-;16
"355080 São Sebastião da Grama";2;-;-;-;2
"355090 São Simão";1;-;-;-;1
"355100 São Vicente";25;1;6;-;32
"355120 Sarutaiá";1;-;-;-;1
"355140 Serra Azul";5;-;-;-;5
"355160 Serra Negra";5;-;-;-;5
"355150 Serrana";1;-;-;-;1
"355170 Sertãozinho";8;1;3;-;12
"355190 Severínia";1;-;-;-;1
"355200 Silveiras";1;-;-;-;1
"355210 Socorro";2;-;-;-;2
"355220 Sorocaba";20;34;23;-;77
"355230 Sud Mennucci";1;-;-;-;1
"355240 Sumaré";10;1;4;-;15
"355250 Suzano";14;1;4;-;19
"355260 Tabapuã";2;-;-;-;2
"355270 Tabatinga";1;-;-;-;1
"355280 Taboão da Serra";20;-;2;-;22
"355290 Taciba";1;-;-;-;1
"355310 Taiaçu";2;-;-;-;2
"355320 Taiúva";1;-;-;-;1
"355330 Tambaú";3;-;1;-;4
"355340 Tanabi";3;-;-;-;3
"355350 Tapiraí";1;-;-;-;1
"355360 Tapiratiba";1;-;1;-;2
"355370 Taquaritinga";11;-;2;-;13
"355380 Taquarituba";2;-;1;-;3
"355385 Taquarivaí";2;-;-;-;2
"355390 Tarabai";1;-;-;-;1
"355395 Tarumã";2;-;-;-;2
"355400 Tatuí";11;-;5;-;16
"355410 Taubaté";25;3;17;-;45
"355420 Tejupá";1;-;-;-;1
"355430 Teodoro Sampaio";2;-;-;-;2
"355450 Tietê";1;-;2;-;3
"355460 Timburi";1;-;-;-;1
"355470 Torrinha";1;-;-;-;1
"355480 Tremembé";14;-;-;-;14
"355500 Tupã";8;1;4;-;13
"355510 Tupi Paulista";1;-;-;-;1
"355520 Turiúba";1;-;-;-;1
"355535 Ubarana";1;-;-;-;1
"355540 Ubatuba";7;-;-;-;7
"355560 Uchoa";1;-;-;-;1
"355580 Urânia";1;-;-;-;1
"355600 Urupês";3;-;-;-;3
"355610 Valentim Gentil";1;-;-;-;1
"355620 Valinhos";7;-;2;-;9
"355630 Valparaíso";5;-;-;-;5
"355635 Vargem";2;-;-;-;2
"355640 Vargem Grande do Sul";2;-;-;-;2
"355645 Vargem Grande Paulista";3;-;1;1;5
"355650 Várzea Paulista";4;-;3;-;7
"355670 Vinhedo";9;-;10;-;19
"355680 Viradouro";1;1;-;-;2
"355700 Votorantim";4;-;-;-;4
"355710 Votuporanga";4;2;2;-;8
"355715 Zacarias";1;-;-;-;1
"Total";3863;681;1624;3;6171
&
"Município";"Público";"Filantropico";"Privado";"Sindicato";"Total"
"350010 Adamantina";1;3;1;-;5
"350020 Adolfo";1;-;-;-;1
"350030 Aguaí";3;-;-;-;3
"350040 Águas da Prata";1;-;-;-;1
"350050 Águas de Lindóia";3;-;-;-;3
"350055 Águas de Santa Bárbara";2;-;-;-;2
"350060 Águas de São Pedro";1;-;-;-;1
"350070 Agudos";2;2;-;-;4
"350080 Alfredo Marcondes";1;-;-;-;1
"350090 Altair";1;-;-;-;1
"350100 Altinópolis";3;1;-;-;4
"350115 Alumínio";2;-;-;-;2
"350120 Álvares Florence";1;-;-;-;1
"350130 Álvares Machado";4;-;-;-;4
"350140 Álvaro de Carvalho";2;-;-;-;2
"350150 Alvinlândia";1;-;-;-;1
"350160 Americana";10;8;17;-;35
"350170 Américo Brasiliense";4;-;-;-;4
"350180 Américo de Campos";1;-;-;-;1
"350190 Amparo";12;5;4;-;21
"350210 Andradina";6;1;-;-;7
"350220 Angatuba";2;-;-;-;2
"350230 Anhembi";1;-;-;-;1
"350240 Anhumas";1;-;-;-;1
"350250 Aparecida";1;-;-;-;1
"350270 Apiaí";1;-;-;-;1
"350280 Araçatuba";15;7;2;-;24
"350290 Araçoiaba da Serra";1;-;-;-;1
"350300 Aramina";1;-;-;-;1
"350310 Arandu";1;-;-;-;1
"350315 Arapeí";1;-;-;-;1
"350320 Araraquara";21;6;7;-;34
"350330 Araras";5;1;5;-;11
"350340 Arealva";1;-;-;-;1
"350350 Areias";2;-;-;-;2
"350360 Areiópolis";1;-;1;-;2
"350370 Ariranha";3;-;-;-;3
"350380 Artur Nogueira";2;-;-;-;2
"350390 Arujá";2;-;-;-;2
"350400 Assis";30;-;3;-;33
"350410 Atibaia";7;-;28;-;35
"350420 Auriflama";2;-;-;-;2
"350430 Avaí";1;-;-;-;1
"350440 Avanhandava";1;-;-;-;1
"350450 Avaré";11;4;-;-;15
"350460 Bady Bassitt";1;-;-;-;1
"350480 Bálsamo";2;-;-;-;2
"350500 Barão de Antonina";1;-;-;-;1
"350520 Bariri";1;-;-;-;1
"350530 Barra Bonita";5;1;-;-;6
"350540 Barra do Turvo";2;-;-;-;2
"350550 Barretos";6;3;8;-;17
"350560 Barrinha";2;-;-;-;2
"350570 Barueri";22;-;2;-;24
"350580 Bastos";2;-;-;-;2
"350590 Batatais";3;6;1;-;10
"350600 Bauru";63;-;22;-;85
"350610 Bebedouro";9;2;-;-;11
"350620 Bento de Abreu";2;-;-;-;2
"350630 Bernardino de Campos";2;-;-;-;2
"350635 Bertioga";6;-;-;-;6
"350650 Birigui";1;2;-;-;3
"350660 Biritiba-Mirim";1;-;-;-;1
"350670 Boa Esperança do Sul";1;-;-;-;1
"350680 Bocaina";1;-;-;-;1
"350690 Bofete";1;-;-;-;1
"350700 Boituva";2;-;1;-;3
"350710 Bom Jesus dos Perdões";2;-;2;-;4
"350730 Boracéia";1;-;-;-;1
"350740 Borborema";3;-;-;-;3
"350745 Borebi";1;-;-;-;1
"350750 Botucatu";32;1;7;-;40
"350760 Bragança Paulista";12;1;3;-;16
"350775 Brejo Alegre";1;-;-;-;1
"350780 Brodowski";2;-;-;-;2
"350790 Brotas";3;-;-;-;3
"350800 Buri";1;-;-;-;1
"350810 Buritama";2;-;-;-;2
"350820 Buritizal";1;-;-;-;1
"350830 Cabrália Paulista";1;-;-;-;1
"350840 Cabreúva";3;-;-;-;3
"350850 Caçapava";5;-;16;-;21
"350860 Cachoeira Paulista";1;1;2;-;4
"350870 Caconde";2;1;-;-;3
"350880 Cafelândia";1;3;-;-;4
"350900 Caieiras";7;-;4;-;11
"350910 Caiuá";2;-;-;-;2
"350920 Cajamar";14;-;-;-;14
"350930 Cajobi";1;-;-;-;1
"350940 Cajuru";4;1;-;-;5
"350945 Campina do Monte Alegre";1;-;-;-;1
"350950 Campinas";111;71;47;-;229
"350960 Campo Limpo Paulista";4;-;3;-;7
"350970 Campos do Jordão";5;3;-;-;8
"350980 Campos Novos Paulista";1;-;-;-;1
"350990 Cananéia";1;-;-;-;1
"351000 Cândido Mota";8;-;-;-;8
"351010 Cândido Rodrigues";1;-;-;-;1
"351015 Canitar";1;-;-;-;1
"351020 Capão Bonito";3;1;-;-;4
"351030 Capela do Alto";2;-;-;-;2
"351040 Capivari";6;-;1;-;7
"351050 Caraguatatuba";7;-;1;-;8
"351060 Carapicuíba";13;-;-;-;13
"351070 Cardoso";2;-;-;-;2
"351080 Casa Branca";6;18;-;-;24
"351090 Cássia dos Coqueiros";1;-;-;-;1
"351100 Castilho";1;-;-;-;1
"351110 Catanduva";17;4;2;-;23
"351130 Cedral";1;-;-;-;1
"351140 Cerqueira César";3;-;-;-;3
"351150 Cerquilho";2;-;6;-;8
"351160 Cesário Lange";2;-;-;-;2
"355720 Chavantes";1;-;-;-;1
"351190 Clementina";1;-;-;-;1
"351200 Colina";2;-;1;-;3
"351210 Colômbia";1;-;-;-;1
"351220 Conchal";3;-;-;-;3
"351230 Conchas";1;-;-;-;1
"351240 Cordeirópolis";2;-;-;-;2
"351260 Coronel Macedo";1;-;-;-;1
"351280 Cosmópolis";4;-;-;-;4
"351290 Cosmorama";1;-;-;-;1
"351300 Cotia";10;-;3;-;13
"351310 Cravinhos";3;-;-;-;3
"351320 Cristais Paulista";1;-;-;-;1
"351330 Cruzália";1;-;-;-;1
"351340 Cruzeiro";11;-;3;-;14
"351350 Cubatão";8;3;3;-;14
"351360 Cunha";1;1;-;-;2
"351370 Descalvado";6;-;-;-;6
"351380 Diadema";35;-;12;-;47
"351385 Dirce Reis";1;-;-;-;1
"351390 Divinolândia";1;-;1;-;2
"351400 Dobrada";1;-;-;-;1
"351410 Dois Córregos";2;-;-;-;2
"351420 Dolcinópolis";1;-;-;-;1
"351430 Dourado";1;-;-;-;1
"351440 Dracena";6;3;3;-;12
"351450 Duartina";1;1;1;-;3
"351480 Eldorado";1;-;-;-;1
"351490 Elias Fausto";3;-;-;-;3
"351492 Elisiário";1;-;-;-;1
"351495 Embaúba";1;-;-;-;1
"351500 Embu das Artes";12;-;-;-;12
"351510 Embu-Guaçu";4;-;2;-;6
"351512 Emilianópolis";1;-;-;-;1
"351515 Engenheiro Coelho";1;-;-;-;1
"351518 Espírito Santo do Pinhal";4;1;5;-;10
"351519 Espírito Santo do Turvo";1;-;-;-;1
"355730 Estiva Gerbi";1;-;-;-;1
"351520 Estrela d'Oeste";1;2;-;-;3
"351530 Estrela do Norte";1;-;-;-;1
"351535 Euclides da Cunha Paulista";1;-;-;-;1
"351540 Fartura";1;1;1;-;3
"351560 Fernando Prestes";1;-;-;-;1
"351550 Fernandópolis";3;-;3;-;6
"351565 Fernão";1;-;-;-;1
"351570 Ferraz de Vasconcelos";13;-;1;-;14
"351580 Flora Rica";1;-;-;-;1
"351590 Floreal";1;-;-;-;1
"351600 Flórida Paulista";2;-;-;-;2
"351610 Florínia";2;-;-;-;2
"351620 Franca";22;13;-;-;35
"351630 Francisco Morato";6;-;-;-;6
"351640 Franco da Rocha";53;-;1;-;54
"351670 Garça";6;3;-;-;9
"351680 Gastão Vidigal";1;-;-;-;1
"351685 Gavião Peixoto";1;-;-;-;1
"351690 General Salgado";1;-;-;-;1
"351700 Getulina";2;-;-;-;2
"351710 Glicério";1;-;-;-;1
"351720 Guaiçara";1;-;-;-;1
"351730 Guaimbê";1;-;-;-;1
"351740 Guaíra";4;-;-;-;4
"351750 Guapiaçu";1;-;-;-;1
"351760 Guapiara";1;-;-;-;1
"351770 Guará";2;1;-;-;3
"351780 Guaraçaí";1;-;-;-;1
"351790 Guaraci";2;-;-;-;2
"351800 Guarani d'Oeste";2;-;-;-;2
"351820 Guararapes";2;-;-;-;2
"351830 Guararema";2;-;-;-;2
"351840 Guaratinguetá";3;5;4;-;12
"351850 Guareí";1;-;-;-;1
"351860 Guariba";5;-;-;-;5
"351870 Guarujá";13;2;4;-;19
"351880 Guarulhos";78;6;22;-;106
"351885 Guatapará";1;-;-;-;1
"351890 Guzolândia";1;-;-;-;1
"351900 Herculândia";1;1;-;-;2
"351905 Holambra";2;-;-;-;2
"351907 Hortolândia";25;-;-;-;25
"351925 Iaras";2;-;-;-;2
"351930 Ibaté";1;-;-;-;1
"351940 Ibirá";1;-;-;-;1
"351950 Ibirarema";1;-;-;-;1
"351960 Ibitinga";1;-;-;-;1
"351970 Ibiúna";2;-;-;-;2
"351980 Icém";1;-;-;-;1
"351990 Iepê";1;-;-;-;1
"352000 Igaraçu do Tietê";1;-;-;-;1
"352010 Igarapava";6;-;1;-;7
"352020 Igaratá";1;-;-;-;1
"352030 Iguape";1;-;-;-;1
"352042 Ilha Comprida";1;-;-;-;1
"352044 Ilha Solteira";4;-;1;-;5
"352040 Ilhabela";3;-;-;-;3
"352050 Indaiatuba";18;5;5;-;28
"352060 Indiana";1;-;-;-;1
"352070 Indiaporã";1;-;-;-;1
"352080 Inúbia Paulista";1;-;-;-;1
"352090 Ipaussu";1;-;-;-;1
"352100 Iperó";9;-;-;-;9
"352110 Ipeúna";2;-;-;-;2
"352115 Ipiguá";1;-;-;-;1
"352130 Ipuã";3;-;-;-;3
"352140 Iracemápolis";1;-;-;-;1
"352150 Irapuã";1;-;-;-;1
"352160 Irapuru";2;-;-;-;2
"352170 Itaberá";3;-;-;-;3
"352180 Itaí";4;-;-;-;4
