"Município";"Sim";"Não";"Total"
"351519 Espírito Santo do Turvo";2;-;2
"351520 Estrela d'Oeste";4;1;5
"351530 Estrela do Norte";1;-;1
"351535 Euclides da Cunha Paulista";1;-;1
"351540 Fartura";6;-;6
"351560 Fernando Prestes";1;-;1
"351550 Fernandópolis";17;67;84
"351565 Fernão";1;-;1
"351570 Ferraz de Vasconcelos";25;3;28
"351590 Floreal";2;-;2
"351600 Flórida Paulista";3;2;5
"351610 Florínia";1;-;1
"351620 Franca";59;108;167
"351630 Francisco Morato";14;1;15
"351640 Franco da Rocha";74;5;79
"351650 Gabriel Monteiro";1;-;1
"351660 Gália";3;-;3
"351670 Garça";13;3;16
"351680 Gastão Vidigal";1;-;1
"351685 Gavião Peixoto";2;-;2
"351690 General Salgado";2;2;4
"351700 Getulina";1;-;1
"351710 Glicério";1;-;1
"351720 Guaiçara";2;1;3
"351730 Guaimbê";1;-;1
"351740 Guaíra";6;7;13
"351750 Guapiaçu";3;-;3
"351760 Guapiara";2;-;2
"351770 Guará";3;6;9
"351780 Guaraçaí";1;-;1
"351790 Guaraci";3;-;3
"351800 Guarani d'Oeste";2;-;2
"351810 Guarantã";2;-;2
"351820 Guararapes";4;6;10
"351830 Guararema";5;1;6
"351840 Guaratinguetá";15;39;54
"351850 Guareí";5;-;5
"351860 Guariba";12;2;14
"351870 Guarujá";42;20;62
"351880 Guarulhos";142;134;276
"351885 Guatapará";2;-;2
"351890 Guzolândia";2;-;2
"351900 Herculândia";3;-;3
"351905 Holambra";1;1;2
"351907 Hortolândia";27;9;36
"351910 Iacanga";3;2;5
"351920 Iacri";1;-;1
"351925 Iaras";14;-;14
"351930 Ibaté";2;2;4
"351940 Ibirá";2;-;2
"351950 Ibirarema";1;-;1
"351960 Ibitinga";5;5;10
"351970 Ibiúna";6;5;11
"351980 Icém";3;-;3
"351990 Iepê";1;-;1
"352000 Igaraçu do Tietê";2;5;7
"352010 Igarapava";5;8;13
"352020 Igaratá";3;-;3
"352030 Iguape";2;1;3
"352042 Ilha Comprida";1;-;1
"352044 Ilha Solteira";7;12;19
"352040 Ilhabela";10;2;12
"352050 Indaiatuba";33;35;68
"352060 Indiana";2;-;2
"352070 Indiaporã";2;-;2
"352080 Inúbia Paulista";1;-;1
"352090 Ipaussu";3;-;3
"352100 Iperó";7;3;10
"352110 Ipeúna";2;-;2
"352115 Ipiguá";2;-;2
"352120 Iporanga";1;-;1
"352130 Ipuã";8;-;8
"352140 Iracemápolis";2;-;2
"352150 Irapuã";1;-;1
"352160 Irapuru";9;-;9
"352170 Itaberá";2;-;2
"352180 Itaí";4;1;5
"352190 Itajobi";2;-;2
"352200 Itaju";1;-;1
"352210 Itanhaém";20;4;24
"352220 Itapecerica da Serra";17;15;32
"352230 Itapetininga";45;22;67
"352240 Itapeva";10;22;32
"352250 Itapevi";14;5;19
"352260 Itapira";18;23;41
"352265 Itapirapuã Paulista";1;-;1
"352270 Itápolis";11;2;13
"352280 Itaporanga";3;-;3
"352290 Itapuí";3;-;3
"352300 Itapura";1;-;1
"352310 Itaquaquecetuba";16;-;16
"352320 Itararé";4;3;7
"352330 Itariri";1;-;1
"352340 Itatiba";17;17;34
"352350 Itatinga";2;3;5
"352360 Itirapina";8;-;8
"352370 Itirapuã";1;-;1
"352380 Itobi";2;-;2
"352390 Itu";25;41;66
"352400 Itupeva";12;3;15
"352410 Ituverava";15;9;24
"352430 Jaboticabal";22;8;30
"352440 Jacareí";44;64;108
"352450 Jaci";13;1;14
"352460 Jacupiranga";1;3;4
"352470 Jaguariúna";12;14;26
"352480 Jales";12;26;38
"352500 Jandira";6;7;13
"352510 Jardinópolis";11;1;12
"352520 Jarinu";4;3;7
"352530 Jaú";30;34;64
"352540 Jeriquara";1;-;1
"352550 Joanópolis";2;1;3
"352560 João Ramalho";1;-;1
"352570 José Bonifácio";3;3;6
"352580 Júlio Mesquita";1;1;2
"352590 Jundiaí";75;197;272
"352600 Junqueirópolis";5;2;7
"352610 Juquiá";2;1;3
"352620 Juquitiba";3;2;5
"352630 Lagoinha";1;-;1
"352640 Laranjal Paulista";4;5;9
"352650 Lavínia";5;-;5
"352660 Lavrinhas";1;-;1
"352670 Leme";16;14;30
"352680 Lençóis Paulista";11;13;24
"352690 Limeira";54;50;104
"352700 Lindóia";2;-;2
"352710 Lins";24;45;69
"352720 Lorena";10;19;29
"352730 Louveira";10;5;15
"352740 Lucélia";7;3;10
"352760 Luís Antônio";5;-;5
"352770 Luiziânia";1;-;1
"352790 Lutécia";2;-;2
"352800 Macatuba";5;1;6
"352810 Macaubal";3;-;3
"352820 Macedônia";1;-;1
"352830 Magda";2;-;2
"352840 Mairinque";5;2;7
"352850 Mairiporã";13;14;27
"352860 Manduri";1;-;1
"352870 Marabá Paulista";2;-;2
"352880 Maracaí";5;1;6
"352885 Marapoama";1;-;1
"352900 Marília";100;78;178
"352910 Marinópolis";1;-;1
"352920 Martinópolis";14;2;16
"352930 Matão";25;16;41
"352940 Mauá";63;25;88
"352950 Mendonça";1;-;1
"352960 Meridiano";1;-;1
"352965 Mesópolis";1;-;1
"352970 Miguelópolis";7;-;7
"352980 Mineiros do Tietê";2;-;2
"353000 Mira Estrela";3;-;3
"352990 Miracatu";3;-;3
"353010 Mirandópolis";6;3;9
"353020 Mirante do Paranapanema";2;2;4
"353030 Mirassol";17;17;34
"353050 Mococa";16;39;55
"353060 Mogi das Cruzes";58;42;100
"353070 Mogi Guaçu";14;19;33
"353080 Mogi Mirim";27;12;39
"353090 Mombuca";1;-;1
"353100 Monções";2;-;2
"353110 Mongaguá";7;2;9
"353120 Monte Alegre do Sul";2;2;4
"353130 Monte Alto";11;33;44
"353140 Monte Aprazível";2;2;4
"353150 Monte Azul Paulista";1;5;6
"353160 Monte Castelo";1;-;1
"353180 Monte Mor";7;-;7
"353170 Monteiro Lobato";1;-;1
"353190 Morro Agudo";13;5;18
"353200 Morungaba";6;-;6
"353210 Murutinga do Sul";1;-;1
"353215 Nantes";1;-;1
"353220 Narandiba";1;-;1
"353230 Natividade da Serra";1;-;1
"353240 Nazaré Paulista";2;2;4
"353260 Nhandeara";4;3;7
"353270 Nipoã";1;-;1
"353280 Nova Aliança";1;-;1
"353282 Nova Campina";1;-;1
"353284 Nova Canaã Paulista";1;-;1
"353290 Nova Europa";1;-;1
"353300 Nova Granada";4;3;7
"353310 Nova Guataporanga";1;-;1
"353320 Nova Independência";1;-;1
"353340 Nova Odessa";4;8;12
"353325 Novais";1;-;1
"353350 Novo Horizonte";7;9;16
"353360 Nuporanga";2;1;3
"353370 Ocauçu";1;-;1
"353380 Óleo";1;-;1
"353390 Olímpia";12;10;22
"353400 Onda Verde";3;-;3
"353410 Oriente";1;2;3
"353420 Orindiúva";5;-;5
"353430 Orlândia";7;16;23
"353440 Osasco";53;164;217
"353450 Oscar Bressane";2;-;2
"353460 Osvaldo Cruz";8;3;11
"353470 Ourinhos";30;49;79
"353475 Ouroeste";3;3;6
"353490 Pacaembu";9;1;10
"353500 Palestina";2;1;3
"353510 Palmares Paulista";1;-;1
"353520 Palmeira d'Oeste";2;-;2
"353530 Palmital";6;3;9
"353540 Panorama";1;1;2
"353550 Paraguaçu Paulista";12;13;25
"353560 Paraibuna";2;-;2
"353570 Paraíso";1;-;1
"353580 Paranapanema";4;1;5
"353590 Paranapuã";1;-;1
"353600 Parapuã";1;-;1
"353610 Pardinho";1;-;1
"353620 Pariquera-Açu";9;-;9
"353625 Parisi";1;-;1
"353630 Patrocínio Paulista";3;-;3
"353640 Paulicéia";1;-;1
"353650 Paulínia";19;21;40
"353660 Paulo de Faria";1;-;1
"353670 Pederneiras";11;5;16
"353680 Pedra Bela";1;-;1
"353690 Pedranópolis";1;-;1
"353700 Pedregulho";2;1;3
"353710 Pedreira";12;11;23
"353715 Pedrinhas Paulista";1;-;1
"353720 Pedro de Toledo";2;-;2
"353730 Penápolis";13;14;27
"353740 Pereira Barreto";4;7;11
"353750 Pereiras";2;-;2
"353760 Peruíbe";5;9;14
"353770 Piacatu";2;-;2
"353780 Piedade";4;4;8
"353790 Pilar do Sul";4;-;4
"353800 Pindamonhangaba";16;34;50
"353810 Pindorama";1;-;1
"353820 Pinhalzinho";2;1;3
"353830 Piquerobi";1;-;1
"353850 Piquete";1;-;1
"353860 Piracaia";7;1;8
"353870 Piracicaba";42;125;167
"353880 Piraju";2;5;7
"353890 Pirajuí";12;3;15
"353900 Pirangi";2;1;3
"353910 Pirapora do Bom Jesus";1;-;1
"353920 Pirapozinho";7;2;9
"353930 Pirassununga";19;18;37
"353940 Piratininga";1;-;1
"353950 Pitangueiras";8;4;12
"353960 Planalto";1;-;1
"353970 Platina";1;-;1
"353980 Poá";8;5;13
"353990 Poloni";2;1;3
"354000 Pompéia";9;32;41
"354010 Pongaí";1;-;1
"354020 Pontal";9;11;20
"354025 Pontalinda";2;-;2
"354030 Pontes Gestal";1;-;1
"354040 Populina";2;-;2
"354050 Porangaba";1;-;1
"354060 Porto Feliz";5;5;10
"354070 Porto Ferreira";8;16;24
"354075 Potim";6;-;6
"354080 Potirendaba";1;2;3
"354085 Pracinha";3;-;3
"354090 Pradópolis";1;1;2
"354100 Praia Grande";29;46;75
"354105 Pratânia";1;-;1
"354110 Presidente Alves";1;-;1
"354120 Presidente Bernardes";3;3;6
"354130 Presidente Epitácio";4;8;12
"354140 Presidente Prudente";59;117;176
"354150 Presidente Venceslau";15;6;21
"354160 Promissão";4;7;11
"354170 Quatá";5;2;7
"354180 Queiroz";3;-;3
"354190 Queluz";3;-;3
"354200 Quintana";1;3;4
"354210 Rafard";2;2;4
"354220 Rancharia";7;-;7
"354230 Redenção da Serra";2;-;2
"354240 Regente Feijó";2;5;7
"354250 Reginópolis";3;-;3
"354260 Registro";7;5;12
"354270 Restinga";1;-;1
"354290 Ribeirão Bonito";1;2;3
"354300 Ribeirão Branco";1;-;1
"354310 Ribeirão Corrente";1;-;1
"354320 Ribeirão do Sul";1;-;1
"354323 Ribeirão dos Índios";1;-;1
"354325 Ribeirão Grande";1;-;1
"354330 Ribeirão Pires";28;25;53
"354340 Ribeirão Preto";176;266;442
"354360 Rifaina";2;1;3
"354370 Rincão";1;-;1
"354380 Rinópolis";2;-;2
"354390 Rio Claro";35;50;85
"354400 Rio das Pedras";3;3;6
"354410 Rio Grande da Serra";11;-;11
"354420 Riolândia";4;-;4
"354425 Rosana";4;3;7
"354430 Roseira";2;1;3
"354440 Rubiácea";1;-;1
"354450 Rubinéia";2;-;2
"354460 Sabino";1;-;1
"354480 Sales";2;-;2
"354490 Sales Oliveira";1;-;1
"354500 Salesópolis";2;-;2
"354510 Salmourão";1;-;1
"354520 Salto";14;22;36
"354530 Salto de Pirapora";10;3;13
"354540 Salto Grande";1;1;2
"354550 Sandovalina";1;-;1
"354560 Santa Adélia";3;-;3
"354570 Santa Albertina";1;-;1
"354580 Santa Bárbara d'Oeste";20;18;38
"354600 Santa Branca";1;4;5
"354610 Santa Clara d'Oeste";1;-;1
"354620 Santa Cruz da Conceição";1;-;1
"354625 Santa Cruz da Esperança";1;-;1
"354630 Santa Cruz das Palmeiras";4;6;10
"354640 Santa Cruz do Rio Pardo";8;7;15
"354650 Santa Ernestina";1;-;1
"354660 Santa Fé do Sul";12;10;22
"354670 Santa Gertrudes";5;2;7
"354680 Santa Isabel";9;2;11
"354690 Santa Lúcia";1;-;1
"354710 Santa Mercedes";1;-;1
"354740 Santa Rita d'Oeste";1;-;1
"354750 Santa Rita do Passa Quatro";11;2;13
"354760 Santa Rosa de Viterbo";4;7;11
"354765 Santa Salete";1;-;1
"354730 Santana de Parnaíba";30;1;31
"354770 Santo Anastácio";2;3;5
"354780 Santo André";95;125;220
"354790 Santo Antônio da Alegria";3;-;3
"354800 Santo Antônio de Posse";3;1;4
"354810 Santo Antônio do Jardim";1;-;1
"354820 Santo Antônio do Pinhal";1;-;1
"354830 Santo Expedito";1;-;1
"354850 Santos";104;190;294
"354860 São Bento do Sapucaí";1;-;1
"354870 São Bernardo do Campo";100;219;319
"354880 São Caetano do Sul";53;70;123
"354890 São Carlos";34;35;69
"354900 São Francisco";2;-;2
"354910 São João da Boa Vista";27;59;86
"354920 São João das Duas Pontes";1;-;1
"354930 São João do Pau d'Alho";1;-;1
"354940 São Joaquim da Barra";4;24;28
"354950 São José da Bela Vista";2;1;3
"354960 São José do Barreiro";2;-;2
"354970 São José do Rio Pardo";14;29;43
"354980 São José do Rio Preto";161;110;271
"354990 São José dos Campos";68;350;418
"354995 São Lourenço da Serra";1;-;1
"355000 São Luís do Paraitinga";1;-;1
"355010 São Manuel";4;10;14
"355020 São Miguel Arcanjo";5;1;6
"355030 São Paulo";2314;2243;4557
"355040 São Pedro";4;7;11
"355060 São Roque";11;31;42
"355070 São Sebastião";25;5;30
"355080 São Sebastião da Grama";3;1;4
"355090 São Simão";4;-;4
"355100 São Vicente";36;29;65
"355130 Sebastianópolis do Sul";1;-;1
"355140 Serra Azul";8;-;8
"355160 Serra Negra";5;4;9
"355150 Serrana";8;3;11
"355170 Sertãozinho";11;39;50
"355180 Sete Barras";1;-;1
"355190 Severínia";1;-;1
"355200 Silveiras";1;1;2
"355210 Socorro";6;4;10
"355220 Sorocaba";83;167;250
"355230 Sud Mennucci";2;-;2
"355240 Sumaré";34;15;49
"355255 Suzanápolis";3;1;4
"355250 Suzano";21;26;47
"355260 Tabapuã";2;1;3
"355270 Tabatinga";2;1;3
"355280 Taboão da Serra";29;11;40
"355290 Taciba";1;-;1
"355300 Taguaí";1;-;1
"355310 Taiaçu";1;1;2
"355320 Taiúva";3;-;3
"355330 Tambaú";4;11;15
"355340 Tanabi";6;-;6
"355360 Tapiratiba";2;-;2
"355365 Taquaral";1;-;1
"355370 Taquaritinga";15;7;22
"355380 Taquarituba";6;-;6
"355385 Taquarivaí";1;-;1
"355390 Tarabai";2;-;2
"355395 Tarumã";3;1;4
"355400 Tatuí";16;33;49
"355410 Taubaté";52;102;154
"355420 Tejupá";1;-;1
"355430 Teodoro Sampaio";2;2;4
"355440 Terra Roxa";1;-;1
"355450 Tietê";1;8;9
"355460 Timburi";1;-;1
"355465 Torre de Pedra";1;-;1
"355470 Torrinha";-;1;1
"355475 Trabiju";1;-;1
"355480 Tremembé";15;3;18
"355490 Três Fronteiras";1;-;1
"355495 Tuiuti";1;-;1
"355500 Tupã";20;18;38
"355510 Tupi Paulista";5;3;8
"355520 Turiúba";1;-;1
"355530 Turmalina";1;-;1
"355535 Ubarana";1;-;1
"355540 Ubatuba";7;5;12
"355550 Ubirajara";3;-;3
"355560 Uchoa";2;2;4
"355580 Urânia";2;-;2
"355600 Urupês";4;3;7
"355610 Valentim Gentil";3;1;4
"355620 Valinhos";17;25;42
"355630 Valparaíso";8;4;12
"355635 Vargem";1;-;1
"355640 Vargem Grande do Sul";4;14;18
"355645 Vargem Grande Paulista";5;9;14
"355650 Várzea Paulista";10;-;10
"355660 Vera Cruz";-;2;2
"355670 Vinhedo";23;27;50
"355680 Viradouro";3;2;5
"355700 Votorantim";9;9;18
"355710 Votuporanga";13;43;56
"Total";8030;8667;16697
&
"Município";"Sim";"Não";"Total"
"350010 Adamantina";10;19;29
"350020 Adolfo";2;-;2
"350030 Aguaí";2;10;12
"350040 Águas da Prata";1;-;1
"350050 Águas de Lindóia";4;2;6
"350055 Águas de Santa Bárbara";1;1;2
"350060 Águas de São Pedro";1;-;1
"350070 Agudos";10;1;11
"350075 Alambari";1;-;1
"350080 Alfredo Marcondes";1;-;1
"350090 Altair";1;-;1
"350100 Altinópolis";9;1;10
"350110 Alto Alegre";1;-;1
"350115 Alumínio";1;1;2
"350120 Álvares Florence";2;-;2
"350130 Álvares Machado";10;-;10
"350140 Álvaro de Carvalho";3;-;3
"350160 Americana";29;139;168
"350170 Américo Brasiliense";12;2;14
"350180 Américo de Campos";1;1;2
"350190 Amparo";24;16;40
"350210 Andradina";17;32;49
"350220 Angatuba";3;2;5
"350230 Anhembi";1;-;1
"350240 Anhumas";1;-;1
"350250 Aparecida";3;2;5
"350260 Aparecida d'Oeste";3;-;3
"350270 Apiaí";4;1;5
"350275 Araçariguama";4;1;5
"350280 Araçatuba";49;78;127
"350290 Araçoiaba da Serra";6;9;15
"350300 Aramina";1;-;1
"350310 Arandu";2;-;2
"350315 Arapeí";1;-;1
"350320 Araraquara";52;78;130
"350330 Araras";14;33;47
"350335 Arco-Íris";1;-;1
"350340 Arealva";2;-;2
"350350 Areias";1;-;1
"350360 Areiópolis";1;-;1
"350370 Ariranha";6;-;6
"350380 Artur Nogueira";7;5;12
"350390 Arujá";3;13;16
"350395 Aspásia";2;-;2
"350400 Assis";29;51;80
"350410 Atibaia";19;73;92
"350420 Auriflama";1;2;3
"350430 Avaí";1;-;1
"350440 Avanhandava";3;-;3
"350450 Avaré";19;25;44
"350460 Bady Bassitt";3;-;3
"350470 Balbinos";2;-;2
"350480 Bálsamo";3;-;3
"350490 Bananal";2;-;2
"350500 Barão de Antonina";1;-;1
"350520 Bariri";2;3;5
"350530 Barra Bonita";4;9;13
"350535 Barra do Chapéu";1;-;1
"350540 Barra do Turvo";1;-;1
"350550 Barretos";38;20;58
"350560 Barrinha";6;1;7
"350570 Barueri";53;31;84
"350580 Bastos";2;1;3
"350590 Batatais";16;20;36
"350600 Bauru";94;93;187
"350610 Bebedouro";19;22;41
"350630 Bernardino de Campos";3;1;4
"350635 Bertioga";10;4;14
"350640 Bilac";1;-;1
"350650 Birigui";15;21;36
"350660 Biritiba-Mirim";5;2;7
"350670 Boa Esperança do Sul";4;1;5
"350680 Bocaina";2;2;4
"350690 Bofete";2;-;2
"350700 Boituva";9;5;14
"350710 Bom Jesus dos Perdões";3;-;3
"350715 Bom Sucesso de Itararé";1;-;1
"350720 Borá";1;-;1
"350730 Boracéia";2;-;2
"350740 Borborema";5;1;6
"350745 Borebi";1;-;1
"350750 Botucatu";66;71;137
"350760 Bragança Paulista";29;41;70
"350775 Brejo Alegre";1;-;1
"350780 Brodowski";7;2;9
"350790 Brotas";3;4;7
"350800 Buri";2;-;2
"350810 Buritama";4;1;5
"350820 Buritizal";1;-;1
"350830 Cabrália Paulista";1;-;1
"350840 Cabreúva";7;4;11
"350850 Caçapava";11;35;46
"350860 Cachoeira Paulista";9;4;13
"350870 Caconde";4;-;4
"350880 Cafelândia";4;7;11
"350890 Caiabu";1;-;1
"350900 Caieiras";14;10;24
"350910 Caiuá";4;-;4
"350920 Cajamar";14;2;16
"350925 Cajati";4;3;7
"350930 Cajobi";2;1;3
"350940 Cajuru";4;3;7
"350950 Campinas";261;311;572
"350960 Campo Limpo Paulista";19;2;21
"350970 Campos do Jordão";9;5;14
"350980 Campos Novos Paulista";1;-;1
"350990 Cananéia";1;-;1
"350995 Canas";1;-;1
"351000 Cândido Mota";8;8;16
"351010 Cândido Rodrigues";1;-;1
"351015 Canitar";1;-;1
"351020 Capão Bonito";9;2;11
"351030 Capela do Alto";4;2;6
"351040 Capivari";14;23;37
"351050 Caraguatatuba";14;16;30
"351060 Carapicuíba";32;8;40
"351070 Cardoso";2;-;2
"351080 Casa Branca";25;6;31
"351090 Cássia dos Coqueiros";2;-;2
"351100 Castilho";2;1;3
"351110 Catanduva";34;34;68
"351120 Catiguá";1;-;1
"351130 Cedral";1;1;2
"351140 Cerqueira César";7;8;15
"351150 Cerquilho";4;19;23
"351160 Cesário Lange";4;1;5
"351170 Charqueada";1;1;2
"355720 Chavantes";1;-;1
"351190 Clementina";2;-;2
"351200 Colina";2;1;3
"351210 Colômbia";2;-;2
"351220 Conchal";8;1;9
"351230 Conchas";1;-;1
"351240 Cordeirópolis";8;4;12
"351250 Coroados";1;-;1
"351260 Coronel Macedo";1;-;1
"351270 Corumbataí";1;-;1
"351280 Cosmópolis";8;10;18
"351290 Cosmorama";1;-;1
"351300 Cotia";29;13;42
"351310 Cravinhos";4;3;7
"351320 Cristais Paulista";2;-;2
"351330 Cruzália";1;-;1
"351340 Cruzeiro";12;37;49
"351350 Cubatão";24;23;47
"351360 Cunha";4;2;6
"351370 Descalvado";7;19;26
"351380 Diadema";50;15;65
"351385 Dirce Reis";3;-;3
"351390 Divinolândia";7;2;9
"351410 Dois Córregos";3;4;7
"351420 Dolcinópolis";1;-;1
"351430 Dourado";1;-;1
"351440 Dracena";16;22;38
"351450 Duartina";3;2;5
"351460 Dumont";1;-;1
"351470 Echaporã";1;-;1
"351480 Eldorado";1;-;1
"351490 Elias Fausto";1;-;1
"351492 Elisiário";1;-;1
"351495 Embaúba";1;-;1
"351500 Embu das Artes";21;10;31
"351510 Embu-Guaçu";6;2;8
"351512 Emilianópolis";1;-;1
"351515 Engenheiro Coelho";4;6;10
"351518 Espírito Santo do Pinhal";13;9;22
"351519 Espírito Santo do Turvo";2;-;2
"355730 Estiva Gerbi";5;1;6
"351520 Estrela d'Oeste";3;1;4
"351530 Estrela do Norte";1;-;1
"351535 Euclides da Cunha Paulista";1;-;1
"351540 Fartura";6;-;6
"351560 Fernando Prestes";1;-;1
"351550 Fernandópolis";17;52;69
"351565 Fernão";1;-;1
"351570 Ferraz de Vasconcelos";28;3;31
"351590 Floreal";2;-;2
"351600 Flórida Paulista";3;1;4
"351610 Florínia";1;-;1
"351620 Franca";57;104;161
"351630 Francisco Morato";14;1;15
"351640 Franco da Rocha";77;6;83
"351650 Gabriel Monteiro";2;-;2
"351660 Gália";2;-;2
"351670 Garça";14;2;16
"351680 Gastão Vidigal";1;-;1
"351685 Gavião Peixoto";2;-;2
"351690 General Salgado";2;2;4
"351700 Getulina";2;-;2
"351710 Glicério";1;-;1
"351720 Guaiçara";2;-;2
"351730 Guaimbê";1;-;1
"351740 Guaíra";6;5;11
"351750 Guapiaçu";3;-;3
"351760 Guapiara";1;-;1
"351770 Guará";4;6;10
"351780 Guaraçaí";1;-;1
"351790 Guaraci";2;-;2
"351800 Guarani d'Oeste";2;-;2
"351810 Guarantã";2;-;2
"351820 Guararapes";2;7;9
"351830 Guararema";5;2;7
"351840 Guaratinguetá";16;37;53
"351850 Guareí";4;-;4
"351860 Guariba";15;2;17
"351870 Guarujá";45;20;65
"351880 Guarulhos";145;123;268
"351885 Guatapará";1;-;1
"351890 Guzolândia";2;-;2
"351900 Herculândia";3;-;3
"351905 Holambra";1;1;2
"351907 Hortolândia";26;8;34
"351910 Iacanga";3;2;5
"351920 Iacri";2;-;2
"351925 Iaras";9;-;9
"351930 Ibaté";2;2;4
"351940 Ibirá";2;-;2
"351950 Ibirarema";1;-;1
"351960 Ibitinga";4;5;9
"351970 Ibiúna";7;6;13
"351980 Icém";3;-;3
"351990 Iepê";1;-;1
"352000 Igaraçu do Tietê";2;5;7
"352010 Igarapava";5;8;13
"352020 Igaratá";2;-;2
"352030 Iguape";2;1;3
"352042 Ilha Comprida";1;-;1
"352044 Ilha Solteira";7;11;18
"352040 Ilhabela";8;2;10
"352050 Indaiatuba";38;39;77
"352060 Indiana";1;-;1
"352070 Indiaporã";2;-;2
"352080 Inúbia Paulista";1;-;1
"352090 Ipaussu";3;-;3
"352100 Iperó";8;2;10
"352110 Ipeúna";2;-;2
"352115 Ipiguá";1;-;1
"352120 Iporanga";1;-;1
"352130 Ipuã";7;-;7
"352140 Iracemápolis";5;-;5
"352150 Irapuã";1;-;1
"352160 Irapuru";8;-;8
"352170 Itaberá";2;-;2
"352180 Itaí";4;1;5
"352190 Itajobi";2;-;2
"352200 Itaju";1;-;1
"352210 Itanhaém";22;4;26
"352220 Itapecerica da Serra";16;15;31
"352230 Itapetininga";47;24;71
"352240 Itapeva";8;22;30
"352250 Itapevi";14;6;20
"352260 Itapira";20;20;40
"352270 Itápolis";13;2;15
"352280 Itaporanga";2;-;2
"352290 Itapuí";2;-;2
"352300 Itapura";1;-;1
"352310 Itaquaquecetuba";16;-;16
"352320 Itararé";4;3;7
"352330 Itariri";2;-;2
"352340 Itatiba";20;16;36
"352350 Itatinga";1;2;3
"352360 Itirapina";8;-;8
"352370 Itirapuã";2;-;2
"352380 Itobi";1;-;1
"352390 Itu";23;42;65
"352400 Itupeva";14;3;17
"352410 Ituverava";14;8;22
"352430 Jaboticabal";21;8;29
"352440 Jacareí";50;58;108
"352450 Jaci";10;1;11
"352460 Jacupiranga";-;3;3
"352470 Jaguariúna";13;13;26
"352480 Jales";11;25;36
"352500 Jandira";6;6;12
"352510 Jardinópolis";10;1;11
"352520 Jarinu";4;3;7
"352530 Jaú";30;33;63
"352540 Jeriquara";1;-;1
"352550 Joanópolis";2;1;3
"352560 João Ramalho";1;-;1
"352570 José Bonifácio";3;2;5
"352580 Júlio Mesquita";1;1;2
"352590 Jundiaí";85;197;282
"352600 Junqueirópolis";5;3;8
"352610 Juquiá";3;1;4
"352620 Juquitiba";6;-;6
"352630 Lagoinha";1;-;1
"352640 Laranjal Paulista";4;5;9
"352650 Lavínia";5;-;5
"352660 Lavrinhas";1;-;1
"352670 Leme";15;15;30
"352680 Lençóis Paulista";11;12;23
"352690 Limeira";53;44;97
"352700 Lindóia";2;-;2
"352710 Lins";20;44;64
"352720 Lorena";10;19;29
"352725 Lourdes";1;-;1
"352730 Louveira";10;5;15
"352740 Lucélia";8;2;10
"352760 Luís Antônio";3;1;4
"352770 Luiziânia";1;-;1
"352790 Lutécia";2;-;2
"352800 Macatuba";5;1;6
"352810 Macaubal";2;-;2
"352820 Macedônia";1;-;1
"352830 Magda";1;-;1
"352840 Mairinque";6;2;8
"352850 Mairiporã";13;9;22
"352860 Manduri";1;-;1
"352870 Marabá Paulista";3;-;3
"352880 Maracaí";7;1;8
"352885 Marapoama";1;-;1
"352900 Marília";94;71;165
"352910 Marinópolis";1;-;1
"352920 Martinópolis";16;2;18
"352930 Matão";26;16;42
"352940 Mauá";64;21;85
"352950 Mendonça";1;-;1
"352960 Meridiano";1;-;1
"352965 Mesópolis";1;-;1
"352970 Miguelópolis";7;-;7
"352980 Mineiros do Tietê";1;-;1
"353000 Mira Estrela";3;-;3
"352990 Miracatu";3;-;3
"353010 Mirandópolis";6;3;9
"353020 Mirante do Paranapanema";2;2;4
"353030 Mirassol";17;15;32
"353050 Mococa";16;38;54
"353060 Mogi das Cruzes";43;35;78
"353070 Mogi Guaçu";14;17;31
"353080 Mogi Mirim";28;12;40
"353090 Mombuca";1;-;1
"353100 Monções";2;-;2
"353110 Mongaguá";6;1;7
"353120 Monte Alegre do Sul";1;2;3
"353130 Monte Alto";11;33;44
"353140 Monte Aprazível";2;2;4
"353150 Monte Azul Paulista";1;5;6
"353160 Monte Castelo";1;-;1
"353180 Monte Mor";7;-;7
"353170 Monteiro Lobato";1;-;1
"353190 Morro Agudo";10;5;15
"353200 Morungaba";6;-;6
"353210 Murutinga do Sul";-;1;1
"353215 Nantes";1;-;1
"353220 Narandiba";1;-;1
"353230 Natividade da Serra";1;-;1
"353240 Nazaré Paulista";2;2;4
"353250 Neves Paulista";1;-;1
"353260 Nhandeara";4;3;7
"353270 Nipoã";1;-;1
"353280 Nova Aliança";1;-;1
"353284 Nova Canaã Paulista";2;-;2
"353286 Nova Castilho";1;-;1
"353290 Nova Europa";1;-;1
"353300 Nova Granada";3;2;5
"353310 Nova Guataporanga";1;-;1
"353320 Nova Independência";1;-;1
"353340 Nova Odessa";4;8;12
"353325 Novais";1;-;1
"353350 Novo Horizonte";6;9;15
"353360 Nuporanga";2;1;3
"353370 Ocauçu";1;-;1
"353380 Óleo";1;-;1
"353390 Olímpia";10;11;21
"353400 Onda Verde";3;-;3
"353410 Oriente";1;2;3
"353420 Orindiúva";5;-;5
"353430 Orlândia";7;14;21
"353440 Osasco";58;153;211
"353450 Oscar Bressane";2;-;2
"353460 Osvaldo Cruz";10;3;13
"353470 Ourinhos";33;44;77
"353475 Ouroeste";4;3;7
"353490 Pacaembu";9;1;10
