"Município";"Federal";"Estadual";"Municipal";"Privada";"Total"
"355650 Várzea Paulista";-;-;19;13;32
"355660 Vera Cruz";-;-;4;9;13
"355670 Vinhedo";-;-;9;218;227
"355680 Viradouro";-;-;13;25;38
"355690 Vista Alegre do Alto";-;-;3;5;8
"355695 Vitória Brasil";-;-;2;-;2
"355700 Votorantim";-;-;26;46;72
"355710 Votuporanga";-;4;19;202;225
"355715 Zacarias";-;-;2;-;2
"Total";9;482;7535;45462;53488
&
"Município";"Federal";"Estadual";"Municipal";"Privada";"Total"
"350010 Adamantina";-;1;9;82;92
"350020 Adolfo";-;-;2;2;4
"350030 Aguaí";-;-;12;27;39
"350040 Águas da Prata";-;-;3;3;6
"350050 Águas de Lindóia";-;-;8;20;28
"350055 Águas de Santa Bárbara";-;-;2;4;6
"350060 Águas de São Pedro";-;-;3;-;3
"350070 Agudos";-;-;8;19;27
"350075 Alambari";-;-;6;1;7
"350080 Alfredo Marcondes";-;-;1;-;1
"350090 Altair";-;-;3;2;5
"350100 Altinópolis";-;-;14;19;33
"350110 Alto Alegre";-;-;4;1;5
"350115 Alumínio";-;-;4;1;5
"350120 Álvares Florence";-;-;3;-;3
"350130 Álvares Machado";-;-;7;8;15
"350140 Álvaro de Carvalho";-;1;1;-;2
"350150 Alvinlândia";-;-;1;-;1
"350160 Americana";-;1;34;452;487
"350170 Américo Brasiliense";-;2;3;10;15
"350180 Américo de Campos";-;-;2;2;4
"350190 Amparo";-;-;24;177;201
"350200 Analândia";-;-;1;2;3
"350210 Andradina";-;2;11;85;98
"350220 Angatuba";-;-;8;7;15
"350230 Anhembi";-;-;3;2;5
"350240 Anhumas";-;-;2;-;2
"350250 Aparecida";-;-;14;14;28
"350260 Aparecida d'Oeste";-;-;2;2;4
"350270 Apiaí";-;-;14;21;35
"350275 Araçariguama";-;-;2;5;7
"350280 Araçatuba";-;10;56;371;437
"350290 Araçoiaba da Serra";-;-;6;2;8
"350300 Aramina";-;-;4;1;5
"350310 Arandu";-;-;4;1;5
"350315 Arapeí";-;-;3;1;4
"350320 Araraquara";-;10;61;422;493
"350330 Araras";-;-;30;252;282
"350335 Arco-Íris";-;-;1;-;1
"350340 Arealva";-;-;4;2;6
"350350 Areias";-;-;1;-;1
"350360 Areiópolis";-;-;6;12;18
"350370 Ariranha";-;-;4;3;7
"350380 Artur Nogueira";-;-;15;28;43
"350390 Arujá";-;-;10;23;33
"350395 Aspásia";-;-;2;-;2
"350400 Assis";-;3;28;192;223
"350410 Atibaia";-;-;22;208;230
"350420 Auriflama";-;-;3;10;13
"350430 Avaí";-;-;2;-;2
"350440 Avanhandava";-;1;8;4;13
"350450 Avaré";-;8;17;129;154
"350460 Bady Bassitt";-;-;4;3;7
"350470 Balbinos";-;2;1;-;3
"350480 Bálsamo";-;-;3;-;3
"350490 Bananal";-;-;5;1;6
"350500 Barão de Antonina";-;-;3;-;3
"350510 Barbosa";-;-;1;-;1
"350520 Bariri";-;-;7;30;37
"350530 Barra Bonita";-;-;5;51;56
"350535 Barra do Chapéu";-;-;3;-;3
"350540 Barra do Turvo";-;-;4;-;4
"350550 Barretos";-;5;27;156;188
"350560 Barrinha";-;-;6;7;13
"350570 Barueri";-;-;27;138;165
"350580 Bastos";-;-;11;11;22
"350590 Batatais";-;1;17;159;177
"350600 Bauru";-;16;67;448;531
"350610 Bebedouro";-;-;26;141;167
"350620 Bento de Abreu";-;-;3;-;3
"350630 Bernardino de Campos";-;-;4;5;9
"350635 Bertioga";-;-;11;13;24
"350640 Bilac";-;-;1;4;5
"350650 Birigui";-;-;14;82;96
"350660 Biritiba-Mirim";-;-;11;8;19
"350670 Boa Esperança do Sul";-;-;7;6;13
"350680 Bocaina";-;-;4;5;9
"350690 Bofete";-;-;2;-;2
"350700 Boituva";-;-;10;51;61
"350710 Bom Jesus dos Perdões";-;-;3;12;15
"350715 Bom Sucesso de Itararé";-;-;2;-;2
"350720 Borá";-;-;1;-;1
"350730 Boracéia";-;-;1;1;2
"350740 Borborema";-;-;7;16;23
"350745 Borebi";-;-;1;1;2
"350750 Botucatu";-;12;19;389;420
"350760 Bragança Paulista";-;2;48;203;253
"350770 Braúna";-;-;3;-;3
"350775 Brejo Alegre";-;-;2;-;2
"350780 Brodowski";-;-;7;12;19
"350790 Brotas";-;-;7;23;30
"350800 Buri";-;-;10;4;14
"350810 Buritama";-;-;7;4;11
"350820 Buritizal";-;-;3;1;4
"350830 Cabrália Paulista";-;-;3;-;3
"350840 Cabreúva";-;-;8;7;15
"350850 Caçapava";-;-;20;190;210
"350860 Cachoeira Paulista";-;-;17;26;43
"350870 Caconde";-;-;4;21;25
"350880 Cafelândia";-;-;4;27;31
"350890 Caiabu";-;-;2;-;2
"350900 Caieiras";-;-;17;24;41
"350910 Caiuá";-;-;4;-;4
"350920 Cajamar";-;-;14;23;37
"350925 Cajati";-;-;7;20;27
"350930 Cajobi";-;-;4;5;9
"350940 Cajuru";-;-;20;26;46
"350945 Campina do Monte Alegre";-;-;3;-;3
"350950 Campinas";-;7;105;1687;1799
"350960 Campo Limpo Paulista";-;-;14;24;38
"350970 Campos do Jordão";-;-;15;26;41
"350980 Campos Novos Paulista";-;-;1;-;1
"350990 Cananéia";-;-;5;-;5
"350995 Canas";-;-;1;-;1
"351000 Cândido Mota";-;-;9;43;52
"351010 Cândido Rodrigues";-;-;1;1;2
"351015 Canitar";-;-;1;-;1
"351020 Capão Bonito";-;-;18;21;39
"351030 Capela do Alto";-;-;5;1;6
"351040 Capivari";-;-;13;122;135
"351050 Caraguatatuba";-;3;31;84;118
"351060 Carapicuíba";-;2;23;40;65
"351070 Cardoso";-;-;7;8;15
"351080 Casa Branca";-;4;11;42;57
"351090 Cássia dos Coqueiros";-;-;4;-;4
"351100 Castilho";-;-;1;7;8
"351110 Catanduva";-;-;34;260;294
"351120 Catiguá";-;-;3;-;3
"351130 Cedral";-;-;4;6;10
"351140 Cerqueira César";-;-;6;7;13
"351150 Cerquilho";-;1;14;114;129
"351160 Cesário Lange";-;-;5;7;12
"351170 Charqueada";-;-;6;12;18
"355720 Chavantes";-;-;4;12;16
"351190 Clementina";-;-;1;3;4
"351200 Colina";-;-;9;34;43
"351210 Colômbia";-;-;5;3;8
"351220 Conchal";-;-;8;29;37
"351230 Conchas";-;-;12;30;42
"351240 Cordeirópolis";-;-;10;10;20
"351250 Coroados";-;-;2;-;2
"351260 Coronel Macedo";-;-;3;-;3
"351270 Corumbataí";-;-;2;-;2
"351280 Cosmópolis";-;-;21;43;64
"351290 Cosmorama";-;-;4;1;5
"351300 Cotia";-;1;37;46;84
"351310 Cravinhos";-;-;7;19;26
"351320 Cristais Paulista";-;-;5;5;10
"351330 Cruzália";-;-;3;1;4
"351340 Cruzeiro";-;-;32;198;230
"351350 Cubatão";-;-;29;116;145
"351360 Cunha";-;-;7;4;11
"351370 Descalvado";-;-;14;52;66
"351380 Diadema";-;2;34;92;128
"351385 Dirce Reis";-;-;2;-;2
"351390 Divinolândia";-;-;5;15;20
"351400 Dobrada";-;-;1;2;3
"351410 Dois Córregos";-;-;7;27;34
"351420 Dolcinópolis";-;-;3;-;3
"351430 Dourado";-;-;4;7;11
"351440 Dracena";-;1;9;122;132
"351450 Duartina";-;-;4;14;18
"351460 Dumont";-;-;1;-;1
"351470 Echaporã";-;-;3;-;3
"351480 Eldorado";-;-;6;1;7
"351490 Elias Fausto";-;-;3;1;4
"351492 Elisiário";-;-;2;-;2
"351495 Embaúba";-;-;1;-;1
"351500 Embu das Artes";-;-;22;12;34
"351510 Embu-Guaçu";-;-;9;5;14
"351512 Emilianópolis";-;-;1;-;1
"351515 Engenheiro Coelho";-;-;6;5;11
"351518 Espírito Santo do Pinhal";-;-;11;113;124
"351519 Espírito Santo do Turvo";-;-;3;-;3
"355730 Estiva Gerbi";-;-;4;4;8
"351520 Estrela d'Oeste";-;-;2;16;18
"351530 Estrela do Norte";-;-;1;-;1
"351535 Euclides da Cunha Paulista";-;-;4;1;5
"351540 Fartura";-;-;4;24;28
"351560 Fernando Prestes";-;-;3;-;3
"351550 Fernandópolis";-;2;29;216;247
"351565 Fernão";-;-;1;-;1
"351570 Ferraz de Vasconcelos";-;1;20;9;30
"351580 Flora Rica";-;-;1;-;1
"351590 Floreal";-;-;2;-;2
"351600 Flórida Paulista";-;1;4;4;9
"351610 Florínia";-;-;2;-;2
"351620 Franca";-;6;45;470;521
"351630 Francisco Morato";-;1;22;18;41
"351640 Franco da Rocha";-;13;23;25;61
"351650 Gabriel Monteiro";-;-;1;-;1
"351660 Gália";-;-;2;5;7
"351670 Garça";-;-;14;36;50
"351680 Gastão Vidigal";-;-;2;-;2
"351685 Gavião Peixoto";-;-;5;-;5
"351690 General Salgado";-;-;5;11;16
"351700 Getulina";-;1;3;12;16
"351710 Glicério";-;-;4;-;4
"351720 Guaiçara";-;-;6;6;12
"351730 Guaimbê";-;-;2;1;3
"351740 Guaíra";-;-;17;39;56
"351750 Guapiaçu";-;-;7;8;15
"351760 Guapiara";-;-;10;2;12
"351770 Guará";-;-;12;17;29
"351780 Guaraçaí";-;-;1;11;12
"351790 Guaraci";-;-;5;4;9
"351800 Guarani d'Oeste";-;-;2;-;2
"351810 Guarantã";-;-;1;1;2
"351820 Guararapes";-;-;5;25;30
"351830 Guararema";-;1;7;7;15
"351840 Guaratinguetá";-;1;24;161;186
"351850 Guareí";-;1;4;-;5
"351860 Guariba";-;-;10;17;27
"351870 Guarujá";-;-;42;173;215
"351880 Guarulhos";1;3;104;438;546
"351885 Guatapará";-;-;2;-;2
"351890 Guzolândia";-;-;2;-;2
"351900 Herculândia";-;-;5;2;7
"351905 Holambra";-;-;4;6;10
"351907 Hortolândia";-;4;33;37;74
"351910 Iacanga";-;-;2;7;9
"351920 Iacri";-;-;2;4;6
"351925 Iaras";-;1;5;-;6
"351930 Ibaté";-;-;11;13;24
"351940 Ibirá";-;-;5;5;10
"351950 Ibirarema";-;-;2;-;2
"351960 Ibitinga";-;-;12;92;104
"351970 Ibiúna";-;-;21;18;39
"351980 Icém";-;-;5;5;10
"351990 Iepê";-;-;5;3;8
"352000 Igaraçu do Tietê";-;-;3;3;6
"352010 Igarapava";-;-;7;32;39
"352020 Igaratá";-;-;4;-;4
"352030 Iguape";-;-;7;8;15
"352042 Ilha Comprida";-;-;5;1;6
"352044 Ilha Solteira";-;-;12;50;62
"352040 Ilhabela";-;-;11;5;16
"352050 Indaiatuba";-;1;29;252;282
"352060 Indiana";-;-;3;2;5
"352070 Indiaporã";-;-;3;2;5
"352080 Inúbia Paulista";-;-;1;-;1
"352090 Ipaussu";-;-;2;8;10
"352100 Iperó";-;1;6;3;10
"352110 Ipeúna";-;-;2;1;3
"352115 Ipiguá";-;-;3;-;3
"352120 Iporanga";-;-;2;-;2
"352130 Ipuã";-;-;8;20;28
"352140 Iracemápolis";-;-;13;5;18
"352150 Irapuã";-;-;3;-;3
"352160 Irapuru";-;-;4;1;5
"352170 Itaberá";-;-;10;3;13
"352180 Itaí";-;1;6;20;27
"352190 Itajobi";-;-;6;7;13
"352200 Itaju";-;-;1;-;1
"352210 Itanhaém";-;-;24;25;49
"352215 Itaóca";-;-;2;-;2
"352220 Itapecerica da Serra";-;3;16;20;39
"352230 Itapetininga";-;5;35;189;229
"352240 Itapeva";-;-;31;95;126
"352250 Itapevi";-;2;22;34;58
"352260 Itapira";-;-;21;126;147
"352265 Itapirapuã Paulista";-;-;3;-;3
"352270 Itápolis";-;-;8;65;73
"352280 Itaporanga";-;-;5;3;8
"352290 Itapuí";-;-;4;3;7
"352300 Itapura";-;-;1;-;1
"352310 Itaquaquecetuba";-;1;24;15;40
"352320 Itararé";-;-;18;49;67
"352330 Itariri";-;-;4;1;5
"352340 Itatiba";-;-;25;71;96
"352350 Itatinga";-;-;2;14;16
"352360 Itirapina";-;2;7;18;27
"352370 Itirapuã";-;-;3;-;3
"352380 Itobi";-;-;2;1;3
"352390 Itu";-;2;41;159;202
"352400 Itupeva";-;-;23;30;53
"352410 Ituverava";-;-;15;110;125
"352420 Jaborandi";-;-;2;3;5
"352430 Jaboticabal";-;-;16;85;101
"352440 Jacareí";-;-;27;313;340
"352450 Jaci";-;-;4;6;10
"352460 Jacupiranga";-;-;7;6;13
"352470 Jaguariúna";-;-;15;40;55
"352480 Jales";-;5;11;131;147
"352490 Jambeiro";-;-;2;-;2
"352500 Jandira";-;-;18;14;32
"352510 Jardinópolis";-;-;14;15;29
"352520 Jarinu";-;-;6;6;12
"352530 Jaú";-;3;26;297;326
"352540 Jeriquara";-;-;1;-;1
"352550 Joanópolis";-;-;2;4;6
"352560 João Ramalho";-;-;1;-;1
"352570 José Bonifácio";-;-;11;21;32
"352580 Júlio Mesquita";-;-;1;-;1
"352585 Jumirim";-;-;2;2;4
"352590 Jundiaí";-;1;57;1188;1246
"352600 Junqueirópolis";-;-;7;9;16
"352610 Juquiá";-;-;9;2;11
"352620 Juquitiba";-;-;9;3;12
"352630 Lagoinha";-;-;3;-;3
"352640 Laranjal Paulista";-;-;14;48;62
"352650 Lavínia";-;-;5;-;5
"352660 Lavrinhas";-;-;4;-;4
"352670 Leme";-;-;27;122;149
"352680 Lençóis Paulista";-;-;16;116;132
"352690 Limeira";-;3;34;348;385
"352700 Lindóia";-;-;6;4;10
"352710 Lins";-;3;21;266;290
"352720 Lorena";-;-;23;151;174
"352725 Lourdes";-;-;2;-;2
"352730 Louveira";-;-;6;15;21
"352740 Lucélia";-;1;4;16;21
"352750 Lucianópolis";-;-;1;-;1
"352760 Luís Antônio";-;-;5;6;11
"352770 Luiziânia";-;-;1;4;5
"352780 Lupércio";-;-;2;-;2
"352790 Lutécia";-;-;1;-;1
"352800 Macatuba";-;-;8;8;16
"352810 Macaubal";-;-;2;7;9
"352820 Macedônia";-;-;2;2;4
"352830 Magda";-;-;2;-;2
"352840 Mairinque";-;-;25;16;41
"352850 Mairiporã";-;-;21;21;42
"352860 Manduri";-;-;4;6;10
"352870 Marabá Paulista";-;-;3;-;3
"352880 Maracaí";-;-;7;5;12
"352885 Marapoama";-;-;2;-;2
"352890 Mariápolis";-;-;1;-;1
"352900 Marília";-;5;64;481;550
"352910 Marinópolis";-;-;2;-;2
"352920 Martinópolis";-;-;12;14;26
"352930 Matão";-;1;21;110;132
"352940 Mauá";-;1;42;164;207
"352950 Mendonça";-;-;2;-;2
"352960 Meridiano";-;-;4;-;4
"352965 Mesópolis";-;-;2;-;2
"352970 Miguelópolis";-;-;10;18;28
"352980 Mineiros do Tietê";-;-;4;4;8
"353000 Mira Estrela";-;-;2;-;2
"352990 Miracatu";-;-;7;3;10
"353010 Mirandópolis";-;1;17;28;46
"353020 Mirante do Paranapanema";-;-;7;10;17
"353030 Mirassol";-;-;13;47;60
"353040 Mirassolândia";-;-;2;-;2
"353050 Mococa";-;2;20;129;151
"353060 Mogi das Cruzes";-;6;45;268;319
"353070 Mogi Guaçu";-;-;27;241;268
"353080 Mogi Mirim";-;1;24;144;169
"353090 Mombuca";-;-;2;-;2
"353100 Monções";-;-;4;-;4
"353110 Mongaguá";-;1;15;10;26
"353120 Monte Alegre do Sul";-;-;5;3;8
"353130 Monte Alto";-;-;18;148;166
"353140 Monte Aprazível";-;-;10;19;29
"353150 Monte Azul Paulista";-;-;4;17;21
"353160 Monte Castelo";-;-;1;-;1
"353180 Monte Mor";-;-;19;26;45
"353170 Monteiro Lobato";-;-;3;2;5
"353190 Morro Agudo";-;-;15;40;55
"353200 Morungaba";-;-;7;4;11
"353205 Motuca";-;-;4;1;5
"353210 Murutinga do Sul";-;-;1;3;4
"353215 Nantes";-;-;2;-;2
"353220 Narandiba";-;-;2;-;2
"353230 Natividade da Serra";-;-;3;-;3
"353240 Nazaré Paulista";-;-;2;3;5
"353250 Neves Paulista";-;-;5;7;12
"353260 Nhandeara";-;-;5;22;27
"353270 Nipoã";-;-;2;-;2
"353280 Nova Aliança";-;-;3;1;4
"353282 Nova Campina";-;-;3;-;3
"353284 Nova Canaã Paulista";-;-;3;-;3
"353286 Nova Castilho";-;-;1;-;1
"353290 Nova Europa";-;-;6;4;10
"353300 Nova Granada";-;-;6;7;13
"353310 Nova Guataporanga";-;-;1;-;1
"353320 Nova Independência";-;-;1;3;4
"353330 Nova Luzitânia";-;-;1;-;1
"353340 Nova Odessa";-;-;8;40;48
"353325 Novais";-;-;2;-;2
"353350 Novo Horizonte";-;-;10;41;51
"353360 Nuporanga";-;-;6;13;19
"353370 Ocauçu";-;-;2;-;2
"353380 Óleo";-;-;4;-;4
"353390 Olímpia";-;1;13;63;77
"353400 Onda Verde";-;-;4;-;4
"353410 Oriente";-;-;2;6;8
"353420 Orindiúva";-;-;2;4;6
"353430 Orlândia";-;1;16;102;119
"353440 Osasco";-;7;62;535;604
"353450 Oscar Bressane";-;-;1;-;1
"353460 Osvaldo Cruz";-;2;10;38;50
"353470 Ourinhos";-;-;27;271;298
"353480 Ouro Verde";-;-;3;1;4
"353475 Ouroeste";-;-;4;5;9
"353490 Pacaembu";-;2;4;11;17
"353500 Palestina";-;-;4;7;11
"353510 Palmares Paulista";-;-;3;3;6
"353520 Palmeira d'Oeste";-;-;6;7;13
"353530 Palmital";-;-;8;18;26
"353540 Panorama";-;-;4;6;10
"353550 Paraguaçu Paulista";-;1;16;49;66
"353560 Paraibuna";-;-;6;5;11
"353570 Paraíso";-;-;2;2;4
"353580 Paranapanema";-;-;4;3;7
"353590 Paranapuã";-;-;2;-;2
"353600 Parapuã";-;-;4;1;5
"353610 Pardinho";-;-;2;1;3
"353620 Pariquera-Açu";-;-;10;5;15
"353625 Parisi";-;-;2;-;2
"353630 Patrocínio Paulista";-;-;6;3;9
"353640 Paulicéia";-;-;2;1;3
"353650 Paulínia";-;-;22;86;108
"353657 Paulistânia";-;-;1;-;1
"353660 Paulo de Faria";-;-;2;3;5
"353670 Pederneiras";-;-;14;38;52
"353680 Pedra Bela";-;-;1;-;1
"353690 Pedranópolis";-;-;4;-;4
"353700 Pedregulho";-;-;9;8;17
"353710 Pedreira";-;-;11;22;33
"353715 Pedrinhas Paulista";-;-;4;4;8
"353720 Pedro de Toledo";-;-;4;1;5
"353730 Penápolis";-;-;20;128;148
"353740 Pereira Barreto";-;-;10;22;32
"353750 Pereiras";-;-;5;3;8
"353760 Peruíbe";-;-;18;22;40
"353770 Piacatu";-;-;1;-;1
"353780 Piedade";-;-;11;21;32
"353790 Pilar do Sul";-;-;10;6;16
"353800 Pindamonhangaba";-;-;30;190;220
"353810 Pindorama";-;-;8;5;13
"353820 Pinhalzinho";-;-;4;2;6
"353830 Piquerobi";-;-;1;-;1
"353850 Piquete";-;-;-;1;1
"353860 Piracaia";-;-;4;6;10
"353870 Piracicaba";-;7;78;638;723
"353880 Piraju";-;1;12;55;68
"353890 Pirajuí";-;2;8;27;37
"353900 Pirangi";-;-;5;9;14
"353910 Pirapora do Bom Jesus";-;-;6;1;7
"353920 Pirapozinho";-;-;9;13;22
"353930 Pirassununga";1;-;27;128;156
"353940 Piratininga";-;-;4;1;5
"353950 Pitangueiras";-;-;13;40;53
"353960 Planalto";-;-;2;-;2
"353970 Platina";-;-;1;-;1
"353980 Poá";-;-;26;18;44
"353990 Poloni";-;-;3;3;6
"354000 Pompéia";-;-;11;59;70
"354010 Pongaí";-;-;1;1;2
"354020 Pontal";-;-;13;26;39
"354025 Pontalinda";-;-;2;-;2
"354030 Pontes Gestal";-;-;2;-;2
"354040 Populina";-;-;2;1;3
"354050 Porangaba";-;-;3;6;9
"354060 Porto Feliz";-;-;15;42;57
"354070 Porto Ferreira";-;-;13;103;116
"354075 Potim";-;-;4;-;4
"354080 Potirendaba";-;-;7;9;16
"354085 Pracinha";-;1;1;-;2
"354090 Pradópolis";-;-;6;7;13
"354100 Praia Grande";-;1;35;90;126
"354105 Pratânia";-;-;2;2;4
"354110 Presidente Alves";-;-;2;-;2
"354120 Presidente Bernardes";-;2;7;13;22
"354130 Presidente Epitácio";-;-;12;25;37
"354140 Presidente Prudente";-;12;34;532;578
"354150 Presidente Venceslau";-;-;12;39;51
"354160 Promissão";-;1;17;36;54
"354165 Quadra";-;-;2;-;2
"354170 Quatá";-;-;6;12;18
"354180 Queiroz";-;-;1;-;1
"354190 Queluz";-;-;7;-;7
"354200 Quintana";-;-;4;1;5
"354210 Rafard";-;-;3;-;3
"354220 Rancharia";-;-;7;32;39
"354230 Redenção da Serra";-;-;3;1;4
"354240 Regente Feijó";-;-;10;6;16
"354250 Reginópolis";-;2;2;2;6
"354260 Registro";-;2;18;71;91
"354270 Restinga";-;-;3;-;3
"354280 Ribeira";-;-;4;-;4
"354290 Ribeirão Bonito";-;-;6;18;24
"354300 Ribeirão Branco";-;-;8;1;9
"354310 Ribeirão Corrente";-;-;3;-;3
"354320 Ribeirão do Sul";-;-;1;-;1
"354323 Ribeirão dos Índios";-;-;1;-;1
"354325 Ribeirão Grande";-;-;2;2;4
"354330 Ribeirão Pires";-;-;18;72;90
"354340 Ribeirão Preto";-;14;112;1155;1281
"354360 Rifaina";-;-;1;-;1
"354370 Rincão";-;-;4;5;9
"354380 Rinópolis";-;-;4;4;8
"354390 Rio Claro";-;4;33;277;314
"354400 Rio das Pedras";-;-;8;60;68
"354410 Rio Grande da Serra";-;-;10;5;15
"354420 Riolândia";-;1;3;2;6
"354350 Riversul";-;-;3;1;4
"354425 Rosana";-;1;11;23;35
"354430 Roseira";-;-;5;1;6
"354440 Rubiácea";-;-;2;-;2
"354450 Rubinéia";-;-;3;-;3
"354460 Sabino";-;-;2;3;5
"354470 Sagres";-;-;1;-;1
"354480 Sales";-;-;2;-;2
"354490 Sales Oliveira";-;-;6;22;28
"354500 Salesópolis";-;-;7;2;9
"354510 Salmourão";-;-;1;-;1
"354515 Saltinho";-;-;1;2;3
"354520 Salto";-;-;18;91;109
"354530 Salto de Pirapora";-;-;10;38;48
"354540 Salto Grande";-;-;1;1;2
"354550 Sandovalina";-;-;2;-;2
"354560 Santa Adélia";-;-;7;15;22
"354570 Santa Albertina";-;-;3;2;5
"354580 Santa Bárbara d'Oeste";-;2;19;164;185
"354600 Santa Branca";-;-;2;4;6
"354610 Santa Clara d'Oeste";-;-;3;-;3
"354620 Santa Cruz da Conceição";-;-;4;-;4
"354625 Santa Cruz da Esperança";-;-;1;-;1
"354630 Santa Cruz das Palmeiras";-;-;5;51;56
"354640 Santa Cruz do Rio Pardo";-;-;15;103;118
"354650 Santa Ernestina";-;-;1;-;1
"354660 Santa Fé do Sul";-;2;16;60;78
"354670 Santa Gertrudes";-;-;12;33;45
"354680 Santa Isabel";-;-;17;9;26
"354690 Santa Lúcia";-;-;4;2;6
"354700 Santa Maria da Serra";-;-;2;1;3
"354710 Santa Mercedes";-;-;2;-;2
"354740 Santa Rita d'Oeste";-;-;2;-;2
"354750 Santa Rita do Passa Quatro";-;3;9;54;66
"354760 Santa Rosa de Viterbo";-;-;8;41;49
"354765 Santa Salete";-;-;2;-;2
"354720 Santana da Ponte Pensa";-;-;2;-;2
"354730 Santana de Parnaíba";-;-;20;10;30
"354770 Santo Anastácio";-;-;5;27;32
"354780 Santo André";-;5;60;647;712
"354790 Santo Antônio da Alegria";-;-;7;1;8
"354800 Santo Antônio de Posse";-;-;10;9;19
"354805 Santo Antônio do Aracanguá";-;-;3;-;3
"354810 Santo Antônio do Jardim";-;-;1;-;1
"354820 Santo Antônio do Pinhal";-;-;4;1;5
"354830 Santo Expedito";-;-;1;-;1
"354840 Santópolis do Aguapeí";-;-;1;-;1
"354850 Santos";-;7;73;1175;1255
"354860 São Bento do Sapucaí";-;-;4;4;8
"354870 São Bernardo do Campo";-;-;65;607;672
"354880 São Caetano do Sul";-;-;35;479;514
"354890 São Carlos";1;1;39;278;319
"354900 São Francisco";-;-;2;-;2
"354910 São João da Boa Vista";-;4;25;313;342
"354920 São João das Duas Pontes";-;-;3;-;3
"354925 São João de Iracema";-;-;2;-;2
"354930 São João do Pau d'Alho";-;-;1;2;3
"354940 São Joaquim da Barra";-;-;18;116;134
"354950 São José da Bela Vista";-;-;3;4;7
"354960 São José do Barreiro";-;-;3;-;3
"354970 São José do Rio Pardo";-;-;16;94;110
"354980 São José do Rio Preto";-;9;57;599;665
"354990 São José dos Campos";1;6;68;1140;1215
"354995 São Lourenço da Serra";-;-;5;-;5
"355000 São Luís do Paraitinga";-;-;4;3;7
"355010 São Manuel";-;-;9;49;58
"355020 São Miguel Arcanjo";-;-;15;25;40
"355030 São Paulo";5;145;843;11110;12103
"355040 São Pedro";-;-;6;55;61
"355050 São Pedro do Turvo";-;-;3;1;4
"355060 São Roque";-;-;16;160;176
"355070 São Sebastião";-;-;26;100;126
"355080 São Sebastião da Grama";-;-;9;16;25
"355090 São Simão";-;-;8;22;30
"355100 São Vicente";-;-;59;176;235
"355110 Sarapuí";-;-;5;-;5
"355120 Sarutaiá";-;-;1;-;1
"355130 Sebastianópolis do Sul";-;-;2;1;3
"355140 Serra Azul";-;2;3;2;7
"355160 Serra Negra";-;-;12;41;53
"355150 Serrana";-;-;11;12;23
"355170 Sertãozinho";-;-;17;173;190
"355180 Sete Barras";-;-;5;-;5
"355190 Severínia";-;-;4;4;8
"355200 Silveiras";-;-;3;1;4
"355210 Socorro";-;-;16;26;42
"355220 Sorocaba";-;7;58;472;537
"355230 Sud Mennucci";-;-;6;2;8
"355240 Sumaré";-;2;36;115;153
"355255 Suzanápolis";-;-;1;-;1
"355250 Suzano";-;1;31;116;148
"355260 Tabapuã";-;-;4;5;9
"355270 Tabatinga";-;-;6;33;39
"355280 Taboão da Serra";-;1;28;65;94
"355290 Taciba";-;-;4;-;4
"355300 Taguaí";-;-;1;8;9
"355310 Taiaçu";-;-;1;6;7
"355320 Taiúva";-;-;3;7;10
"355330 Tambaú";-;-;9;31;40
"355340 Tanabi";-;-;11;20;31
"355350 Tapiraí";-;-;3;-;3
"355360 Tapiratiba";-;-;5;4;9
"355365 Taquaral";-;-;1;-;1
"355370 Taquaritinga";-;-;19;103;122
"355380 Taquarituba";-;-;6;5;11
"355385 Taquarivaí";-;-;3;-;3
"355390 Tarabai";-;-;2;-;2
"355395 Tarumã";-;-;10;1;11
"355400 Tatuí";-;-;32;269;301
"355410 Taubaté";-;4;70;483;557
"355420 Tejupá";-;-;4;-;4
"355430 Teodoro Sampaio";-;-;11;13;24
"355440 Terra Roxa";-;-;6;6;12
"355450 Tietê";-;-;13;85;98
"355460 Timburi";-;-;1;-;1
"355465 Torre de Pedra";-;-;1;-;1
"355470 Torrinha";-;-;2;2;4
"355475 Trabiju";-;-;2;-;2
"355480 Tremembé";-;-;10;14;24
"355490 Três Fronteiras";-;-;3;-;3
"355495 Tuiuti";-;-;2;1;3
"355500 Tupã";-;-;18;98;116
"355510 Tupi Paulista";-;-;7;19;26
"355520 Turiúba";-;-;1;-;1
"355530 Turmalina";-;-;3;-;3
"355535 Ubarana";-;-;2;-;2
"355540 Ubatuba";-;-;25;33;58
"355550 Ubirajara";-;-;1;1;2
"355560 Uchoa";-;-;4;4;8
"355570 União Paulista";-;-;2;-;2
"355580 Urânia";-;-;3;2;5
"355590 Uru";-;-;1;-;1
"355600 Urupês";-;-;5;4;9
"355610 Valentim Gentil";-;-;3;2;5
"355620 Valinhos";-;-;24;240;264
"355630 Valparaíso";-;1;6;13;20
"355635 Vargem";-;-;1;-;1
"355640 Vargem Grande do Sul";-;-;10;63;73
"355645 Vargem Grande Paulista";-;-;12;6;18
"355650 Várzea Paulista";-;-;19;12;31
"355660 Vera Cruz";-;-;3;9;12
"355670 Vinhedo";-;-;9;212;221
"355680 Viradouro";-;-;13;23;36
"355690 Vista Alegre do Alto";-;-;3;4;7
"355695 Vitória Brasil";-;-;2;-;2
"355700 Votorantim";-;-;30;42;72
