"Município";"101-5 Órgão Público do Poder Executivo Federal";"102-3 Órgão Público do Poder Executivo Estadual ou do Distrito Federal";"103-1 Órgão Público do Poder Executivo Municipal";"105-8 Órgão Público do Poder Legislativo Estadual ou do Distrito Federal";"110-4 Autarquia Federal";"111-2 Autarquia Estadual ou do Distrito Federal";"112-0 Autarquia Municipal";"113-9 Fundação Pública de Direito Público Federal";"114-7 Fundação Pública de Direito Público Estadual ou do Distrito Federal";"115-5 Fundação Pública de Direito Público Municipal";"121-0 Consórcio Público de Direito Público (Associação Pública)";"124-4 Município";"127-9 Fundação Pública de Direito Privado Municipal";"201-1 Empresa Pública";"203-8 Sociedade de Economia Mista";"204-6 Sociedade Anônima Aberta";"205-4 Sociedade Anônima Fechada";"206-2 Sociedade Empresária Limitada";"212-7 Sociedade em Conta de Participação";"213-5 Empresário (Individual)";"214-3 Cooperativa";"215-1 Consórcio de Sociedades";"221-6 Empresa Domiciliada no Exterior";"223-2 Sociedade Simples Pura";"224-0 Sociedade Simples Limitada";"225-9 Sociedade Simples em Nome Coletivo";"230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)";"231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples)";"306-9 Fundação Privada";"307-7 Serviço Social Autônomo";"308-5 Condomínio Edilício";"313-1 Entidade Sindical";"322-0 Organização Religiosa";"399-9 Associação Privada";"401-4 Empresa Individual Imobiliária";"Total"
"354790 Santo Antônio da Alegria";-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;18
"354800 Santo Antônio de Posse";-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;17
"354805 Santo Antônio do Aracanguá";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354810 Santo Antônio do Jardim";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"354820 Santo Antônio do Pinhal";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"354830 Santo Expedito";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354840 Santópolis do Aguapeí";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4
"354850 Santos";-;8;-;-;-;1;-;-;-;-;-;78;-;-;-;2;9;237;-;23;7;-;-;6;163;-;22;2;-;-;-;8;-;17;-;583
"354860 São Bento do Sapucaí";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;1;-;13
"354870 São Bernardo do Campo";-;1;-;-;-;-;1;-;-;-;-;96;-;-;-;11;30;172;-;20;1;-;-;15;269;-;14;15;1;1;-;-;-;16;-;663
"354880 São Caetano do Sul";-;-;-;-;-;-;1;-;-;-;-;43;-;-;-;4;7;117;-;12;-;-;-;9;194;-;10;11;1;-;-;1;-;7;-;417
"354890 São Carlos";-;2;-;-;-;-;-;1;1;-;-;56;-;1;-;-;-;59;-;10;3;-;-;137;41;-;6;12;-;-;-;1;-;5;-;335
"354900 São Francisco";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354910 São João da Boa Vista";-;4;-;-;-;1;2;-;-;-;-;31;-;-;-;-;-;75;-;16;3;-;-;3;14;-;9;-;-;-;-;3;-;8;-;169
"354920 São João das Duas Pontes";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354925 São João de Iracema";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354930 São João do Pau d'Alho";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354940 São Joaquim da Barra";-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;36;-;39;-;-;-;17;7;-;1;1;-;-;-;-;-;2;-;123
"354950 São José da Bela Vista";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"354960 São José do Barreiro";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"354970 São José do Rio Pardo";-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;32;-;12;3;-;-;20;22;-;6;1;-;-;-;-;-;3;-;120
"354980 São José do Rio Preto";-;12;-;-;-;2;-;-;1;-;-;73;-;-;-;1;-;333;-;30;7;-;-;29;225;-;26;6;2;-;-;-;-;14;-;761
"354990 São José dos Campos";1;7;-;-;-;2;-;-;-;-;-;81;1;-;1;10;7;235;-;24;5;-;-;27;332;-;24;6;1;1;-;-;-;28;-;793
"354995 São Lourenço da Serra";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;10
"355000 São Luís do Paraitinga";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;8
"355010 São Manuel";-;-;1;-;-;-;-;-;-;-;-;11;-;-;-;-;1;14;-;4;-;-;-;-;1;-;1;-;-;-;-;-;-;2;-;35
"355020 São Miguel Arcanjo";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;8;-;5;-;-;-;-;1;-;-;-;-;-;-;-;-;3;-;29
"355030 São Paulo";2;90;1046;1;2;7;1;10;23;-;-;-;-;2;1;219;188;3031;-;501;19;-;-;1282;4844;-;433;333;20;4;-;7;1;250;-;12317
"355040 São Pedro";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;9;-;1;1;-;-;-;1;-;1;-;-;-;-;-;-;4;-;29
"355050 São Pedro do Turvo";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"355060 São Roque";-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;31;-;14;4;-;-;15;15;-;7;2;-;-;-;-;-;10;-;117
"355070 São Sebastião";-;-;-;-;-;-;-;-;-;-;-;48;1;-;-;-;2;21;-;7;-;1;-;-;10;-;-;2;-;-;-;-;-;2;-;94
"355080 São Sebastião da Grama";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;13
"355090 São Simão";-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;2;-;1;-;-;-;2;2;-;-;-;-;-;-;-;-;2;-;20
"355100 São Vicente";-;4;-;-;-;1;-;-;-;-;-;65;-;-;-;-;5;45;-;6;-;-;-;-;18;-;1;1;1;-;-;-;-;5;-;152
"355110 Sarapuí";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;8
"355120 Sarutaiá";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355130 Sebastianópolis do Sul";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355140 Serra Azul";-;3;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"355160 Serra Negra";-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;16;-;3;1;-;-;4;1;-;2;-;-;-;-;-;-;1;-;44
"355150 Serrana";-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;1;8;-;1;-;-;-;1;3;-;2;-;-;-;-;-;-;2;-;36
"355170 Sertãozinho";-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;1;55;-;17;1;-;-;7;60;-;9;3;-;1;-;-;-;2;-;182
"355180 Sete Barras";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"355190 Severínia";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;3;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;13
"355200 Silveiras";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"355210 Socorro";-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;7;-;2;-;-;-;1;-;-;1;-;-;-;-;-;-;2;-;33
"355220 Sorocaba";-;11;-;-;-;1;1;-;2;-;-;71;-;-;-;-;11;300;-;35;3;-;-;5;111;-;20;2;2;1;-;-;-;30;-;606
"355230 Sud Mennucci";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;6
"355240 Sumaré";-;2;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;45;-;6;1;-;-;2;15;-;5;1;-;-;-;-;-;6;-;123
"355255 Suzanápolis";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4
"355250 Suzano";-;-;-;-;-;-;-;-;-;-;-;51;-;-;-;2;3;61;-;4;-;-;-;1;40;-;5;1;-;-;-;-;-;3;-;171
"355260 Tabapuã";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;12
"355270 Tabatinga";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;8;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;20
"355280 Taboão da Serra";-;2;-;-;-;-;-;-;-;-;-;39;-;-;-;1;3;21;-;6;-;-;-;1;21;-;6;-;-;-;-;-;-;1;-;101
"355290 Taciba";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"355300 Taguaí";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;10
"355310 Taiaçu";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;8
"355320 Taiúva";-;1;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;4;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;13
"355330 Tambaú";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;11;-;3;-;-;-;-;3;-;1;-;-;-;-;-;-;3;-;36
"355340 Tanabi";-;-;-;-;-;-;-;-;1;-;-;13;-;-;-;-;-;11;-;3;-;-;-;-;4;-;1;-;-;-;-;-;-;2;-;35
"355350 Tapiraí";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;9
"355360 Tapiratiba";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;3;-;14
"355365 Taquaral";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355370 Taquaritinga";-;1;-;-;-;-;-;-;1;-;-;20;-;-;-;-;-;6;-;3;1;-;-;11;15;-;2;3;-;-;-;1;-;5;-;69
"355380 Taquarituba";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;16
"355385 Taquarivaí";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"355390 Tarabai";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"355395 Tarumã";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;3;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;18
"355400 Tatuí";-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;60;-;8;6;-;-;-;8;-;5;-;-;-;-;1;-;5;-;130
"355410 Taubaté";-;6;-;-;-;-;-;-;1;-;-;78;-;-;-;-;1;232;-;13;1;-;-;2;41;-;9;-;-;1;-;-;-;6;-;391
"355420 Tejupá";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355430 Teodoro Sampaio";-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;2;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;3;-;22
"355440 Terra Roxa";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;12
"355450 Tietê";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;16;-;4;2;-;-;-;12;-;2;-;-;-;-;1;-;1;-;51
"355460 Timburi";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355465 Torre de Pedra";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355470 Torrinha";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4
"355475 Trabiju";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355480 Tremembé";-;5;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;7;-;1;-;-;-;-;2;-;1;-;-;-;-;-;-;2;-;33
"355490 Três Fronteiras";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355495 Tuiuti";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"355500 Tupã";-;2;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;55;-;13;-;-;-;-;8;-;4;-;-;-;-;-;-;7;-;121
"355510 Tupi Paulista";-;2;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;16
"355520 Turiúba";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355530 Turmalina";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355535 Ubarana";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355540 Ubatuba";1;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;4;-;1;-;-;-;-;5;-;-;-;-;-;-;-;-;1;-;43
"355550 Ubirajara";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"355560 Uchoa";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;2;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;12
"355570 União Paulista";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355580 Urânia";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;8
"355590 Uru";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355600 Urupês";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;4;-;7;-;-;-;-;1;-;2;-;-;-;-;-;-;1;-;22
"355610 Valentim Gentil";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;11
"355620 Valinhos";-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;44;-;2;-;-;-;1;18;-;9;3;-;-;-;1;-;5;-;114
"355630 Valparaíso";-;2;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;4;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;20
"355635 Vargem";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355640 Vargem Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;4;-;1;-;-;-;-;6;-;2;-;-;-;-;-;-;4;-;35
"355645 Vargem Grande Paulista";-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;10;-;1;1;-;-;1;5;-;4;-;-;-;-;-;-;1;-;40
"355650 Várzea Paulista";-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;2;10;-;1;-;-;-;-;5;-;2;-;-;-;-;-;-;1;-;42
"355660 Vera Cruz";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;10
"355670 Vinhedo";-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;42;-;1;-;-;-;1;22;-;3;1;-;-;-;-;-;6;-;95
"355680 Viradouro";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;5;-;1;-;-;-;4;2;-;-;-;-;-;-;-;-;2;-;29
"355690 Vista Alegre do Alto";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"355695 Vitória Brasil";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355700 Votorantim";-;1;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;25;-;6;-;-;-;-;5;-;3;-;-;-;-;-;-;5;-;75
"355710 Votuporanga";-;2;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;71;-;5;2;-;-;1;10;-;7;-;-;-;-;-;-;6;-;140
"355715 Zacarias";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"Total";9;457;1130;1;3;44;36;11;56;47;14;8729;5;3;6;296;430;12293;1;2402;275;2;1;2762;10644;16;1368;582;84;35;3;64;3;1435;5;43252
&
