"Município";"101-5 Órgão Público do Poder Executivo Federal";"102-3 Órgão Público do Poder Executivo Estadual ou do Distrito Federal";"103-1 Órgão Público do Poder Executivo Municipal";"105-8 Órgão Público do Poder Legislativo Estadual ou do Distrito Federal";"110-4 Autarquia Federal";"111-2 Autarquia Estadual ou do Distrito Federal";"112-0 Autarquia Municipal";"113-9 Fundação Pública de Direito Público Federal";"114-7 Fundação Pública de Direito Público Estadual ou do Distrito Federal";"115-5 Fundação Pública de Direito Público Municipal";"121-0 Consórcio Público de Direito Público (Associação Pública)";"124-4 Município";"127-9 Fundação Pública de Direito Privado Municipal";"201-1 Empresa Pública";"203-8 Sociedade de Economia Mista";"204-6 Sociedade Anônima Aberta";"205-4 Sociedade Anônima Fechada";"206-2 Sociedade Empresária Limitada";"212-7 Sociedade em Conta de Participação";"213-5 Empresário (Individual)";"214-3 Cooperativa";"215-1 Consórcio de Sociedades";"221-6 Empresa Domiciliada no Exterior";"223-2 Sociedade Simples Pura";"224-0 Sociedade Simples Limitada";"225-9 Sociedade Simples em Nome Coletivo";"230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)";"231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples)";"232-1 Sociedade Unipessoal de Advogados";"306-9 Fundação Privada";"307-7 Serviço Social Autônomo";"308-5 Condomínio Edilício";"313-1 Entidade Sindical";"322-0 Organização Religiosa";"399-9 Associação Privada";"401-4 Empresa Individual Imobiliária";"Total"
"350150 Alvinlândia";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350160 Americana";-;2;-;-;-;-;-;-;-;2;-;33;-;-;-;-;5;130;-;18;7;-;-;11;44;-;24;-;-;-;-;-;-;-;10;-;286
"350170 Américo Brasiliense";-;2;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;1;-;-;-;-;-;-;4;-;-;1;-;-;-;-;-;-;1;-;24
"350180 Américo de Campos";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350190 Amparo";-;1;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;35;-;13;6;-;-;39;16;-;1;-;-;-;-;-;-;-;5;-;146
"350200 Analândia";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350210 Andradina";-;2;-;-;-;-;-;-;-;-;1;17;-;-;-;-;-;19;-;23;-;-;-;-;16;-;3;-;-;-;-;-;-;-;2;-;83
"350220 Angatuba";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;3;-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;21
"350230 Anhembi";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350240 Anhumas";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350250 Aparecida";-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;1;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;27
"350260 Aparecida d'Oeste";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;7
"350270 Apiaí";-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;3;-;2;-;-;-;-;1;-;1;-;-;-;-;-;1;-;1;-;28
"350275 Araçariguama";-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;2;-;2;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;17
"350280 Araçatuba";-;8;-;-;-;6;-;-;2;-;-;46;-;-;-;-;-;125;-;30;3;-;-;1;46;-;9;1;-;-;1;-;-;-;14;-;292
"350290 Araçoiaba da Serra";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;6;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;4;-;24
"350300 Aramina";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"350310 Arandu";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350315 Arapeí";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350320 Araraquara";-;7;-;-;-;4;-;-;-;-;-;88;1;-;-;-;-;101;-;24;7;-;-;124;44;-;19;20;-;2;1;-;-;-;16;-;458
"350330 Araras";-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;22;-;3;3;-;-;59;15;-;2;3;-;1;-;-;-;-;6;-;153
"350335 Arco-Íris";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350340 Arealva";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;13
"350350 Areias";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350360 Areiópolis";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;9
"350370 Ariranha";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350380 Artur Nogueira";-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;7;-;1;-;-;-;-;8;-;1;-;-;-;-;-;-;-;5;-;45
"350390 Arujá";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;2;15;-;4;-;-;-;-;16;-;3;-;-;-;-;-;-;-;1;-;56
"350395 Aspásia";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350400 Assis";-;5;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;78;-;65;1;-;-;-;21;-;11;1;-;-;-;-;1;-;2;-;233
"350410 Atibaia";-;1;-;-;-;-;-;-;-;-;-;31;-;-;-;-;7;54;-;12;-;-;-;6;33;-;7;3;-;-;-;-;-;-;9;-;163
"350420 Auriflama";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;9;-;2;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2;-;27
"350430 Avaí";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350440 Avanhandava";-;1;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;13
"350450 Avaré";-;4;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;35;-;10;5;-;-;-;8;-;1;-;-;-;-;-;1;-;4;-;97
"350460 Bady Bassitt";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"350470 Balbinos";-;2;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350480 Bálsamo";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350490 Bananal";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"350500 Barão de Antonina";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350510 Barbosa";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350520 Bariri";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;5;-;3;-;-;-;-;4;-;2;1;-;-;-;-;1;-;3;-;29
"350530 Barra Bonita";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;18;-;4;-;-;-;-;4;-;1;-;-;-;-;-;-;-;2;-;42
"350535 Barra do Chapéu";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350540 Barra do Turvo";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"350550 Barretos";-;6;-;-;-;1;-;-;-;-;-;36;-;-;-;-;-;38;-;5;1;-;-;13;30;-;2;-;-;4;1;-;1;-;7;-;145
"350560 Barrinha";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;6;-;-;2;-;-;1;5;-;1;-;-;-;-;-;-;-;1;-;31
"350570 Barueri";-;-;-;-;-;-;-;-;-;-;-;48;-;-;-;6;4;67;-;22;-;-;-;6;101;-;14;8;-;-;-;-;-;-;2;-;278
"350580 Bastos";-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;4;-;2;-;-;-;-;6;-;-;-;-;-;-;-;-;-;3;-;32
"350590 Batatais";-;-;-;-;-;-;-;-;1;-;-;22;-;-;-;-;1;18;-;5;1;-;-;-;7;-;8;-;-;-;-;-;-;-;5;-;68
"350600 Bauru";1;13;-;-;-;3;-;-;-;-;-;84;-;-;-;-;3;208;-;48;4;-;-;2;43;-;15;-;1;3;1;-;-;-;11;-;440
"350610 Bebedouro";-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;1;21;-;9;6;-;-;31;11;-;3;4;-;1;-;-;-;-;2;-;118
"350620 Bento de Abreu";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350630 Bernardino de Campos";-;1;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;14
"350635 Bertioga";-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;12;-;6;-;-;-;-;1;-;2;-;-;-;-;-;-;-;1;-;39
"350640 Bilac";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5
"350650 Birigui";-;1;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;52;-;15;1;-;-;-;13;-;7;-;-;-;-;-;-;-;5;-;123
"350660 Biritiba-Mirim";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;14
"350670 Boa Esperança do Sul";-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14
"350680 Bocaina";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;10
"350690 Bofete";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350700 Boituva";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;25;-;3;-;-;-;-;8;-;3;-;-;1;-;-;-;-;2;-;57
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;10
"350715 Bom Sucesso de Itararé";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350720 Borá";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350730 Boracéia";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350740 Borborema";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;3;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;-;17
"350745 Borebi";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350750 Botucatu";-;9;-;-;-;3;-;-;1;-;-;32;-;-;1;-;-;59;-;13;5;-;-;1;22;-;4;1;-;3;1;-;-;-;5;-;160
"350760 Bragança Paulista";-;2;-;-;-;-;-;-;-;-;-;49;-;-;-;1;-;74;-;17;-;-;-;38;51;2;6;3;-;-;1;-;-;-;9;-;253
"350770 Braúna";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350775 Brejo Alegre";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350780 Brodowski";-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;5;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2;-;21
"350790 Brotas";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;4;-;1;-;-;-;-;3;-;1;-;-;-;-;-;1;-;4;-;23
"350800 Buri";-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"350810 Buritama";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;7;-;3;-;1;-;-;-;-;2;-;-;-;-;-;-;-;2;-;25
"350820 Buritizal";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"350830 Cabrália Paulista";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350840 Cabreúva";-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;1;7;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2;-;30
"350850 Caçapava";-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;1;42;-;9;3;-;-;2;42;-;3;-;-;1;-;-;-;-;3;-;141
"350860 Cachoeira Paulista";-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;1;-;6;-;3;-;-;-;-;3;-;-;-;-;1;-;-;-;-;2;-;33
"350870 Caconde";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;4;-;1;-;-;-;-;6;-;1;-;-;-;-;-;-;-;2;-;24
"350880 Cafelândia";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;7;-;2;-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;20
"350890 Caiabu";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350900 Caieiras";-;1;-;-;-;-;-;-;-;-;-;23;-;-;-;1;1;15;-;5;-;-;-;2;13;-;4;-;-;-;-;-;-;-;3;-;68
"350910 Caiuá";-;1;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350920 Cajamar";-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;1;18;-;4;-;-;-;-;9;-;3;1;-;-;-;-;-;-;2;-;57
"350925 Cajati";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;2;4;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;26
"350930 Cajobi";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;-;11
"350940 Cajuru";-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;15;-;7;-;-;-;-;6;-;-;-;-;-;-;-;-;-;3;-;50
"350945 Campina do Monte Alegre";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350950 Campinas";-;5;-;-;-;1;28;-;4;-;-;116;-;-;1;4;13;384;-;22;7;-;-;9;249;-;51;15;-;3;-;-;-;-;31;-;943
"350960 Campo Limpo Paulista";-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;1;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;25
"350970 Campos do Jordão";-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;14;-;7;-;-;-;5;-;-;1;-;-;-;-;-;-;-;2;-;52
"350980 Campos Novos Paulista";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350990 Cananéia";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350995 Canas";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351000 Cândido Mota";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;13;-;11;-;-;-;-;1;-;3;-;-;-;-;-;1;-;2;-;44
"351010 Cândido Rodrigues";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351015 Canitar";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351020 Capão Bonito";-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;4;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;2;-;34
"351030 Capela do Alto";-;2;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14
"351040 Capivari";-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;21;-;5;1;-;-;1;14;-;2;-;-;-;-;-;2;-;4;-;67
"351050 Caraguatatuba";-;3;-;-;-;-;-;-;1;-;-;45;-;-;-;-;-;57;-;4;1;-;-;-;10;-;8;1;-;-;-;-;-;-;4;-;134
"351060 Carapicuíba";-;2;-;-;-;-;-;-;-;-;-;39;-;-;-;-;2;29;-;-;-;-;-;1;19;-;5;2;-;-;-;-;-;-;1;-;100
"351070 Cardoso";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;15
"351080 Casa Branca";-;5;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;3;-;3;-;-;-;-;5;-;2;-;-;-;-;-;-;-;2;-;32
"351090 Cássia dos Coqueiros";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351100 Castilho";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;10;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;17
"351110 Catanduva";-;1;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;108;-;54;5;-;-;3;51;-;10;-;-;3;-;-;-;-;9;-;286
"351120 Catiguá";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351130 Cedral";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;7;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;17
"351140 Cerqueira César";-;2;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;16
"351150 Cerquilho";-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;1;13;-;-;-;-;-;-;7;-;1;1;-;-;-;-;1;-;2;-;40
"351160 Cesário Lange";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;11
"351170 Charqueada";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14
"355720 Chavantes";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;1;-;-;-;-;3;-;-;-;-;-;-;-;-;-;2;-;12
"351190 Clementina";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;9
"351200 Colina";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;3;-;1;-;-;-;-;2;1;-;-;-;-;-;-;-;-;3;-;18
"351210 Colômbia";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"351220 Conchal";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;3;-;-;1;-;-;2;6;-;-;-;-;-;-;-;1;-;2;-;27
"351230 Conchas";-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;7;-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;22
"351240 Cordeirópolis";-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;5;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;28
"351250 Coroados";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351260 Coronel Macedo";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351270 Corumbataí";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351280 Cosmópolis";-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;9;-;1;-;-;-;-;9;-;3;-;-;1;-;-;-;-;4;-;49
"351290 Cosmorama";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351300 Cotia";-;1;-;-;-;-;-;-;-;-;-;50;-;-;-;3;2;45;-;8;-;-;-;-;24;-;8;1;-;-;-;-;-;-;5;-;147
"351310 Cravinhos";-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;6;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;3;-;29
