"Município";"101-5 Órgão Público do Poder Executivo Federal";"102-3 Órgão Público do Poder Executivo Estadual ou do Distrito Federal";"103-1 Órgão Público do Poder Executivo Municipal";"110-4 Autarquia Federal";"111-2 Autarquia Estadual ou do Distrito Federal";"112-0 Autarquia Municipal";"113-9 Fundação Pública de Direito Público Federal";"114-7 Fundação Pública de Direito Público Estadual ou do Distrito Federal";"115-5 Fundação Pública de Direito Público Municipal";"120-1 Fundo Público";"121-0 Consórcio Público de Direito Público (Associação Pública)";"122-8 Consórcio Público de Direito Privado";"124-4 Município";"127-9 Fundação Pública de Direito Privado Municipal";"201-1 Empresa Pública";"203-8 Sociedade de Economia Mista";"204-6 Sociedade Anônima Aberta";"205-4 Sociedade Anônima Fechada";"206-2 Sociedade Empresária Limitada";"213-5 Empresário (Individual)";"214-3 Cooperativa";"215-1 Consórcio de Sociedades";"221-6 Empresa Domiciliada no Exterior";"223-2 Sociedade Simples Pura";"224-0 Sociedade Simples Limitada";"225-9 Sociedade Simples em Nome Coletivo";"230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)";"231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples)";"306-9 Fundação Privada";"307-7 Serviço Social Autônomo";"308-5 Condomínio Edilício";"313-1 Entidade Sindical";"322-0 Organização Religiosa";"399-9 Associação Privada";"401-4 Empresa Individual Imobiliária";"Total"
"350115 Alumínio";-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"350120 Álvares Florence";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350130 Álvares Machado";-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;5;1;-;-;-;-;4;-;-;-;-;-;-;-;-;3;-;21
"350140 Álvaro de Carvalho";-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350150 Alvinlândia";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350160 Americana";-;2;-;-;-;-;-;-;2;-;-;-;37;-;-;-;-;3;86;5;6;-;-;10;38;-;8;-;-;1;-;-;-;7;-;205
"350170 Américo Brasiliense";-;2;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;1;-;-;1;5;-;-;-;-;-;-;-;-;2;-;23
"350180 Américo de Campos";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350190 Amparo";-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;1;27;5;5;-;-;41;12;-;2;-;-;-;-;-;-;5;-;126
"350200 Analândia";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350210 Andradina";-;2;-;-;-;-;-;-;-;-;2;-;16;-;-;-;-;-;9;7;-;-;-;-;13;-;-;1;-;-;-;-;-;2;-;52
"350220 Angatuba";-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;2;2;1;-;-;-;1;-;-;-;-;-;-;-;-;2;-;19
"350230 Anhembi";-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350240 Anhumas";-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350250 Aparecida";-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;24
"350260 Aparecida d'Oeste";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;5
"350270 Apiaí";-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;4;1;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;27
"350275 Araçariguama";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;2;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;11
"350280 Araçatuba";-;7;-;-;5;-;-;2;-;-;-;-;48;-;-;-;-;-;86;20;3;-;-;-;51;-;4;1;-;1;-;-;-;10;-;238
"350290 Araçoiaba da Serra";-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;8;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;22
"350300 Aramina";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350310 Arandu";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350315 Arapeí";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350320 Araraquara";-;7;-;-;3;-;-;-;-;-;-;-;84;1;-;-;-;-;75;11;6;-;-;112;54;-;4;-;1;1;-;1;-;16;-;376
"350330 Araras";-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;16;2;2;-;-;56;12;-;1;2;1;-;-;-;-;5;-;134
"350335 Arco-Íris";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350340 Arealva";-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;11
"350350 Areias";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350360 Areiópolis";-;-;-;-;-;-;-;-;-;1;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350370 Ariranha";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7
"350380 Artur Nogueira";-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;7;-;-;-;-;-;8;-;-;-;-;-;-;-;-;2;-;39
"350390 Arujá";-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;1;10;1;-;-;-;-;16;-;1;-;-;-;-;-;-;1;-;44
"350395 Aspásia";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350400 Assis";-;5;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;41;3;1;-;-;-;16;-;1;-;-;-;-;1;-;2;-;104
"350410 Atibaia";-;1;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;7;29;9;-;-;-;1;27;-;4;2;-;-;-;-;-;7;-;117
"350420 Auriflama";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;7;1;-;-;-;-;1;-;1;-;-;-;-;-;-;2;-;22
"350430 Avaí";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350440 Avanhandava";-;1;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;11
"350450 Avaré";-;4;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;26;4;4;-;-;-;7;-;-;-;-;-;-;1;-;2;-;74
"350460 Bady Bassitt";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"350470 Balbinos";-;2;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350480 Bálsamo";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350490 Bananal";-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"350500 Barão de Antonina";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350510 Barbosa";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350520 Bariri";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;3;2;-;-;-;-;4;-;1;1;-;-;-;1;-;2;-;24
"350530 Barra Bonita";-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;10;2;-;-;-;-;4;-;1;-;-;-;-;-;-;2;-;30
"350535 Barra do Chapéu";-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350540 Barra do Turvo";-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"350550 Barretos";-;5;-;-;1;-;-;-;-;-;-;-;35;-;-;-;-;-;22;3;1;-;-;12;26;-;1;-;3;1;-;1;-;6;-;117
"350560 Barrinha";-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;2;-;2;-;-;-;5;-;1;-;-;-;-;-;-;-;-;25
"350570 Barueri";-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;3;3;54;6;-;-;-;2;88;-;5;5;-;-;-;-;-;2;-;207
"350580 Bastos";-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;2;1;-;-;-;-;6;-;-;-;-;-;-;-;-;2;-;23
"350590 Batatais";-;-;-;-;-;-;-;1;-;-;-;-;21;-;-;-;-;1;12;1;1;-;-;-;7;-;1;-;-;-;-;-;-;5;-;50
"350600 Bauru";1;14;-;-;2;-;-;-;-;-;-;-;81;-;-;-;-;-;158;25;2;-;-;3;35;-;6;-;2;1;-;-;-;10;-;340
"350610 Bebedouro";-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;1;13;5;5;-;-;32;9;-;2;-;1;-;-;-;-;3;-;101
"350620 Bento de Abreu";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350630 Bernardino de Campos";-;1;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;12
"350635 Bertioga";-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;1;14;4;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;39
"350640 Bilac";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5
"350650 Birigui";-;1;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;35;6;1;-;-;-;13;-;1;-;-;-;-;-;-;3;-;82
"350660 Biritiba-Mirim";-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;17
"350670 Boa Esperança do Sul";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;11
"350680 Bocaina";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;9
"350690 Bofete";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350700 Boituva";-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;23;4;-;-;-;-;10;-;-;-;1;-;-;-;-;-;-;53
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;2;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;8
"350715 Bom Sucesso de Itararé";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350720 Borá";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350730 Boracéia";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350740 Borborema";-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;3;1;-;-;-;-;4;-;-;-;-;-;-;-;-;2;-;16
"350745 Borebi";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350750 Botucatu";-;7;-;-;4;-;-;1;-;-;-;-;28;-;-;1;-;-;50;5;5;-;-;-;19;-;1;1;1;1;-;-;-;5;-;129
"350760 Bragança Paulista";-;2;-;-;-;-;-;-;-;-;-;-;53;-;-;-;-;-;39;2;1;-;-;37;47;2;2;1;-;1;-;-;-;7;1;195
"350770 Braúna";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350775 Brejo Alegre";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350780 Brodowski";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;2;1;-;-;-;-;2;-;-;-;-;-;-;-;-;2;-;17
"350790 Brotas";-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;1;4;1;-;-;-;-;3;-;-;-;-;-;-;1;-;5;-;24
"350800 Buri";-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;16
"350810 Buritama";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;7;2;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;21
"350820 Buritizal";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"350830 Cabrália Paulista";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350840 Cabreúva";-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;1;8;2;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;27
"350850 Caçapava";-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;1;24;2;3;-;-;2;37;-;-;-;2;-;-;-;-;3;-;104
"350860 Cachoeira Paulista";-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;6;-;-;-;-;-;3;-;-;-;-;-;-;-;-;2;-;28
"350870 Caconde";-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;3;1;-;-;-;-;6;-;-;-;-;-;-;-;-;2;-;19
"350880 Cafelândia";-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;7;-;-;-;-;-;3;-;-;-;-;-;-;-;-;1;-;18
"350890 Caiabu";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350900 Caieiras";-;1;-;-;-;-;-;-;-;-;-;-;20;-;-;-;1;1;11;2;-;-;-;-;15;-;1;-;-;-;-;-;-;3;-;55
"350910 Caiuá";-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350920 Cajamar";-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;1;12;-;-;-;-;-;5;-;-;1;-;-;-;-;-;2;-;39
"350925 Cajati";-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;18
"350930 Cajobi";-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;11
"350940 Cajuru";-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;6;1;-;-;-;-;4;-;-;-;-;-;-;-;-;2;-;26
"350945 Campina do Monte Alegre";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350950 Campinas";-;5;-;-;1;1;-;3;-;-;-;-;136;-;-;-;1;10;325;8;6;-;-;13;373;-;28;3;3;1;-;-;-;23;1;941
"350960 Campo Limpo Paulista";-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;1;7;-;-;-;-;-;6;-;-;-;-;-;-;-;-;3;-;34
"350970 Campos do Jordão";-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;7;3;-;-;-;3;-;-;1;-;1;-;-;-;-;2;-;35
"350980 Campos Novos Paulista";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350990 Cananéia";-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350995 Canas";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351000 Cândido Mota";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;7;7;-;-;-;-;-;-;1;-;-;-;-;1;-;2;-;28
"351010 Cândido Rodrigues";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351015 Canitar";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351020 Capão Bonito";-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;2;-;-;-;-;-;5;-;-;-;-;-;-;-;-;2;-;30
"351030 Capela do Alto";-;2;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;15
"351040 Capivari";-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;14;3;2;-;-;1;16;-;1;-;-;-;-;2;-;2;-;57
"351050 Caraguatatuba";-;3;-;-;-;-;-;1;-;-;-;-;39;-;-;-;-;-;40;1;1;-;-;-;9;-;4;1;-;-;-;-;-;2;-;101
"351060 Carapicuíba";-;2;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;2;23;-;-;-;-;1;20;-;1;1;-;-;-;-;-;1;-;85
"351070 Cardoso";-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;2;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;13
"351080 Casa Branca";-;4;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;3;2;-;-;-;-;5;-;1;-;-;-;-;-;-;3;-;30
"351090 Cássia dos Coqueiros";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351100 Castilho";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;4;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;9
"351110 Catanduva";-;1;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;65;24;5;-;-;2;44;-;3;-;4;-;-;-;-;8;-;201
"351120 Catiguá";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351130 Cedral";-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;15
"351140 Cerqueira César";-;2;-;-;-;-;-;1;-;-;-;-;7;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;15
"351150 Cerquilho";-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;1;9;-;-;-;-;-;10;-;-;-;-;-;-;1;-;1;-;35
"351160 Cesário Lange";-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;9
"351170 Charqueada";-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;13
"355720 Chavantes";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;-;2;-;11
"351190 Clementina";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3
"351200 Colina";-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;2;-;-;-;-;-;2;1;-;-;-;-;-;-;-;1;-;14
"351210 Colômbia";-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;11
"351220 Conchal";-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;3;-;1;-;-;2;5;-;-;-;-;-;-;1;-;1;-;25
"351230 Conchas";-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;8;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;23
"351240 Cordeirópolis";-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;4;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;23
"351250 Coroados";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351260 Coronel Macedo";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351270 Corumbataí";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351280 Cosmópolis";-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;8;-;-;-;-;-;11;-;1;1;1;-;-;-;-;4;-;47
"351290 Cosmorama";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351300 Cotia";-;1;-;-;-;-;-;-;-;-;-;-;45;-;-;-;2;1;24;3;-;-;-;-;26;-;1;1;-;-;-;-;-;4;-;108
"351310 Cravinhos";-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;4;-;-;-;-;1;1;-;-;-;-;-;-;-;-;2;-;23
"351320 Cristais Paulista";-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351330 Cruzália";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351340 Cruzeiro";-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;33;6;1;-;-;13;69;-;-;2;-;-;-;-;-;5;-;158
"351350 Cubatão";-;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;4;27;-;1;-;-;-;11;-;-;-;-;1;-;-;-;3;-;88
"351360 Cunha";-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4;-;17
"351370 Descalvado";-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;24;6;-;-;-;1;1;-;-;-;-;-;-;-;-;4;-;55
"351380 Diadema";-;2;-;-;-;-;-;-;-;-;-;-;57;-;-;-;-;2;24;1;1;-;-;-;39;-;2;3;-;-;-;-;-;2;-;133
"351385 Dirce Reis";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351390 Divinolândia";-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;3;1;-;-;-;1;1;-;1;-;-;-;-;-;-;1;-;14
"351400 Dobrada";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351410 Dois Córregos";-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;3;1;-;-;-;-;5;-;-;-;-;-;-;-;-;2;-;20
"351420 Dolcinópolis";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351430 Dourado";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7
"351440 Dracena";-;2;-;-;-;-;-;-;-;-;-;1;15;-;1;-;-;-;19;1;2;-;-;-;5;-;3;-;-;-;-;-;-;3;-;52
"351450 Duartina";-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;6;3;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;21
"351460 Dumont";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351470 Echaporã";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351480 Eldorado";-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"351490 Elias Fausto";-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"351492 Elisiário";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351495 Embaúba";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351500 Embu das Artes";-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;9;2;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;45
"351510 Embu-Guaçu";-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;3;2;-;-;-;-;3;-;-;-;-;-;-;-;-;1;-;30
"351512 Emilianópolis";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351515 Engenheiro Coelho";-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;-;13
"351518 Espírito Santo do Pinhal";-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;7;1;1;-;-;-;16;-;1;-;1;-;-;1;-;4;-;46
