"Município";"101-5 Órgão Público do Poder Executivo Federal";"102-3 Órgão Público do Poder Executivo Estadual ou do Distrito Federal";"103-1 Órgão Público do Poder Executivo Municipal";"110-4 Autarquia Federal";"111-2 Autarquia Estadual ou do Distrito Federal";"112-0 Autarquia Municipal";"113-9 Fundação Pública de Direito Público Federal";"114-7 Fundação Pública de Direito Público Estadual ou do Distrito Federal";"115-5 Fundação Pública de Direito Público Municipal";"121-0 Consórcio Público de Direito Público (Associação Pública)";"124-4 Município";"127-9 Fundação Pública de Direito Privado Municipal";"201-1 Empresa Pública";"203-8 Sociedade de Economia Mista";"204-6 Sociedade Anônima Aberta";"205-4 Sociedade Anônima Fechada";"206-2 Sociedade Empresária Limitada";"212-7 Sociedade em Conta de Participação";"213-5 Empresário (Individual)";"214-3 Cooperativa";"215-1 Consórcio de Sociedades";"221-6 Empresa Domiciliada no Exterior";"223-2 Sociedade Simples Pura";"224-0 Sociedade Simples Limitada";"225-9 Sociedade Simples em Nome Coletivo";"230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)";"231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples)";"232-1 Sociedade Unipessoal de Advogados";"306-9 Fundação Privada";"307-7 Serviço Social Autônomo";"308-5 Condomínio Edilício";"313-1 Entidade Sindical";"322-0 Organização Religiosa";"399-9 Associação Privada";"401-4 Empresa Individual Imobiliária";"Total"
"350090 Altair";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350100 Altinópolis";-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;1;-;3;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2;-;23
"350110 Alto Alegre";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350115 Alumínio";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"350120 Álvares Florence";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350130 Álvares Machado";-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;3;-;19
"350140 Álvaro de Carvalho";-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350150 Alvinlândia";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350160 Americana";-;2;-;-;-;-;-;-;2;-;32;-;-;-;-;5;138;-;25;7;-;-;11;44;-;25;-;-;-;-;-;-;-;10;-;301
"350170 Américo Brasiliense";-;2;-;-;-;-;-;-;-;-;17;-;-;-;-;-;2;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;1;-;26
"350180 Américo de Campos";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350190 Amparo";-;1;-;-;-;-;-;-;-;-;32;-;-;-;1;-;38;-;15;6;-;-;27;16;-;3;-;-;-;-;-;-;-;5;-;144
"350200 Analândia";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350210 Andradina";-;2;-;-;-;-;-;-;-;1;18;-;-;-;-;-;21;-;26;-;-;-;-;16;-;3;-;-;-;-;-;-;-;2;-;89
"350220 Angatuba";-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;2;-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;21
"350230 Anhembi";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"350240 Anhumas";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350250 Aparecida";-;-;-;-;-;-;-;-;-;-;20;-;-;-;1;-;5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;30
"350260 Aparecida d'Oeste";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;7
"350270 Apiaí";-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;3;-;2;-;-;-;-;1;-;1;-;-;-;-;-;1;-;1;-;28
"350275 Araçariguama";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;3;-;2;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;17
"350280 Araçatuba";-;9;-;-;5;-;-;2;-;-;48;-;-;-;1;-;139;-;33;3;-;-;1;47;-;14;1;-;-;1;-;-;-;15;-;319
"350290 Araçoiaba da Serra";-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;8;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;4;-;28
"350300 Aramina";-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"350310 Arandu";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350315 Arapeí";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350320 Araraquara";-;8;-;-;4;-;-;-;-;-;91;1;-;-;1;-;111;-;27;7;-;-;126;44;-;20;24;-;2;1;-;-;-;17;-;484
"350330 Araras";-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;30;-;3;3;-;-;60;16;-;2;3;-;1;-;-;-;-;7;-;166
"350335 Arco-Íris";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350340 Arealva";-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;14
"350350 Areias";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350360 Areiópolis";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;9
"350370 Ariranha";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"350380 Artur Nogueira";-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;9;-;1;-;-;-;-;8;-;1;-;-;-;-;-;-;-;5;-;47
"350390 Arujá";-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;2;15;-;3;-;-;-;-;9;-;3;-;-;-;-;-;-;-;1;-;49
"350395 Aspásia";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350400 Assis";-;6;-;-;-;-;-;-;-;-;50;-;-;-;-;-;87;-;67;3;-;-;-;21;-;11;1;-;-;-;-;1;-;2;-;249
"350410 Atibaia";-;1;-;-;-;-;-;-;-;-;32;-;-;-;-;7;68;-;12;-;-;-;6;33;-;10;3;-;-;-;-;-;-;9;-;181
"350420 Auriflama";-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;9;-;2;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2;-;27
"350430 Avaí";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350440 Avanhandava";-;1;-;-;-;-;-;-;-;-;9;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;13
"350450 Avaré";-;4;-;-;-;-;-;-;-;-;30;-;-;-;-;-;40;-;10;6;-;-;-;7;-;2;-;-;-;-;-;1;-;4;-;104
"350460 Bady Bassitt";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;9
"350470 Balbinos";-;2;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350480 Bálsamo";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350490 Bananal";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"350500 Barão de Antonina";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350510 Barbosa";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350520 Bariri";-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;5;-;4;-;-;-;-;3;-;4;1;-;-;-;-;-;-;3;-;31
"350530 Barra Bonita";-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;18;-;5;-;-;-;-;4;-;1;-;-;-;-;-;-;-;2;-;43
"350535 Barra do Chapéu";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350540 Barra do Turvo";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"350550 Barretos";-;7;-;-;1;-;-;-;-;-;37;-;-;-;1;-;43;-;7;1;-;-;18;31;-;3;-;-;4;1;-;1;-;7;-;162
"350560 Barrinha";-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;7;-;-;1;-;-;1;4;-;1;-;-;-;-;-;-;-;1;-;29
"350570 Barueri";-;-;-;-;-;-;-;-;-;-;53;-;-;-;7;5;79;-;23;-;-;-;8;103;-;19;7;-;-;-;-;-;-;2;-;306
"350580 Bastos";-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;4;-;2;-;-;-;-;6;-;-;-;-;-;-;-;-;-;3;-;34
"350590 Batatais";-;-;-;-;-;-;-;1;-;-;23;-;-;-;-;1;22;-;6;1;-;-;-;7;-;11;-;-;-;-;-;-;-;5;-;77
"350600 Bauru";1;15;-;-;3;-;-;1;-;-;85;-;-;-;1;3;223;-;52;4;-;-;2;42;-;16;-;1;2;1;-;-;-;11;-;463
"350610 Bebedouro";-;1;-;-;-;-;-;-;-;-;29;-;-;-;-;1;28;-;13;6;-;-;31;9;-;3;4;-;1;-;-;-;-;2;-;128
"350620 Bento de Abreu";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350630 Bernardino de Campos";-;1;-;-;-;-;-;-;-;-;8;-;-;-;-;-;3;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;17
"350635 Bertioga";-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;14;-;6;-;-;-;-;1;-;2;-;-;-;-;-;-;-;2;-;42
"350640 Bilac";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;6
"350650 Birigui";-;1;-;-;-;-;-;-;-;-;29;-;-;-;-;-;57;-;17;1;-;-;-;14;-;10;-;-;-;-;-;-;-;6;-;135
"350660 Biritiba-Mirim";-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;14
"350670 Boa Esperança do Sul";-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14
"350680 Bocaina";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;10
"350690 Bofete";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350700 Boituva";-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;27;-;6;-;-;-;-;8;-;4;-;-;1;-;-;-;-;2;-;66
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;1;-;-;-;-;2;-;1;1;-;-;-;-;-;-;-;-;12
"350715 Bom Sucesso de Itararé";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350720 Borá";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350730 Boracéia";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350740 Borborema";-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;4;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;-;18
"350745 Borebi";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350750 Botucatu";-;9;-;-;3;-;-;1;-;-;34;-;-;1;-;-;63;-;16;6;-;-;1;22;-;6;1;-;3;1;-;-;-;5;-;172
"350760 Bragança Paulista";-;2;-;-;-;-;-;-;-;-;51;-;-;-;1;-;82;-;21;-;-;-;37;53;2;9;3;-;-;1;-;-;-;9;-;271
"350770 Braúna";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350775 Brejo Alegre";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350780 Brodowski";-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;7;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;22
"350790 Brotas";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;4;-;1;-;-;-;-;3;-;1;-;-;-;-;-;1;-;4;-;24
"350800 Buri";-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;20
"350810 Buritama";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;8;-;4;-;1;-;-;-;-;1;-;-;-;-;-;-;-;2;-;26
"350820 Buritizal";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"350830 Cabrália Paulista";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350840 Cabreúva";-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;1;6;-;1;-;-;-;-;2;-;3;-;-;-;-;-;-;-;2;-;33
"350850 Caçapava";-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;1;43;-;11;3;-;-;2;45;-;4;-;-;1;-;-;-;-;4;-;151
"350860 Cachoeira Paulista";-;-;-;-;-;-;-;-;-;-;18;-;-;-;1;-;7;-;4;-;-;-;-;3;-;-;-;-;1;-;-;-;-;2;-;36
"350870 Caconde";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;3;-;2;-;-;-;-;7;-;2;-;-;-;-;-;-;-;2;-;26
"350880 Cafelândia";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;9;-;3;-;-;-;-;3;-;1;-;-;-;-;-;-;-;1;-;24
"350890 Caiabu";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350900 Caieiras";-;1;-;-;-;-;-;-;-;-;25;-;-;-;1;1;16;-;6;-;-;-;2;13;-;5;-;-;-;-;-;-;-;3;-;73
"350910 Caiuá";-;2;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350920 Cajamar";-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;2;25;-;4;-;-;-;-;9;-;5;1;-;-;-;-;-;-;3;-;67
"350925 Cajati";-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;2;5;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;29
"350930 Cajobi";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;11
"350940 Cajuru";-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;15;-;7;-;-;-;-;6;-;-;-;-;-;-;-;-;-;3;-;51
"350945 Campina do Monte Alegre";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350950 Campinas";-;7;-;-;1;26;-;4;-;-;119;-;-;1;6;17;460;-;38;7;-;-;10;275;-;58;18;-;3;-;-;-;-;31;-;1081
"350960 Campo Limpo Paulista";-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;1;4;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;27
"350970 Campos do Jordão";-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;15;-;8;-;-;-;5;1;-;1;-;-;-;-;-;-;-;2;-;54
"350980 Campos Novos Paulista";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350990 Cananéia";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350995 Canas";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351000 Cândido Mota";-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;13;-;12;-;-;-;-;1;-;3;-;-;-;-;-;1;-;2;-;45
"351010 Cândido Rodrigues";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351015 Canitar";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351020 Capão Bonito";-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;5;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;3;-;39
"351030 Capela do Alto";-;2;-;-;-;-;-;-;-;-;10;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14
"351040 Capivari";-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;24;-;4;1;-;-;1;14;-;1;-;-;-;-;-;2;-;3;-;68
"351050 Caraguatatuba";-;5;-;-;-;-;-;1;-;-;48;-;-;-;-;-;59;-;5;1;-;-;-;10;-;8;1;-;-;-;-;-;-;6;-;144
"351060 Carapicuíba";-;2;-;-;-;-;-;-;-;-;40;-;-;-;-;2;32;-;1;-;-;-;1;18;-;5;3;-;-;-;-;-;-;1;-;105
"351070 Cardoso";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;15
"351080 Casa Branca";-;5;-;-;-;-;-;-;-;-;11;-;-;-;-;-;4;-;3;-;-;-;-;4;-;1;-;-;-;-;-;-;-;2;-;30
"351090 Cássia dos Coqueiros";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351100 Castilho";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;2;-;10;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;22
"351110 Catanduva";-;1;-;-;-;-;-;-;-;-;42;-;-;-;1;-;122;-;63;5;-;-;4;51;-;11;-;-;3;-;-;-;-;9;-;312
"351120 Catiguá";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351130 Cedral";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;6;-;1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;17
"351140 Cerqueira César";-;2;-;-;-;-;-;-;-;-;8;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;20
"351150 Cerquilho";-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;1;14;-;1;-;-;-;-;7;-;2;1;-;-;-;-;1;-;2;-;45
"351160 Cesário Lange";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;11
"351170 Charqueada";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;15
"355720 Chavantes";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;1;-;-;-;-;3;-;-;-;-;-;-;-;-;-;2;-;12
"351190 Clementina";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;9
"351200 Colina";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;3;-;1;-;-;-;-;2;1;-;-;-;-;-;-;-;-;3;-;20
"351210 Colômbia";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"351220 Conchal";-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;3;-;1;1;-;-;2;5;-;-;-;-;-;-;-;1;-;2;-;29
"351230 Conchas";-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;7;-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;22
"351240 Cordeirópolis";-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;5;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;28
"351250 Coroados";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351260 Coronel Macedo";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351270 Corumbataí";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351280 Cosmópolis";-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;10;-;-;-;-;-;-;9;-;4;-;-;1;-;-;-;-;4;-;50
"351290 Cosmorama";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351300 Cotia";-;1;-;-;-;-;-;-;-;-;50;-;-;-;4;2;53;-;9;-;-;-;-;24;-;11;1;-;-;-;-;-;-;3;-;158
"351310 Cravinhos";-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;6;-;2;-;-;-;1;1;-;-;-;-;-;-;-;-;-;3;-;31
"351320 Cristais Paulista";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"351330 Cruzália";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351340 Cruzeiro";-;-;-;-;-;1;-;-;-;-;36;-;-;-;1;1;37;-;9;-;-;-;25;70;-;3;2;-;-;-;-;-;-;6;-;191
"351350 Cubatão";-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;4;18;-;-;1;-;-;-;10;-;4;-;-;-;1;-;-;-;4;-;81
