"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"350100 Altinópolis";-;-;-;1;-;-;-;8;-;3;19;-;1;-;1;-;-;-;1;-;-;-;-;1;-;-;-;1;2;-;1;-;-;39
"350110 Alto Alegre";-;-;-;-;-;-;-;3;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"350115 Alumínio";-;1;-;-;-;-;-;2;-;3;3;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;11
"350120 Álvares Florence";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"350130 Álvares Machado";-;-;-;-;-;1;-;7;-;2;4;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;18
"350140 Álvaro de Carvalho";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"350150 Alvinlândia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350160 Americana";1;1;-;-;-;3;-;26;-;22;601;-;1;2;5;1;-;-;1;-;1;-;-;1;-;-;-;40;-;-;1;-;-;707
"350170 Américo Brasiliense";1;-;-;-;-;1;-;3;-;5;9;-;1;-;2;-;-;-;-;-;-;-;-;1;-;-;-;2;2;1;1;-;-;29
"350180 Américo de Campos";-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"350190 Amparo";6;-;-;2;-;2;-;13;-;5;156;-;-;1;2;-;-;-;11;3;1;-;-;1;1;-;-;30;-;-;-;-;-;234
"350200 Analândia";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"350210 Andradina";1;-;-;1;-;1;-;6;-;4;119;-;-;-;1;-;1;-;1;-;-;-;1;1;-;-;-;9;-;-;-;-;1;147
"350220 Angatuba";-;1;-;-;-;1;-;6;-;-;14;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;4;-;-;1;-;-;30
"350230 Anhembi";-;-;-;-;-;-;-;3;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;9
"350240 Anhumas";1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"350250 Aparecida";-;-;-;-;-;1;-;2;-;2;13;-;2;-;1;-;-;-;-;8;-;-;-;1;-;-;-;6;-;-;1;-;-;37
"350260 Aparecida d'Oeste";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;6
"350270 Apiaí";-;1;-;-;-;1;-;9;-;3;20;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;4;-;-;2;-;-;43
"350275 Araçariguama";-;1;-;-;-;-;-;1;-;4;4;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;13
"350280 Araçatuba";-;1;1;-;1;1;-;16;-;84;403;2;1;5;2;-;1;-;3;4;2;-;-;2;4;-;-;31;-;-;-;2;-;566
"350290 Araçoiaba da Serra";-;1;-;-;-;-;-;4;-;1;-;-;-;-;-;2;-;-;1;-;-;-;-;1;-;-;-;2;-;-;1;-;-;13
"350300 Aramina";-;-;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;6
"350310 Arandu";-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"350315 Arapeí";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;4
"350320 Araraquara";2;1;1;-;-;2;-;35;2;48;462;-;6;3;3;1;-;-;11;-;2;-;-;2;-;-;-;18;3;-;17;1;-;620
"350330 Araras";-;-;-;-;-;1;-;21;-;34;247;-;-;1;3;-;-;-;1;2;1;-;-;1;-;-;-;9;2;-;-;-;-;323
"350335 Arco-Íris";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350340 Arealva";-;-;-;-;-;-;-;4;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;8
"350350 Areias";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350360 Areiópolis";-;-;-;-;-;-;-;3;-;1;12;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2;-;-;1;-;-;21
"350370 Ariranha";-;-;-;-;-;-;-;2;-;1;3;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;9
"350380 Artur Nogueira";-;-;-;-;-;1;-;17;1;5;26;-;1;-;1;-;-;-;3;-;-;-;1;1;-;-;-;3;1;-;-;-;-;61
"350390 Arujá";-;-;-;-;-;1;-;7;-;12;22;-;-;1;1;-;-;-;3;-;-;-;-;1;-;-;-;7;-;-;1;1;-;57
"350395 Aspásia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350400 Assis";1;-;1;-;-;1;-;19;1;14;201;-;1;-;4;6;-;-;6;1;1;-;1;1;-;-;-;19;1;-;2;-;-;281
"350410 Atibaia";1;-;-;-;-;1;-;20;-;5;152;-;-;-;3;-;-;-;15;-;1;-;-;1;-;-;-;25;-;-;2;1;-;227
"350420 Auriflama";1;1;-;-;-;-;-;4;-;1;14;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;25
"350430 Avaí";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350440 Avanhandava";-;-;-;-;-;-;-;4;-;1;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;14
"350450 Avaré";-;-;1;-;-;1;-;17;-;9;148;1;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;15;1;-;2;1;-;199
"350460 Bady Bassitt";-;-;-;-;-;-;-;3;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;8
"350470 Balbinos";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"350480 Bálsamo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3
"350490 Bananal";-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;1;-;-;-;8
"350500 Barão de Antonina";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"350510 Barbosa";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350520 Bariri";-;-;-;-;-;-;-;7;-;1;34;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;-;6;-;-;-;-;-;52
"350530 Barra Bonita";-;-;-;-;-;1;-;8;-;2;57;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;6;-;-;-;-;-;76
"350535 Barra do Chapéu";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"350540 Barra do Turvo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;1;-;7
"350550 Barretos";1;2;1;-;-;1;-;15;-;20;173;-;2;2;2;1;-;1;2;-;1;-;-;2;-;-;-;7;-;-;3;-;-;236
"350560 Barrinha";-;-;-;-;-;-;-;4;-;2;4;-;-;-;-;-;-;-;3;-;1;-;-;1;-;-;-;2;1;-;1;-;-;19
"350570 Barueri";-;-;-;-;-;3;-;16;-;43;130;-;-;-;3;-;-;-;10;-;-;2;3;1;-;-;-;13;-;-;-;-;-;224
"350580 Bastos";-;1;-;-;-;-;-;6;-;6;6;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;24
"350590 Batatais";-;-;-;-;-;1;-;8;-;8;161;-;1;-;1;-;-;-;3;1;1;-;1;1;-;-;-;10;-;-;2;-;-;199
"350600 Bauru";-;2;1;-;-;3;-;25;-;52;422;-;2;3;7;2;-;1;14;2;4;-;1;2;-;-;-;25;-;-;13;1;-;582
"350610 Bebedouro";-;1;-;-;-;2;-;16;-;37;135;-;1;-;3;1;-;-;18;-;-;-;-;1;-;-;-;11;-;-;-;-;-;226
"350620 Bento de Abreu";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"350630 Bernardino de Campos";-;-;-;-;-;-;-;3;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;10
"350635 Bertioga";-;-;-;-;-;-;-;5;-;8;9;-;1;-;1;-;-;-;1;-;-;-;-;1;-;-;-;5;1;-;2;1;-;35
"350640 Bilac";-;-;-;-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;8
"350650 Birigui";-;-;-;-;-;-;-;10;-;23;89;-;1;1;2;-;-;-;3;-;-;-;-;1;-;-;-;12;-;-;-;-;-;142
"350660 Biritiba-Mirim";-;-;-;-;-;1;-;5;1;1;9;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;1;-;-;21
"350670 Boa Esperança do Sul";-;-;-;-;-;-;-;4;-;1;8;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;2;-;-;19
"350680 Bocaina";-;-;-;-;-;-;-;4;-;2;8;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;17
"350690 Bofete";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350700 Boituva";-;1;-;-;-;1;-;6;-;11;37;-;1;-;1;-;-;-;1;1;-;-;-;1;-;-;-;6;-;-;-;2;-;69
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;-;-;-;1;11;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;1;1;-;-;17
"350715 Bom Sucesso de Itararé";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"350720 Borá";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350730 Boracéia";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"350740 Borborema";-;-;-;-;-;1;-;5;-;5;16;-;-;-;1;-;-;-;2;-;-;-;1;1;-;-;-;3;-;-;-;-;-;35
"350745 Borebi";-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"350750 Botucatu";-;-;1;-;-;3;-;16;1;32;426;-;1;1;2;-;-;-;4;-;1;-;-;1;-;-;-;7;1;-;2;1;-;500
"350760 Bragança Paulista";-;-;1;2;-;2;-;25;1;14;215;-;1;-;3;1;-;-;10;4;1;-;-;1;-;-;-;21;1;-;3;2;-;308
"350770 Braúna";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350775 Brejo Alegre";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"350780 Brodowski";-;-;-;-;-;-;-;4;-;1;29;-;-;-;-;-;-;-;3;-;-;-;-;1;-;-;-;4;-;-;1;-;-;43
"350790 Brotas";-;-;-;-;-;-;-;4;-;3;39;-;1;-;1;-;-;-;1;-;-;-;-;1;-;-;-;2;-;-;-;-;-;52
"350800 Buri";-;1;-;-;-;1;-;3;-;1;4;-;-;-;-;-;-;-;1;3;1;-;-;1;-;-;-;1;-;-;-;-;-;17
"350810 Buritama";1;-;-;-;-;1;-;2;-;4;4;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;18
"350820 Buritizal";-;-;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;7
"350830 Cabrália Paulista";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"350840 Cabreúva";-;-;-;-;-;-;-;5;-;2;6;-;1;-;1;-;-;-;2;-;1;-;-;1;-;-;-;4;-;-;-;-;-;23
"350850 Caçapava";-;-;-;1;-;2;-;18;-;6;186;-;2;1;3;-;-;-;1;-;1;-;-;1;-;-;-;2;-;-;-;-;-;224
"350860 Cachoeira Paulista";-;-;-;-;-;-;-;10;-;4;32;-;1;-;1;-;-;-;5;-;-;-;-;1;-;-;-;2;-;-;-;-;-;56
"350870 Caconde";-;-;-;-;-;-;-;2;-;3;17;-;1;-;1;-;-;-;-;1;-;-;-;1;-;-;-;4;-;-;-;-;-;30
"350880 Cafelândia";-;-;-;-;-;-;-;4;-;-;25;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;-;4;-;-;-;-;-;37
"350890 Caiabu";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"350900 Caieiras";-;-;-;-;-;1;-;5;-;15;10;-;-;-;1;-;-;-;7;5;-;-;-;-;-;-;-;5;2;1;-;-;-;52
"350910 Caiuá";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"350920 Cajamar";1;-;-;-;-;-;-;11;-;5;20;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;2;-;-;-;1;-;43
"350925 Cajati";-;-;-;-;-;1;-;6;-;1;15;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;29
"350930 Cajobi";-;-;-;-;-;-;-;3;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;11
"350940 Cajuru";-;-;-;-;-;-;-;6;-;7;23;-;-;-;1;-;-;-;3;-;1;-;-;1;-;-;-;2;-;-;1;-;-;45
"350945 Campina do Monte Alegre";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"350950 Campinas";-;2;1;-;4;11;-;65;-;343;1481;1;4;7;20;14;1;-;55;6;4;-;-;7;1;-;-;113;-;-;21;-;-;2161
"350960 Campo Limpo Paulista";-;-;-;-;-;-;-;8;-;11;9;1;-;-;1;-;-;-;7;-;-;-;-;1;-;-;-;5;1;-;-;-;-;44
"350970 Campos do Jordão";-;-;-;-;-;1;-;3;-;3;27;-;-;-;2;-;-;-;1;10;-;-;1;1;-;-;-;3;-;-;-;-;-;52
"350980 Campos Novos Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350990 Cananéia";-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"350995 Canas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351000 Cândido Mota";-;-;-;-;-;1;-;6;-;3;44;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;-;4;-;-;-;-;-;62
"351010 Cândido Rodrigues";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351015 Canitar";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351020 Capão Bonito";-;1;-;-;-;1;-;12;-;7;21;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;-;4;-;-;-;-;-;50
"351030 Capela do Alto";-;1;-;-;1;-;-;5;-;1;4;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;1;-;-;1;-;-;17
"351040 Capivari";-;-;-;-;-;2;-;4;-;15;104;-;-;-;2;-;-;-;7;3;-;-;-;1;-;-;-;13;-;-;-;-;-;151
"351050 Caraguatatuba";-;1;-;-;-;1;-;10;-;20;76;-;-;-;2;2;-;-;6;2;2;-;-;1;-;-;-;13;1;-;5;-;-;142
"351060 Carapicuíba";-;-;-;-;-;3;-;14;-;16;27;-;-;-;3;-;-;-;9;-;-;-;2;1;-;-;-;7;2;1;5;3;-;93
"351070 Cardoso";-;-;-;-;-;-;-;5;-;1;7;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;1;-;-;19
"351080 Casa Branca";-;-;-;-;-;1;-;7;1;4;41;-;-;1;1;-;-;-;-;-;-;-;1;1;-;-;-;9;-;-;1;-;-;68
"351090 Cássia dos Coqueiros";1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"351100 Castilho";-;1;-;-;-;-;-;1;-;1;9;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;15
"351110 Catanduva";2;-;1;-;-;-;-;25;-;76;261;-;2;1;3;2;-;-;1;-;1;-;-;1;-;-;-;19;-;-;4;-;-;399
"351120 Catiguá";-;-;-;-;-;-;-;2;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;8
"351130 Cedral";-;-;-;-;-;-;-;3;-;2;6;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;1;-;-;15
"351140 Cerqueira César";-;-;-;-;-;-;-;5;-;1;9;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;1;-;-;21
"351150 Cerquilho";-;1;-;-;-;-;-;6;-;8;91;-;-;-;1;-;-;1;9;-;-;-;-;1;-;-;-;6;-;-;-;-;-;124
"351160 Cesário Lange";-;1;-;-;-;-;-;5;-;-;6;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;16
"351170 Charqueada";-;-;-;-;-;-;-;5;-;3;8;-;-;-;1;-;-;-;4;-;-;-;-;1;-;-;-;1;-;-;-;-;-;23
"355720 Chavantes";-;-;-;-;-;1;-;3;-;1;9;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;17
"351190 Clementina";-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"351200 Colina";-;-;-;-;-;-;-;5;-;11;30;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;50
"351210 Colômbia";-;-;-;-;-;-;-;3;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;12
"351220 Conchal";-;-;-;-;-;-;-;6;-;3;28;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;3;-;-;-;-;-;43
"351230 Conchas";-;-;-;-;-;-;-;4;-;2;28;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;6;-;-;-;-;-;43
"351240 Cordeirópolis";-;-;-;1;-;1;-;5;-;3;10;-;-;-;-;-;-;-;2;1;1;-;-;1;-;-;-;4;-;-;1;-;-;30
"351250 Coroados";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351260 Coronel Macedo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"351270 Corumbataí";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;4
"351280 Cosmópolis";-;-;-;-;-;2;-;10;1;7;47;-;-;-;1;-;-;-;6;-;-;-;-;1;-;-;2;7;1;-;-;-;-;85
"351290 Cosmorama";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"351300 Cotia";-;1;-;-;-;3;-;25;-;17;37;-;2;1;2;-;-;-;5;1;-;-;4;1;-;-;-;9;3;-;2;1;-;114
"351310 Cravinhos";-;-;-;-;-;-;-;2;-;3;28;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;-;2;-;-;1;-;-;40
"351320 Cristais Paulista";-;-;-;-;-;-;-;3;-;1;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;10
"351330 Cruzália";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"351340 Cruzeiro";-;1;-;-;-;1;-;12;-;55;161;-;1;-;1;1;-;-;5;4;1;-;-;-;-;-;-;19;1;-;2;-;-;265
"351350 Cubatão";-;-;1;-;-;2;-;13;-;17;104;-;-;-;2;-;-;-;2;-;-;2;1;2;-;-;-;17;1;-;5;-;-;169
"351360 Cunha";-;-;-;-;-;1;-;6;-;2;6;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;20
"351370 Descalvado";-;1;-;-;-;1;-;11;-;11;70;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;3;2;-;-;-;-;102
"351380 Diadema";-;1;2;-;-;5;-;21;-;26;65;-;-;-;5;2;-;-;16;-;1;-;2;1;-;-;-;12;2;-;26;-;-;187
"351385 Dirce Reis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351390 Divinolândia";-;-;-;-;-;-;-;2;-;2;11;-;-;-;1;-;-;-;1;1;-;-;-;1;-;-;-;1;-;-;-;-;-;20
"351400 Dobrada";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;6
