"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"Total"
"350360 Areiópolis";-;-;-;-;3;-;1;10;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;17
"350370 Ariranha";-;-;-;-;2;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350380 Artur Nogueira";-;-;-;-;10;-;5;18;-;-;-;1;-;-;2;1;-;-;-;2;1;-;-;-;-;40
"350390 Arujá";-;-;-;-;5;-;5;8;-;-;-;1;-;-;1;-;-;-;-;7;1;-;-;-;1;29
"350395 Aspásia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350400 Assis";-;-;1;-;19;2;17;139;-;1;3;4;1;-;6;1;-;1;-;19;1;-;-;-;-;215
"350410 Atibaia";-;-;-;-;19;-;10;154;-;-;-;3;-;-;15;1;-;-;-;17;1;-;-;-;-;220
"350420 Auriflama";-;-;-;-;1;-;-;9;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;13
"350430 Avaí";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350440 Avanhandava";-;-;-;-;5;-;1;6;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;13
"350450 Avaré";-;-;-;-;15;-;6;91;-;-;-;1;-;-;-;-;-;1;-;12;2;-;-;-;1;129
"350460 Bady Bassitt";-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;6
"350470 Balbinos";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350480 Bálsamo";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350490 Bananal";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2;-;-;-;1;1;1;-;-;1;8
"350500 Barão de Antonina";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"350510 Barbosa";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350520 Bariri";-;-;-;-;6;-;1;26;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;37
"350530 Barra Bonita";-;-;-;-;5;-;-;36;-;-;-;1;-;-;-;-;-;-;-;4;-;-;-;-;-;46
"350535 Barra do Chapéu";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"350540 Barra do Turvo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;4
"350550 Barretos";-;-;1;-;15;2;10;114;-;1;2;2;-;-;4;-;-;-;-;6;2;-;1;-;-;160
"350560 Barrinha";-;-;-;-;4;-;1;2;-;-;-;-;-;-;3;-;-;-;-;1;-;1;-;-;-;12
"350570 Barueri";-;-;3;-;15;-;47;54;-;-;1;3;-;-;6;-;-;3;-;10;2;-;-;-;-;144
"350580 Bastos";-;-;-;-;1;-;4;5;-;-;-;1;-;-;-;5;-;1;1;2;-;-;-;-;-;20
"350590 Batatais";-;-;1;-;8;-;5;140;-;-;-;1;-;-;3;1;-;1;-;9;1;-;-;-;-;170
"350600 Bauru";-;-;3;-;24;-;58;317;-;1;3;8;1;1;10;-;-;2;1;27;4;-;-;-;1;461
"350610 Bebedouro";-;-;-;-;16;-;34;75;-;-;-;3;-;-;2;-;-;-;1;10;1;-;-;-;-;142
"350620 Bento de Abreu";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350630 Bernardino de Campos";-;-;-;-;3;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350635 Bertioga";-;-;-;-;5;-;6;2;-;-;-;1;-;-;1;1;-;-;-;2;1;-;-;-;1;20
"350640 Bilac";-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350650 Birigui";-;-;-;-;9;-;12;54;-;1;1;2;-;-;1;-;-;-;-;14;-;-;-;-;-;94
"350660 Biritiba-Mirim";-;-;-;-;6;-;1;7;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;16
"350670 Boa Esperança do Sul";-;-;-;-;4;-;-;5;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;12
"350680 Bocaina";-;-;-;-;3;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;6
"350690 Bofete";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"350700 Boituva";-;-;-;-;5;-;3;36;-;1;-;1;-;-;1;-;-;-;-;3;2;-;-;-;1;53
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;1;8;-;-;-;-;-;-;1;-;-;-;-;3;1;1;-;-;-;15
"350715 Bom Sucesso de Itararé";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"350720 Borá";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350730 Boracéia";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350740 Borborema";-;-;-;-;6;-;3;3;-;-;-;1;-;-;3;-;-;1;-;1;-;-;-;-;-;18
"350745 Borebi";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350750 Botucatu";-;-;3;-;13;1;9;366;-;1;2;3;-;-;4;-;-;1;-;8;2;-;-;-;1;414
"350760 Bragança Paulista";1;-;2;-;22;1;52;99;-;1;-;2;1;-;1;4;-;1;-;12;2;-;1;-;1;203
"350770 Braúna";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"350775 Brejo Alegre";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"350780 Brodowski";-;-;-;-;3;-;-;7;-;-;-;-;-;-;3;-;-;-;-;3;1;-;-;-;-;17
"350790 Brotas";-;-;-;-;4;-;2;18;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;27
"350800 Buri";-;-;1;-;3;-;-;2;-;-;-;-;-;-;-;3;-;-;-;2;1;1;-;-;-;13
"350810 Buritama";-;-;-;-;4;-;-;3;-;-;-;1;-;-;-;-;-;-;-;3;1;-;-;-;-;12
"350820 Buritizal";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350830 Cabrália Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350840 Cabreúva";-;-;-;-;2;-;-;4;-;-;-;1;-;-;4;-;-;-;-;3;1;-;-;-;-;15
"350850 Caçapava";-;-;-;-;18;-;6;171;-;-;-;2;-;-;1;-;-;1;-;4;1;-;-;-;-;204
"350860 Cachoeira Paulista";-;-;-;-;11;-;3;20;-;1;-;1;-;-;3;-;-;1;-;3;-;-;-;-;-;43
"350870 Caconde";-;-;-;-;1;-;2;15;-;-;-;1;-;-;-;1;-;-;-;3;-;-;-;-;-;23
"350880 Cafelândia";-;-;-;-;4;-;1;22;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;31
"350890 Caiabu";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350900 Caieiras";-;-;-;-;5;-;9;8;-;-;-;1;-;-;4;5;-;-;-;3;2;1;-;-;1;39
"350910 Caiuá";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;4
"350920 Cajamar";-;-;-;-;9;-;2;16;-;-;-;1;-;-;-;-;-;1;-;1;1;-;-;-;1;32
"350925 Cajati";-;-;-;-;4;-;3;10;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;21
"350930 Cajobi";-;-;-;-;3;-;-;3;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;9
"350940 Cajuru";-;-;-;-;9;-;4;11;-;-;-;1;-;-;3;-;-;-;-;2;1;-;1;-;-;32
"350945 Campina do Monte Alegre";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350950 Campinas";-;-;10;-;63;1;286;1088;1;3;10;20;8;1;35;-;-;4;7;93;1;-;1;-;-;1632
"350960 Campo Limpo Paulista";-;-;-;-;7;-;8;8;-;-;-;1;-;-;8;-;-;-;1;4;1;-;-;-;-;38
"350970 Campos do Jordão";-;-;1;-;2;-;2;19;-;-;-;4;-;-;1;10;-;1;-;-;-;-;-;-;-;40
"350980 Campos Novos Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350990 Cananéia";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350995 Canas";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351000 Cândido Mota";-;-;1;-;6;-;1;37;-;-;-;1;-;-;1;-;-;-;-;3;1;-;-;-;-;51
"351010 Cândido Rodrigues";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351015 Canitar";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351020 Capão Bonito";-;-;1;-;10;-;4;15;-;-;-;1;-;-;3;-;-;-;-;4;1;-;-;-;-;39
"351030 Capela do Alto";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;6
"351040 Capivari";-;-;2;-;4;-;20;95;-;-;-;2;-;-;3;2;-;-;-;9;1;-;-;-;-;138
"351050 Caraguatatuba";-;-;1;-;8;-;15;60;-;-;-;2;1;-;5;2;-;-;-;9;2;1;1;-;1;108
"351060 Carapicuíba";-;-;2;-;11;-;12;10;-;-;-;3;-;-;8;-;-;2;-;4;2;1;-;-;1;56
"351070 Cardoso";-;-;-;-;5;-;-;5;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;13
"351080 Casa Branca";-;-;1;-;5;-;3;33;-;-;1;1;-;-;-;-;-;1;-;9;-;-;-;-;-;54
"351090 Cássia dos Coqueiros";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351100 Castilho";-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"351110 Catanduva";-;-;-;-;22;-;59;173;-;2;2;3;-;-;2;-;-;-;-;20;1;-;1;-;1;286
"351120 Catiguá";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351130 Cedral";-;-;-;-;1;-;3;2;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;8
"351140 Cerqueira César";-;-;-;-;4;-;1;2;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;-;-;11
"351150 Cerquilho";-;-;1;-;6;-;7;94;-;-;-;1;-;-;12;-;-;-;-;4;2;-;-;-;-;127
"351160 Cesário Lange";-;-;-;-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"351170 Charqueada";-;-;-;-;4;-;2;3;-;-;-;1;-;-;3;-;-;-;-;1;-;-;-;-;-;14
"355720 Chavantes";-;-;-;-;3;-;1;8;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;15
"351190 Clementina";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"351200 Colina";-;-;-;-;5;-;11;20;-;-;-;1;-;-;1;-;-;1;-;1;-;-;-;-;-;40
"351210 Colômbia";-;-;-;-;3;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;8
"351220 Conchal";-;-;1;-;6;-;-;20;-;-;-;1;-;-;-;-;-;1;-;3;2;-;-;-;-;34
"351230 Conchas";-;-;-;-;4;-;1;26;-;1;-;1;-;-;-;-;-;-;1;4;2;-;-;-;-;40
"351240 Cordeirópolis";-;-;-;-;3;-;1;2;-;-;-;-;-;-;1;2;-;-;-;2;-;-;-;-;-;11
"351250 Coroados";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"351260 Coronel Macedo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;3
"351270 Corumbataí";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351280 Cosmópolis";-;-;1;-;7;-;8;23;-;-;-;1;-;-;4;4;-;-;-;6;1;-;-;-;-;55
"351290 Cosmorama";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;4
"351300 Cotia";-;-;1;-;22;1;18;19;-;-;1;2;-;1;6;-;-;2;-;4;2;-;-;-;-;79
"351310 Cravinhos";-;-;-;-;3;-;2;13;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;22
"351320 Cristais Paulista";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351330 Cruzália";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351340 Cruzeiro";-;-;1;-;11;-;38;135;-;1;-;1;1;-;5;4;-;-;-;16;1;-;-;-;1;215
"351350 Cubatão";-;-;2;-;13;-;8;79;-;-;-;2;-;-;2;-;1;2;-;18;1;-;1;-;-;129
"351360 Cunha";-;-;-;-;5;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"351370 Descalvado";-;-;-;-;11;-;2;39;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;55
"351380 Diadema";-;-;4;-;20;1;26;43;-;-;1;4;2;-;15;-;-;1;1;11;2;1;1;-;-;133
"351385 Dirce Reis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351390 Divinolândia";-;-;-;-;1;-;1;12;-;-;-;1;-;-;1;3;-;-;-;1;-;-;-;-;-;20
"351400 Dobrada";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351410 Dois Córregos";-;-;-;-;4;-;4;19;-;-;-;1;-;-;-;1;-;-;-;3;-;-;-;-;-;32
"351420 Dolcinópolis";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351430 Dourado";-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;1;-;1;-;2;-;-;-;-;-;10
"351440 Dracena";-;-;1;-;8;-;4;100;-;-;-;1;-;-;3;-;-;-;-;6;-;-;-;-;-;123
"351450 Duartina";-;-;-;-;4;-;1;8;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;16
"351460 Dumont";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351470 Echaporã";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"351480 Eldorado";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"351490 Elias Fausto";-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;4
"351492 Elisiário";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351495 Embaúba";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351500 Embu das Artes";-;-;2;-;13;-;6;6;-;-;-;1;-;-;2;-;-;-;1;-;-;1;-;-;-;32
"351510 Embu-Guaçu";-;-;1;-;6;-;-;1;-;-;-;-;-;-;2;-;-;-;-;1;1;1;-;-;-;13
"351512 Emilianópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351515 Engenheiro Coelho";-;-;-;-;3;-;2;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"351518 Espírito Santo do Pinhal";-;-;-;-;6;-;5;96;-;-;2;1;-;-;-;-;-;-;-;5;2;-;-;-;-;117
"351519 Espírito Santo do Turvo";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"355730 Estiva Gerbi";-;-;-;-;2;-;-;1;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;6
"351520 Estrela d'Oeste";-;-;-;-;1;-;1;12;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;16
"351530 Estrela do Norte";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351535 Euclides da Cunha Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;-;-;-;-;5
"351540 Fartura";-;-;-;-;2;-;1;22;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;28
"351560 Fernando Prestes";-;-;-;-;1;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"351550 Fernandópolis";-;-;1;-;14;-;4;171;1;-;-;2;-;-;4;2;-;-;1;21;-;-;-;-;1;222
"351565 Fernão";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351570 Ferraz de Vasconcelos";-;-;-;-;9;-;7;4;-;-;-;1;-;-;-;-;-;-;-;4;2;-;1;-;-;28
"351580 Flora Rica";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351590 Floreal";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351600 Flórida Paulista";-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;7
"351610 Florínia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351620 Franca";-;1;1;-;22;2;89;287;-;1;3;3;-;-;4;-;-;2;1;20;4;-;2;-;1;443
"351630 Francisco Morato";-;-;1;-;13;-;3;11;-;1;-;2;-;-;3;-;-;1;-;2;2;-;-;-;1;40
"351640 Franco da Rocha";-;-;-;-;11;-;8;21;-;1;2;2;-;-;-;-;-;-;-;4;6;1;-;-;-;56
"351650 Gabriel Monteiro";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351660 Gália";-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351670 Garça";-;-;1;-;10;-;8;22;-;-;2;1;-;-;1;-;-;-;-;1;-;-;-;-;-;46
"351680 Gastão Vidigal";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351685 Gavião Peixoto";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"351690 General Salgado";-;-;-;-;1;-;3;4;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;12
"351700 Getulina";-;-;-;-;3;-;-;11;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"351710 Glicério";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"351720 Guaiçara";-;-;-;-;5;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;11
"351730 Guaimbê";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"351740 Guaíra";-;-;-;-;10;-;6;32;-;-;-;1;-;-;-;1;-;-;-;3;2;-;-;-;-;55
"351750 Guapiaçu";-;-;-;-;4;-;5;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;12
"351760 Guapiara";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;6;-;1;-;1;1;-;-;-;-;10
