"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"354165 Quadra";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;4
"354170 Quatá";-;-;-;-;-;-;3;-;1;11;-;-;-;-;-;-;-;1;-;-;1;1;-;2;-;-;-;-;-;20
"354180 Queiroz";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"354190 Queluz";-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;8
"354200 Quintana";-;-;-;-;-;-;3;-;1;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;10
"354210 Rafard";-;-;-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"354220 Rancharia";-;-;-;-;1;-;9;-;2;29;-;-;-;1;-;-;-;-;-;-;-;1;-;4;-;-;-;-;-;47
"354230 Redenção da Serra";-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"354240 Regente Feijó";-;-;-;-;-;-;8;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;16
"354250 Reginópolis";-;-;-;-;-;-;3;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;7
"354260 Registro";-;-;-;-;1;-;15;-;13;49;-;1;-;2;-;-;2;-;-;-;1;2;-;8;-;-;-;-;-;94
"354270 Restinga";-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"354280 Ribeira";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"354290 Ribeirão Bonito";-;-;-;-;-;-;4;-;1;16;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;24
"354300 Ribeirão Branco";-;-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;9
"354310 Ribeirão Corrente";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;4
"354320 Ribeirão do Sul";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"354323 Ribeirão dos Índios";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354325 Ribeirão Grande";-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"354330 Ribeirão Pires";-;-;-;-;3;-;9;-;21;45;-;-;-;2;1;-;9;-;-;-;1;1;-;9;-;-;-;-;-;101
"354340 Ribeirão Preto";-;1;-;5;3;-;36;-;289;1027;-;1;4;12;-;1;70;11;1;-;1;2;-;85;1;-;13;4;-;1567
"354360 Rifaina";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"354370 Rincão";-;-;-;-;-;-;1;-;1;6;-;-;-;-;-;-;-;1;-;-;1;1;-;1;-;-;-;-;-;12
"354380 Rinópolis";-;-;-;-;-;-;4;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;10
"354390 Rio Claro";-;1;-;-;2;-;18;1;64;203;1;2;1;4;1;1;13;-;2;-;1;1;-;32;3;-;3;-;-;354
"354400 Rio das Pedras";-;-;-;-;1;-;1;-;4;54;-;-;-;1;-;-;3;-;-;-;1;1;-;3;-;-;-;-;-;69
"354410 Rio Grande da Serra";-;-;-;-;-;-;6;-;3;4;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;17
"354420 Riolândia";-;-;-;-;-;-;2;-;1;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;7
"354350 Riversul";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;3
"354425 Rosana";-;-;-;-;-;-;1;-;1;19;-;-;-;1;-;-;-;8;-;-;-;1;-;5;-;-;-;-;-;36
"354430 Roseira";-;-;-;-;-;-;4;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;8
"354440 Rubiácea";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;4
"354450 Rubinéia";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"354460 Sabino";-;-;-;-;-;-;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"354470 Sagres";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"354480 Sales";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"354490 Sales Oliveira";-;-;-;-;-;-;3;-;-;21;-;-;-;1;-;-;-;-;-;-;1;-;-;3;1;-;-;-;-;30
"354500 Salesópolis";-;-;-;-;-;-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;2;-;1;-;-;9
"354510 Salmourão";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"354515 Saltinho";-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"354520 Salto";-;-;-;-;1;-;9;-;12;79;-;1;-;2;-;-;3;-;-;-;-;1;-;5;-;-;-;1;-;114
"354530 Salto de Pirapora";-;-;-;-;-;-;7;-;2;33;-;-;2;1;-;-;2;-;-;-;-;1;-;1;-;-;-;-;-;49
"354540 Salto Grande";-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;5
"354550 Sandovalina";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"354560 Santa Adélia";-;-;-;-;-;-;3;-;-;13;-;-;-;1;-;-;-;3;-;-;-;1;-;1;-;-;-;-;-;22
"354570 Santa Albertina";-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;6
"354580 Santa Bárbara d'Oeste";-;-;-;-;-;-;12;-;17;158;-;-;-;1;1;-;3;-;1;1;-;1;-;15;2;-;1;-;-;213
"354600 Santa Branca";-;-;-;-;-;-;2;-;1;2;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;8
"354610 Santa Clara d'Oeste";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"354620 Santa Cruz da Conceição";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;4
"354625 Santa Cruz da Esperança";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"354630 Santa Cruz das Palmeiras";-;-;-;-;-;-;2;-;1;45;-;-;-;1;1;-;5;-;-;-;-;1;-;5;-;-;2;-;-;63
"354640 Santa Cruz do Rio Pardo";-;-;-;-;1;-;5;1;8;95;-;-;-;2;-;-;1;-;1;-;-;1;-;12;-;-;-;-;-;127
"354650 Santa Ernestina";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354660 Santa Fé do Sul";-;-;-;-;1;-;8;-;16;45;-;-;-;1;-;-;5;-;-;-;1;1;-;7;-;-;-;-;-;85
"354670 Santa Gertrudes";-;-;-;-;1;-;6;-;4;29;-;-;-;-;-;-;2;-;-;-;-;1;-;2;1;-;1;-;-;47
"354680 Santa Isabel";-;-;-;-;-;-;9;1;4;3;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;20
"354690 Santa Lúcia";-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;6
"354700 Santa Maria da Serra";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;4
"354710 Santa Mercedes";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;3
"354740 Santa Rita d'Oeste";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"354750 Santa Rita do Passa Quatro";-;-;-;-;2;-;4;-;11;46;-;-;1;1;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;68
"354760 Santa Rosa de Viterbo";-;-;-;-;-;-;3;-;8;36;-;-;-;1;-;-;-;1;1;-;-;2;-;3;-;-;-;-;-;55
"354765 Santa Salete";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"354720 Santana da Ponte Pensa";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"354730 Santana de Parnaíba";-;-;-;-;3;-;9;1;5;8;-;-;-;1;-;-;2;-;1;-;-;1;-;3;-;-;-;-;-;34
"354770 Santo Anastácio";-;-;-;-;-;-;5;-;1;26;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;35
"354780 Santo André";-;1;-;-;4;-;38;-;218;317;1;3;1;10;5;1;109;2;4;-;3;1;-;51;2;-;14;-;-;785
"354790 Santo Antônio da Alegria";-;-;-;-;-;-;3;-;1;1;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;1;-;-;-;9
"354800 Santo Antônio de Posse";-;-;-;-;1;-;4;-;2;10;-;-;-;-;-;-;3;-;-;-;1;1;-;-;-;-;-;-;-;22
"354805 Santo Antônio do Aracanguá";-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"354810 Santo Antônio do Jardim";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;4
"354820 Santo Antônio do Pinhal";1;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;6;1;-;-;1;-;-;-;-;-;-;-;12
"354830 Santo Expedito";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354840 Santópolis do Aguapeí";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"354850 Santos";-;1;-;-;7;-;32;-;141;1025;3;3;2;11;10;1;5;1;-;1;3;2;-;64;-;-;8;1;-;1321
"354860 São Bento do Sapucaí";-;-;-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;1;-;-;1;1;-;1;-;-;-;-;-;8
"354870 São Bernardo do Campo";-;1;-;-;5;-;32;1;242;321;-;3;5;11;2;-;41;-;-;1;13;-;-;55;4;-;14;2;-;753
"354880 São Caetano do Sul";-;-;-;-;1;-;13;-;179;321;-;-;-;6;1;-;1;1;-;-;-;1;-;33;-;-;-;4;-;561
"354890 São Carlos";-;1;1;-;2;-;30;1;40;215;-;-;-;3;-;-;39;-;-;-;2;1;-;35;-;-;6;1;-;377
"354900 São Francisco";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"354910 São João da Boa Vista";-;1;1;-;2;-;12;-;30;333;-;6;-;2;2;-;2;-;-;-;1;2;-;13;1;-;2;1;-;411
"354920 São João das Duas Pontes";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;3
"354925 São João de Iracema";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"354930 São João do Pau d'Alho";-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"354940 São Joaquim da Barra";-;-;-;-;-;-;11;-;8;109;-;-;-;1;-;-;1;-;-;-;1;1;-;12;1;-;-;-;-;145
"354950 São José da Bela Vista";-;-;-;-;-;-;4;-;-;4;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;10
"354960 São José do Barreiro";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;4
"354970 São José do Rio Pardo";-;-;-;-;1;-;4;-;37;66;1;-;-;1;-;-;5;-;-;-;1;1;-;14;-;-;2;-;-;133
"354980 São José do Rio Preto";-;1;1;3;5;-;28;1;301;278;2;3;6;7;3;1;43;-;5;-;-;2;-;71;2;-;11;2;-;776
"354990 São José dos Campos";-;-;-;5;4;-;39;-;143;1047;-;1;9;11;4;-;10;2;-;2;5;1;-;61;1;1;-;3;-;1349
"354995 São Lourenço da Serra";-;-;-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;8
"355000 São Luís do Paraitinga";-;-;-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;8
"355010 São Manuel";-;-;-;-;-;-;7;-;2;80;-;-;-;1;-;-;-;-;-;-;-;1;-;8;-;-;-;-;-;99
"355020 São Miguel Arcanjo";-;-;-;-;1;-;7;-;2;22;-;-;-;-;-;-;1;-;-;-;1;1;-;2;1;-;-;-;-;38
"355030 São Paulo";-;1;-;4;76;2;557;13;2008;10288;9;24;52;150;25;1;226;16;16;6;20;3;2;601;28;1;118;10;3;14260
"355040 São Pedro";-;-;-;-;-;-;5;-;4;49;-;3;-;1;-;-;2;1;-;-;-;1;-;2;-;-;-;-;-;68
"355050 São Pedro do Turvo";-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"355060 São Roque";-;-;-;-;1;-;9;-;19;152;1;-;-;2;-;-;8;-;-;-;-;1;-;10;-;-;-;-;-;203
"355070 São Sebastião";-;1;-;-;1;-;15;-;7;107;-;1;-;1;-;-;-;-;-;-;1;1;-;8;-;-;6;-;-;149
"355080 São Sebastião da Grama";-;-;-;-;-;-;5;-;1;12;-;-;-;1;-;-;-;-;-;-;1;-;-;3;1;-;-;-;-;24
"355090 São Simão";-;-;-;-;-;-;4;-;5;18;-;-;-;1;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;32
"355100 São Vicente";-;1;-;-;5;-;29;1;35;140;-;-;1;3;1;-;9;3;-;-;3;1;-;11;1;-;5;1;-;250
"355110 Sarapuí";-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;6
"355120 Sarutaiá";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"355130 Sebastianópolis do Sul";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"355140 Serra Azul";-;-;-;-;-;-;6;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;9
"355160 Serra Negra";-;-;-;-;1;-;9;-;4;37;-;-;-;1;-;-;3;-;-;-;-;1;-;6;-;-;-;-;-;62
"355150 Serrana";-;-;-;-;-;-;7;1;6;6;-;1;-;1;-;-;3;-;-;-;-;1;-;1;2;-;-;-;-;29
"355170 Sertãozinho";-;1;-;-;-;-;13;-;41;143;-;1;-;2;1;-;6;-;-;-;1;1;-;14;-;-;3;-;-;227
"355180 Sete Barras";-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;7
"355190 Severínia";-;-;-;-;-;-;2;-;1;5;-;-;-;-;-;-;2;-;-;-;-;1;-;2;-;-;-;-;-;13
"355200 Silveiras";-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;5
"355210 Socorro";-;-;-;-;1;-;5;-;1;29;-;-;-;1;-;-;2;5;-;-;-;1;-;5;-;-;-;-;-;50
"355220 Sorocaba";-;1;-;1;6;-;34;-;104;371;-;1;6;7;2;1;23;-;2;-;1;2;-;68;-;-;9;13;-;652
"355230 Sud Mennucci";-;-;-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;8
"355240 Sumaré";-;-;-;-;1;-;24;-;14;84;-;1;-;1;1;-;15;2;1;-;1;1;-;19;1;-;-;-;-;166
"355255 Suzanápolis";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"355250 Suzano";-;1;-;-;2;-;20;-;44;58;-;2;-;2;-;-;9;-;1;-;1;1;-;19;-;-;5;-;-;165
"355260 Tabapuã";-;-;-;-;-;-;1;-;2;3;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;10
"355270 Tabatinga";-;-;-;-;-;-;4;-;-;26;-;-;-;1;-;-;1;-;-;-;1;1;-;5;-;-;-;-;-;39
"355280 Taboão da Serra";-;1;-;-;3;-;11;1;26;42;-;1;1;3;-;-;10;-;-;1;1;-;-;7;1;-;-;-;-;109
"355290 Taciba";-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"355300 Taguaí";-;-;-;-;-;-;1;-;1;5;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;1;-;-;12
"355310 Taiaçu";-;-;-;-;-;-;1;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;8
"355320 Taiúva";-;-;-;-;-;-;3;-;-;7;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;12
"355330 Tambaú";-;-;-;-;-;-;6;-;-;22;-;-;-;1;-;-;1;1;-;-;1;1;-;7;-;-;1;-;-;41
"355340 Tanabi";-;-;-;-;-;-;6;-;13;6;-;-;-;1;-;-;-;3;-;-;-;1;-;3;-;-;1;-;-;34
"355350 Tapiraí";-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;5
"355360 Tapiratiba";-;-;-;-;-;-;3;-;-;2;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;8
"355365 Taquaral";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"355370 Taquaritinga";-;-;-;-;2;-;8;-;10;89;1;-;-;1;-;-;2;-;-;-;1;1;-;10;-;-;-;1;-;126
"355380 Taquarituba";-;-;-;-;-;-;5;-;1;2;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;12
"355385 Taquarivaí";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"355390 Tarabai";-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;6
"355395 Tarumã";1;-;-;-;1;-;5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;13
"355400 Tatuí";-;-;-;-;-;-;15;1;30;202;-;-;-;1;-;-;4;1;-;-;2;1;-;19;-;-;1;1;-;278
"355410 Taubaté";-;-;-;-;3;-;53;-;125;363;-;-;1;4;2;1;5;-;1;-;1;2;-;31;-;-;1;3;-;596
"355420 Tejupá";-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"355430 Teodoro Sampaio";-;-;-;-;-;-;9;-;3;12;-;-;-;1;-;-;-;-;1;-;-;1;-;4;-;-;-;-;-;31
"355440 Terra Roxa";-;-;-;-;-;-;4;-;1;7;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;15
"355450 Tietê";-;-;-;-;-;-;2;-;11;64;-;-;-;1;-;-;-;6;-;-;-;1;-;10;-;-;-;-;-;95
"355460 Timburi";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"355465 Torre de Pedra";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"355470 Torrinha";-;-;-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"355475 Trabiju";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"355480 Tremembé";-;-;-;-;-;-;4;-;5;10;-;-;-;1;-;-;-;8;1;-;-;1;-;2;-;-;-;-;-;32
"355490 Três Fronteiras";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"355495 Tuiuti";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;4
"355500 Tupã";-;-;1;-;-;-;13;-;16;114;-;-;3;2;-;-;7;-;1;-;-;2;-;8;-;-;-;-;-;167
"355510 Tupi Paulista";-;-;-;-;-;-;7;-;-;20;-;-;-;1;-;-;1;-;-;-;1;1;-;1;-;-;-;-;-;32
"355520 Turiúba";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"355530 Turmalina";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"355535 Ubarana";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"355540 Ubatuba";-;-;-;-;1;-;20;-;5;28;-;-;-;1;-;-;-;4;-;-;-;-;-;4;1;-;-;-;-;64
"355550 Ubirajara";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"355560 Uchoa";1;-;-;-;-;-;3;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;9
"355570 União Paulista";1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"355580 Urânia";-;-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;7
"355590 Uru";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"355600 Urupês";-;-;-;-;-;-;3;-;2;3;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;11
"355610 Valentim Gentil";1;-;-;-;-;-;4;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;9
"355620 Valinhos";-;-;-;-;2;-;13;-;23;235;-;-;-;2;-;-;2;-;1;-;-;1;-;11;-;-;-;-;-;290
"355630 Valparaíso";-;-;-;-;-;-;6;-;2;12;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;22
"355635 Vargem";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;4
"355640 Vargem Grande do Sul";-;-;-;-;-;-;2;-;4;57;-;-;-;1;-;-;2;4;-;-;1;1;-;5;-;-;-;-;-;77
"355645 Vargem Grande Paulista";-;-;-;-;1;-;8;-;8;1;-;-;-;-;-;-;3;-;1;-;-;2;-;1;1;-;1;-;-;27
"355650 Várzea Paulista";-;-;-;-;2;-;13;-;5;6;-;-;-;1;-;-;1;-;-;-;-;1;-;3;-;-;-;-;-;32
"355660 Vera Cruz";-;-;-;-;-;-;2;-;2;7;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;13
"355670 Vinhedo";-;-;-;-;1;-;5;-;29;154;-;-;-;1;-;-;2;-;-;-;-;1;-;13;-;-;-;-;-;206
"355680 Viradouro";-;-;-;-;-;-;3;-;5;17;-;1;-;1;-;-;4;-;-;-;-;1;-;4;-;-;-;-;-;36
"355690 Vista Alegre do Alto";-;-;-;-;-;-;1;-;2;3;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;9
"355695 Vitória Brasil";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"355700 Votorantim";-;1;-;-;1;-;13;-;7;42;-;-;-;2;-;1;2;1;-;-;-;1;-;8;-;-;1;1;-;81
"355710 Votuporanga";-;1;-;-;2;-;12;-;25;198;-;1;-;2;-;-;1;-;2;-;-;1;-;14;-;-;3;-;-;262
"355715 Zacarias";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"Total";27;48;11;27;354;2;4333;66;8090;37407;28;155;168;723;114;16;1370;353;126;19;187;631;2;3446;150;24;488;113;3;58481
&
