"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"350230 Anhembi";1;-;-;-;-;-;-;3;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;9
"350240 Anhumas";1;-;-;-;-;-;-;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"350250 Aparecida";-;-;-;-;-;1;-;2;-;-;3;14;-;2;-;1;-;-;-;-;-;8;-;-;-;1;-;-;-;6;-;-;1;-;-;-;39
"350260 Aparecida d'Oeste";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;6
"350270 Apiaí";-;1;-;-;-;1;-;9;-;-;4;21;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;4;-;-;2;-;-;-;45
"350275 Araçariguama";-;1;-;-;-;-;-;2;-;-;3;4;-;-;-;-;-;-;-;2;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;15
"350280 Araçatuba";-;1;1;-;-;2;-;18;-;-;103;495;1;1;3;3;-;1;-;3;-;2;2;-;-;2;7;-;-;29;2;-;3;1;-;-;680
"350290 Araçoiaba da Serra";-;1;-;-;-;1;-;7;-;-;1;2;-;-;-;-;4;-;-;1;-;-;1;-;-;1;1;-;-;2;-;-;1;-;-;-;23
"350300 Aramina";-;-;-;-;-;-;-;2;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;8
"350310 Arandu";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;5
"350315 Arapeí";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;4
"350320 Araraquara";2;2;1;-;-;2;-;37;-;-;61;523;-;5;3;3;2;-;-;10;-;-;4;-;-;2;-;-;-;20;3;-;14;1;-;-;695
"350330 Araras";-;-;1;-;-;2;-;20;-;-;33;239;-;-;1;3;-;-;-;1;-;3;1;-;-;1;-;-;-;11;2;-;3;-;-;-;321
"350335 Arco-Íris";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350340 Arealva";1;-;-;-;-;-;-;4;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;11
"350350 Areias";-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350360 Areiópolis";-;-;-;-;-;-;-;3;-;-;1;3;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;12
"350370 Ariranha";-;-;-;-;-;-;-;2;-;-;1;3;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;10
"350380 Artur Nogueira";-;1;-;-;-;1;-;18;-;-;4;40;-;1;-;1;-;-;1;4;-;-;-;-;1;1;-;-;-;6;1;-;-;-;-;-;80
"350390 Arujá";-;-;-;-;-;1;-;7;-;-;10;25;-;-;-;2;-;-;-;4;-;1;-;-;-;1;-;-;-;5;-;-;1;-;-;-;57
"350395 Aspásia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350400 Assis";1;1;1;1;-;1;-;19;-;-;18;247;-;1;-;4;6;-;-;5;-;2;2;-;-;1;-;-;-;21;1;-;2;-;-;-;334
"350410 Atibaia";1;-;-;-;-;1;-;20;-;-;6;178;-;-;-;3;-;-;-;20;-;-;1;-;-;1;2;-;-;33;1;-;3;-;-;-;270
"350420 Auriflama";-;1;-;-;-;-;-;4;-;-;1;14;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;24
"350430 Avaí";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350440 Avanhandava";-;-;-;-;-;-;-;3;-;-;1;8;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;-;-;-;-;-;-;16
"350450 Avaré";-;-;1;-;-;1;-;17;-;-;10;165;2;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;17;1;-;2;-;-;1;221
"350460 Bady Bassitt";-;-;-;-;-;-;-;4;-;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;11
"350470 Balbinos";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"350480 Bálsamo";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;4
"350490 Bananal";-;1;-;-;-;-;-;-;-;-;1;1;2;-;-;1;-;-;-;-;-;5;-;-;-;1;-;-;-;-;-;-;-;-;-;-;12
"350500 Barão de Antonina";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350510 Barbosa";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350520 Bariri";-;-;-;-;-;-;-;7;-;-;2;42;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;7;-;-;-;-;-;-;62
"350530 Barra Bonita";1;-;-;-;-;1;-;8;-;-;2;66;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;7;-;-;-;-;-;-;87
"350535 Barra do Chapéu";-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"350540 Barra do Turvo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;1;-;-;7
"350550 Barretos";1;2;1;-;-;1;-;15;-;-;24;200;-;2;3;2;1;-;1;3;-;-;1;-;-;2;1;-;-;7;1;-;3;-;-;-;271
"350560 Barrinha";-;-;-;-;-;-;-;6;-;-;3;9;-;-;-;-;-;-;-;3;-;-;2;-;-;1;-;-;-;2;2;-;1;-;-;-;29
"350570 Barueri";-;1;-;-;-;3;-;16;-;-;43;184;-;-;-;3;-;-;-;16;-;-;-;2;5;1;-;-;-;15;-;-;-;-;-;-;289
"350580 Bastos";-;1;-;-;-;-;-;6;-;-;8;7;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;-;27
"350590 Batatais";-;1;-;-;-;1;-;8;-;-;8;185;-;1;-;1;-;-;-;1;-;1;1;-;1;1;-;-;-;8;-;-;2;-;-;-;220
"350600 Bauru";-;2;1;-;-;4;-;24;-;-;35;587;-;4;3;6;2;-;1;25;1;4;4;1;-;2;-;1;-;32;-;-;11;-;-;-;750
"350610 Bebedouro";1;1;-;-;-;2;-;17;-;-;39;149;-;1;-;3;3;-;-;17;-;-;1;-;-;1;-;-;-;11;-;-;-;1;-;-;247
"350620 Bento de Abreu";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;3
"350630 Bernardino de Campos";-;-;-;-;-;1;-;4;-;-;1;4;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;14
"350635 Bertioga";-;-;-;-;-;-;-;5;-;-;10;10;-;1;-;1;-;-;-;1;-;-;1;-;-;1;-;-;-;9;2;-;3;1;-;-;45
"350640 Bilac";-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;8
"350650 Birigui";-;-;-;-;-;-;-;9;-;-;26;112;-;1;-;2;-;-;-;3;-;-;1;-;1;1;1;-;-;14;-;-;-;-;-;-;171
"350660 Biritiba-Mirim";-;1;-;-;-;1;-;6;-;-;1;9;-;-;-;-;-;-;-;2;-;-;1;-;-;1;-;-;-;1;1;-;1;-;-;-;25
"350670 Boa Esperança do Sul";-;-;-;-;-;-;-;4;-;-;1;10;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;20
"350680 Bocaina";-;-;-;-;-;-;-;4;-;-;1;11;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;19
"350690 Bofete";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350700 Boituva";1;1;-;-;-;1;-;6;-;-;12;49;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;6;-;-;-;2;-;-;82
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;-;-;-;-;1;11;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;1;1;-;-;-;17
"350715 Bom Sucesso de Itararé";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"350720 Borá";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350730 Boracéia";-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350740 Borborema";-;-;-;-;-;1;-;4;-;-;5;20;-;-;-;1;-;-;-;2;-;1;-;-;1;1;-;-;-;2;-;-;-;-;-;-;38
"350745 Borebi";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"350750 Botucatu";-;1;1;-;-;3;-;19;-;1;33;499;-;2;1;4;-;-;-;1;-;-;1;-;-;1;-;-;-;8;1;-;2;-;-;-;578
"350760 Bragança Paulista";2;1;1;3;-;2;-;27;-;-;13;241;-;1;-;5;2;-;-;25;-;4;1;-;-;1;-;-;-;20;-;-;3;2;-;-;354
"350770 Braúna";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350775 Brejo Alegre";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350780 Brodowski";-;-;-;-;-;-;-;6;-;-;1;30;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;4;-;-;1;-;-;-;47
"350790 Brotas";-;-;-;-;-;-;-;4;-;-;3;51;-;1;-;1;-;-;-;1;-;-;-;-;-;1;1;-;-;2;-;-;-;-;-;-;65
"350800 Buri";-;1;-;-;-;1;-;5;-;-;1;3;-;-;-;-;-;-;-;1;-;3;1;-;-;1;-;-;-;1;-;-;-;-;-;-;18
"350810 Buritama";1;-;-;-;-;1;-;2;-;-;4;7;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;2;-;-;-;-;-;22
"350820 Buritizal";-;-;-;-;-;-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;7
"350830 Cabrália Paulista";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350840 Cabreúva";-;-;-;-;-;-;-;7;-;-;5;5;-;1;-;1;-;-;-;3;-;-;1;-;-;1;-;-;-;4;-;-;-;-;-;-;28
"350850 Caçapava";-;1;-;1;-;2;-;18;-;-;6;216;-;2;-;4;-;-;-;1;-;-;-;-;1;1;-;-;-;5;1;-;2;-;-;1;262
"350860 Cachoeira Paulista";1;-;-;-;-;-;-;9;-;-;4;35;-;1;-;1;-;-;-;3;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;58
"350870 Caconde";1;-;-;-;-;-;-;3;-;-;5;18;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;4;-;-;-;-;-;-;35
"350880 Cafelândia";1;-;-;-;-;1;-;4;-;-;-;27;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;40
"350890 Caiabu";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350900 Caieiras";-;-;-;-;-;1;-;5;-;-;15;18;-;-;-;2;-;-;-;5;-;8;1;-;-;-;-;-;-;6;2;1;-;-;-;-;64
"350910 Caiuá";-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"350920 Cajamar";1;-;-;-;-;1;-;11;-;-;6;25;-;-;-;1;-;-;-;1;-;-;1;-;-;1;-;-;-;3;2;-;-;-;-;-;53
"350925 Cajati";1;-;-;-;-;1;-;9;-;-;4;20;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2;-;-;-;-;-;-;39
"350930 Cajobi";1;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;8
"350940 Cajuru";-;-;-;-;-;-;-;8;-;-;7;30;-;-;-;1;-;-;-;3;-;-;1;-;-;1;-;-;-;2;-;-;1;-;-;-;54
"350945 Campina do Monte Alegre";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350950 Campinas";1;2;1;-;6;14;-;64;-;-;269;1798;1;4;7;20;16;1;-;68;-;6;3;-;-;7;6;-;-;144;1;-;21;-;-;-;2460
"350960 Campo Limpo Paulista";1;-;-;-;-;1;-;8;-;-;12;8;-;1;-;1;-;-;-;5;-;2;-;-;-;1;-;-;-;3;1;-;-;-;-;-;44
"350970 Campos do Jordão";-;-;-;-;1;1;-;2;-;-;6;39;-;-;-;2;-;-;-;-;-;10;-;-;1;1;-;-;-;4;-;-;2;-;-;-;69
"350980 Campos Novos Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350990 Cananéia";-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"350995 Canas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351000 Cândido Mota";-;-;-;-;-;1;-;6;-;-;3;46;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;10;-;-;-;-;-;-;70
"351010 Cândido Rodrigues";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351015 Canitar";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351020 Capão Bonito";-;1;-;-;-;1;-;8;-;-;5;18;-;-;-;1;-;-;-;4;-;4;-;-;-;1;-;-;-;4;-;-;-;-;-;-;47
"351030 Capela do Alto";-;1;-;-;1;1;-;6;-;-;1;5;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;18
"351040 Capivari";-;-;-;-;-;2;-;6;-;-;25;85;-;-;-;2;-;-;-;8;-;-;-;-;1;1;-;-;-;12;-;-;-;-;-;-;142
"351050 Caraguatatuba";-;1;-;-;1;1;-;10;-;-;28;90;-;-;-;1;4;-;-;9;-;2;1;-;-;1;-;-;-;11;2;-;5;-;-;-;167
"351060 Carapicuíba";-;-;-;-;-;3;-;15;-;-;17;33;-;-;-;2;-;-;-;9;-;-;-;-;2;1;-;-;-;7;2;1;4;2;-;-;98
"351070 Cardoso";-;-;-;-;-;-;-;5;-;-;-;7;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;1;-;-;-;18
"351080 Casa Branca";-;1;-;-;-;2;-;5;-;-;4;48;-;-;1;1;-;-;-;-;-;-;-;-;1;1;-;-;-;11;-;-;1;-;-;-;76
"351090 Cássia dos Coqueiros";1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"351100 Castilho";-;-;-;-;-;-;-;1;-;-;3;9;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;18
"351110 Catanduva";2;1;1;-;1;2;-;26;-;-;121;279;-;2;1;3;3;-;-;1;-;-;1;-;-;1;-;-;-;15;1;-;4;-;-;-;465
"351120 Catiguá";-;-;-;-;-;-;-;2;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;9
"351130 Cedral";-;-;-;-;-;-;-;3;-;-;2;6;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;17
"351140 Cerqueira César";-;-;-;-;-;-;-;8;-;-;1;9;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;1;-;-;-;25
"351150 Cerquilho";-;1;-;-;-;1;-;7;-;-;7;92;-;-;-;1;-;-;1;9;-;-;-;-;-;1;-;-;-;7;-;-;-;-;-;1;128
"351160 Cesário Lange";-;1;-;-;-;-;-;4;-;-;1;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;15
"351170 Charqueada";-;-;-;-;-;-;-;5;-;-;1;10;-;-;-;1;-;-;-;3;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;22
"355720 Chavantes";-;-;-;-;-;1;-;3;-;-;1;11;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;20
"351190 Clementina";1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5
"351200 Colina";-;-;-;-;-;-;-;4;-;-;4;21;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;1;-;-;-;34
"351210 Colômbia";1;-;-;-;-;-;-;3;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;11
"351220 Conchal";1;-;-;-;-;1;-;6;-;-;2;19;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;4;-;-;1;-;-;-;37
"351230 Conchas";-;-;-;-;-;-;-;4;-;-;2;25;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;7;-;-;-;-;-;-;41
"351240 Cordeirópolis";1;-;-;1;-;1;-;7;-;-;4;14;-;-;-;-;-;-;-;3;-;-;1;-;-;1;-;-;-;3;-;-;1;-;-;-;37
"351250 Coroados";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351260 Coronel Macedo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"351270 Corumbataí";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;4
"351280 Cosmópolis";-;1;-;-;-;2;-;10;-;-;8;44;-;-;-;1;-;-;-;6;-;-;1;-;-;1;-;-;2;4;2;-;-;-;-;-;82
