"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"351620 Franca";-;1;-;1;1;-;22;1;144;408;-;2;1;3;-;-;4;-;2;-;-;2;-;22;2;-;5;1;-;622
"351630 Francisco Morato";-;-;-;-;1;-;12;-;6;17;-;1;-;2;-;-;2;-;-;-;-;1;-;2;-;-;-;1;-;45
"351640 Franco da Rocha";-;-;-;-;-;-;11;1;9;26;-;2;2;3;-;-;-;-;1;-;-;1;-;5;5;-;-;-;-;66
"351650 Gabriel Monteiro";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"351660 Gália";-;-;-;-;-;-;2;-;1;5;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;11
"351670 Garça";1;-;-;-;2;-;12;-;5;29;-;-;2;1;-;-;1;-;-;-;-;1;-;2;-;-;-;-;-;56
"351680 Gastão Vidigal";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"351685 Gavião Peixoto";-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;6
"351690 General Salgado";-;-;-;-;-;-;1;-;3;5;-;-;-;1;-;-;-;2;-;-;-;1;-;2;-;-;-;-;-;15
"351700 Getulina";-;-;-;-;-;-;3;-;-;10;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;15
"351710 Glicério";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"351720 Guaiçara";-;-;-;-;-;-;2;-;-;4;-;-;-;-;-;-;-;3;-;-;-;1;-;2;-;-;-;-;-;12
"351730 Guaimbê";-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;5
"351740 Guaíra";-;-;-;-;-;-;10;-;5;37;-;-;-;1;-;-;-;-;-;-;-;1;-;4;-;-;1;-;-;59
"351750 Guapiaçu";-;-;-;-;1;-;7;-;4;3;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;-;-;-;-;19
"351760 Guapiara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;8;-;-;1;1;-;-;-;-;-;-;-;11
"351770 Guará";1;-;-;-;1;-;5;1;4;15;-;-;-;1;-;-;-;1;-;-;-;1;-;2;1;-;-;-;-;33
"351780 Guaraçaí";-;-;-;-;-;-;1;-;-;9;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;13
"351790 Guaraci";-;-;-;-;-;-;4;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;9
"351800 Guarani d'Oeste";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"351810 Guarantã";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;4
"351820 Guararapes";-;-;-;-;-;-;4;-;-;27;-;-;-;1;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;36
"351830 Guararema";-;-;-;-;-;-;2;-;1;8;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;14
"351840 Guaratinguetá";-;1;-;-;1;-;9;1;15;167;-;1;-;2;2;-;10;5;-;-;1;1;-;10;1;-;-;1;-;228
"351850 Guareí";-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;5
"351860 Guariba";-;-;-;-;-;-;3;-;8;10;-;-;-;1;-;-;4;-;-;-;-;1;-;4;-;-;-;-;-;31
"351870 Guarujá";-;-;-;-;3;-;22;1;29;158;-;2;-;1;3;-;-;-;-;-;9;-;-;28;1;-;6;-;-;263
"351880 Guarulhos";1;1;-;-;7;-;70;-;142;262;-;1;3;10;-;-;34;1;1;-;4;1;-;52;1;-;17;-;-;608
"351885 Guatapará";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;3
"351890 Guzolândia";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"351900 Herculândia";-;-;-;-;-;-;3;1;-;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;9
"351905 Holambra";-;-;-;-;-;-;3;-;2;6;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;13
"351907 Hortolândia";-;1;-;-;1;-;22;-;12;37;-;3;-;2;1;-;5;-;-;-;1;1;-;6;1;-;7;2;-;102
"351910 Iacanga";-;-;-;-;-;-;-;-;1;5;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;10
"351920 Iacri";-;-;-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;7
"351925 Iaras";-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"351930 Ibaté";-;-;-;-;-;-;8;-;1;12;-;-;-;1;-;-;-;-;-;-;-;1;-;4;1;-;-;-;-;28
"351940 Ibirá";-;-;-;-;-;-;3;-;3;1;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;1;-;-;13
"351950 Ibirarema";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;3
"351960 Ibitinga";-;-;-;-;-;-;6;-;2;83;-;-;-;2;-;-;1;1;-;-;2;1;-;8;-;-;-;-;-;106
"351970 Ibiúna";-;-;-;-;-;-;16;-;5;11;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;1;-;-;37
"351980 Icém";-;-;-;-;-;-;2;-;2;4;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;10
"351990 Iepê";-;-;-;-;-;-;3;-;3;5;-;5;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;19
"352000 Igaraçu do Tietê";-;-;-;-;-;-;4;-;1;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;9
"352010 Igarapava";-;-;-;-;-;-;5;-;1;35;-;-;-;1;-;-;1;-;-;-;-;1;-;4;-;-;-;-;-;48
"352020 Igaratá";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;4
"352030 Iguape";-;-;-;-;-;-;1;-;1;5;-;-;-;-;-;-;1;5;-;-;-;1;-;3;-;1;-;-;-;18
"352042 Ilha Comprida";-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;2;-;-;-;-;-;8
"352044 Ilha Solteira";-;-;-;-;-;-;11;-;5;51;-;-;-;1;-;-;2;-;-;-;-;1;-;3;-;-;-;-;-;74
"352040 Ilhabela";-;-;-;-;1;-;8;-;1;2;-;-;-;1;-;-;-;-;-;1;-;1;-;2;-;-;-;-;-;17
"352050 Indaiatuba";-;-;-;-;3;-;6;-;30;209;-;-;1;2;4;-;18;7;-;-;1;1;-;22;1;-;1;1;-;307
"352060 Indiana";-;-;-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;7
"352070 Indiaporã";-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"352080 Inúbia Paulista";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"352090 Ipaussu";-;-;-;-;-;-;3;-;-;5;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;13
"352100 Iperó";-;-;-;-;1;-;5;-;-;11;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;20
"352110 Ipeúna";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;1;-;1;-;-;6
"352115 Ipiguá";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"352120 Iporanga";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352130 Ipuã";-;-;-;-;-;-;4;-;1;20;-;-;-;1;-;-;-;1;-;-;1;1;-;2;-;-;-;-;-;31
"352140 Iracemápolis";-;-;-;-;-;-;3;-;2;9;-;-;-;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;-;18
"352150 Irapuã";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"352160 Irapuru";-;-;-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;6
"352170 Itaberá";-;-;-;-;-;-;5;-;1;-;-;-;-;1;-;-;-;4;-;-;-;1;-;2;-;-;-;-;-;14
"352180 Itaí";-;-;-;-;-;-;7;-;-;15;-;-;-;1;-;-;1;-;-;-;-;1;-;2;-;-;-;-;-;27
"352190 Itajobi";-;-;-;-;-;-;4;-;1;5;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;14
"352200 Itaju";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"352210 Itanhaém";-;1;-;-;3;-;10;-;14;14;-;2;-;1;-;-;2;-;-;-;1;1;-;2;2;-;3;1;-;57
"352215 Itaóca";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"352220 Itapecerica da Serra";-;-;-;-;1;-;12;-;5;17;-;-;1;2;-;-;2;-;-;-;1;1;-;2;-;-;2;-;-;46
"352230 Itapetininga";-;1;1;-;2;-;25;-;15;200;-;-;-;2;1;-;3;7;-;-;-;1;-;13;1;-;-;-;-;272
"352240 Itapeva";-;1;-;-;2;-;23;-;16;69;-;2;-;1;1;-;16;-;-;-;-;1;-;5;1;-;1;-;-;139
"352250 Itapevi";-;1;-;-;1;-;12;1;14;16;-;1;-;2;-;-;1;-;-;-;4;1;-;3;1;-;6;1;-;65
"352260 Itapira";-;-;-;-;1;-;16;-;10;116;-;-;3;2;-;-;6;-;-;-;-;1;-;10;-;-;2;-;-;167
"352265 Itapirapuã Paulista";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"352270 Itápolis";-;-;-;-;1;-;8;-;7;54;-;-;-;1;-;-;1;-;-;-;-;1;-;7;-;-;-;-;-;80
"352280 Itaporanga";-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;3;1;-;-;-;-;10
"352290 Itapuí";-;-;-;-;-;-;4;-;-;2;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;9
"352300 Itapura";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;3
"352310 Itaquaquecetuba";-;-;-;-;-;-;18;1;4;11;-;2;-;1;-;-;4;-;-;-;1;1;-;5;3;-;1;-;-;52
"352320 Itararé";-;-;-;-;1;-;6;1;8;45;-;1;-;1;-;-;-;5;-;-;-;1;-;3;-;-;-;-;-;72
"352330 Itariri";-;-;-;-;-;-;4;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"352340 Itatiba";-;-;-;-;2;-;15;-;24;46;-;1;-;2;1;-;4;-;1;-;-;1;-;13;1;-;1;1;-;113
"352350 Itatinga";-;-;-;-;-;-;2;-;1;12;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;17
"352360 Itirapina";-;-;-;-;-;-;6;-;1;18;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;28
"352370 Itirapuã";-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"352380 Itobi";-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"352390 Itu";-;-;-;-;2;-;15;-;37;126;-;1;2;1;-;-;8;-;2;-;1;1;-;16;-;-;-;4;-;216
"352400 Itupeva";-;-;-;-;1;-;12;-;6;17;-;-;1;1;-;-;2;-;-;-;-;1;-;5;-;-;-;2;-;48
"352410 Ituverava";-;-;-;-;-;-;10;1;13;99;-;-;-;2;-;-;1;-;-;-;-;-;-;9;1;-;-;-;-;136
"352420 Jaborandi";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;4
"352430 Jaboticabal";-;-;-;-;2;-;10;-;19;63;-;-;-;2;-;-;6;-;1;-;-;1;-;8;-;-;1;-;-;113
"352440 Jacareí";-;-;-;-;2;-;17;-;27;227;-;-;-;5;1;-;2;-;2;-;1;1;-;20;-;-;-;-;-;305
"352450 Jaci";-;-;-;-;-;-;3;-;4;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;10
"352460 Jacupiranga";-;-;-;-;-;-;5;-;-;6;-;1;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;15
"352470 Jaguariúna";-;-;-;-;-;-;6;1;8;30;-;-;-;1;-;-;5;-;-;-;-;1;-;6;-;-;-;2;-;60
"352480 Jales";-;1;-;-;-;-;10;-;8;118;-;-;-;1;-;-;2;-;-;-;1;1;-;14;1;-;4;-;-;161
"352490 Jambeiro";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"352500 Jandira";-;-;-;-;1;-;9;-;4;9;-;-;-;1;1;-;3;-;1;-;-;1;-;1;-;-;-;1;-;32
"352510 Jardinópolis";-;-;-;-;-;-;8;-;4;20;-;-;-;-;-;-;3;-;1;-;-;1;-;2;-;-;-;-;-;39
"352520 Jarinu";-;-;-;-;-;-;3;1;3;4;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;-;-;-;-;15
"352530 Jaú";-;1;-;-;1;-;17;-;79;263;-;-;2;1;-;-;1;-;1;-;-;1;-;12;-;-;2;-;-;381
"352540 Jeriquara";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352550 Joanópolis";-;-;-;-;-;-;2;-;-;1;-;-;-;1;-;-;1;-;-;-;-;1;-;1;-;-;1;-;-;8
"352560 João Ramalho";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"352570 José Bonifácio";-;-;-;-;-;-;8;-;6;14;-;-;-;1;-;-;4;-;-;-;-;1;-;5;-;-;1;-;-;40
"352580 Júlio Mesquita";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"352585 Jumirim";-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"352590 Jundiaí";-;1;-;2;3;-;36;-;188;1092;-;1;1;5;4;-;9;-;4;-;-;1;-;51;-;-;-;2;-;1400
"352600 Junqueirópolis";-;-;-;-;1;-;10;-;1;7;-;-;-;1;-;-;-;-;-;-;1;1;-;2;-;-;-;-;-;24
"352610 Juquiá";-;-;-;-;-;-;5;-;-;2;-;-;-;1;-;-;-;2;-;-;-;-;-;2;-;-;-;-;-;12
"352620 Juquitiba";-;-;-;-;1;-;4;-;-;3;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;1;2;-;-;14
"352630 Lagoinha";-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"352640 Laranjal Paulista";-;-;-;-;1;-;6;-;5;45;-;-;-;1;-;-;2;-;-;-;-;1;-;5;-;-;-;-;-;66
"352650 Lavínia";-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"352660 Lavrinhas";-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"352670 Leme";-;-;-;-;1;-;13;-;24;89;-;-;-;2;-;-;2;-;1;-;-;1;-;12;1;-;-;1;-;147
"352680 Lençóis Paulista";-;-;-;-;-;-;9;1;5;98;-;-;-;1;1;-;2;-;-;-;1;1;-;19;-;-;1;1;-;140
"352690 Limeira";-;1;-;-;-;-;25;-;44;415;-;-;-;4;-;-;6;-;-;-;-;1;-;24;1;-;4;-;-;525
"352700 Lindóia";-;-;-;-;-;-;3;-;2;2;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;1;-;-;11
"352710 Lins";-;-;-;1;4;-;7;-;5;298;-;-;2;3;-;-;1;3;-;-;-;1;-;12;-;-;-;-;-;337
"352720 Lorena";-;-;-;-;1;-;16;-;7;146;-;-;-;2;-;-;-;-;-;-;1;1;-;11;-;-;1;-;-;186
"352725 Lourdes";1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"352730 Louveira";-;-;-;-;-;-;4;-;4;13;-;-;-;1;-;-;3;-;-;-;-;1;-;2;-;-;-;-;-;28
"352740 Lucélia";-;-;-;-;-;-;6;-;3;16;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;27
"352750 Lucianópolis";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"352760 Luís Antônio";1;-;-;-;-;-;4;-;1;8;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;15
"352770 Luiziânia";-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;7
"352780 Lupércio";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;3
"352790 Lutécia";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"352800 Macatuba";-;-;-;-;-;-;4;-;4;15;-;-;-;1;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;27
"352810 Macaubal";-;-;-;-;-;-;1;-;1;5;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;10
"352820 Macedônia";-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"352830 Magda";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"352840 Mairinque";-;-;-;-;-;-;15;-;9;17;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;1;-;-;45
"352850 Mairiporã";-;-;-;-;1;-;8;-;9;15;-;2;-;1;-;-;4;2;-;-;-;1;-;5;-;-;-;-;-;48
"352860 Manduri";-;-;-;-;-;-;2;-;2;5;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;12
"352870 Marabá Paulista";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;4
"352880 Maracaí";-;-;-;-;1;-;4;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;4;-;-;-;-;-;14
"352885 Marapoama";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"352890 Mariápolis";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"352900 Marília";-;1;-;-;3;-;49;-;39;475;-;3;2;4;-;1;1;-;3;-;-;2;-;22;1;-;4;2;-;612
"352910 Marinópolis";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"352920 Martinópolis";-;-;-;-;2;-;7;-;3;14;-;-;-;1;-;-;-;1;-;-;-;1;-;2;-;-;-;-;-;31
"352930 Matão";-;-;-;-;1;-;12;-;26;94;-;-;-;1;-;-;2;-;1;-;-;1;-;7;-;-;-;1;-;146
"352940 Mauá";-;1;-;-;3;-;24;-;18;122;-;-;1;4;-;-;9;-;3;-;-;1;-;17;1;-;1;1;-;206
"352950 Mendonça";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;3
"352960 Meridiano";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;4
"352965 Mesópolis";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"352970 Miguelópolis";-;-;-;-;-;-;7;1;4;11;-;-;-;1;-;-;1;-;-;-;1;-;-;4;-;-;-;-;-;30
"352980 Mineiros do Tietê";-;-;-;-;-;-;2;-;2;3;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;9
"353000 Mira Estrela";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"352990 Miracatu";-;-;-;-;-;-;4;-;1;2;-;-;-;1;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;11
"353010 Mirandópolis";-;-;-;-;-;-;6;-;-;29;-;1;-;2;-;-;-;3;-;-;-;1;-;7;1;-;-;-;-;50
"353020 Mirante do Paranapanema";-;-;-;-;-;-;6;-;1;8;-;-;-;-;-;-;2;-;-;-;-;-;-;1;1;-;-;-;-;19
"353030 Mirassol";-;-;-;-;1;-;6;-;22;61;-;-;-;2;-;-;-;1;-;-;1;1;-;7;1;-;1;-;-;104
"353040 Mirassolândia";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"353050 Mococa";-;-;-;-;3;-;10;1;55;89;-;-;-;1;-;-;3;1;-;1;-;1;-;10;2;-;1;2;-;180
"353060 Mogi das Cruzes";-;1;-;1;1;-;33;1;34;20;-;1;1;5;-;-;-;5;1;-;-;1;-;9;2;-;6;3;-;125
"353070 Mogi Guaçu";1;1;-;-;2;-;16;-;42;194;-;-;-;3;-;-;6;-;-;-;1;1;-;13;-;-;2;-;-;282
"353080 Mogi Mirim";-;-;-;-;2;-;14;-;11;122;-;1;1;1;1;-;4;-;-;-;-;1;-;15;-;-;-;-;-;173
"353090 Mombuca";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"353100 Monções";1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;6
"353110 Mongaguá";-;-;-;-;-;-;9;-;8;5;-;1;-;1;-;-;1;-;-;-;2;-;-;1;1;-;2;-;-;31
"353120 Monte Alegre do Sul";-;-;-;-;-;-;3;-;2;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;9
"353130 Monte Alto";-;-;-;-;1;-;8;-;7;131;1;1;-;2;-;-;17;-;-;-;1;-;-;2;1;-;-;-;-;172
"353140 Monte Aprazível";-;-;-;-;-;-;4;-;11;8;-;-;-;1;-;-;-;2;-;-;-;1;-;1;-;-;1;-;-;29
"353150 Monte Azul Paulista";-;-;-;-;-;-;2;-;2;12;-;-;-;2;-;-;1;-;-;-;1;1;-;3;-;-;-;-;-;24
"353160 Monte Castelo";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"353180 Monte Mor";-;-;-;-;1;-;10;-;7;21;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;44
"353170 Monteiro Lobato";-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;6
"353190 Morro Agudo";-;-;-;-;1;-;5;-;8;32;-;-;-;1;-;-;-;2;-;-;-;1;-;6;-;-;-;-;-;56
"353200 Morungaba";-;-;-;-;-;-;5;-;2;-;-;-;-;2;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;13
"353205 Motuca";-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;5
"353210 Murutinga do Sul";-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"353215 Nantes";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;3
"353220 Narandiba";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"353230 Natividade da Serra";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"353240 Nazaré Paulista";-;-;-;-;-;-;1;-;2;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;6
"353250 Neves Paulista";-;-;-;-;-;-;3;-;1;4;-;-;-;1;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;12
"353260 Nhandeara";-;-;-;-;-;-;4;-;2;19;-;-;1;1;-;-;-;-;-;-;-;1;-;2;-;-;1;-;-;31
"353270 Nipoã";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"353280 Nova Aliança";-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"353282 Nova Campina";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;4
"353284 Nova Canaã Paulista";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"353286 Nova Castilho";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353290 Nova Europa";-;-;-;-;-;-;3;-;2;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;9
"353300 Nova Granada";-;-;-;-;-;-;3;-;2;2;-;-;-;1;-;-;3;2;-;-;-;1;-;1;-;-;1;-;-;16
