"Município";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"Total"
"352060 Indiana";-;2;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352070 Indiaporã";-;1;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;4
"352080 Inúbia Paulista";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352090 Ipaussu";-;2;-;-;6;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;10
"352100 Iperó";-;4;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;7
"352110 Ipeúna";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352115 Ipiguá";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352120 Iporanga";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352130 Ipuã";-;5;-;-;13;-;-;-;1;-;-;-;-;1;-;2;2;-;-;-;-;24
"352140 Iracemápolis";-;3;-;2;3;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;10
"352150 Irapuã";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352160 Irapuru";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"352170 Itaberá";-;5;-;-;-;-;-;-;1;-;-;5;-;-;-;2;1;-;-;-;-;14
"352180 Itaí";-;6;-;-;17;-;-;-;1;-;2;-;-;-;-;2;1;-;-;-;-;29
"352190 Itajobi";-;2;-;-;3;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;8
"352200 Itaju";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352210 Itanhaém";-;8;-;15;5;-;1;-;1;-;3;-;-;1;-;3;2;-;-;-;1;40
"352215 Itaóca";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"352220 Itapecerica da Serra";-;12;-;6;8;-;-;1;2;-;2;-;-;1;1;2;-;-;-;-;-;35
"352230 Itapetininga";-;20;-;11;110;-;-;-;3;-;4;7;-;-;-;12;4;-;-;-;-;171
"352240 Itapeva";-;20;-;8;45;-;-;-;1;-;7;-;-;-;-;8;3;-;1;-;1;94
"352250 Itapevi";-;11;-;6;10;-;-;-;2;-;1;-;-;3;-;1;1;-;-;-;1;36
"352260 Itapira";-;15;-;19;81;-;-;3;2;-;10;-;-;-;-;8;1;-;-;-;-;139
"352265 Itapirapuã Paulista";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;4
"352270 Itápolis";-;5;-;-;41;-;-;-;1;-;2;2;-;-;-;7;1;-;-;-;1;60
"352280 Itaporanga";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;2;1;-;-;-;-;5
"352290 Itapuí";-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"352300 Itapura";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352310 Itaquaquecetuba";-;4;-;3;2;-;-;-;2;-;2;10;-;-;-;4;1;-;-;-;-;28
"352320 Itararé";-;7;-;6;34;-;-;-;1;-;3;5;-;-;-;4;1;-;-;-;-;61
"352330 Itariri";-;5;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"352340 Itatiba";-;14;-;12;26;-;-;-;2;-;6;-;-;-;-;9;1;-;1;-;1;72
"352350 Itatinga";-;1;-;-;6;-;-;-;1;-;-;-;-;-;-;2;1;-;-;-;-;11
"352360 Itirapina";-;3;-;-;16;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;21
"352370 Itirapuã";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352380 Itobi";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;2
"352390 Itu";-;15;-;28;75;-;-;2;3;-;6;-;-;2;-;14;3;-;-;-;4;152
"352400 Itupeva";-;12;-;4;16;-;-;1;1;-;3;-;-;-;-;2;1;-;-;-;-;40
"352410 Ituverava";-;12;1;11;69;-;-;1;1;-;-;-;-;-;-;9;1;-;-;-;-;105
"352420 Jaborandi";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"352430 Jaboticabal";-;9;-;20;44;-;-;-;2;-;7;-;-;1;-;7;1;-;-;-;-;91
"352440 Jacareí";-;17;-;23;222;-;-;-;5;-;1;1;1;-;-;18;1;-;1;-;-;290
"352450 Jaci";-;1;-;4;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;7
"352460 Jacupiranga";-;4;-;-;1;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;9
"352470 Jaguariúna";-;5;-;2;16;-;2;-;1;-;3;-;-;-;-;5;2;-;-;-;1;37
"352480 Jales";-;9;-;13;42;-;-;-;1;-;2;-;-;1;-;16;1;-;-;-;-;85
"352490 Jambeiro";-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"352500 Jandira";-;10;-;5;2;-;-;-;1;-;1;-;-;-;-;1;1;-;-;-;1;22
"352510 Jardinópolis";-;10;-;2;7;-;-;-;1;-;1;-;-;-;-;3;1;-;-;-;-;25
"352520 Jarinu";-;2;-;-;2;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;8
"352530 Jaú";-;14;-;47;124;-;-;2;2;-;2;1;-;1;-;11;2;-;-;-;-;206
"352540 Jeriquara";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352550 Joanópolis";-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"352560 João Ramalho";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352570 José Bonifácio";-;7;-;5;6;-;-;-;1;-;2;-;-;-;-;4;1;-;-;-;-;26
"352580 Júlio Mesquita";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352585 Jumirim";-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"352590 Jundiaí";-;38;-;137;520;-;1;2;5;5;6;-;-;4;-;39;3;-;1;-;-;761
"352600 Junqueirópolis";-;4;-;-;1;-;-;-;1;-;-;1;-;1;-;3;-;-;-;-;-;11
"352610 Juquiá";-;5;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;9
"352620 Juquitiba";-;5;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;9
"352630 Lagoinha";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352640 Laranjal Paulista";-;7;-;2;32;-;-;-;1;-;2;-;-;-;-;5;1;-;-;-;-;50
"352650 Lavínia";-;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"352660 Lavrinhas";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352670 Leme";-;16;-;27;45;-;-;-;2;-;2;-;-;-;1;15;1;-;-;-;6;115
"352680 Lençóis Paulista";-;9;-;2;84;-;-;-;1;1;1;-;-;-;-;10;1;-;-;-;1;110
"352690 Limeira";-;27;1;54;197;-;-;-;4;-;8;-;-;-;-;17;1;-;2;-;-;311
"352700 Lindóia";-;2;-;2;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"352710 Lins";-;6;-;7;203;-;-;2;3;-;1;3;-;-;-;8;2;-;-;-;2;237
"352720 Lorena";-;16;-;9;122;-;-;-;2;-;-;-;-;-;-;9;-;-;-;-;-;158
"352725 Lourdes";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352730 Louveira";-;2;-;1;7;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;13
"352740 Lucélia";-;3;-;-;10;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;16
"352750 Lucianópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352760 Luís Antônio";-;4;-;1;2;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;9
"352770 Luiziânia";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2
"352780 Lupércio";-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352790 Lutécia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352800 Macatuba";-;3;-;3;4;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;12
"352810 Macaubal";-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;5
"352820 Macedônia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352830 Magda";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352840 Mairinque";-;16;-;4;7;-;-;-;1;-;-;-;-;-;-;3;2;-;-;-;-;33
"352850 Mairiporã";-;6;-;4;11;-;-;-;1;-;3;1;-;-;-;2;1;-;-;-;-;29
"352860 Manduri";-;3;-;-;6;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;10
"352870 Marabá Paulista";-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352880 Maracaí";-;4;-;1;1;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;9
"352885 Marapoama";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352890 Mariápolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352900 Marília";-;47;1;33;282;-;-;2;5;-;2;-;1;1;-;18;2;-;2;-;-;396
"352910 Marinópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352920 Martinópolis";-;5;-;2;10;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;20
"352930 Matão";-;8;-;27;58;-;-;-;1;-;1;1;-;-;-;3;1;-;-;-;1;101
"352940 Mauá";-;22;-;21;91;-;-;1;4;-;7;-;-;-;-;24;3;-;1;-;-;174
"352950 Mendonça";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352960 Meridiano";-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352965 Mesópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352970 Miguelópolis";-;6;-;1;5;-;-;-;1;-;-;-;-;1;-;6;-;-;-;-;-;20
"352980 Mineiros do Tietê";-;2;-;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;6
"353000 Mira Estrela";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352990 Miracatu";-;4;-;-;1;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;9
"353010 Mirandópolis";-;9;-;-;16;-;-;-;2;-;-;-;-;-;-;7;2;-;-;-;-;36
"353020 Mirante do Paranapanema";-;7;-;1;4;-;-;-;-;-;2;1;-;-;-;1;-;-;-;-;-;16
"353030 Mirassol";-;4;-;17;8;-;-;-;2;-;-;1;-;1;-;6;1;-;-;-;-;40
"353040 Mirassolândia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353050 Mococa";-;57;-;39;7;1;-;1;1;1;6;-;-;1;-;9;2;-;1;-;-;126
"353060 Mogi das Cruzes";-;33;1;59;67;-;1;-;6;-;6;-;-;-;-;33;3;-;-;-;1;210
"353070 Mogi Guaçu";-;16;-;33;158;-;-;-;3;-;2;-;-;1;-;11;2;-;-;-;-;226
"353080 Mogi Mirim";-;13;-;8;54;-;-;1;1;-;1;-;-;-;-;13;1;-;-;-;-;92
"353090 Mombuca";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353100 Monções";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;3
"353110 Mongaguá";-;8;-;5;5;-;1;-;1;-;1;-;-;2;-;-;1;-;-;-;-;24
"353120 Monte Alegre do Sul";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;5
"353130 Monte Alto";-;7;-;4;97;-;-;-;2;-;16;-;-;1;-;1;1;-;-;-;-;129
"353140 Monte Aprazível";-;3;-;11;6;-;-;-;1;-;-;2;-;-;-;-;1;-;-;-;-;24
"353150 Monte Azul Paulista";-;2;-;1;9;-;-;-;2;-;1;-;-;1;-;3;-;-;-;-;-;19
"353160 Monte Castelo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353180 Monte Mor";-;6;-;5;7;-;-;-;1;-;-;-;-;-;-;2;2;-;-;-;1;24
"353170 Monteiro Lobato";-;1;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;4
"353190 Morro Agudo";-;7;-;1;20;-;-;-;1;-;-;1;-;-;-;3;2;-;-;-;-;35
"353200 Morungaba";-;3;-;2;-;-;-;-;1;-;-;-;-;-;-;2;1;-;-;-;-;9
"353205 Motuca";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353210 Murutinga do Sul";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"353215 Nantes";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353220 Narandiba";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353230 Natividade da Serra";-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"353240 Nazaré Paulista";-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;4
"353250 Neves Paulista";-;2;-;1;1;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;7
"353260 Nhandeara";-;4;-;3;6;-;-;1;1;-;-;-;-;-;-;3;-;-;-;-;-;18
"353270 Nipoã";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353280 Nova Aliança";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353282 Nova Campina";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"353284 Nova Canaã Paulista";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353286 Nova Castilho";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353290 Nova Europa";-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"353300 Nova Granada";-;2;-;2;-;-;-;-;1;-;1;2;-;-;-;1;-;-;-;-;-;9
"353310 Nova Guataporanga";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353320 Nova Independência";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353330 Nova Luzitânia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353340 Nova Odessa";-;4;-;5;19;-;-;-;1;-;-;-;-;-;-;1;2;-;-;-;-;32
"353325 Novais";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353350 Novo Horizonte";-;5;-;22;9;-;-;-;1;-;-;1;-;-;-;3;-;-;-;-;-;41
"353360 Nuporanga";-;4;-;-;10;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;17
"353370 Ocauçu";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353380 Óleo";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353390 Olímpia";-;8;-;4;28;-;-;-;1;-;2;-;-;-;-;11;-;-;-;-;-;54
"353400 Onda Verde";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"353410 Oriente";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353420 Orindiúva";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353430 Orlândia";-;6;-;1;67;-;-;-;1;-;2;-;-;-;-;6;2;-;1;-;-;86
"353440 Osasco";-;37;-;98;226;-;3;1;8;-;4;-;1;4;-;33;3;-;1;-;1;420
"353450 Oscar Bressane";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353460 Osvaldo Cruz";-;5;-;1;15;-;-;-;2;-;1;1;-;-;-;7;1;-;-;-;1;34
"353470 Ourinhos";-;14;-;18;173;-;-;3;3;-;5;3;-;-;-;23;2;-;-;-;-;244
"353480 Ouro Verde";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;4
"353475 Ouroeste";-;1;-;-;5;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;8
"353490 Pacaembu";-;4;1;-;4;-;-;-;1;-;-;-;-;-;-;2;1;-;-;-;-;13
"353500 Palestina";-;1;-;2;2;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;8
"353510 Palmares Paulista";-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"353520 Palmeira d'Oeste";-;1;-;-;1;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;6
"353530 Palmital";-;5;-;1;5;-;-;-;2;-;1;-;-;-;1;1;1;-;-;-;-;17
"353540 Panorama";-;1;-;-;1;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;5
"353550 Paraguaçu Paulista";-;12;-;2;22;-;-;-;1;-;1;-;-;-;-;6;1;-;-;-;1;46
"353560 Paraibuna";-;1;-;-;-;-;-;-;1;-;-;7;-;1;-;1;-;-;-;-;-;11
"353570 Paraíso";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353580 Paranapanema";-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;1;-;-;-;6
"353590 Paranapuã";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"353600 Parapuã";-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"353610 Pardinho";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"353620 Pariquera-Açu";-;5;-;-;2;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;10
"353625 Parisi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353630 Patrocínio Paulista";-;5;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;8
"353640 Paulicéia";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353650 Paulínia";-;7;1;10;42;-;-;-;2;-;8;-;-;-;-;4;1;-;-;-;1;76
"353657 Paulistânia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353660 Paulo de Faria";-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;4
"353670 Pederneiras";-;9;-;2;7;-;-;-;1;-;-;-;-;-;-;4;-;-;-;-;-;23
"353680 Pedra Bela";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353690 Pedranópolis";-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;3
"353700 Pedregulho";-;6;-;3;4;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;16
"353710 Pedreira";-;6;-;2;2;-;-;-;1;-;3;-;-;-;-;5;-;-;-;-;-;19
"353715 Pedrinhas Paulista";-;2;-;-;3;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;7
"353720 Pedro de Toledo";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"353730 Penápolis";-;12;-;3;69;-;-;1;2;-;-;-;-;1;1;14;1;-;-;-;1;105
"353740 Pereira Barreto";-;3;-;-;12;-;-;-;1;-;-;1;-;-;-;2;2;-;-;-;-;21
"353750 Pereiras";-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"353760 Peruíbe";-;8;-;5;8;-;-;-;1;-;1;4;-;-;-;1;1;-;-;-;-;29
"353770 Piacatu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353780 Piedade";-;6;-;-;4;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;12
"353790 Pilar do Sul";-;3;-;1;3;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;10
"353800 Pindamonhangaba";-;22;-;18;150;-;-;-;3;-;8;-;-;1;-;14;1;-;-;-;1;218
"353810 Pindorama";-;4;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"353820 Pinhalzinho";-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"353830 Piquerobi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353850 Piquete";-;3;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"353860 Piracaia";-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;4
"353870 Piracicaba";-;56;1;113;305;-;1;-;6;2;4;-;1;4;-;71;2;-;2;-;-;568
"353880 Piraju";-;8;-;2;20;-;-;-;1;-;1;-;-;-;-;3;1;-;-;-;-;36
"353890 Pirajuí";-;7;-;1;15;-;-;1;1;-;-;-;-;1;-;3;-;-;-;-;-;29
"353900 Pirangi";-;2;-;1;7;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;12
"353910 Pirapora do Bom Jesus";-;4;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;7
"353920 Pirapozinho";-;4;-;1;6;-;-;1;-;-;-;1;-;1;-;6;-;-;-;-;-;20
"353930 Pirassununga";-;16;-;10;62;-;-;-;2;-;2;1;-;-;-;7;-;-;-;-;-;100
"353940 Piratininga";-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;3
"353950 Pitangueiras";-;7;-;2;13;-;-;-;1;-;-;-;-;-;-;3;-;-;-;-;-;26
"353960 Planalto";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353970 Platina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353980 Poá";-;10;-;1;4;-;-;-;1;-;3;-;-;-;-;4;3;-;-;-;-;26
"353990 Poloni";-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"354000 Pompéia";-;6;-;6;26;-;-;-;1;-;-;1;-;1;-;4;-;-;-;-;-;45
"354010 Pongaí";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354020 Pontal";-;8;-;1;8;-;-;-;1;-;3;-;-;-;-;8;1;-;-;-;-;30
"354025 Pontalinda";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354030 Pontes Gestal";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354040 Populina";-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;3
"354050 Porangaba";-;3;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;6
"354060 Porto Feliz";-;7;1;4;30;-;-;-;1;-;1;-;-;-;-;3;1;-;-;-;-;48
"354070 Porto Ferreira";-;5;-;-;55;-;-;-;1;-;3;4;-;-;-;8;1;-;-;-;-;77
"354075 Potim";-;1;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;4
"354080 Potirendaba";-;4;-;1;5;-;-;-;1;-;-;-;-;-;-;3;1;-;-;-;-;15
"354085 Pracinha";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354090 Pradópolis";-;5;-;-;5;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;12
"354100 Praia Grande";-;21;1;17;34;1;-;-;1;3;3;1;-;3;-;11;2;-;-;-;1;99
"354105 Pratânia";-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"354110 Presidente Alves";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354120 Presidente Bernardes";-;7;-;-;5;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;15
"354130 Presidente Epitácio";-;7;-;-;16;-;-;-;1;-;-;1;-;-;-;4;1;-;-;-;-;30
"354140 Presidente Prudente";-;24;1;50;293;-;-;6;8;-;2;-;-;1;-;33;2;-;1;-;-;421
"354150 Presidente Venceslau";-;9;-;1;29;-;-;-;1;-;-;1;-;-;-;8;1;-;-;-;-;50
"354160 Promissão";-;11;-;3;15;-;-;-;1;-;1;-;-;-;-;3;2;-;-;-;-;36
"354165 Quadra";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354170 Quatá";-;3;-;-;2;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;8
"354180 Queiroz";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354190 Queluz";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"354200 Quintana";-;1;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;4
"354210 Rafard";-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"354220 Rancharia";-;7;-;2;20;-;-;-;1;-;-;-;-;-;-;4;-;-;-;-;-;34
"354230 Redenção da Serra";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354240 Regente Feijó";-;4;-;-;1;-;-;-;1;-;-;-;-;-;-;3;2;-;-;-;-;11
"354250 Reginópolis";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354260 Registro";-;11;-;8;46;-;1;-;1;-;-;-;-;1;-;8;-;-;-;-;-;76
"354270 Restinga";-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354280 Ribeira";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"354290 Ribeirão Bonito";-;3;-;1;8;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;14
"354300 Ribeirão Branco";-;5;-;-;-;-;-;-;1;-;-;2;-;-;-;1;1;1;-;-;-;11
