"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"355340 Tanabi";-;-;-;-;-;-;-;6;-;12;8;-;-;-;1;-;-;-;-;3;-;-;-;1;-;-;3;-;-;1;-;-;35
"355350 Tapiraí";-;1;-;-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;8
"355360 Tapiratiba";-;-;-;-;-;-;-;4;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;9
"355365 Taquaral";-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"355370 Taquaritinga";-;-;-;-;-;2;-;8;-;10;90;1;-;-;1;1;-;-;2;-;-;-;1;-;-;-;10;-;-;1;1;-;128
"355380 Taquarituba";-;-;-;-;-;-;-;5;-;1;3;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;14
"355385 Taquarivaí";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"355390 Tarabai";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;6
"355395 Tarumã";1;-;-;-;-;1;-;5;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;14
"355400 Tatuí";-;1;-;-;-;-;-;15;-;22;196;-;-;-;2;-;-;-;4;1;-;-;2;1;-;-;20;-;-;3;1;-;268
"355410 Taubaté";-;1;-;-;1;3;-;51;-;128;398;-;1;1;4;2;1;-;6;-;1;-;1;2;1;-;30;-;-;1;3;-;636
"355420 Tejupá";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"355430 Teodoro Sampaio";-;-;-;-;-;-;-;9;-;3;11;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;5;-;-;-;-;-;31
"355440 Terra Roxa";-;-;-;1;-;-;-;5;-;1;7;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;17
"355450 Tietê";-;1;-;-;-;-;-;2;-;6;72;-;-;-;1;-;-;-;1;7;-;-;-;1;-;-;14;-;-;-;-;-;105
"355460 Timburi";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"355465 Torre de Pedra";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"355470 Torrinha";-;-;-;-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"355475 Trabiju";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"355480 Tremembé";-;1;-;-;-;-;-;10;-;8;10;-;-;-;1;-;-;-;-;2;1;-;-;1;-;-;3;-;-;-;-;-;37
"355490 Três Fronteiras";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"355495 Tuiuti";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;4
"355500 Tupã";-;-;-;1;-;-;-;14;-;11;130;-;-;3;2;-;-;-;7;-;1;-;-;2;1;-;7;-;-;-;-;-;179
"355510 Tupi Paulista";-;-;-;-;-;-;-;7;-;-;22;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;1;-;-;-;-;-;34
"355520 Turiúba";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"355530 Turmalina";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;4
"355535 Ubarana";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;3
"355540 Ubatuba";-;1;-;-;-;1;-;19;-;6;27;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;4;-;-;4;-;-;64
"355550 Ubirajara";-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;6
"355560 Uchoa";2;-;-;-;-;-;-;3;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;11
"355570 União Paulista";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"355580 Urânia";-;-;-;-;-;-;-;3;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;9
"355590 Uru";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"355600 Urupês";-;-;-;-;-;-;-;3;-;2;5;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;13
"355610 Valentim Gentil";1;-;-;-;-;-;-;4;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;11
"355620 Valinhos";-;-;-;-;-;3;-;13;-;22;248;-;1;-;2;-;-;-;8;-;1;-;-;1;-;-;11;-;-;-;-;-;310
"355630 Valparaíso";-;-;-;-;-;-;-;7;-;3;16;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;28
"355635 Vargem";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;5
"355640 Vargem Grande do Sul";-;-;-;-;-;-;-;3;-;4;62;-;-;-;1;-;-;-;3;4;-;-;1;1;-;-;4;-;-;-;-;-;83
"355645 Vargem Grande Paulista";-;-;-;-;-;1;-;8;-;8;1;-;-;-;-;-;-;-;3;-;1;-;-;2;2;-;1;1;-;1;-;-;29
"355650 Várzea Paulista";-;-;-;-;-;2;-;14;-;8;6;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;4;-;-;-;-;-;36
"355660 Vera Cruz";-;-;-;-;-;-;-;2;-;2;7;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;13
"355670 Vinhedo";-;-;-;-;-;1;-;8;-;22;170;-;-;-;1;-;-;-;2;-;2;-;-;1;-;-;15;1;-;-;-;-;223
"355680 Viradouro";-;-;-;-;-;-;-;3;-;6;15;-;1;-;1;-;-;-;3;-;-;-;1;1;-;-;5;-;-;-;-;-;36
"355690 Vista Alegre do Alto";-;-;-;-;-;-;-;2;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;9
"355695 Vitória Brasil";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"355700 Votorantim";-;1;-;-;-;2;-;14;-;8;47;-;-;-;2;-;-;1;2;1;-;-;-;1;-;-;8;-;-;1;1;-;89
"355710 Votuporanga";-;-;1;-;-;2;-;14;-;35;202;-;1;-;2;-;-;-;1;-;2;-;-;1;1;-;20;-;-;3;-;-;285
"355715 Zacarias";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"Total";38;133;52;17;49;393;2;4503;32;7691;41413;30;187;172;726;140;10;14;1620;325;191;20;155;652;49;2;3703;155;24;729;112;6;63345
&
