"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"Total"
"350090 Altair";-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350100 Altinópolis";-;-;-;-;7;-;1;11;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;21
"350110 Alto Alegre";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350115 Alumínio";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;5
"350120 Álvares Florence";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350130 Álvares Machado";-;-;-;-;7;-;2;2;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;14
"350140 Álvaro de Carvalho";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350150 Alvinlândia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350160 Americana";-;-;2;-;21;1;11;274;-;-;2;2;-;-;1;-;-;-;1;21;-;-;1;1;-;338
"350170 Américo Brasiliense";-;-;-;-;1;-;1;3;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7
"350180 Américo de Campos";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350190 Amparo";2;-;1;-;11;-;8;113;-;-;2;2;-;-;2;3;-;1;-;20;1;-;-;-;-;166
"350200 Analândia";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350210 Andradina";-;-;-;-;5;-;1;44;-;-;-;1;-;1;1;-;-;-;-;12;3;-;-;-;-;68
"350220 Angatuba";-;-;1;-;9;-;-;1;-;-;-;1;-;-;1;-;-;-;-;4;1;-;-;-;-;18
"350230 Anhembi";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350240 Anhumas";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350250 Aparecida";-;-;-;-;2;-;2;6;-;1;-;1;-;-;-;5;-;-;-;4;1;-;-;-;-;22
"350260 Aparecida d'Oeste";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350270 Apiaí";-;-;1;-;10;-;2;5;-;-;-;1;-;-;2;-;-;-;-;3;2;-;-;-;-;26
"350275 Araçariguama";-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350280 Araçatuba";-;1;-;-;19;1;156;135;1;1;5;3;-;1;3;1;-;2;1;19;1;-;2;-;1;353
"350290 Araçoiaba da Serra";-;-;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2;-;-;-;-;8
"350300 Aramina";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350310 Arandu";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"350315 Arapeí";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"350320 Araraquara";-;-;1;-;27;1;58;284;-;3;1;2;2;-;10;-;-;4;1;15;2;-;1;-;3;415
"350330 Araras";-;-;1;-;23;-;97;77;-;-;1;4;-;-;2;-;-;-;-;10;2;-;-;-;-;217
"350335 Arco-Íris";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350340 Arealva";-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350350 Areias";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350360 Areiópolis";-;-;-;-;4;-;1;6;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;13
"350370 Ariranha";-;-;-;-;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"350380 Artur Nogueira";-;-;-;-;11;-;4;6;-;-;-;1;-;-;2;1;-;-;-;2;1;-;-;-;-;28
"350390 Arujá";-;-;-;-;5;-;4;3;-;-;-;1;-;-;1;-;-;-;-;6;1;-;-;-;1;22
"350395 Aspásia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350400 Assis";-;-;1;-;19;2;14;95;-;1;2;5;1;-;7;1;-;2;-;19;1;-;-;-;-;170
"350410 Atibaia";-;-;-;-;17;-;12;164;-;-;-;4;-;-;17;2;-;-;-;40;1;-;-;-;-;257
"350420 Auriflama";-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;7
"350430 Avaí";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350440 Avanhandava";-;-;-;-;5;-;1;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;11
"350450 Avaré";-;-;-;-;14;-;4;52;-;-;-;1;-;-;-;-;-;1;-;11;2;-;-;-;1;86
"350460 Bady Bassitt";-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;6
"350470 Balbinos";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350480 Bálsamo";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350490 Bananal";-;-;-;-;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;8
"350500 Barão de Antonina";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"350510 Barbosa";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350520 Bariri";-;-;-;-;6;-;1;26;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;37
"350530 Barra Bonita";-;-;-;-;5;-;-;33;-;-;-;1;-;-;-;-;-;-;-;4;-;-;-;-;-;43
"350535 Barra do Chapéu";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"350540 Barra do Turvo";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350550 Barretos";-;-;1;-;16;2;13;88;-;1;2;2;1;-;10;-;-;-;-;8;1;-;-;-;-;145
"350560 Barrinha";-;-;-;-;4;-;1;2;-;-;-;-;-;-;3;-;-;-;-;1;-;1;-;-;-;12
"350570 Barueri";-;-;3;-;16;-;42;33;-;-;1;2;-;-;6;-;-;3;-;11;2;-;-;-;-;119
"350580 Bastos";-;-;-;-;6;-;3;4;-;-;-;1;-;-;-;-;-;1;-;2;-;-;-;-;-;17
"350590 Batatais";-;-;1;-;7;-;5;134;-;-;-;1;-;-;3;1;-;1;-;7;1;-;-;-;-;161
"350600 Bauru";-;-;3;-;25;-;62;202;-;1;3;7;-;1;8;-;-;2;-;31;4;-;-;-;1;350
"350610 Bebedouro";-;-;-;-;16;-;27;69;-;-;-;3;-;-;2;-;-;-;1;8;1;-;-;-;-;127
"350620 Bento de Abreu";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350630 Bernardino de Campos";-;-;-;-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350635 Bertioga";-;-;-;-;5;-;4;2;-;-;-;1;-;-;1;1;-;-;-;2;1;-;-;-;-;17
"350640 Bilac";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350650 Birigui";-;-;-;-;9;-;10;34;-;-;1;2;-;-;1;-;-;-;-;14;-;-;-;-;-;71
"350660 Biritiba-Mirim";-;-;-;-;6;-;-;4;-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;-;-;14
"350670 Boa Esperança do Sul";-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;7
"350680 Bocaina";-;-;-;-;3;-;1;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;7
"350690 Bofete";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"350700 Boituva";-;-;-;-;4;-;2;30;-;-;-;1;-;-;2;-;-;-;-;4;2;-;-;-;1;46
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;1;8;-;-;-;-;-;-;1;-;-;-;-;2;1;1;-;-;-;14
"350715 Bom Sucesso de Itararé";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"350720 Borá";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350730 Boracéia";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350740 Borborema";-;-;-;-;6;-;3;2;-;-;-;1;-;-;2;-;-;1;-;1;-;-;-;-;-;16
"350745 Borebi";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350750 Botucatu";-;-;3;-;15;1;10;204;-;1;2;3;-;-;2;1;-;-;-;8;2;-;-;-;1;253
"350760 Bragança Paulista";-;-;1;-;22;1;45;68;-;-;-;2;1;-;1;4;-;1;-;12;2;-;1;-;1;162
"350770 Braúna";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"350775 Brejo Alegre";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"350780 Brodowski";-;-;-;-;3;-;-;3;-;-;-;-;-;-;3;-;-;-;-;2;1;-;-;-;-;12
"350790 Brotas";-;-;-;-;4;-;2;13;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;22
"350800 Buri";-;-;1;-;3;-;-;2;-;-;-;-;-;-;-;3;-;-;-;2;1;1;-;-;-;13
"350810 Buritama";-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;3;1;-;-;-;-;11
"350820 Buritizal";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350830 Cabrália Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350840 Cabreúva";-;-;-;-;2;-;-;3;-;-;-;1;-;-;4;-;-;-;-;3;1;-;-;-;-;14
"350850 Caçapava";-;-;-;-;19;-;6;151;1;-;-;2;-;-;1;1;-;1;-;4;-;-;-;-;-;186
"350860 Cachoeira Paulista";-;-;-;-;11;-;1;17;-;1;-;1;-;-;3;-;-;1;-;3;-;-;-;-;-;38
"350870 Caconde";-;-;-;-;1;-;-;14;-;-;-;1;-;-;-;1;-;-;-;3;-;-;-;-;-;20
"350880 Cafelândia";-;-;-;-;4;-;1;15;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;24
"350890 Caiabu";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350900 Caieiras";-;-;-;-;4;-;7;7;-;-;-;1;-;-;4;6;-;-;-;2;2;1;-;-;1;35
"350910 Caiuá";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;4
"350920 Cajamar";-;-;-;-;9;-;3;13;-;-;-;1;-;-;-;-;-;1;-;1;1;-;-;-;1;30
"350925 Cajati";-;-;-;-;4;-;3;3;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;14
"350930 Cajobi";-;-;-;-;3;-;-;3;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;9
"350940 Cajuru";-;-;-;-;9;-;4;11;-;-;-;1;-;-;3;-;-;-;-;2;1;-;1;-;-;32
"350945 Campina do Monte Alegre";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350950 Campinas";-;-;9;-;53;1;242;589;1;2;13;15;6;1;23;-;2;3;6;73;2;-;1;-;-;1042
"350960 Campo Limpo Paulista";-;-;-;-;7;-;8;5;-;-;-;1;-;-;8;-;-;-;1;5;1;-;-;-;-;36
"350970 Campos do Jordão";-;-;1;-;2;-;2;16;-;-;1;4;-;-;1;10;-;1;-;-;-;-;-;-;-;38
"350980 Campos Novos Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350990 Cananéia";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350995 Canas";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351000 Cândido Mota";-;-;1;-;7;-;1;22;-;-;-;1;-;-;4;-;-;-;-;3;1;-;-;-;-;40
"351010 Cândido Rodrigues";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351015 Canitar";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351020 Capão Bonito";-;-;1;-;10;-;4;6;-;-;-;1;-;-;3;-;-;-;-;4;1;-;-;-;-;30
"351030 Capela do Alto";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;6
"351040 Capivari";-;-;2;-;3;-;25;82;-;-;-;2;-;-;5;3;-;-;-;7;1;-;-;-;-;130
"351050 Caraguatatuba";-;-;1;-;11;-;10;42;-;-;-;2;1;-;4;1;-;-;-;9;2;-;2;-;1;86
"351060 Carapicuíba";-;-;2;-;11;-;10;6;-;-;-;2;-;-;5;-;-;2;-;4;2;1;-;-;1;46
"351070 Cardoso";-;-;-;-;5;-;-;2;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;11
"351080 Casa Branca";-;-;1;-;5;-;3;29;-;-;1;1;-;-;-;-;-;1;-;8;-;-;-;-;-;49
"351090 Cássia dos Coqueiros";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351100 Castilho";-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;6
"351110 Catanduva";-;-;-;-;23;-;186;24;-;2;1;3;-;-;2;-;-;-;-;18;1;-;1;-;1;262
"351120 Catiguá";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351130 Cedral";-;-;-;-;1;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"351140 Cerqueira César";1;-;-;-;3;-;1;2;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;-;-;11
"351150 Cerquilho";-;-;1;-;6;-;7;93;-;-;-;1;-;-;13;-;-;-;-;4;2;-;-;-;-;127
"351160 Cesário Lange";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"351170 Charqueada";-;-;-;-;4;-;1;4;-;-;-;1;-;-;3;-;-;-;-;1;-;-;-;-;-;14
"355720 Chavantes";-;-;-;-;3;-;1;3;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;10
"351190 Clementina";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"351200 Colina";-;-;-;-;5;-;11;20;-;-;-;1;-;-;1;-;-;1;-;1;-;-;-;-;-;40
"351210 Colômbia";-;-;-;-;3;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;7
"351220 Conchal";-;-;1;-;6;-;-;18;-;-;-;1;-;-;-;-;-;-;-;4;1;-;-;-;-;31
"351230 Conchas";-;-;-;-;3;-;1;23;-;1;-;1;-;-;-;1;-;-;1;4;2;-;-;-;-;37
"351240 Cordeirópolis";-;-;-;-;3;-;2;1;-;-;-;-;-;-;1;2;-;-;-;1;-;-;-;-;-;10
"351250 Coroados";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"351260 Coronel Macedo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;3
"351270 Corumbataí";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351280 Cosmópolis";-;-;1;-;8;-;7;14;-;-;-;1;-;-;4;3;-;-;-;5;1;-;-;-;-;44
"351290 Cosmorama";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;4
"351300 Cotia";-;-;1;-;22;-;13;18;-;-;1;2;-;1;5;-;-;1;-;4;2;-;-;-;-;70
"351310 Cravinhos";-;-;-;-;3;-;3;11;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;21
"351320 Cristais Paulista";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351330 Cruzália";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351340 Cruzeiro";-;-;-;-;12;-;30;123;-;1;-;1;1;-;2;4;-;1;-;19;1;-;-;-;1;196
"351350 Cubatão";-;-;2;-;19;-;2;65;-;-;-;2;-;-;2;-;1;2;-;18;-;-;-;-;-;113
"351360 Cunha";-;-;-;-;5;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"351370 Descalvado";-;-;-;-;10;-;1;17;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;30
"351380 Diadema";-;-;2;-;20;1;26;33;-;-;1;4;2;-;14;-;-;1;1;10;2;1;1;-;-;119
"351385 Dirce Reis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351390 Divinolândia";-;-;-;-;1;-;1;11;-;-;-;1;-;-;1;3;-;-;-;3;-;-;-;-;-;21
"351400 Dobrada";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351410 Dois Córregos";-;-;-;-;4;-;3;18;-;-;-;1;-;-;-;1;-;-;-;3;-;-;-;-;-;30
"351420 Dolcinópolis";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351430 Dourado";-;-;-;-;2;-;-;2;-;-;-;1;-;-;-;1;-;1;-;2;-;-;-;-;-;9
"351440 Dracena";-;-;1;-;7;-;4;91;-;-;-;1;-;-;3;-;-;-;-;6;-;-;-;-;-;113
"351450 Duartina";-;-;-;-;4;-;1;8;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;16
"351460 Dumont";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351470 Echaporã";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"351480 Eldorado";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"351490 Elias Fausto";-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;4
"351492 Elisiário";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351495 Embaúba";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351500 Embu das Artes";-;-;2;-;13;-;4;3;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;-;-;26
"351510 Embu-Guaçu";-;-;1;-;6;-;-;1;-;-;-;-;-;-;2;-;-;-;-;1;1;1;-;-;-;13
"351512 Emilianópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351515 Engenheiro Coelho";-;-;-;-;3;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"351518 Espírito Santo do Pinhal";-;-;-;-;5;-;5;87;-;-;2;1;-;-;-;-;-;-;-;6;2;-;-;-;-;108
"351519 Espírito Santo do Turvo";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355730 Estiva Gerbi";-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;5
"351520 Estrela d'Oeste";-;-;-;-;1;-;1;7;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;13
"351530 Estrela do Norte";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351535 Euclides da Cunha Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;-;-;-;1;6
"351540 Fartura";-;-;-;-;2;-;1;21;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;27
"351560 Fernando Prestes";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"351550 Fernandópolis";-;-;1;-;14;-;10;147;1;-;-;2;-;-;3;2;-;-;1;23;-;-;-;-;-;204
"351565 Fernão";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351570 Ferraz de Vasconcelos";-;-;-;-;10;-;4;3;-;-;-;1;-;-;-;-;-;-;-;3;2;-;-;-;-;23
"351580 Flora Rica";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351590 Floreal";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351600 Flórida Paulista";-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;7
"351610 Florínia";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351620 Franca";-;-;1;-;22;2;73;225;-;1;3;3;-;-;4;-;-;2;-;20;4;-;2;-;1;363
"351630 Francisco Morato";-;-;1;-;13;-;3;10;-;1;-;2;-;-;3;-;-;1;-;1;2;-;-;-;1;38
"351640 Franco da Rocha";-;-;-;-;19;-;10;11;-;1;1;1;-;-;-;-;-;-;-;5;4;2;-;-;-;54
"351650 Gabriel Monteiro";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351660 Gália";-;-;-;-;2;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351670 Garça";-;-;1;-;10;-;6;21;-;-;2;1;-;-;1;-;-;-;-;1;-;-;-;-;-;43
"351680 Gastão Vidigal";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351685 Gavião Peixoto";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"351690 General Salgado";-;-;-;-;1;-;3;4;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;12
"351700 Getulina";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351710 Glicério";-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"351720 Guaiçara";-;-;-;-;5;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;9
"351730 Guaimbê";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"351740 Guaíra";-;-;-;-;10;-;4;27;-;-;-;1;-;-;-;1;-;-;-;4;2;-;-;-;-;49
"351750 Guapiaçu";-;-;-;-;3;-;5;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;11
"351760 Guapiara";-;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;9
