"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"351030 Capela do Alto";-;1;-;-;1;1;-;6;-;-;2;4;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;18
"351040 Capivari";-;-;-;-;-;2;-;2;-;-;3;92;-;-;-;2;-;-;1;8;-;6;1;-;-;1;-;-;-;26;-;-;-;-;-;-;144
"351050 Caraguatatuba";-;1;-;-;1;2;-;12;-;-;30;102;-;2;-;3;4;-;-;15;-;2;3;-;-;1;-;-;-;23;2;-;6;-;-;2;211
"351060 Carapicuíba";-;-;-;-;-;3;-;16;-;-;16;40;-;1;-;2;-;-;-;17;-;-;-;-;2;1;-;-;-;10;3;1;6;2;-;-;120
"351070 Cardoso";1;-;-;-;-;-;-;6;-;-;-;8;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;1;-;-;-;21
"351080 Casa Branca";-;1;-;-;-;2;-;3;-;-;5;48;-;-;1;1;-;-;-;4;-;2;-;-;1;1;-;-;-;4;1;-;-;-;-;1;75
"351090 Cássia dos Coqueiros";1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"351100 Castilho";-;-;-;-;-;-;-;6;-;-;3;17;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;32
"351110 Catanduva";2;1;1;-;1;2;-;23;-;-;193;301;-;3;1;3;5;-;-;1;-;-;1;-;-;1;-;-;-;17;1;-;4;-;-;-;561
"351120 Catiguá";-;-;-;-;-;-;-;2;-;-;1;8;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;13
"351130 Cedral";-;-;-;-;-;-;-;3;-;-;1;5;-;-;-;-;-;-;1;4;-;-;-;-;-;1;-;-;-;-;1;2;1;-;-;-;19
"351140 Cerqueira César";-;-;-;-;-;-;-;11;-;-;1;10;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;5;-;-;1;-;-;-;30
"351150 Cerquilho";-;1;-;-;-;1;-;8;-;-;11;87;-;-;-;1;-;-;1;9;-;-;-;-;-;1;-;-;-;8;-;-;-;-;-;1;129
"351160 Cesário Lange";-;1;-;-;-;-;-;4;-;-;1;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;16
"351170 Charqueada";-;-;-;-;-;-;-;5;-;-;2;10;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;22
"355720 Chavantes";-;-;-;-;-;1;-;3;-;-;1;11;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;20
"351190 Clementina";1;-;-;-;-;-;-;1;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;10
"351200 Colina";-;-;-;-;-;-;-;5;-;-;4;27;-;-;-;1;-;-;-;-;-;1;1;-;-;1;-;-;-;2;-;-;1;-;-;-;43
"351210 Colômbia";1;-;-;-;-;-;-;3;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;11
"351220 Conchal";1;-;-;-;-;1;-;8;-;-;2;19;-;-;-;1;-;-;-;-;-;1;-;-;1;1;-;-;-;5;-;-;1;-;-;-;41
"351230 Conchas";1;-;-;-;-;-;-;2;-;-;3;25;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;7;-;-;-;-;-;-;42
"351240 Cordeirópolis";1;-;-;1;-;1;-;7;-;-;4;18;-;-;-;-;-;-;-;2;-;-;1;-;-;1;-;-;-;4;-;-;1;-;-;-;41
"351250 Coroados";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351260 Coronel Macedo";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;4
"351270 Corumbataí";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;6
"351280 Cosmópolis";-;1;-;-;-;2;-;10;-;-;8;38;-;1;-;1;-;-;-;8;-;-;-;-;-;1;-;-;3;6;2;-;-;-;-;1;82
