"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"350730 Boracéia";-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"350740 Borborema";-;-;-;-;-;-;-;3;-;-;5;20;-;-;-;1;-;-;-;2;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;34
"350745 Borebi";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"350750 Botucatu";-;1;1;-;-;3;-;19;-;1;33;463;-;1;1;4;-;-;-;1;-;-;1;-;-;1;-;-;-;8;1;-;2;-;-;541
"350760 Bragança Paulista";2;-;1;3;-;1;-;27;1;-;13;223;-;1;-;4;1;-;-;22;-;4;1;-;-;1;-;-;-;18;-;-;3;2;-;328
"350770 Braúna";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350775 Brejo Alegre";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"350780 Brodowski";-;-;-;-;-;-;-;5;-;-;1;30;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;4;-;-;1;-;-;46
"350790 Brotas";-;-;-;-;-;-;-;4;-;-;3;56;-;1;-;1;-;-;-;1;-;-;-;-;-;1;1;-;-;3;-;-;-;-;-;71
"350800 Buri";-;1;-;-;-;1;-;3;-;-;1;4;-;-;-;-;-;-;-;1;-;3;1;-;-;1;-;-;-;1;-;-;-;-;-;17
"350810 Buritama";1;-;-;-;-;1;-;2;-;-;5;5;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;2;-;-;-;-;21
"350820 Buritizal";-;-;-;-;-;-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;7
"350830 Cabrália Paulista";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"350840 Cabreúva";-;-;-;-;-;-;-;7;-;-;6;6;-;1;-;1;-;-;-;4;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;30
"350850 Caçapava";-;-;-;1;-;2;-;18;-;-;5;206;-;2;1;3;-;-;-;1;-;-;-;-;1;1;-;-;1;5;1;-;2;-;-;250
"350860 Cachoeira Paulista";1;-;-;-;-;-;-;9;-;-;4;35;-;1;-;1;-;-;-;3;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;57
"350870 Caconde";1;-;-;-;-;-;-;3;-;-;2;18;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;4;-;-;-;-;-;32
"350880 Cafelândia";1;-;-;-;-;1;-;4;-;-;-;26;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;39
"350890 Caiabu";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"350900 Caieiras";-;-;-;-;-;1;-;5;-;-;17;14;-;-;-;2;-;-;-;7;-;5;-;-;-;-;-;-;-;6;2;1;-;-;-;60
"350910 Caiuá";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"350920 Cajamar";1;-;-;-;-;-;-;11;-;-;5;23;-;-;-;1;-;-;-;1;-;-;1;-;-;1;-;-;-;3;2;-;-;-;-;49
"350925 Cajati";1;-;-;-;-;1;-;7;-;-;2;15;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2;-;-;-;-;-;30
"350930 Cajobi";1;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;1;-;-;11
"350940 Cajuru";-;-;-;-;-;-;-;6;-;-;7;26;-;-;-;1;-;-;-;3;-;-;1;-;-;1;-;-;-;2;-;-;1;-;-;48
"350945 Campina do Monte Alegre";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"350950 Campinas";1;2;1;-;6;13;-;64;-;1;330;1620;1;4;6;21;15;1;-;66;-;6;4;-;-;7;3;-;-;122;1;-;21;-;-;2316
"350960 Campo Limpo Paulista";1;-;-;-;-;1;-;7;-;-;10;8;1;1;-;1;-;-;-;4;-;1;-;-;-;1;-;-;-;4;1;-;-;-;-;41
"350970 Campos do Jordão";-;-;-;-;1;1;-;2;-;-;6;34;-;-;-;3;-;-;-;-;-;10;-;-;1;1;-;-;-;3;-;-;-;-;-;62
"350980 Campos Novos Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350990 Cananéia";-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"350995 Canas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351000 Cândido Mota";-;-;-;-;-;1;-;6;-;-;3;43;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;10;-;-;-;-;-;67
"351010 Cândido Rodrigues";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351015 Canitar";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351020 Capão Bonito";-;1;-;-;-;1;-;13;-;-;5;19;-;-;-;1;-;-;-;3;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;48
"351030 Capela do Alto";-;1;-;-;1;1;-;5;-;-;1;5;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;17
"351040 Capivari";-;-;-;-;-;2;-;4;-;-;20;85;-;-;-;2;-;-;-;8;-;3;-;-;-;1;-;-;-;13;-;-;-;-;-;138
"351050 Caraguatatuba";-;1;-;-;1;1;-;10;-;-;26;91;-;-;-;2;3;-;-;6;-;2;1;-;-;1;-;-;-;11;2;-;5;-;-;163
"351060 Carapicuíba";-;-;-;-;-;3;-;15;-;-;17;33;-;-;-;3;-;-;-;9;-;-;-;-;2;1;-;-;-;7;2;1;4;2;-;99
"351070 Cardoso";-;-;-;-;-;-;-;5;-;-;1;7;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;1;-;-;19
"351080 Casa Branca";-;-;-;-;-;2;-;5;1;-;4;46;-;-;1;1;-;-;-;-;-;-;-;-;1;1;-;-;-;11;-;-;1;-;-;74
"351090 Cássia dos Coqueiros";1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"351100 Castilho";-;-;-;-;-;-;-;1;-;-;3;8;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;16
"351110 Catanduva";2;-;1;-;1;2;-;26;-;-;107;273;-;2;1;3;3;-;-;1;-;-;1;-;-;1;-;-;-;14;1;-;4;-;-;443
"351120 Catiguá";-;-;-;-;-;-;-;2;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;9
"351130 Cedral";-;-;-;-;-;-;-;3;-;-;4;6;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;18
"351140 Cerqueira César";-;-;-;-;-;-;-;7;-;-;1;10;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;1;-;-;25
"351150 Cerquilho";-;1;-;-;-;1;-;6;-;-;7;91;-;-;-;1;-;-;1;9;-;-;-;-;-;1;-;-;-;7;-;-;-;-;-;125
"351160 Cesário Lange";-;1;-;-;-;-;-;4;-;-;1;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;15
"351170 Charqueada";-;-;-;-;-;-;-;5;-;-;2;9;-;-;-;1;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;21
"355720 Chavantes";-;-;-;-;-;1;-;3;-;-;1;11;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;20
"351190 Clementina";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"351200 Colina";-;-;-;-;-;-;-;4;-;-;3;20;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;1;-;-;32
"351210 Colômbia";1;-;-;-;-;-;-;3;-;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;13
"351220 Conchal";1;-;-;-;-;1;-;6;-;-;2;19;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;3;-;-;1;-;-;36
"351230 Conchas";-;-;-;-;-;-;-;4;-;-;2;25;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;8;-;-;-;-;-;42
"351240 Cordeirópolis";1;-;-;1;-;1;-;6;-;-;3;13;-;-;-;-;-;-;-;3;-;-;1;-;-;1;-;-;-;4;-;-;1;-;-;35
"351250 Coroados";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351260 Coronel Macedo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"351270 Corumbataí";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;4
"351280 Cosmópolis";-;1;-;-;-;2;-;10;-;-;7;44;-;-;-;1;-;-;-;6;-;-;-;-;-;1;-;-;2;6;2;-;-;-;-;82
"351290 Cosmorama";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"351300 Cotia";-;1;-;-;-;3;-;25;-;-;23;49;-;1;1;2;-;-;-;5;-;-;3;-;-;1;-;-;-;11;3;-;1;1;-;130
"351310 Cravinhos";-;-;-;-;-;-;-;5;-;-;5;30;-;-;-;1;-;-;-;1;-;-;-;-;1;1;-;-;-;2;3;-;1;-;-;50
"351320 Cristais Paulista";-;-;-;-;-;-;-;3;-;-;1;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;11
