"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"350450 Avaré";-;-;1;-;-;1;-;19;-;-;12;195;2;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;19;-;-;2;-;-;1;256
"350460 Bady Bassitt";-;-;-;-;-;-;-;3;-;-;1;5;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;12
"350470 Balbinos";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"350480 Bálsamo";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;5
"350490 Bananal";-;1;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;5;-;-;-;1;-;-;-;-;-;1;1;-;-;-;12
"350500 Barão de Antonina";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350510 Barbosa";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"350520 Bariri";-;-;-;-;-;-;-;6;-;-;5;44;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;8;-;-;-;-;-;-;67
"350530 Barra Bonita";1;-;-;-;-;1;-;8;-;-;2;75;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;9;-;-;-;-;-;-;99
"350535 Barra do Chapéu";-;1;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"350540 Barra do Turvo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;1;-;-;-;-;-;-;-;1;-;-;8
"350550 Barretos";3;2;1;-;-;1;-;15;-;-;29;238;-;1;3;3;1;-;1;4;-;-;2;-;-;3;1;-;-;9;1;-;4;-;-;-;322
"350560 Barrinha";-;-;-;-;-;-;-;7;-;-;3;8;-;-;-;-;-;-;-;3;-;-;2;-;-;1;-;-;-;3;2;-;1;-;-;-;30
"350570 Barueri";-;1;-;-;-;3;-;19;-;-;37;269;-;4;-;3;-;-;-;19;-;-;1;2;6;1;-;-;-;18;1;-;-;-;-;-;384
"350580 Bastos";2;1;-;-;-;1;-;6;-;-;8;10;-;1;-;1;1;-;-;1;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;36
"350590 Batatais";-;1;-;-;-;1;-;10;-;-;7;232;-;1;-;1;-;-;-;1;-;1;1;-;1;1;-;-;-;7;-;-;2;-;-;-;267
"350600 Bauru";-;2;1;-;-;5;-;25;-;-;45;659;-;4;4;8;1;-;1;28;1;4;4;2;-;2;3;1;-;35;1;1;14;-;-;-;851
"350610 Bebedouro";1;1;-;-;-;2;-;16;-;-;41;175;-;-;-;3;3;-;-;19;-;-;1;-;-;1;-;-;-;12;-;-;-;1;-;-;276
"350620 Bento de Abreu";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;4
"350630 Bernardino de Campos";-;-;-;-;-;1;-;4;-;-;2;5;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;17
"350635 Bertioga";-;-;-;-;-;1;-;5;-;-;8;13;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;9;3;-;3;-;-;-;45
"350640 Bilac";-;-;-;-;-;-;-;1;-;-;-;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;10
"350650 Birigui";-;-;-;-;-;-;-;11;-;-;32;145;-;1;-;2;-;-;-;4;-;-;1;-;1;1;2;-;-;15;-;-;-;-;-;-;215
"350660 Biritiba-Mirim";-;1;-;-;-;-;-;5;-;-;1;8;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;19
"350670 Boa Esperança do Sul";-;-;-;-;-;-;-;4;-;-;1;10;-;2;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;22
"350680 Bocaina";-;-;-;-;-;-;-;4;-;-;1;13;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;21
"350690 Bofete";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"350700 Boituva";1;1;-;-;-;2;-;7;-;-;14;65;-;1;-;1;-;-;-;2;-;1;-;-;-;1;-;-;-;7;-;-;-;-;-;-;103
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;-;2;-;-;1;10;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;1;1;-;-;-;20
"350715 Bom Sucesso de Itararé";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;4
"350720 Borá";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350730 Boracéia";-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350740 Borborema";-;-;-;-;-;1;-;1;-;-;2;20;-;-;-;1;-;-;-;3;-;4;-;-;1;1;-;-;-;2;-;-;-;-;-;-;36
"350745 Borebi";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"350750 Botucatu";-;1;1;-;-;3;-;19;-;1;40;566;-;1;1;3;-;-;-;1;-;-;1;-;-;1;-;-;-;8;2;-;2;-;-;2;653
"350760 Bragança Paulista";2;1;1;-;-;2;-;29;-;-;18;283;-;2;-;4;3;-;-;31;-;-;2;-;-;1;1;-;-;27;-;-;3;2;-;-;412
"350770 Braúna";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350775 Brejo Alegre";1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"350780 Brodowski";-;-;-;-;-;-;-;6;-;-;1;37;-;-;-;-;-;-;-;3;-;-;1;-;-;1;-;-;-;4;-;-;1;-;-;-;54
"350790 Brotas";-;-;-;1;-;-;-;5;-;-;2;57;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;1;71
"350800 Buri";-;1;-;-;-;1;-;3;-;-;2;3;-;2;-;-;-;-;-;1;-;4;1;-;-;1;-;-;-;2;-;-;-;-;-;-;21
"350810 Buritama";1;-;-;-;-;1;-;2;-;-;6;8;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;-;-;-;24
"350820 Buritizal";-;-;-;-;-;-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;6
"350830 Cabrália Paulista";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350840 Cabreúva";-;-;-;-;-;1;-;8;-;-;6;9;-;1;-;1;-;-;-;3;-;-;1;-;-;1;1;-;-;6;-;-;-;-;-;-;38
"350850 Caçapava";-;1;-;1;-;3;-;19;-;-;14;248;-;2;1;3;-;-;-;-;-;-;-;-;-;1;-;-;1;9;1;1;2;-;-;1;308
"350860 Cachoeira Paulista";1;-;-;-;-;1;-;10;-;-;4;32;-;1;-;1;-;-;-;7;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;60
"350870 Caconde";1;-;-;-;-;-;-;4;-;-;6;18;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;4;-;-;-;-;-;-;37
"350880 Cafelândia";1;-;-;-;-;1;-;4;-;-;-;29;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;42
"350890 Caiabu";1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"350900 Caieiras";-;1;1;-;1;1;-;12;-;-;19;22;-;-;-;3;-;-;-;6;-;-;1;-;-;1;-;-;-;6;2;1;-;-;-;-;77
"350910 Caiuá";-;-;-;-;-;-;-;5;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"350920 Cajamar";1;-;-;-;-;1;-;10;-;-;8;33;-;-;-;2;1;-;-;5;-;-;1;-;-;1;-;-;-;2;2;-;-;1;-;-;68
"350925 Cajati";1;-;-;-;-;1;-;10;-;-;4;16;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;3;-;-;-;-;-;-;37
"350930 Cajobi";1;-;-;-;-;-;-;3;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;11
"350940 Cajuru";1;-;-;-;1;-;-;8;-;-;11;40;-;1;-;1;-;-;-;3;-;1;1;-;-;1;-;-;-;2;1;-;2;1;-;-;75
"350945 Campina do Monte Alegre";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350950 Campinas";1;2;1;-;6;14;-;66;-;-;219;1266;-;7;4;23;14;1;-;54;-;7;3;-;-;10;6;-;-;134;6;-;19;-;-;2;1865
"350960 Campo Limpo Paulista";1;-;-;-;-;1;-;8;-;-;6;5;-;1;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;1;1;-;-;-;-;1;29
"350970 Campos do Jordão";-;-;-;-;1;1;-;1;-;-;9;47;-;-;-;2;-;-;-;-;-;12;-;-;-;1;-;-;-;5;1;-;2;-;-;-;82
"350980 Campos Novos Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350990 Cananéia";-;-;-;-;-;-;-;6;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8
"350995 Canas";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"351000 Cândido Mota";1;-;-;-;-;1;-;6;-;-;3;51;-;2;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;12;-;-;-;-;-;-;80
"351010 Cândido Rodrigues";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351015 Canitar";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351020 Capão Bonito";-;1;-;-;-;1;-;10;-;-;6;17;-;1;-;1;-;-;1;4;-;4;-;-;-;1;-;-;-;5;-;-;-;-;-;-;52
"351030 Capela do Alto";-;1;-;-;1;1;-;6;-;-;2;4;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;18
"351040 Capivari";-;-;-;-;-;2;-;2;-;-;3;93;-;-;-;2;-;-;1;7;-;6;-;-;-;1;-;-;-;26;-;-;-;-;-;-;143
"351050 Caraguatatuba";-;1;-;-;1;2;-;11;-;-;30;101;-;2;-;3;4;-;-;15;-;2;3;-;-;1;-;-;-;22;2;-;6;-;-;2;208
"351060 Carapicuíba";-;-;-;-;-;3;-;16;-;-;16;35;-;1;-;3;-;-;-;15;-;-;-;-;2;1;-;-;-;10;3;1;6;2;-;-;114
"351070 Cardoso";1;-;-;-;-;-;-;6;-;-;-;8;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;1;-;-;-;21
"351080 Casa Branca";-;1;-;-;-;2;-;3;-;-;5;48;-;-;1;1;-;-;-;4;-;2;-;-;1;1;-;-;-;4;1;-;1;-;-;1;76
"351090 Cássia dos Coqueiros";1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"351100 Castilho";-;-;-;-;-;-;-;3;-;-;3;15;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;27
"351110 Catanduva";2;1;1;-;1;2;-;23;-;-;177;301;-;2;1;3;5;-;-;1;-;-;1;-;-;1;-;-;-;17;1;-;4;-;-;-;544
"351120 Catiguá";-;-;-;-;-;-;-;2;-;-;1;8;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;13
"351130 Cedral";-;-;-;-;-;-;-;3;-;-;1;6;-;-;-;-;-;-;1;4;-;-;-;-;-;1;-;-;-;-;1;2;1;-;-;-;20
"351140 Cerqueira César";-;-;-;-;-;-;-;7;-;-;1;9;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;5;-;-;1;-;-;-;25
"351150 Cerquilho";-;1;-;-;-;1;-;8;-;-;9;86;-;-;-;1;-;-;1;9;-;-;-;-;-;1;-;-;-;8;-;-;-;-;-;1;126
"351160 Cesário Lange";-;1;-;-;-;-;-;4;-;-;1;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;16
"351170 Charqueada";-;-;-;-;-;-;-;5;-;-;2;9;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;21
"355720 Chavantes";-;-;-;-;-;1;-;3;-;-;1;11;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;20
"351190 Clementina";1;-;-;-;-;-;-;1;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;-;-;-;-;-;10
"351200 Colina";-;-;-;-;-;-;-;4;-;-;4;25;-;-;-;1;-;-;-;-;-;1;1;-;-;1;-;-;-;2;-;-;1;-;-;-;40
"351210 Colômbia";1;-;-;-;-;-;-;3;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;11
"351220 Conchal";1;-;-;-;-;1;-;7;-;-;2;20;-;-;-;1;-;-;-;-;-;1;-;-;1;1;-;-;-;4;-;-;1;-;-;-;40
"351230 Conchas";1;-;-;-;-;-;-;2;-;-;3;25;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;7;-;-;-;-;-;-;42
"351240 Cordeirópolis";1;-;-;1;-;1;-;7;-;-;5;18;-;-;-;-;-;-;-;2;-;-;1;-;-;1;-;-;-;4;-;-;1;-;-;-;42
"351250 Coroados";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351260 Coronel Macedo";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;5
"351270 Corumbataí";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;6
"351280 Cosmópolis";-;1;-;-;-;2;-;10;-;-;8;37;-;1;-;1;-;-;-;6;-;-;-;-;-;1;-;-;3;6;2;-;-;-;-;1;79
