"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"Total"
"351770 Guará";-;-;1;-;5;1;4;14;-;-;-;1;-;-;-;1;-;-;-;1;2;1;-;-;-;31
"351780 Guaraçaí";-;-;-;-;1;-;-;9;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;13
"351790 Guaraci";-;-;-;-;4;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;9
"351800 Guarani d'Oeste";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351810 Guarantã";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;4
"351820 Guararapes";-;-;-;-;4;-;-;23;-;-;-;1;-;-;-;-;-;-;-;-;3;1;-;-;-;32
"351830 Guararema";-;-;-;-;3;-;1;7;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;-;-;15
"351840 Guaratinguetá";-;-;-;-;9;1;11;147;-;1;-;2;1;-;10;5;-;-;1;1;10;1;-;-;1;201
"351850 Guareí";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"351860 Guariba";-;-;-;-;3;-;6;11;-;-;-;1;-;-;4;-;-;-;-;1;3;1;-;-;-;30
"351870 Guarujá";-;-;3;-;27;1;26;144;-;2;1;2;3;-;3;-;-;-;5;-;17;1;-;1;-;236
"351880 Guarulhos";-;-;6;-;72;-;142;244;-;1;3;9;1;-;27;1;-;-;5;1;54;1;-;2;-;569
"351885 Guatapará";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351890 Guzolândia";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"351900 Herculândia";-;-;-;-;3;1;-;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;9
"351905 Holambra";-;-;-;-;3;-;2;5;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;12
"351907 Hortolândia";-;-;1;-;23;-;11;26;-;3;-;1;1;-;6;-;-;-;1;1;4;1;-;1;2;82
"351910 Iacanga";-;-;-;-;-;-;1;5;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;10
"351920 Iacri";-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"351925 Iaras";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"351930 Ibaté";-;-;-;-;8;-;1;11;-;-;-;1;-;-;-;-;-;-;-;1;4;1;-;-;-;27
"351940 Ibirá";-;-;-;-;3;-;3;1;-;-;-;1;-;-;-;-;-;-;-;1;3;-;-;-;-;12
"351950 Ibirarema";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;3
"351960 Ibitinga";-;-;-;-;6;-;2;82;-;-;-;2;-;-;2;1;-;-;2;1;7;-;-;-;-;105
"351970 Ibiúna";-;-;-;-;16;-;5;12;-;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;-;37
"351980 Icém";-;-;-;-;2;-;2;4;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;10
"351990 Iepê";-;-;-;-;3;-;2;1;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;9
"352000 Igaraçu do Tietê";-;-;-;-;4;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"352010 Igarapava";-;-;-;-;5;-;1;33;-;-;-;1;-;-;1;-;-;-;-;1;4;-;-;-;-;46
"352020 Igaratá";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;4
"352030 Iguape";-;-;-;-;1;-;1;5;-;-;-;-;-;-;1;5;-;-;-;1;1;-;1;-;-;16
"352042 Ilha Comprida";-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;7
"352044 Ilha Solteira";-;-;-;-;11;-;5;52;-;-;-;1;-;-;2;-;-;-;-;1;1;-;-;-;-;73
"352040 Ilhabela";-;-;1;-;7;-;1;2;-;-;-;1;-;-;-;-;-;1;-;1;2;-;-;-;-;16
"352050 Indaiatuba";-;-;3;-;4;-;29;202;-;-;1;2;4;-;18;8;-;-;1;1;22;2;-;1;1;299
"352060 Indiana";-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;7
"352070 Indiaporã";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"352080 Inúbia Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352090 Ipaussu";-;-;-;-;3;-;-;5;-;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;-;12
"352100 Iperó";-;-;1;-;5;-;-;9;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;17
"352110 Ipeúna";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;3
"352115 Ipiguá";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"352120 Iporanga";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352130 Ipuã";-;-;-;-;4;-;-;18;-;-;-;1;-;-;-;1;-;-;1;1;2;-;-;-;-;28
"352140 Iracemápolis";-;-;-;-;3;-;2;9;-;-;-;-;-;-;1;1;-;-;1;1;1;-;-;-;-;19
"352150 Irapuã";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352160 Irapuru";-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"352170 Itaberá";-;-;-;-;5;-;1;-;-;-;-;1;-;-;-;4;-;-;-;1;2;-;-;-;-;14
"352180 Itaí";-;-;-;-;7;-;-;15;-;-;-;1;-;-;1;-;-;-;-;1;2;-;-;-;-;27
"352190 Itajobi";-;-;-;-;4;-;1;5;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;13
"352200 Itaju";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352210 Itanhaém";-;-;1;-;10;-;13;14;-;2;-;1;-;-;3;-;-;-;1;1;2;2;-;1;1;52
"352215 Itaóca";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352220 Itapecerica da Serra";-;-;1;-;12;-;6;17;-;-;1;2;-;-;2;-;-;-;1;1;2;-;-;-;-;45
"352230 Itapetininga";-;-;2;-;26;-;14;184;-;-;-;2;1;-;3;7;-;-;-;1;14;1;-;-;-;255
"352240 Itapeva";-;-;2;-;21;-;14;67;-;2;-;1;-;-;16;-;-;-;-;1;5;1;-;-;-;130
"352250 Itapevi";-;-;1;-;12;1;14;17;-;1;-;2;-;-;2;-;-;-;4;1;3;1;-;1;1;61
"352260 Itapira";-;-;1;-;15;-;10;107;-;-;3;2;-;-;3;-;-;-;-;1;9;-;-;-;-;151
"352265 Itapirapuã Paulista";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"352270 Itápolis";-;-;1;-;7;-;4;52;-;-;-;1;-;-;1;-;-;-;-;1;7;-;-;-;-;74
"352280 Itaporanga";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;1;-;-;-;9
"352290 Itapuí";-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"352300 Itapura";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;3
"352310 Itaquaquecetuba";-;-;-;-;16;-;3;7;-;-;-;1;-;-;4;-;-;-;1;1;4;2;-;1;-;40
"352320 Itararé";-;-;1;-;5;-;7;42;-;-;-;1;-;-;1;5;-;-;-;1;3;-;-;-;-;66
"352330 Itariri";-;-;-;-;4;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"352340 Itatiba";-;-;1;-;13;-;20;40;-;1;-;2;1;-;5;-;-;-;-;1;13;1;-;1;1;100
"352350 Itatinga";-;-;-;-;1;-;1;13;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;18
"352360 Itirapina";-;-;-;-;6;-;1;18;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;27
"352370 Itirapuã";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"352380 Itobi";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;4
"352390 Itu";-;-;1;-;15;-;36;123;-;1;2;2;-;-;7;-;2;-;1;1;15;-;-;-;4;210
"352400 Itupeva";-;-;1;-;13;-;6;22;-;-;1;1;-;-;2;-;-;-;-;1;5;-;-;1;2;55
"352410 Ituverava";-;-;-;-;10;1;12;100;-;-;-;2;-;-;-;-;-;-;-;-;8;1;-;-;-;134
"352420 Jaborandi";-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;5
"352430 Jaboticabal";-;-;2;-;8;-;19;60;-;-;-;2;-;-;6;-;1;-;-;1;8;-;-;-;-;107
"352440 Jacareí";-;-;2;-;17;-;26;274;-;-;-;5;1;-;2;-;2;-;1;1;22;-;-;1;-;354
"352450 Jaci";-;-;-;-;3;-;4;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;10
"352460 Jacupiranga";-;-;-;-;5;-;-;5;-;1;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;14
"352470 Jaguariúna";-;-;-;-;6;1;5;30;-;-;-;1;-;-;5;-;-;-;-;1;7;-;-;1;1;58
"352480 Jales";-;-;-;-;10;-;8;116;-;-;-;1;-;-;2;-;-;-;1;1;14;1;-;-;-;154
"352490 Jambeiro";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352500 Jandira";-;-;1;-;9;-;4;9;-;-;1;1;-;-;3;-;1;-;-;1;1;-;-;-;1;32
"352510 Jardinópolis";-;-;-;-;8;-;4;17;-;-;-;-;-;-;3;-;-;-;-;1;2;-;-;-;-;35
"352520 Jarinu";-;-;-;-;3;1;3;4;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;14
"352530 Jaú";-;-;1;-;15;-;68;256;-;-;2;1;-;-;1;-;1;-;1;1;12;-;-;-;-;359
"352540 Jeriquara";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352550 Joanópolis";-;-;-;-;2;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;6
"352560 João Ramalho";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352570 José Bonifácio";-;-;-;-;7;-;6;12;-;-;-;1;-;-;4;-;-;-;-;1;5;-;-;-;-;36
"352580 Júlio Mesquita";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352585 Jumirim";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"352590 Jundiaí";-;2;3;-;36;-;174;1043;-;1;1;5;4;-;9;-;4;-;-;1;46;-;-;1;-;1330
"352600 Junqueirópolis";-;-;1;-;5;-;-;7;-;-;-;1;-;-;-;1;-;-;1;1;1;-;-;-;-;18
"352610 Juquiá";-;-;-;-;5;-;-;2;-;-;-;1;-;-;-;2;-;-;-;-;2;-;-;-;-;12
"352620 Juquitiba";-;-;1;-;4;-;-;3;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;12
"352630 Lagoinha";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352640 Laranjal Paulista";-;-;1;-;6;-;5;42;-;-;-;1;-;-;2;-;-;-;-;1;5;-;-;-;-;63
"352650 Lavínia";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"352660 Lavrinhas";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352670 Leme";-;-;1;-;13;-;24;91;-;-;-;2;-;-;2;-;-;-;-;1;11;1;-;-;2;148
"352680 Lençóis Paulista";-;-;-;-;9;1;4;95;-;-;-;1;1;-;2;-;-;-;1;1;12;-;-;1;1;129
"352690 Limeira";-;-;-;-;25;-;36;360;-;-;-;4;-;-;6;-;-;-;-;1;23;1;-;1;-;457
"352700 Lindóia";-;-;-;-;3;-;2;2;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;1;-;11
"352710 Lins";-;1;4;-;7;-;4;258;-;-;2;3;-;-;1;3;-;-;-;1;9;-;-;-;-;293
"352720 Lorena";-;-;1;-;15;-;7;142;-;-;-;2;-;-;-;-;-;-;-;1;11;-;-;-;-;179
"352725 Lourdes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352730 Louveira";-;-;-;-;3;-;3;13;-;-;-;1;-;-;3;-;-;-;-;1;2;1;-;-;-;27
"352740 Lucélia";-;-;-;-;6;-;3;13;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;25
"352750 Lucianópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352760 Luís Antônio";-;-;-;-;4;-;1;8;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;15
"352770 Luiziânia";-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;7
"352780 Lupércio";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3
"352790 Lutécia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352800 Macatuba";-;-;-;-;4;-;4;13;-;-;-;1;-;-;1;-;-;-;-;1;1;-;-;-;-;25
"352810 Macaubal";-;-;-;-;1;-;-;5;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;9
"352820 Macedônia";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"352830 Magda";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352840 Mairinque";-;-;-;-;15;-;9;14;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;40
"352850 Mairiporã";-;-;1;-;8;-;8;14;-;1;-;1;-;-;4;1;-;-;-;1;5;-;-;-;-;44
"352860 Manduri";-;-;-;-;2;-;2;5;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;12
"352870 Marabá Paulista";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"352880 Maracaí";-;-;1;-;4;-;-;4;-;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;-;13
"352885 Marapoama";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352890 Mariápolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352900 Marília";-;-;2;-;51;-;34;447;-;3;2;4;-;1;1;1;1;1;1;2;19;1;-;3;-;574
"352910 Marinópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352920 Martinópolis";-;-;2;-;7;-;3;12;-;-;-;1;-;-;-;1;-;-;-;1;2;-;-;-;-;29
"352930 Matão";-;-;1;-;11;-;24;93;-;-;-;1;-;-;2;-;1;-;-;1;5;-;-;-;1;140
"352940 Mauá";-;-;3;-;23;-;24;121;-;-;1;4;-;-;8;-;-;-;-;1;26;2;-;1;1;215
"352950 Mendonça";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"352960 Meridiano";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"352965 Mesópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352970 Miguelópolis";-;-;-;-;7;1;3;9;-;-;-;1;-;-;1;-;-;-;1;-;6;-;-;-;-;29
"352980 Mineiros do Tietê";-;-;-;-;2;-;2;3;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;9
"353000 Mira Estrela";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"352990 Miracatu";-;-;-;-;2;-;1;2;-;-;-;1;-;-;-;3;-;-;-;1;1;-;-;-;-;11
"353010 Mirandópolis";-;-;-;-;6;-;-;30;-;1;-;2;-;-;-;3;-;-;-;1;7;1;-;-;-;51
"353020 Mirante do Paranapanema";-;-;-;-;6;-;1;7;-;-;-;-;-;-;2;-;-;-;-;-;1;1;-;-;-;18
"353030 Mirassol";-;-;1;-;6;-;22;38;-;-;-;2;-;-;-;1;-;-;1;1;7;1;-;-;-;80
"353040 Mirassolândia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353050 Mococa";-;-;3;-;8;1;41;88;-;-;-;1;-;-;5;1;-;1;-;1;10;2;-;1;1;164
"353060 Mogi das Cruzes";-;1;1;-;28;1;97;137;-;1;1;6;-;-;5;5;4;-;-;1;37;2;-;-;3;330
"353070 Mogi Guaçu";-;-;2;-;16;-;33;198;-;-;-;3;-;-;6;-;-;-;1;1;12;-;-;-;-;272
"353080 Mogi Mirim";-;-;2;-;14;-;13;120;-;1;1;1;-;-;5;-;-;-;-;1;15;-;-;-;-;173
"353090 Mombuca";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"353100 Monções";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;4
"353110 Mongaguá";-;-;-;-;9;-;8;5;-;1;-;1;-;-;1;-;-;-;2;-;1;1;-;-;-;29
"353120 Monte Alegre do Sul";-;-;-;-;3;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;9
"353130 Monte Alto";-;-;1;-;7;-;7;128;1;1;-;2;-;-;18;-;-;-;1;-;1;1;-;-;-;168
"353140 Monte Aprazível";-;-;-;-;4;-;11;7;-;-;-;1;-;-;-;2;-;-;-;1;1;-;-;-;-;27
"353150 Monte Azul Paulista";-;-;-;-;2;-;2;12;-;-;-;2;-;-;1;-;-;-;1;1;3;-;-;-;-;24
"353160 Monte Castelo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353180 Monte Mor";-;-;1;-;11;-;6;22;-;-;-;1;-;-;-;-;-;-;-;1;3;2;-;-;1;48
"353170 Monteiro Lobato";-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;6
"353190 Morro Agudo";-;-;1;-;5;-;8;30;-;-;-;1;-;-;1;2;-;-;-;1;6;-;-;-;-;55
"353200 Morungaba";-;-;-;-;5;-;2;-;-;-;-;2;-;-;-;-;-;-;-;1;3;-;-;-;-;13
"353205 Motuca";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;5
"353210 Murutinga do Sul";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"353215 Nantes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;3
"353220 Narandiba";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353230 Natividade da Serra";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353240 Nazaré Paulista";-;-;-;-;1;-;2;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;6
"353250 Neves Paulista";-;-;-;-;3;-;1;4;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;-;-;12
"353260 Nhandeara";-;-;-;-;4;-;2;18;-;-;1;1;-;-;-;-;-;-;-;1;2;-;-;-;-;29
"353270 Nipoã";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353280 Nova Aliança";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"353282 Nova Campina";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;4
"353284 Nova Canaã Paulista";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"353286 Nova Castilho";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353290 Nova Europa";-;-;-;-;3;-;2;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"353300 Nova Granada";-;-;-;-;3;-;2;2;-;-;-;1;-;-;2;2;-;-;-;1;1;-;-;-;-;14
"353310 Nova Guataporanga";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"353320 Nova Independência";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"353330 Nova Luzitânia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353340 Nova Odessa";-;-;-;-;4;-;4;38;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;50
"353325 Novais";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353350 Novo Horizonte";-;-;-;-;5;-;11;25;-;-;-;1;-;-;1;1;-;-;-;1;4;-;-;-;-;49
"353360 Nuporanga";-;-;-;-;4;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;-;20
"353370 Ocauçu";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3
"353380 Óleo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;4
"353390 Olímpia";-;-;-;-;7;-;9;51;-;-;-;1;-;-;5;-;-;-;-;1;13;-;-;-;-;87
"353400 Onda Verde";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"353410 Oriente";-;-;-;-;2;-;-;6;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;9
"353420 Orindiúva";-;-;-;-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"353430 Orlândia";-;-;1;-;6;-;13;88;1;-;-;1;-;-;3;-;-;-;-;1;8;-;-;1;-;123
"353440 Osasco";-;1;2;-;36;-;162;362;-;4;2;7;-;-;7;-;4;-;4;1;37;1;-;2;1;633
"353450 Oscar Bressane";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353460 Osvaldo Cruz";-;-;-;-;6;1;4;28;-;-;-;2;-;-;1;1;-;-;-;1;10;-;-;-;1;55
"353470 Ourinhos";-;1;1;-;14;1;20;212;-;1;2;3;-;-;3;3;-;-;-;1;25;1;-;-;-;288
"353480 Ouro Verde";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;6
"353475 Ouroeste";-;-;-;-;1;-;-;9;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;13
"353490 Pacaembu";-;-;-;-;4;-;-;8;-;-;-;1;-;-;-;-;-;-;-;1;2;1;-;-;-;17
"353500 Palestina";-;-;-;-;1;-;2;4;-;-;-;-;-;-;1;2;-;-;-;1;2;-;-;-;-;13
"353510 Palmares Paulista";-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;6
"353520 Palmeira d'Oeste";-;-;-;-;3;-;-;4;-;-;-;1;-;-;-;2;-;-;-;1;1;-;-;-;-;12
"353530 Palmital";-;-;-;-;5;1;1;16;-;1;-;1;-;-;2;-;-;-;-;1;2;-;-;-;-;30
"353540 Panorama";-;-;-;-;1;-;1;5;-;-;-;1;-;-;-;2;-;-;1;1;-;-;-;-;-;12
"353550 Paraguaçu Paulista";-;-;1;-;13;1;2;47;-;1;-;1;-;-;-;-;-;-;-;1;6;-;-;-;1;74
"353560 Paraibuna";-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;4;-;-;1;1;1;-;-;-;-;12
"353570 Paraíso";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"353580 Paranapanema";-;-;-;-;3;-;-;4;-;-;-;1;-;-;1;-;-;-;-;1;1;-;-;-;-;11
"353590 Paranapuã";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353600 Parapuã";-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"353610 Pardinho";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"353620 Pariquera-Açu";-;-;-;-;7;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;3;-;-;1;-;16
"353625 Parisi";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353630 Patrocínio Paulista";-;-;-;-;5;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;10
"353640 Paulicéia";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"353650 Paulínia";-;-;2;-;6;1;16;70;-;-;-;1;-;-;10;-;2;-;-;1;7;1;-;-;1;118
"353657 Paulistânia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353660 Paulo de Faria";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;5
"353670 Pederneiras";-;-;1;-;12;-;2;37;-;-;-;1;-;-;-;-;-;-;-;1;4;-;-;-;-;58
