"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"350400 Assis";-;-;-;-;-;1;-;20;1;15;185;-;1;-;4;3;-;7;1;-;-;1;1;-;-;19;1;-;-;-;-;260
"350410 Atibaia";-;-;-;-;-;1;-;18;-;6;144;-;-;-;3;-;-;11;1;1;-;-;1;-;-;22;-;-;2;1;-;211
"350420 Auriflama";1;-;-;-;-;-;-;4;-;1;12;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;22
"350430 Avaí";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350440 Avanhandava";-;-;-;-;-;-;-;2;-;1;6;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;12
"350450 Avaré";-;-;1;-;-;1;-;16;-;9;143;1;-;-;1;-;-;-;-;1;-;-;1;-;-;15;1;-;2;1;-;193
"350460 Bady Bassitt";-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;6
"350470 Balbinos";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"350480 Bálsamo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350490 Bananal";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;-;-;-;6
"350500 Barão de Antonina";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"350510 Barbosa";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350520 Bariri";-;-;-;-;-;-;-;7;-;1;32;-;-;-;1;-;-;1;-;-;-;-;1;-;-;6;-;-;-;-;-;49
"350530 Barra Bonita";-;-;-;-;-;1;-;6;-;2;54;-;-;-;1;-;-;-;-;-;-;-;1;-;-;6;-;-;-;-;-;71
"350535 Barra do Chapéu";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;5
"350540 Barra do Turvo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;1;-;7
"350550 Barretos";-;2;1;-;-;1;-;15;-;18;169;-;2;2;2;1;-;2;-;1;-;-;2;-;-;7;-;-;3;-;-;228
"350560 Barrinha";-;-;-;-;-;-;-;4;-;1;4;-;-;-;-;-;-;3;-;-;-;-;1;-;-;2;-;1;-;-;-;16
"350570 Barueri";-;-;-;-;-;3;-;17;-;35;118;-;-;-;3;-;-;9;-;-;2;3;1;-;-;13;-;-;-;-;-;204
"350580 Bastos";-;1;-;-;-;-;-;6;-;6;7;-;-;-;1;-;-;-;-;-;-;1;1;-;-;2;-;-;-;-;-;25
"350590 Batatais";-;-;-;-;-;1;-;8;-;8;158;-;1;-;1;-;-;3;-;1;-;1;1;-;-;10;-;-;2;-;-;195
"350600 Bauru";-;2;1;-;-;3;-;23;-;46;374;-;1;3;7;1;1;16;2;4;-;1;2;-;-;26;-;-;12;1;-;526
"350610 Bebedouro";-;1;-;-;-;2;-;16;-;37;128;-;1;-;3;-;-;18;-;-;-;-;1;-;-;10;-;-;-;-;-;217
"350620 Bento de Abreu";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;4
"350630 Bernardino de Campos";-;-;-;-;-;-;-;3;-;-;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;10
"350635 Bertioga";-;-;-;-;-;1;-;5;-;7;7;-;-;-;1;-;-;1;-;-;-;-;1;-;-;5;1;-;2;1;-;32
"350640 Bilac";-;-;-;-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;8
"350650 Birigui";-;-;-;-;-;-;-;10;-;20;79;-;1;1;2;-;-;3;-;-;-;-;1;-;-;11;-;-;-;-;-;128
"350660 Biritiba-Mirim";-;-;-;-;-;-;-;6;1;2;9;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;21
"350670 Boa Esperança do Sul";-;-;-;-;-;-;-;4;-;1;8;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;17
"350680 Bocaina";-;-;-;-;-;-;-;4;-;2;8;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;17
"350690 Bofete";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350700 Boituva";-;1;-;-;-;1;-;6;-;11;44;-;1;-;1;-;-;1;1;-;-;-;1;-;-;4;-;-;-;2;-;74
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;-;-;-;1;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;-;13
"350715 Bom Sucesso de Itararé";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"350720 Borá";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350730 Boracéia";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350740 Borborema";-;-;-;-;-;-;-;5;-;4;15;-;-;-;1;-;-;2;-;-;-;1;1;-;-;3;-;-;-;-;-;32
"350745 Borebi";-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"350750 Botucatu";-;-;1;-;-;3;-;14;1;32;419;-;1;1;2;-;-;3;-;1;-;-;3;-;-;6;1;-;2;1;-;491
"350760 Bragança Paulista";-;-;1;2;-;2;-;25;1;10;211;-;1;-;3;1;-;8;4;-;-;1;1;-;-;19;1;-;3;2;-;296
"350770 Braúna";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350775 Brejo Alegre";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"350780 Brodowski";-;-;-;-;-;-;-;3;-;1;27;-;-;-;-;-;-;3;-;-;-;-;1;-;-;4;-;-;-;-;-;39
"350790 Brotas";-;-;-;-;-;-;-;4;-;3;31;-;-;-;1;-;-;1;-;-;-;-;1;-;-;2;-;-;-;-;-;43
"350800 Buri";-;1;-;-;-;1;-;3;-;-;1;-;-;-;-;-;-;1;3;1;-;-;1;-;-;1;-;-;-;-;-;13
"350810 Buritama";1;-;-;-;-;1;-;2;-;3;4;-;1;-;1;-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;17
"350820 Buritizal";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;4
"350830 Cabrália Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"350840 Cabreúva";-;-;-;-;-;-;-;4;-;2;6;-;-;-;1;-;-;1;-;1;-;-;1;-;-;4;-;-;-;-;-;20
"350850 Caçapava";-;-;-;1;-;2;-;18;-;7;181;-;2;1;3;-;-;1;-;1;-;-;1;-;-;2;-;-;-;-;-;220
"350860 Cachoeira Paulista";-;-;-;-;-;-;-;10;-;4;30;-;1;-;1;-;-;4;-;-;-;1;1;-;-;2;-;-;-;-;-;54
"350870 Caconde";-;-;-;-;-;-;-;2;-;3;17;-;1;-;1;-;-;-;1;-;-;-;1;-;-;4;-;-;-;-;-;30
"350880 Cafelândia";-;-;-;-;-;-;-;4;-;-;23;-;-;-;1;-;-;2;-;-;-;-;1;-;-;4;-;-;-;-;-;35
"350890 Caiabu";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"350900 Caieiras";-;-;-;-;-;-;-;6;-;14;10;-;-;-;1;-;-;6;5;-;-;-;-;-;-;4;2;1;-;-;-;49
"350910 Caiuá";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"350920 Cajamar";-;-;-;-;-;-;-;11;-;5;17;-;-;-;1;-;-;1;-;1;-;-;1;-;-;2;-;-;-;1;-;40
"350925 Cajati";-;-;-;-;-;1;-;6;-;1;15;-;-;-;1;-;-;-;-;-;-;-;1;-;-;4;-;-;-;-;-;29
"350930 Cajobi";-;-;-;-;-;-;-;3;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;9
"350940 Cajuru";-;-;-;-;-;-;-;6;-;6;22;-;-;-;1;-;-;3;-;1;-;-;1;-;-;2;-;-;1;-;-;43
"350945 Campina do Monte Alegre";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"350950 Campinas";-;2;1;-;1;11;-;65;-;338;1438;1;4;7;20;12;1;54;5;4;-;-;7;-;-;115;-;-;19;-;-;2105
"350960 Campo Limpo Paulista";-;-;-;-;-;-;-;8;-;11;9;1;-;-;1;-;-;7;-;-;-;-;1;-;-;5;1;-;-;-;-;44
"350970 Campos do Jordão";-;-;-;-;-;1;-;3;-;3;25;-;-;-;3;-;-;1;10;-;-;1;1;-;-;3;-;-;-;-;-;51
"350980 Campos Novos Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350990 Cananéia";-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;7
"350995 Canas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351000 Cândido Mota";-;-;-;-;-;1;-;6;-;2;41;-;-;-;1;-;-;2;-;-;-;-;1;-;-;5;-;-;-;-;-;59
"351010 Cândido Rodrigues";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"351015 Canitar";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351020 Capão Bonito";-;1;-;-;-;1;-;12;-;7;20;-;-;-;1;-;-;2;-;-;-;-;1;-;-;4;-;-;-;-;-;49
"351030 Capela do Alto";-;1;-;-;1;-;-;5;-;1;4;-;-;-;-;-;-;2;-;-;-;-;1;-;-;1;-;-;1;-;-;17
"351040 Capivari";-;-;-;-;-;2;-;4;-;17;100;-;-;-;2;-;-;4;3;-;-;-;1;-;-;13;-;-;-;-;-;146
"351050 Caraguatatuba";-;1;-;-;-;1;-;10;-;18;70;-;-;-;2;2;-;5;1;2;-;-;1;-;-;10;1;-;5;-;-;129
"351060 Carapicuíba";-;-;-;-;-;3;-;12;-;15;25;-;-;-;3;-;-;9;-;-;-;2;-;-;-;7;2;1;-;2;-;81
"351070 Cardoso";-;-;-;-;-;-;-;5;-;1;7;-;-;-;1;-;-;-;-;-;-;-;1;-;-;3;-;-;1;-;-;19
"351080 Casa Branca";-;-;-;-;-;1;-;7;1;4;41;-;-;1;1;-;-;-;-;-;-;1;1;-;-;12;-;-;1;-;-;71
"351090 Cássia dos Coqueiros";1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"351100 Castilho";-;-;-;-;-;-;-;1;-;1;8;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;13
"351110 Catanduva";-;-;1;-;-;-;-;25;-;57;237;-;2;1;3;1;-;1;-;-;-;-;1;-;-;18;-;-;10;-;-;357
"351120 Catiguá";-;-;-;-;-;-;-;2;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;8
"351130 Cedral";-;-;-;-;-;-;-;2;-;1;6;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;1;-;-;13
"351140 Cerqueira César";-;-;-;-;-;-;-;5;-;1;9;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;20
"351150 Cerquilho";-;1;-;-;-;-;-;6;-;7;87;-;-;-;1;-;-;9;-;-;-;-;1;-;-;7;-;-;-;-;-;119
"351160 Cesário Lange";-;1;-;-;-;-;-;4;-;-;6;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;15
"351170 Charqueada";-;-;-;-;-;-;-;5;-;2;6;-;-;-;1;-;-;4;-;-;-;-;1;-;-;1;-;-;-;-;-;20
"355720 Chavantes";-;-;-;-;-;1;-;3;-;1;9;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;17
"351190 Clementina";-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"351200 Colina";-;-;-;-;-;-;-;5;-;11;30;-;-;-;1;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;50
"351210 Colômbia";-;-;-;-;-;-;-;3;-;2;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;1;-;-;12
"351220 Conchal";-;-;-;-;-;-;-;6;-;3;27;-;-;-;1;-;-;-;-;-;-;1;1;-;-;2;-;-;-;-;-;41
"351230 Conchas";-;-;-;-;-;-;-;5;-;2;27;-;1;-;1;-;-;-;-;-;-;-;1;-;-;6;-;-;-;-;-;43
"351240 Cordeirópolis";-;-;-;1;-;1;-;4;-;3;9;-;-;-;-;-;-;2;1;1;-;-;1;-;-;4;-;-;-;-;-;27
"351250 Coroados";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351260 Coronel Macedo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"351270 Corumbataí";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;4
"351280 Cosmópolis";-;-;-;-;-;2;-;11;1;7;43;-;-;-;1;-;-;7;-;-;-;-;1;-;-;7;1;-;-;-;-;81
"351290 Cosmorama";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;-;-;-;-;-;5
"351300 Cotia";-;-;-;-;-;3;-;26;1;18;32;-;2;1;2;-;-;6;-;-;-;4;1;-;-;6;3;-;2;1;-;108
"351310 Cravinhos";-;-;-;-;-;-;-;2;-;3;24;-;-;-;1;-;-;1;-;-;-;1;1;-;-;2;-;-;1;-;-;36
"351320 Cristais Paulista";-;-;-;-;-;-;-;3;-;1;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;10
"351330 Cruzália";-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"351340 Cruzeiro";-;1;-;-;-;1;-;12;-;53;156;-;1;-;1;1;-;5;4;1;-;-;-;-;-;19;1;-;2;-;-;258
"351350 Cubatão";-;-;1;-;-;2;-;13;-;15;104;-;-;-;2;-;-;2;-;-;2;1;2;-;-;18;1;-;5;-;-;168
"351360 Cunha";-;-;-;-;-;1;-;6;-;2;5;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;19
"351370 Descalvado";-;-;-;-;-;1;-;11;1;11;65;-;-;-;1;-;-;1;-;1;-;-;-;-;-;3;1;-;-;-;-;96
"351380 Diadema";-;1;2;-;-;5;-;20;-;24;62;-;-;-;5;2;-;14;-;1;-;2;1;-;-;9;2;1;25;-;-;176
"351385 Dirce Reis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351390 Divinolândia";-;-;-;-;-;-;-;2;-;2;11;-;-;-;1;-;-;1;1;-;-;-;1;-;-;1;-;-;-;-;-;20
"351400 Dobrada";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;6
"351410 Dois Córregos";-;-;-;-;-;-;-;4;-;7;22;-;-;-;1;-;-;-;1;-;-;-;-;-;-;3;1;-;-;-;-;39
"351420 Dolcinópolis";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"351430 Dourado";-;-;-;-;-;-;-;1;-;-;4;-;-;-;1;-;-;-;2;-;-;1;1;-;-;1;-;-;-;-;-;11
"351440 Dracena";-;-;-;-;-;1;-;9;-;1;141;-;-;-;1;-;-;3;-;-;-;-;1;-;-;8;1;-;-;-;-;166
"351450 Duartina";-;-;-;-;-;-;-;5;-;1;23;-;-;-;1;-;-;-;-;-;-;-;1;-;-;5;-;-;1;-;-;37
"351460 Dumont";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"351470 Echaporã";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;4
"351480 Eldorado";-;-;-;-;-;-;-;3;-;2;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;8
"351490 Elias Fausto";-;-;-;-;-;-;-;2;-;1;2;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;8
"351492 Elisiário";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
