"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"350240 Anhumas";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"350250 Aparecida";-;-;-;-;-;1;-;2;-;2;10;-;2;-;1;-;-;-;7;-;-;-;1;-;-;-;5;-;-;1;-;-;32
"350260 Aparecida d'Oeste";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;6
"350270 Apiaí";-;-;-;-;-;1;-;8;-;3;20;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;4;-;-;-;-;-;39
"350275 Araçariguama";-;-;-;-;-;-;-;1;-;3;4;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;11
"350280 Araçatuba";-;-;-;-;1;1;-;22;-;70;356;2;1;5;3;-;1;3;-;2;-;-;2;2;-;-;28;-;-;-;2;-;501
"350290 Araçoiaba da Serra";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;2;-;-;1;-;-;10
"350300 Aramina";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"350310 Arandu";-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"350315 Arapeí";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;4
"350320 Araraquara";-;-;1;-;-;2;-;30;2;46;435;-;6;2;3;1;-;10;-;2;-;3;2;-;-;-;16;3;-;11;1;-;576
"350330 Araras";-;-;-;-;-;1;-;20;-;29;235;-;-;1;3;-;-;2;2;1;-;-;1;-;-;-;9;2;-;-;-;-;306
"350335 Arco-Íris";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350340 Arealva";-;-;-;-;-;-;-;4;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"350350 Areias";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350360 Areiópolis";-;-;-;-;-;-;-;3;-;1;10;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;1;-;-;18
"350370 Ariranha";-;-;-;-;-;-;-;2;-;1;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;8
"350380 Artur Nogueira";-;-;-;-;-;1;-;17;1;4;24;-;1;-;1;-;-;3;1;-;-;1;1;-;-;-;2;1;-;-;-;-;58
"350390 Arujá";-;-;-;-;-;1;-;6;-;10;20;-;-;-;2;-;-;-;-;1;-;-;1;-;-;-;7;-;-;-;1;-;49
"350395 Aspásia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350400 Assis";-;-;-;-;-;1;-;20;1;15;170;-;1;-;4;4;-;6;1;-;-;1;1;-;-;-;19;1;-;-;-;-;245
"350410 Atibaia";-;-;-;-;-;1;-;18;-;6;141;-;-;-;3;-;-;12;1;1;-;-;1;-;-;-;21;-;-;2;1;-;208
"350420 Auriflama";1;-;-;-;-;-;-;3;-;1;12;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;21
"350430 Avaí";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350440 Avanhandava";-;-;-;-;-;-;-;4;-;1;6;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;13
"350450 Avaré";-;-;1;-;-;-;-;16;-;9;142;1;-;-;1;-;-;-;-;1;-;-;1;-;-;-;16;1;-;2;1;-;192
"350460 Bady Bassitt";-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;6
"350470 Balbinos";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"350480 Bálsamo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350490 Bananal";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;1;-;-;-;6
"350500 Barão de Antonina";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"350510 Barbosa";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350520 Bariri";-;-;-;-;-;1;-;7;-;1;32;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;6;-;-;-;-;-;50
"350530 Barra Bonita";-;-;-;-;-;1;-;6;-;2;54;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;6;-;-;-;-;-;71
"350535 Barra do Chapéu";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"350540 Barra do Turvo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"350550 Barretos";-;1;1;-;-;1;-;16;-;16;167;-;2;2;2;1;-;2;-;1;-;-;2;-;-;-;7;-;-;3;-;-;224
"350560 Barrinha";-;-;-;-;-;-;-;4;-;1;4;-;-;-;-;-;-;3;-;-;-;-;1;-;-;-;2;-;1;-;-;-;16
"350570 Barueri";-;-;-;-;-;3;-;17;-;35;111;-;-;-;3;-;-;9;-;-;2;3;1;-;-;-;12;-;-;-;-;-;196
"350580 Bastos";-;1;-;-;-;-;-;6;-;6;6;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;24
"350590 Batatais";-;-;-;-;-;1;-;8;-;8;156;-;1;-;1;-;-;3;-;1;-;1;1;-;-;-;10;-;-;2;-;-;193
"350600 Bauru";-;1;1;-;-;3;-;22;-;47;430;-;1;3;7;1;1;17;2;3;-;1;2;-;-;-;29;-;-;1;1;-;573
"350610 Bebedouro";-;1;-;-;-;2;-;16;-;36;127;-;1;-;3;-;-;17;-;-;-;-;1;-;-;-;10;-;-;-;-;-;214
"350620 Bento de Abreu";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"350630 Bernardino de Campos";-;-;-;-;-;-;-;3;-;-;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;10
"350635 Bertioga";-;-;-;-;-;1;-;5;-;8;7;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;5;1;-;2;1;-;33
"350640 Bilac";-;-;-;-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;8
"350650 Birigui";-;-;-;-;-;-;-;10;-;20;78;-;1;1;2;-;-;3;-;-;-;-;1;-;-;-;11;-;-;-;-;-;127
"350660 Biritiba-Mirim";-;-;-;-;-;-;-;6;1;2;9;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;21
"350670 Boa Esperança do Sul";-;-;-;-;-;-;-;4;-;1;7;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;16
"350680 Bocaina";-;-;-;-;-;-;-;4;-;2;8;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;17
"350690 Bofete";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350700 Boituva";-;-;-;-;-;1;-;6;-;10;42;-;1;-;1;-;-;1;2;-;-;-;1;-;-;-;4;-;-;-;2;-;71
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;-;-;-;1;8;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3;-;1;1;-;-;15
"350715 Bom Sucesso de Itararé";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350720 Borá";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350730 Boracéia";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350740 Borborema";-;-;-;-;-;-;-;5;-;4;14;-;-;-;1;-;-;1;-;-;-;1;1;-;-;-;3;-;-;-;-;-;30
"350745 Borebi";-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"350750 Botucatu";-;-;1;-;-;3;-;14;1;32;408;-;1;1;2;-;-;3;-;1;-;-;3;-;-;-;6;1;-;2;1;-;480
"350760 Bragança Paulista";-;-;1;2;-;2;-;25;1;10;212;-;1;-;3;1;-;8;4;-;-;1;1;-;-;-;19;1;-;3;2;-;297
"350770 Braúna";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350775 Brejo Alegre";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"350780 Brodowski";-;-;-;-;-;-;-;3;-;1;26;-;-;-;-;-;-;3;-;-;-;-;1;-;-;-;4;-;-;-;-;-;38
"350790 Brotas";-;-;-;-;-;-;-;4;-;3;31;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;2;-;-;-;-;-;43
"350800 Buri";-;-;-;-;-;1;-;3;-;-;2;-;-;-;-;-;-;-;3;1;-;-;1;-;-;-;1;-;-;-;-;-;12
"350810 Buritama";1;-;-;-;-;1;-;2;-;3;2;-;1;-;1;-;-;-;-;-;-;1;1;-;-;-;3;-;-;-;-;-;16
"350820 Buritizal";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"350830 Cabrália Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"350840 Cabreúva";-;-;-;-;-;-;-;3;-;2;5;-;-;-;1;-;-;2;-;1;-;-;1;-;-;-;3;-;-;-;-;-;18
"350850 Caçapava";-;-;-;1;-;2;-;18;-;7;182;-;2;1;3;-;-;1;-;-;-;-;1;-;-;-;3;-;-;-;-;-;221
"350860 Cachoeira Paulista";-;-;-;-;-;-;-;10;-;4;29;-;1;-;1;-;-;4;-;-;-;1;1;-;-;-;2;-;-;-;-;-;53
"350870 Caconde";-;-;-;-;-;-;-;2;-;3;17;-;1;-;1;-;-;-;1;-;-;-;1;-;-;-;4;-;-;-;-;-;30
"350880 Cafelândia";-;-;-;-;-;-;-;4;-;-;23;-;-;-;1;-;-;2;-;-;-;-;1;-;-;-;4;-;-;-;-;-;35
"350890 Caiabu";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"350900 Caieiras";-;-;-;-;-;-;-;6;-;14;10;-;-;-;1;-;-;5;5;-;-;-;-;-;-;-;4;2;1;-;-;-;48
"350910 Caiuá";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"350920 Cajamar";-;-;-;-;-;-;-;11;-;5;16;-;-;-;1;-;-;1;-;1;-;-;1;-;-;-;2;-;-;-;1;-;39
"350925 Cajati";-;-;-;-;-;1;-;5;-;1;17;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;3;-;-;-;-;-;30
"350930 Cajobi";-;-;-;-;-;-;-;3;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;9
"350940 Cajuru";-;-;-;-;-;-;-;6;-;6;20;-;-;-;1;-;-;3;-;1;-;-;1;-;-;-;2;-;-;1;-;-;41
"350945 Campina do Monte Alegre";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"350950 Campinas";-;1;1;-;1;11;-;65;-;344;1430;1;4;7;20;9;1;52;5;4;-;-;7;-;-;-;110;-;-;19;-;-;2092
"350960 Campo Limpo Paulista";-;-;-;-;-;-;-;8;-;11;9;1;-;-;1;-;-;7;-;-;-;-;1;-;-;-;5;1;-;-;-;-;44
"350970 Campos do Jordão";-;-;-;-;-;1;-;3;-;3;24;-;-;-;3;-;-;1;10;-;-;1;1;-;-;-;3;-;-;-;-;-;50
"350980 Campos Novos Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350990 Cananéia";-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"350995 Canas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351000 Cândido Mota";-;-;-;-;-;1;-;6;-;2;40;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;5;-;-;-;-;-;57
"351010 Cândido Rodrigues";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351015 Canitar";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351020 Capão Bonito";-;-;-;-;-;1;-;12;-;6;19;-;-;-;1;-;-;2;-;-;-;-;1;-;-;-;4;-;-;-;-;-;46
"351030 Capela do Alto";-;-;-;-;-;-;-;3;-;-;4;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;1;-;-;1;-;-;12
"351040 Capivari";-;-;-;-;-;2;-;4;-;17;100;-;-;-;2;-;-;4;3;-;-;-;1;-;-;-;12;-;-;-;-;-;145
"351050 Caraguatatuba";-;1;-;-;-;1;-;11;-;18;71;-;-;-;2;2;-;4;1;1;-;-;1;-;-;-;10;1;-;5;-;-;129
"351060 Carapicuíba";-;-;-;-;-;3;-;12;-;14;25;-;-;-;3;-;-;9;-;-;-;2;-;-;-;-;7;2;1;-;2;-;80
"351070 Cardoso";-;-;-;-;-;-;-;5;-;1;7;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;3;-;-;1;-;-;19
"351080 Casa Branca";-;-;-;-;-;1;-;6;1;5;40;-;-;1;1;-;-;-;-;-;-;1;1;-;-;-;10;-;-;1;-;-;68
"351090 Cássia dos Coqueiros";1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"351100 Castilho";-;-;-;-;-;-;-;1;-;1;9;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;14
"351110 Catanduva";-;-;1;-;-;-;-;24;-;52;231;-;2;1;3;1;-;2;-;-;-;-;1;-;-;-;18;-;-;8;-;-;344
"351120 Catiguá";-;-;-;-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;7
"351130 Cedral";-;-;-;-;-;-;-;2;-;1;6;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;1;-;-;13
"351140 Cerqueira César";-;-;-;-;-;-;-;5;-;1;8;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;18
"351150 Cerquilho";-;-;-;-;-;-;-;6;-;8;90;-;-;-;1;-;-;9;-;-;-;-;1;-;-;-;5;-;-;-;-;-;120
"351160 Cesário Lange";-;-;-;-;-;-;-;4;-;-;6;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;14
"351170 Charqueada";-;-;-;-;-;-;-;4;-;2;6;-;-;-;1;-;-;4;-;-;-;-;1;-;-;-;1;-;-;-;-;-;19
"355720 Chavantes";-;-;-;-;-;1;-;3;-;1;9;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;17
"351190 Clementina";-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"351200 Colina";-;-;-;-;-;-;-;5;-;11;30;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;50
"351210 Colômbia";-;-;-;-;-;-;-;3;-;2;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;12
"351220 Conchal";-;-;-;-;-;-;-;6;-;2;26;-;-;-;1;-;-;1;-;-;-;1;1;-;-;-;2;-;-;-;-;-;40
"351230 Conchas";-;-;-;-;-;-;-;5;-;2;27;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;5;-;-;-;-;-;42
"351240 Cordeirópolis";-;-;-;1;-;1;-;4;-;3;8;-;-;-;-;-;-;2;1;1;-;-;1;-;-;-;4;-;-;-;-;-;26
"351250 Coroados";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351260 Coronel Macedo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351270 Corumbataí";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;4
"351280 Cosmópolis";-;-;-;-;-;2;-;11;1;7;42;-;-;-;1;-;-;7;-;-;-;-;1;-;-;-;7;1;-;-;-;-;80
"351290 Cosmorama";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"351300 Cotia";-;-;-;-;-;3;-;25;1;18;30;-;2;1;2;-;-;7;-;1;-;3;1;-;-;-;6;2;-;1;1;-;104
"351310 Cravinhos";-;-;-;-;-;-;-;2;-;3;21;-;-;-;1;-;-;1;-;-;-;1;1;-;-;-;2;-;-;-;-;-;32
"351320 Cristais Paulista";-;-;-;-;-;-;-;3;-;1;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;10
"351330 Cruzália";-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"351340 Cruzeiro";-;1;-;-;-;1;-;12;-;53;155;-;1;-;1;1;-;5;4;1;-;-;-;-;-;-;19;1;-;2;-;-;257
"351350 Cubatão";-;-;1;-;-;2;-;13;-;15;104;-;-;-;2;-;-;2;-;-;2;1;2;-;-;-;18;1;-;5;-;-;168
"351360 Cunha";-;-;-;-;-;1;-;6;-;2;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;18
"351370 Descalvado";-;-;-;-;-;1;-;11;1;11;63;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;3;1;-;-;-;-;94
"351380 Diadema";-;1;2;-;-;5;-;21;-;23;60;-;-;-;4;2;-;14;-;1;-;2;1;-;-;-;9;2;-;25;-;-;172
"351385 Dirce Reis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351390 Divinolândia";-;-;-;-;-;-;-;2;-;2;11;-;-;-;1;-;-;1;3;-;-;-;1;-;-;-;1;-;-;-;-;-;22
"351400 Dobrada";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;6
"351410 Dois Córregos";-;-;-;-;-;-;-;4;-;6;23;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;3;1;-;-;-;-;39
"351420 Dolcinópolis";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"351430 Dourado";-;-;-;-;-;-;-;1;-;-;4;-;-;-;1;-;-;-;2;-;-;1;1;-;-;-;1;-;-;-;-;-;11
"351440 Dracena";-;-;-;-;-;1;-;9;-;1;139;-;-;-;1;-;-;3;-;-;-;-;1;-;-;-;8;1;-;-;-;-;164
"351450 Duartina";-;-;-;-;-;-;-;5;-;1;22;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;5;-;-;2;-;-;37
