"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"350280 Araçatuba";-;1;1;-;1;1;-;17;-;-;87;447;2;1;4;2;1;1;-;3;-;2;2;-;-;2;6;-;-;32;2;-;-;1;-;616
"350290 Araçoiaba da Serra";-;1;-;-;-;1;-;6;-;-;1;1;-;-;-;-;3;-;-;1;-;-;1;-;-;1;-;-;-;3;-;-;1;-;-;20
"350300 Aramina";-;-;-;-;-;-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;6
"350310 Arandu";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"350315 Arapeí";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3
"350320 Araraquara";2;1;1;-;-;2;-;36;2;-;54;495;-;5;3;3;1;-;-;12;-;-;2;-;-;2;-;-;-;19;3;-;12;1;-;656
"350330 Araras";-;-;1;-;-;2;-;19;-;-;32;240;-;-;1;3;-;-;-;1;-;2;1;-;-;1;-;-;-;10;2;-;3;-;-;318
"350335 Arco-Íris";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350340 Arealva";1;-;-;-;-;-;-;4;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;11
"350350 Areias";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350360 Areiópolis";-;-;-;-;-;-;-;3;-;-;-;6;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;14
"350370 Ariranha";-;-;-;-;-;-;-;2;-;-;1;3;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;10
"350380 Artur Nogueira";-;1;-;-;-;1;-;17;-;-;5;30;-;1;-;1;-;-;-;3;-;-;-;-;1;1;-;-;-;6;1;-;-;-;-;68
"350390 Arujá";-;-;-;-;-;1;-;6;-;-;11;22;-;-;-;2;-;-;-;3;-;-;1;-;-;1;-;-;-;5;-;-;1;-;-;53
"350395 Aspásia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350400 Assis";1;-;1;1;-;1;-;20;1;-;15;219;-;1;-;4;6;-;-;5;-;1;2;-;-;1;-;-;-;20;1;-;2;-;-;302
"350410 Atibaia";1;-;-;-;-;1;-;20;-;-;5;164;-;-;-;3;-;-;-;18;-;-;1;-;-;1;2;-;-;31;-;-;6;-;-;253
"350420 Auriflama";-;1;-;-;-;-;-;4;-;-;1;14;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;24
"350430 Avaí";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350440 Avanhandava";-;-;-;-;-;-;-;3;-;-;1;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;-;-;-;-;-;14
"350450 Avaré";-;-;1;-;-;1;-;16;-;-;9;155;2;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;15;1;-;2;-;-;206
"350460 Bady Bassitt";-;-;-;-;-;-;-;3;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;9
"350470 Balbinos";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"350480 Bálsamo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3
"350490 Bananal";-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;5;-;-;-;1;-;-;-;-;-;-;-;-;-;10
"350500 Barão de Antonina";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"350510 Barbosa";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350520 Bariri";-;-;-;-;-;-;-;7;-;-;2;40;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;7;-;-;-;-;-;60
"350530 Barra Bonita";-;-;-;-;-;1;-;8;-;-;2;63;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;6;-;-;-;-;-;82
"350535 Barra do Chapéu";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"350540 Barra do Turvo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;1;-;-;-;-;-;-;-;1;-;8
"350550 Barretos";1;2;1;-;-;1;-;16;-;-;22;175;-;2;2;2;1;-;1;2;-;-;1;-;-;2;-;-;-;7;1;-;3;-;-;242
"350560 Barrinha";-;-;-;-;-;-;-;4;-;-;3;5;-;-;-;-;-;-;-;3;-;-;2;-;-;1;-;-;-;2;2;-;1;-;-;23
"350570 Barueri";-;-;-;-;-;3;-;16;-;-;40;164;-;-;-;3;-;-;-;11;-;-;-;2;5;1;-;-;-;12;-;-;-;-;-;257
"350580 Bastos";-;1;-;-;-;-;-;6;-;-;6;6;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;24
"350590 Batatais";-;-;-;-;-;1;-;8;-;-;8;170;-;1;-;1;-;-;-;2;-;1;1;-;1;1;-;-;-;9;-;-;2;-;-;206
"350600 Bauru";-;2;1;-;-;4;-;24;-;-;48;382;-;4;3;6;1;-;1;11;-;3;4;-;1;2;-;1;-;20;-;-;12;-;-;530
"350610 Bebedouro";-;1;-;-;-;2;-;16;-;-;34;152;-;1;-;3;2;-;-;18;-;-;1;-;-;1;-;-;-;10;-;-;-;1;-;242
"350620 Bento de Abreu";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"350630 Bernardino de Campos";-;-;-;-;-;-;-;4;-;-;1;4;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;13
"350635 Bertioga";-;-;-;-;-;-;-;5;-;-;9;10;-;1;-;1;-;-;-;1;-;-;1;-;-;1;-;-;-;6;1;-;3;1;-;40
"350640 Bilac";-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;8
"350650 Birigui";-;-;-;-;-;-;-;9;-;-;25;99;-;1;-;2;-;-;-;3;-;-;-;-;-;1;-;-;-;12;-;-;-;-;-;152
"350660 Biritiba-Mirim";-;-;-;-;-;1;-;5;1;-;1;7;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;1;1;-;1;-;-;21
"350670 Boa Esperança do Sul";-;-;-;-;-;-;-;4;-;-;1;8;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;2;-;-;19
"350680 Bocaina";-;-;-;-;-;-;-;4;-;-;2;11;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;20
"350690 Bofete";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350700 Boituva";-;1;-;-;-;1;-;6;-;-;13;43;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;6;-;-;-;2;-;76
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;-;-;-;-;1;11;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;1;1;-;-;17
"350715 Bom Sucesso de Itararé";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"350720 Borá";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350730 Boracéia";-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"350740 Borborema";-;-;-;-;-;-;-;5;-;-;5;19;-;-;-;1;-;-;-;2;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;36
"350745 Borebi";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"350750 Botucatu";-;1;1;-;-;3;-;19;-;1;34;454;-;1;1;4;-;-;-;1;-;-;1;-;-;1;-;-;-;8;1;-;2;-;-;533
"350760 Bragança Paulista";2;-;1;3;-;1;-;27;1;-;16;210;-;1;-;3;1;-;-;17;-;4;1;-;-;1;-;-;-;18;-;-;3;2;-;312
"350770 Braúna";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350775 Brejo Alegre";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"350780 Brodowski";-;-;-;-;-;-;-;5;-;-;1;29;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;4;-;-;1;-;-;45
"350790 Brotas";-;-;-;-;-;-;-;4;-;-;3;55;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;69
"350800 Buri";-;1;-;-;-;1;-;3;-;-;1;4;-;-;-;-;-;-;-;1;-;3;1;-;-;1;-;-;-;1;-;-;-;-;-;17
"350810 Buritama";1;-;-;-;-;1;-;2;-;-;4;5;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;2;-;-;-;-;20
"350820 Buritizal";-;-;-;-;-;-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;7
"350830 Cabrália Paulista";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"350840 Cabreúva";-;-;-;-;-;-;-;7;-;-;4;7;-;1;-;1;-;-;-;3;-;-;1;-;-;1;-;-;-;4;-;-;-;-;-;29
"350850 Caçapava";-;-;-;1;-;2;-;18;-;-;5;200;-;2;1;3;-;-;-;1;-;-;-;-;1;1;-;-;1;5;1;-;2;-;-;244
"350860 Cachoeira Paulista";-;-;-;-;-;-;-;9;-;-;4;35;-;1;-;1;-;-;-;4;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;57
"350870 Caconde";1;-;-;-;-;-;-;2;-;-;2;17;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;4;-;-;-;-;-;30
"350880 Cafelândia";1;-;-;-;-;1;-;4;-;-;-;26;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;39
"350890 Caiabu";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"350900 Caieiras";-;-;-;-;-;1;-;5;-;-;17;13;-;-;-;2;-;-;-;8;-;5;-;-;-;-;-;-;-;5;2;1;-;-;-;59
"350910 Caiuá";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"350920 Cajamar";1;-;-;-;-;-;-;11;-;-;5;22;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;3;2;-;-;1;-;48
"350925 Cajati";1;-;-;-;-;1;-;7;-;-;2;15;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;30
"350930 Cajobi";-;-;-;-;-;-;-;3;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;10
"350940 Cajuru";-;-;-;-;-;-;-;6;-;-;7;26;-;-;-;1;-;-;-;3;-;-;1;-;-;1;-;-;-;2;-;-;1;-;-;48
"350945 Campina do Monte Alegre";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"350950 Campinas";1;2;1;-;5;12;-;64;-;1;329;1579;1;4;6;21;14;1;-;63;-;6;4;-;-;7;2;-;-;121;1;-;21;-;-;2266
"350960 Campo Limpo Paulista";1;-;-;-;-;-;-;7;-;-;12;9;1;1;-;1;-;-;-;6;-;1;-;-;-;1;-;-;-;5;1;-;-;-;-;46
"350970 Campos do Jordão";-;-;-;-;-;1;-;3;-;-;5;29;-;-;-;2;-;-;-;-;-;10;-;-;1;1;-;-;-;3;-;-;-;-;-;55
"350980 Campos Novos Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"350990 Cananéia";-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"350995 Canas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351000 Cândido Mota";-;-;-;-;-;1;-;6;-;-;3;42;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;10;-;-;-;-;-;66
"351010 Cândido Rodrigues";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351015 Canitar";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351020 Capão Bonito";-;1;-;-;-;1;-;12;-;-;6;19;-;-;-;1;-;-;-;3;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;48
"351030 Capela do Alto";-;1;-;-;1;1;-;3;-;-;1;4;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;15
"351040 Capivari";-;-;-;-;-;2;-;4;-;-;20;84;-;-;-;2;-;-;-;7;-;3;-;-;-;1;-;-;-;13;-;-;-;-;-;136
"351050 Caraguatatuba";-;1;-;-;-;1;-;10;-;1;22;85;-;-;-;2;2;-;-;6;-;2;1;-;-;1;-;-;-;12;2;-;5;-;-;153
"351060 Carapicuíba";-;-;-;-;-;3;-;14;-;-;17;30;-;-;-;3;-;-;-;9;-;-;-;-;2;1;-;-;-;7;2;1;4;3;-;96
"351070 Cardoso";-;-;-;-;-;-;-;5;-;-;1;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;1;-;-;18
"351080 Casa Branca";-;-;-;-;-;1;-;6;1;-;4;45;-;-;1;1;-;-;-;-;-;-;-;-;1;1;-;-;-;10;-;-;1;-;-;72
"351090 Cássia dos Coqueiros";1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"351100 Castilho";-;-;-;-;-;-;-;1;-;-;3;8;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;16
"351110 Catanduva";2;-;1;-;-;2;-;25;-;-;93;272;-;2;1;3;3;-;-;1;-;-;1;-;-;1;-;-;-;18;1;-;4;-;-;430
"351120 Catiguá";-;-;-;-;-;-;-;2;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;8
"351130 Cedral";-;-;-;-;-;-;-;3;-;-;4;5;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;17
"351140 Cerqueira César";-;-;-;-;-;-;-;7;-;-;1;10;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;1;-;-;24
"351150 Cerquilho";-;1;-;-;-;1;-;6;-;-;7;90;-;-;-;1;-;-;1;9;-;-;-;-;-;1;-;-;-;7;-;-;-;-;-;124
"351160 Cesário Lange";-;1;-;-;-;-;-;4;-;-;1;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;15
"351170 Charqueada";-;-;-;-;-;-;-;5;-;-;2;8;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"355720 Chavantes";-;-;-;-;-;1;-;3;-;-;1;11;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;20
"351190 Clementina";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"351200 Colina";-;-;-;-;-;-;-;4;-;-;3;20;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;1;-;-;32
"351210 Colômbia";1;-;-;-;-;-;-;3;-;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;13
"351220 Conchal";1;-;-;-;-;1;-;6;-;-;3;19;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;3;-;-;1;-;-;37
"351230 Conchas";-;-;-;-;-;-;-;4;-;-;2;26;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;8;-;-;-;-;-;43
"351240 Cordeirópolis";1;-;-;1;-;1;-;6;-;-;3;12;-;-;-;-;-;-;-;3;-;-;1;-;-;1;-;-;-;4;-;-;1;-;-;34
"351250 Coroados";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351260 Coronel Macedo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"351270 Corumbataí";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;4
"351280 Cosmópolis";-;-;-;-;-;2;-;10;1;-;7;43;-;-;-;1;-;-;-;6;-;-;-;-;-;1;-;-;2;6;2;-;-;-;-;81
"351290 Cosmorama";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"351300 Cotia";-;1;-;-;-;3;-;25;-;-;22;48;-;1;1;2;-;-;-;5;-;-;3;-;-;1;-;-;-;11;3;-;1;1;-;128
"351310 Cravinhos";-;-;-;-;-;-;-;5;-;-;5;29;-;-;-;1;-;-;-;1;-;-;-;-;1;1;-;-;-;2;3;-;1;-;-;49
"351320 Cristais Paulista";-;-;-;-;-;-;-;3;-;-;1;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;11
