"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"350450 Avaré";-;-;1;-;-;1;-;18;-;13;178;2;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;19;1;-;2;-;-;1;240
"350460 Bady Bassitt";-;-;-;-;-;-;-;4;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;11
"350470 Balbinos";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"350480 Bálsamo";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;4
"350490 Bananal";-;1;-;-;-;-;-;5;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;10
"350500 Barão de Antonina";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350510 Barbosa";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350520 Bariri";-;-;-;-;-;1;-;6;-;8;45;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;9;-;-;-;-;-;-;73
"350530 Barra Bonita";1;-;-;-;-;1;-;7;-;2;70;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;7;-;-;-;-;-;-;91
"350535 Barra do Chapéu";-;1;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"350540 Barra do Turvo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;1;-;-;-;-;-;-;-;1;-;-;8
"350550 Barretos";2;2;1;-;-;1;-;15;-;29;217;-;2;3;3;1;-;1;4;-;-;2;-;-;3;1;-;-;9;1;-;3;-;-;-;300
"350560 Barrinha";-;-;-;-;-;-;-;6;-;4;9;-;-;-;-;-;-;-;3;-;-;2;-;-;1;-;-;-;3;2;-;1;-;-;-;31
"350570 Barueri";-;1;-;-;-;3;-;17;-;43;220;-;2;-;2;-;-;-;17;-;-;-;2;5;1;-;-;-;16;1;-;-;-;-;-;330
"350580 Bastos";-;1;-;-;-;-;-;6;-;8;8;-;2;-;1;-;-;-;1;-;-;-;-;1;1;-;-;-;2;1;-;-;-;-;-;32
"350590 Batatais";-;1;-;-;-;1;-;9;-;7;213;-;1;-;1;-;-;-;1;-;-;1;-;1;1;-;-;-;8;-;-;2;-;-;-;247
"350600 Bauru";-;2;1;-;-;4;-;25;-;41;622;-;4;4;6;2;-;1;27;1;4;4;1;-;2;-;1;-;34;1;-;12;-;-;-;799
"350610 Bebedouro";1;1;-;-;-;2;-;16;-;42;153;-;-;-;3;3;-;-;18;-;-;1;-;-;1;-;-;-;12;-;-;-;1;-;-;254
"350620 Bento de Abreu";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;4
"350630 Bernardino de Campos";-;-;-;-;-;1;-;4;-;2;4;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;16
"350635 Bertioga";-;-;-;-;-;1;-;5;-;8;11;-;1;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;9;3;-;3;-;-;-;44
"350640 Bilac";-;-;-;-;-;-;-;1;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;8
"350650 Birigui";-;-;-;-;-;-;-;10;-;29;130;-;-;-;2;-;-;-;3;-;-;1;-;1;1;1;-;-;15;-;-;-;-;-;-;193
"350660 Biritiba-Mirim";-;1;-;-;-;-;-;5;-;1;9;-;-;-;-;-;-;-;2;-;-;1;-;-;1;-;-;-;1;1;-;1;-;-;-;23
"350670 Boa Esperança do Sul";-;-;-;-;-;-;-;4;-;1;10;-;2;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;22
"350680 Bocaina";-;-;-;-;-;-;-;4;-;1;12;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;20
"350690 Bofete";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350700 Boituva";1;1;-;-;-;1;-;7;-;11;53;-;1;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;7;-;-;-;2;-;-;88
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;-;1;-;1;9;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;1;1;-;-;-;16
"350715 Bom Sucesso de Itararé";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"350720 Borá";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350730 Boracéia";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350740 Borborema";-;-;-;-;-;1;-;4;-;2;19;-;-;-;1;-;-;-;2;-;1;-;-;1;1;-;-;-;2;-;-;-;-;-;-;34
"350745 Borebi";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"350750 Botucatu";-;1;1;-;-;3;-;19;1;37;521;-;2;1;3;-;-;-;1;-;-;1;-;-;1;-;-;-;8;1;-;2;-;-;1;604
"350760 Bragança Paulista";2;1;1;-;-;2;-;25;-;15;259;-;1;-;4;3;-;-;28;-;4;2;-;-;1;-;-;-;22;-;-;3;2;-;-;375
"350770 Braúna";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350775 Brejo Alegre";1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"350780 Brodowski";-;-;-;-;-;-;-;6;-;1;33;-;-;-;-;-;-;-;3;-;-;1;-;-;1;-;-;-;4;-;-;1;-;-;-;50
"350790 Brotas";-;-;-;1;-;-;-;4;-;3;54;-;1;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;2;-;-;-;-;-;-;68
"350800 Buri";-;1;-;-;-;1;-;4;-;1;3;-;-;-;-;-;-;-;1;-;3;1;-;-;1;-;-;-;1;-;-;-;-;-;-;17
"350810 Buritama";1;-;-;-;-;1;-;2;-;4;9;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;-;-;-;23
"350820 Buritizal";-;-;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;7
"350830 Cabrália Paulista";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350840 Cabreúva";-;-;-;-;-;1;-;8;-;5;9;-;1;-;1;-;-;-;3;-;-;1;-;-;1;-;-;-;5;-;-;-;-;-;-;35
"350850 Caçapava";-;1;-;1;-;3;-;19;-;12;228;-;2;-;3;-;-;-;-;-;-;-;-;1;1;-;-;-;8;1;-;2;-;-;1;283
"350860 Cachoeira Paulista";1;-;-;-;-;-;-;9;-;5;35;-;1;-;1;-;-;-;3;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;59
"350870 Caconde";1;-;-;-;-;-;-;4;-;5;18;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;4;-;-;-;-;-;-;36
"350880 Cafelândia";1;-;-;-;-;1;-;4;-;-;28;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;40
"350890 Caiabu";1;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"350900 Caieiras";-;1;-;-;-;1;-;12;-;19;19;-;-;-;2;-;-;-;5;-;-;1;-;-;1;-;-;-;5;2;1;-;-;-;-;69
"350910 Caiuá";-;-;-;-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"350920 Cajamar";1;-;-;-;-;1;-;3;-;8;29;-;-;-;1;1;-;-;4;-;-;1;-;-;1;-;-;-;2;2;-;-;-;-;-;54
"350925 Cajati";1;-;-;-;-;1;-;9;-;4;21;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;3;-;-;-;-;-;-;42
"350930 Cajobi";1;-;-;-;-;-;-;3;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;11
"350940 Cajuru";1;-;-;-;-;-;-;8;-;10;37;-;1;-;1;-;-;-;3;-;-;1;-;-;1;-;-;-;2;1;-;1;1;-;-;68
"350945 Campina do Monte Alegre";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350950 Campinas";1;2;1;-;6;14;-;65;-;271;1887;1;2;4;20;16;1;-;66;-;6;3;-;-;10;6;-;-;149;6;-;21;-;-;-;2558
"350960 Campo Limpo Paulista";1;-;-;-;-;1;-;8;-;9;9;-;1;-;1;-;-;-;4;-;1;-;-;-;1;-;-;-;3;1;-;-;-;-;-;40
"350970 Campos do Jordão";-;-;-;-;1;1;-;2;-;6;45;-;-;-;2;-;-;-;-;-;10;-;-;1;1;-;-;-;4;1;-;2;-;-;-;76
"350980 Campos Novos Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350990 Cananéia";-;-;-;-;-;-;-;6;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8
"350995 Canas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351000 Cândido Mota";-;-;-;-;-;1;-;6;-;3;49;-;2;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;11;-;-;-;-;-;-;76
"351010 Cândido Rodrigues";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351015 Canitar";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351020 Capão Bonito";-;1;-;-;-;1;-;9;-;6;20;-;-;-;1;-;-;-;4;-;4;-;-;-;1;-;-;-;4;-;-;-;-;-;-;51
"351030 Capela do Alto";-;1;-;-;1;1;-;6;-;1;3;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;15
"351040 Capivari";-;-;-;-;-;2;-;7;-;28;80;-;-;-;2;-;-;1;5;-;-;-;-;1;1;-;-;-;15;-;-;-;-;-;-;142
"351050 Caraguatatuba";-;1;-;-;1;1;-;11;-;30;98;-;2;-;1;4;-;-;11;-;2;2;-;-;1;-;-;-;16;2;-;6;-;-;2;191
"351060 Carapicuíba";-;-;-;-;-;3;-;16;-;17;36;-;1;-;2;-;-;-;12;-;-;-;-;2;1;-;-;-;10;3;1;5;2;-;-;111
"351070 Cardoso";1;-;-;-;-;-;-;6;-;-;8;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;1;-;-;-;21
"351080 Casa Branca";-;1;-;-;-;2;-;3;-;4;51;-;-;1;1;-;-;-;1;-;2;-;-;1;1;-;-;-;10;-;-;1;-;-;-;79
"351090 Cássia dos Coqueiros";1;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"351100 Castilho";-;-;-;-;-;-;-;2;-;3;13;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;23
"351110 Catanduva";2;1;1;-;1;2;-;23;-;158;280;-;1;1;3;3;-;-;1;-;-;1;-;-;1;-;-;-;16;1;-;4;-;-;-;500
"351120 Catiguá";-;-;-;-;-;-;-;2;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;10
"351130 Cedral";-;-;-;-;-;-;-;3;-;3;6;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;18
"351140 Cerqueira César";-;-;-;-;-;-;-;9;-;1;9;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;5;-;-;1;-;-;-;27
"351150 Cerquilho";-;1;-;-;-;1;-;7;-;10;96;-;-;-;1;-;-;1;9;-;-;-;-;-;1;-;-;-;8;-;-;-;-;-;1;136
"351160 Cesário Lange";-;1;-;-;-;-;-;4;-;1;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;16
"351170 Charqueada";-;-;-;-;-;-;-;5;-;2;11;-;-;-;1;-;-;-;3;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;25
"355720 Chavantes";-;-;-;-;-;1;-;3;-;1;11;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;20
"351190 Clementina";1;-;-;-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;9
"351200 Colina";-;-;-;-;-;-;-;4;-;4;25;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;2;-;-;1;-;-;-;39
"351210 Colômbia";1;-;-;-;-;-;-;3;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;11
"351220 Conchal";1;-;-;-;-;1;-;7;-;-;20;-;-;-;1;-;-;-;-;-;1;-;-;1;1;-;-;-;4;-;-;1;-;-;-;38
"351230 Conchas";1;-;-;-;-;-;-;4;-;3;25;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;7;-;-;-;-;-;-;44
"351240 Cordeirópolis";1;-;-;1;-;1;-;7;-;4;16;-;-;-;-;-;-;-;3;-;-;1;-;-;1;-;-;-;2;-;-;1;-;-;-;38
"351250 Coroados";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351260 Coronel Macedo";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;5
"351270 Corumbataí";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;6
"351280 Cosmópolis";-;1;-;-;-;2;-;10;-;8;37;-;-;-;2;-;-;1;5;-;-;1;-;-;1;-;-;3;5;2;-;-;-;-;1;79
"351290 Cosmorama";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;5
"351300 Cotia";-;1;-;-;-;3;-;25;-;22;70;-;-;2;2;-;-;-;4;-;-;3;-;-;1;-;-;-;15;3;-;2;1;-;-;154
"351310 Cravinhos";-;-;-;-;-;-;-;4;-;6;35;-;-;-;1;-;-;-;1;-;1;-;-;1;1;-;-;-;2;4;-;1;-;-;-;57
"351320 Cristais Paulista";-;-;-;-;-;-;-;2;-;2;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;12
