"Município";"ACADEMIA DA SAÚDE";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"Total"
"353475 Ouroeste";-;-;-;-;-;2;-;-;9;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;14
"353490 Pacaembu";1;-;-;-;-;4;-;-;8;-;-;-;1;-;-;-;-;-;-;-;1;-;2;1;-;-;-;18
"353500 Palestina";-;-;-;-;-;1;-;2;4;-;-;-;-;-;-;1;2;-;-;-;1;-;2;-;-;-;-;13
"353510 Palmares Paulista";-;-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;7
"353520 Palmeira d'Oeste";-;-;-;-;-;3;-;-;4;-;-;-;1;-;-;-;2;-;-;-;1;-;1;-;-;-;-;12
"353530 Palmital";-;-;-;-;-;5;1;1;19;-;1;-;1;-;-;2;-;-;-;-;1;-;2;-;-;-;-;33
"353540 Panorama";-;-;-;-;-;1;-;1;5;-;-;-;1;-;-;-;2;-;-;1;1;-;-;-;-;-;-;12
"353550 Paraguaçu Paulista";-;-;-;1;-;13;1;2;47;-;1;-;1;-;-;-;-;-;-;-;1;-;6;-;-;-;1;74
"353560 Paraibuna";-;-;-;-;-;1;-;-;4;-;-;-;1;-;-;-;5;-;-;1;1;-;1;-;-;-;-;14
"353570 Paraíso";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;4
"353580 Paranapanema";-;-;-;-;-;3;-;-;4;-;-;-;1;-;-;1;-;-;-;-;1;-;1;-;-;-;-;11
"353590 Paranapuã";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"353600 Parapuã";-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;6
"353610 Pardinho";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"353620 Pariquera-Açu";-;-;-;-;-;7;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;1;-;16
"353625 Parisi";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"353630 Patrocínio Paulista";-;-;-;-;-;5;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;10
"353640 Paulicéia";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"353650 Paulínia";-;-;-;2;-;7;-;16;71;-;-;-;1;-;-;9;-;2;-;-;1;-;6;-;-;-;1;116
"353657 Paulistânia";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"353660 Paulo de Faria";-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;5
"353670 Pederneiras";-;-;-;1;-;12;-;2;36;-;-;-;1;-;-;-;-;-;-;-;1;-;5;-;-;-;-;58
"353680 Pedra Bela";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"353690 Pedranópolis";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;4
"353700 Pedregulho";-;-;-;-;-;6;-;3;6;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;19
"353710 Pedreira";-;-;-;1;-;8;-;2;12;-;-;-;1;-;-;3;-;-;-;1;1;-;9;-;-;-;-;38
"353715 Pedrinhas Paulista";-;-;-;-;-;2;1;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;8
"353720 Pedro de Toledo";-;-;-;-;-;5;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;8
"353730 Penápolis";-;-;-;1;-;10;-;4;93;1;-;1;2;-;-;2;-;-;-;1;2;-;14;-;-;-;-;131
"353740 Pereira Barreto";-;-;-;-;-;6;-;4;23;-;-;-;1;-;-;-;-;-;-;-;1;-;5;-;-;-;-;40
"353750 Pereiras";-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;8
"353760 Peruíbe";-;-;-;1;-;6;-;7;14;-;-;-;1;-;-;4;5;-;-;-;1;-;2;-;-;1;-;42
"353770 Piacatu";1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353780 Piedade";-;-;-;-;-;6;-;1;22;-;-;1;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;35
"353790 Pilar do Sul";-;-;-;-;-;7;-;1;5;-;-;-;1;-;-;1;-;-;-;-;1;-;1;-;-;-;-;17
"353800 Pindamonhangaba";-;-;-;1;-;20;-;20;168;-;-;-;3;-;-;6;-;1;-;-;1;-;12;-;-;-;-;232
"353810 Pindorama";-;-;-;-;-;3;-;-;3;-;-;-;-;-;-;-;1;-;-;1;1;-;4;-;-;-;-;13
"353820 Pinhalzinho";-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;3;1;-;-;1;-;1;-;-;-;-;9
"353830 Piquerobi";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"353850 Piquete";-;-;-;-;-;5;-;1;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;13
"353860 Piracaia";-;-;-;-;-;2;-;1;2;-;-;-;1;-;-;1;-;-;-;-;1;-;2;-;-;-;-;10
"353870 Piracicaba";-;-;-;1;-;61;-;158;456;-;1;-;5;1;-;5;-;-;1;4;2;-;71;-;-;1;1;768
"353880 Piraju";-;-;-;-;-;8;-;6;48;-;-;-;1;-;-;5;-;-;-;-;1;-;5;-;-;-;-;74
"353890 Pirajuí";-;-;-;-;-;4;-;1;23;-;-;1;1;-;-;-;3;-;-;1;1;-;4;-;-;-;1;40
"353900 Pirangi";-;-;-;-;-;3;-;1;7;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;15
"353910 Pirapora do Bom Jesus";-;-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;8
"353920 Pirapozinho";-;-;-;-;-;6;-;1;8;-;-;1;-;-;-;1;1;1;-;-;1;-;5;-;-;-;-;25
"353930 Pirassununga";-;-;-;2;-;-;-;9;139;-;-;-;1;-;-;2;15;1;-;1;1;-;8;1;-;1;-;181
"353940 Piratininga";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2;-;-;1;1;-;-;-;-;-;-;6
"353950 Pitangueiras";-;-;-;-;-;6;-;4;37;-;-;-;1;-;-;8;-;1;-;-;1;-;3;-;-;-;-;61
"353960 Planalto";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"353970 Platina";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"353980 Poá";-;-;-;-;-;9;1;7;9;-;-;-;1;-;-;2;7;-;-;-;1;-;6;3;-;-;-;46
"353990 Poloni";-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;6
"354000 Pompéia";-;-;-;1;-;6;-;11;64;-;-;-;1;-;-;-;1;-;-;1;1;-;4;-;-;-;-;90
"354010 Pongaí";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"354020 Pontal";1;-;-;-;-;8;-;4;15;-;-;-;1;-;-;3;-;-;-;-;-;-;10;1;-;-;-;43
"354025 Pontalinda";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"354030 Pontes Gestal";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"354040 Populina";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"354050 Porangaba";-;-;-;-;-;1;-;-;6;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;10
"354060 Porto Feliz";-;-;-;-;-;7;-;8;38;-;1;-;1;-;-;-;-;-;-;-;1;-;4;-;-;-;-;60
"354070 Porto Ferreira";-;-;-;1;-;10;-;4;87;-;-;-;1;-;-;4;-;1;-;-;1;-;18;-;-;-;-;127
"354075 Potim";-;-;-;1;-;4;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;8
"354080 Potirendaba";-;-;-;-;-;5;-;1;7;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;18
"354085 Pracinha";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"354090 Pradópolis";-;-;-;-;-;5;-;-;7;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;15
"354100 Praia Grande";-;-;-;1;-;20;-;17;61;-;-;-;1;3;-;16;1;1;1;4;1;-;8;-;-;1;1;137
"354105 Pratânia";-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"354110 Presidente Alves";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"354120 Presidente Bernardes";-;-;-;-;-;9;-;-;10;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;24
"354130 Presidente Epitácio";-;-;-;-;-;9;-;1;19;-;-;-;1;-;-;-;1;-;-;-;1;-;5;-;-;-;-;37
"354140 Presidente Prudente";-;-;-;1;-;26;-;61;467;-;1;6;8;-;1;8;-;2;-;-;2;-;34;-;-;1;-;618
"354150 Presidente Venceslau";-;-;-;1;-;10;-;-;34;-;-;-;1;-;-;-;-;-;-;-;1;-;8;2;-;-;-;57
"354160 Promissão";-;-;-;-;-;10;-;6;34;-;-;-;1;-;-;1;-;-;-;-;1;-;4;-;-;-;-;57
"354165 Quadra";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;4
"354170 Quatá";-;-;-;-;-;3;-;1;11;-;-;-;-;-;-;-;1;-;-;1;1;-;2;-;-;-;-;20
"354180 Queiroz";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"354190 Queluz";-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;1;-;8
"354200 Quintana";-;-;-;-;-;3;-;1;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;10
"354210 Rafard";-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354220 Rancharia";-;-;-;1;-;9;-;2;26;-;-;-;1;-;-;-;-;-;-;-;1;-;4;-;-;-;-;44
"354230 Redenção da Serra";-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"354240 Regente Feijó";-;-;-;-;-;8;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;16
"354250 Reginópolis";-;-;-;-;-;3;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;7
"354260 Registro";-;-;-;1;-;14;-;12;49;-;1;-;2;-;-;2;-;-;-;1;2;-;9;-;-;-;-;93
"354270 Restinga";-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"354280 Ribeira";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"354290 Ribeirão Bonito";-;-;-;-;-;4;-;1;16;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;24
"354300 Ribeirão Branco";-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;1;-;-;-;-;9
"354310 Ribeirão Corrente";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;4
"354320 Ribeirão do Sul";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"354323 Ribeirão dos Índios";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354325 Ribeirão Grande";-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"354330 Ribeirão Pires";-;-;-;3;-;9;-;21;42;-;-;-;2;1;-;8;-;-;-;1;1;-;9;-;-;-;-;97
"354340 Ribeirão Preto";-;-;5;3;-;36;-;273;1052;-;1;4;12;-;1;69;11;-;-;1;2;-;86;1;-;-;4;1561
"354360 Rifaina";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"354370 Rincão";-;-;-;-;-;1;-;1;6;-;-;-;-;-;-;-;1;-;-;1;1;-;1;-;-;-;-;12
"354380 Rinópolis";-;-;-;-;-;4;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;10
"354390 Rio Claro";-;-;-;2;-;17;1;64;193;1;2;1;4;1;1;13;-;-;-;2;1;-;32;3;-;1;-;339
"354400 Rio das Pedras";-;-;-;1;-;1;-;6;53;-;-;-;1;-;-;1;-;-;-;1;1;-;3;-;-;-;-;68
"354410 Rio Grande da Serra";-;-;-;-;-;6;-;3;3;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;16
"354420 Riolândia";-;-;-;-;-;2;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;6
"354350 Riversul";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;3
"354425 Rosana";-;-;-;-;-;1;-;1;19;-;-;-;1;-;-;-;8;-;-;-;1;-;5;-;-;-;-;36
"354430 Roseira";-;-;-;-;-;3;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;7
"354440 Rubiácea";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;4
"354450 Rubinéia";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"354460 Sabino";-;-;-;-;-;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5
"354470 Sagres";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"354480 Sales";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"354490 Sales Oliveira";-;-;-;-;-;3;-;-;21;-;-;-;1;-;-;-;-;-;-;1;-;-;3;1;-;-;-;30
"354500 Salesópolis";-;-;-;-;-;2;1;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;2;-;-;-;9
"354510 Salmourão";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"354515 Saltinho";-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354520 Salto";-;-;-;1;-;9;-;14;80;-;1;-;2;-;-;3;-;-;-;-;1;-;4;-;-;-;1;116
"354530 Salto de Pirapora";-;-;-;-;-;7;-;2;29;-;-;2;1;-;-;3;-;-;-;-;1;-;1;-;-;-;-;46
"354540 Salto Grande";-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;5
"354550 Sandovalina";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"354560 Santa Adélia";-;-;-;-;-;3;-;1;11;-;-;-;1;-;-;-;3;-;-;-;1;-;1;-;-;-;-;21
"354570 Santa Albertina";-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;5
"354580 Santa Bárbara d'Oeste";-;-;-;-;-;12;-;16;152;-;-;-;1;1;-;4;-;1;1;-;1;-;15;2;-;1;-;207
"354600 Santa Branca";-;-;-;-;-;2;-;1;2;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;8
"354610 Santa Clara d'Oeste";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"354620 Santa Cruz da Conceição";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;4
"354625 Santa Cruz da Esperança";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"354630 Santa Cruz das Palmeiras";-;-;-;-;-;2;-;1;45;-;-;-;1;1;-;5;-;-;-;-;1;-;3;-;-;-;-;59
"354640 Santa Cruz do Rio Pardo";-;-;-;1;-;5;1;8;94;-;-;-;2;-;-;1;-;1;-;-;1;-;12;-;-;-;-;126
"354650 Santa Ernestina";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354660 Santa Fé do Sul";-;-;-;1;-;8;-;15;43;-;-;-;1;-;-;5;-;-;-;1;1;-;7;-;-;-;-;82
"354670 Santa Gertrudes";-;-;-;1;-;6;-;5;30;-;-;-;-;-;-;2;-;-;-;-;1;-;2;1;-;1;-;49
"354680 Santa Isabel";-;-;-;-;-;9;1;4;3;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;22
"354690 Santa Lúcia";-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;6
"354700 Santa Maria da Serra";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;4
"354710 Santa Mercedes";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;3
"354740 Santa Rita d'Oeste";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"354750 Santa Rita do Passa Quatro";-;-;-;2;-;4;-;11;44;-;-;1;1;-;-;1;-;-;-;-;1;-;1;-;-;-;-;66
"354760 Santa Rosa de Viterbo";-;-;-;-;-;3;-;8;35;-;-;-;1;-;-;-;1;1;-;-;2;-;3;-;-;-;-;54
"354765 Santa Salete";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"354720 Santana da Ponte Pensa";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"354730 Santana de Parnaíba";-;-;-;3;-;8;1;5;8;-;-;-;1;-;-;2;-;1;-;-;1;-;3;-;-;-;-;33
"354770 Santo Anastácio";-;-;-;-;-;5;-;1;25;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;34
"354780 Santo André";-;-;-;4;-;39;-;205;313;1;3;1;10;5;1;108;2;1;-;3;1;-;51;2;-;2;-;752
"354790 Santo Antônio da Alegria";-;-;-;-;-;3;-;1;1;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;1;-;-;9
"354800 Santo Antônio de Posse";-;-;-;1;-;4;-;2;8;-;-;-;-;-;-;3;-;-;-;1;1;-;-;-;-;-;-;20
"354805 Santo Antônio do Aracanguá";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"354810 Santo Antônio do Jardim";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;3
"354820 Santo Antônio do Pinhal";1;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;6;1;-;-;1;-;-;-;-;-;-;12
"354830 Santo Expedito";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354840 Santópolis do Aguapeí";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"354850 Santos";-;-;-;7;-;31;-;141;1009;3;3;2;10;9;1;5;1;-;1;3;2;-;62;-;-;4;1;1295
"354860 São Bento do Sapucaí";-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;-;-;1;1;-;2;-;-;-;-;8
"354870 São Bernardo do Campo";-;-;-;4;-;33;1;238;317;-;3;5;9;3;-;41;-;-;1;14;-;-;55;4;-;2;2;732
"354880 São Caetano do Sul";-;-;-;1;-;13;-;172;319;-;-;-;5;1;-;1;1;-;-;-;1;-;33;-;1;-;4;552
"354890 São Carlos";-;1;-;2;-;29;1;40;206;-;-;-;3;-;-;38;-;-;-;2;1;-;31;-;-;2;1;357
"354900 São Francisco";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"354910 São João da Boa Vista";-;1;-;2;-;12;-;27;322;-;6;-;2;1;-;2;-;-;-;1;2;-;14;1;-;-;1;394
"354920 São João das Duas Pontes";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;3
"354925 São João de Iracema";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"354930 São João do Pau d'Alho";-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"354940 São Joaquim da Barra";-;-;-;-;-;10;-;8;107;-;-;-;1;-;-;1;-;-;-;1;1;-;13;1;-;-;-;143
"354950 São José da Bela Vista";-;-;-;-;-;4;-;-;4;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;10
"354960 São José do Barreiro";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;4
"354970 São José do Rio Pardo";-;-;-;1;-;4;-;34;63;1;-;-;1;-;-;5;-;-;-;1;1;-;14;-;-;-;-;125
"354980 São José do Rio Preto";-;1;3;5;-;28;2;296;259;2;3;6;7;3;1;42;-;5;-;-;2;-;68;2;-;1;1;737
"354990 São José dos Campos";-;-;5;4;-;39;-;133;1017;-;1;9;11;4;-;26;2;-;2;5;1;-;58;1;1;1;2;1322
"354995 São Lourenço da Serra";-;-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;7
"355000 São Luís do Paraitinga";-;-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;8
"355010 São Manuel";-;-;-;-;-;6;-;-;80;-;-;-;1;-;-;-;-;-;-;-;1;-;8;-;-;-;-;96
"355020 São Miguel Arcanjo";-;-;-;1;-;6;-;2;21;-;-;-;-;-;-;1;-;-;-;1;1;-;2;-;-;-;-;35
"355030 São Paulo";-;-;2;65;2;557;12;1975;9790;9;24;51;151;26;1;229;17;10;7;21;3;1;601;33;1;25;8;13621
"355040 São Pedro";-;-;-;-;-;5;-;4;49;-;3;-;1;-;-;2;-;-;-;-;-;-;2;-;-;-;-;66
"355050 São Pedro do Turvo";-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5
"355060 São Roque";-;-;-;1;-;9;-;18;150;1;-;-;2;-;-;8;-;-;-;-;1;-;10;-;-;-;-;200
"355070 São Sebastião";-;-;-;1;-;14;-;7;102;-;1;-;1;-;-;-;1;-;-;1;1;-;7;-;-;-;-;136
"355080 São Sebastião da Grama";-;-;-;-;-;5;-;2;11;-;-;-;1;-;-;-;-;-;-;1;-;-;3;1;-;-;-;24
"355090 São Simão";-;-;-;-;-;4;-;5;18;-;-;-;1;-;-;-;-;-;-;-;1;-;2;1;-;-;-;32
"355100 São Vicente";-;-;-;5;-;29;1;34;140;-;1;-;3;1;-;8;3;-;-;3;1;-;11;1;-;1;1;243
"355110 Sarapuí";-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5
"355120 Sarutaiá";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"355130 Sebastianópolis do Sul";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"355140 Serra Azul";-;-;-;-;-;6;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;9
"355160 Serra Negra";-;-;-;1;-;9;-;4;35;-;-;-;1;-;-;3;-;-;-;-;1;-;6;-;-;-;-;60
"355150 Serrana";-;-;-;-;-;6;1;6;5;-;1;-;1;-;-;3;-;-;-;-;1;-;2;2;-;-;-;28
"355170 Sertãozinho";-;-;-;-;-;13;-;38;132;-;1;-;2;1;-;6;-;-;-;1;1;-;14;-;-;-;-;209
"355180 Sete Barras";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;6
"355190 Severínia";-;-;-;-;-;2;-;1;5;-;-;-;-;-;-;2;-;-;-;-;1;-;2;-;-;-;-;13
"355200 Silveiras";-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;5
"355210 Socorro";-;-;-;1;-;5;-;1;26;-;-;-;1;-;-;2;5;-;-;-;1;-;5;-;-;-;-;47
"355220 Sorocaba";-;-;-;6;-;34;-;100;360;-;1;6;7;2;1;22;-;2;-;1;2;-;68;-;-;4;12;628
"355230 Sud Mennucci";-;-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;9
"355240 Sumaré";-;-;-;1;-;24;-;14;83;-;1;-;1;1;-;15;2;1;-;1;1;-;19;1;-;-;-;165
"355255 Suzanápolis";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"355250 Suzano";-;-;-;1;-;20;-;44;57;-;2;-;2;-;-;9;-;1;-;1;1;-;20;-;-;1;-;159
"355260 Tabapuã";-;-;-;-;-;1;-;2;3;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;10
"355270 Tabatinga";-;-;-;-;-;4;-;1;26;-;-;-;1;-;-;1;-;-;-;1;1;-;5;-;-;-;-;40
