"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"Total"
"350440 Avanhandava";-;-;-;-;5;-;1;6;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;13
"350450 Avaré";-;-;-;-;14;-;8;113;-;-;-;1;-;-;-;-;-;1;1;12;3;-;-;1;154
"350460 Bady Bassitt";-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;7
"350470 Balbinos";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350480 Bálsamo";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350490 Bananal";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;1;1;-;1;-;-;6
"350500 Barão de Antonina";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350510 Barbosa";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350520 Bariri";-;-;-;-;6;-;1;26;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;37
"350530 Barra Bonita";-;-;-;-;5;-;-;46;-;-;-;1;-;-;-;-;-;-;-;4;-;-;-;-;56
"350535 Barra do Chapéu";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;3
"350540 Barra do Turvo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;4
"350550 Barretos";-;-;1;-;15;1;15;133;-;2;2;2;1;-;4;-;-;-;2;7;2;-;1;-;188
"350560 Barrinha";-;-;-;-;4;-;1;3;-;-;-;-;-;-;3;-;-;-;-;1;-;1;-;-;13
"350570 Barueri";-;-;3;-;16;-;54;67;-;-;-;3;-;-;6;-;1;3;1;11;-;-;-;-;165
"350580 Bastos";-;-;-;-;1;1;4;5;-;-;-;1;-;-;-;5;-;1;1;3;-;-;-;-;22
"350590 Batatais";-;-;1;-;8;-;6;144;-;-;-;1;-;-;3;1;-;1;1;10;1;-;-;-;177
"350600 Bauru";-;-;3;-;24;1;61;377;-;1;3;8;1;1;13;-;-;2;2;29;3;-;1;1;531
"350610 Bebedouro";-;-;2;-;16;-;41;89;-;-;-;3;-;-;4;-;-;-;1;10;1;-;-;-;167
"350620 Bento de Abreu";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"350630 Bernardino de Campos";-;-;-;-;3;-;-;4;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;9
"350635 Bertioga";-;-;1;-;5;-;6;3;-;-;-;1;-;-;1;1;-;-;-;4;1;-;-;1;24
"350640 Bilac";-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"350650 Birigui";-;-;-;-;9;-;14;55;-;1;1;2;-;-;-;-;-;-;-;14;-;-;-;-;96
"350660 Biritiba-Mirim";-;-;-;-;6;1;1;8;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;19
"350670 Boa Esperança do Sul";-;-;-;-;4;-;-;5;-;-;-;1;-;-;-;-;-;-;1;2;-;-;-;-;13
"350680 Bocaina";-;-;-;-;3;-;-;2;-;-;-;1;-;-;1;-;-;-;1;1;-;-;-;-;9
"350690 Bofete";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2
"350700 Boituva";-;-;-;-;6;-;12;34;-;1;-;1;-;-;2;-;-;-;1;3;-;-;-;1;61
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;1;8;-;-;-;-;-;-;1;-;-;-;-;3;1;1;-;-;15
"350715 Bom Sucesso de Itararé";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"350720 Borá";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350730 Boracéia";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350740 Borborema";-;-;-;-;6;-;3;8;-;-;-;1;-;-;3;-;-;1;-;1;-;-;-;-;23
"350745 Borebi";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350750 Botucatu";-;-;3;-;11;1;16;369;-;1;1;3;-;-;3;-;-;1;-;7;3;-;-;1;420
"350760 Bragança Paulista";2;-;2;-;25;1;69;123;-;1;-;2;1;-;1;4;-;1;1;15;2;-;1;2;253
"350770 Braúna";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"350775 Brejo Alegre";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"350780 Brodowski";-;-;-;-;3;-;1;7;-;-;-;-;-;-;3;-;-;-;-;4;1;-;-;-;19
"350790 Brotas";-;-;-;-;4;-;3;20;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;30
"350800 Buri";-;-;1;-;3;-;-;2;-;-;-;-;-;-;-;3;-;1;1;2;-;1;-;-;14
"350810 Buritama";-;-;-;-;3;-;-;1;-;1;-;1;-;-;-;-;-;-;1;3;1;-;-;-;11
"350820 Buritizal";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"350830 Cabrália Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;3
"350840 Cabreúva";-;-;-;-;2;-;-;4;-;-;-;1;-;-;4;-;-;-;1;3;-;-;-;-;15
"350850 Caçapava";-;-;1;-;16;-;6;178;-;-;-;3;-;-;1;-;-;-;-;4;1;-;-;-;210
"350860 Cachoeira Paulista";-;-;-;-;11;-;3;21;-;1;-;1;-;-;3;-;-;1;-;2;-;-;-;-;43
"350870 Caconde";-;-;-;-;1;-;2;16;-;-;-;1;-;-;-;1;-;-;1;3;-;-;-;-;25
"350880 Cafelândia";-;-;-;-;4;-;1;22;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;31
"350890 Caiabu";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350900 Caieiras";-;-;-;-;5;-;12;8;-;-;-;1;-;-;4;5;-;-;-;3;2;1;-;-;41
"350910 Caiuá";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;4
"350920 Cajamar";-;-;-;-;9;-;6;16;-;-;-;1;-;-;-;-;-;1;1;2;-;-;-;1;37
"350925 Cajati";-;-;-;-;4;-;3;14;-;-;-;1;-;-;-;1;-;-;1;3;-;-;-;-;27
"350930 Cajobi";-;-;-;-;3;-;-;2;-;-;-;1;-;-;-;-;-;-;1;2;-;-;-;-;9
"350940 Cajuru";-;-;-;-;11;-;5;20;-;-;-;1;-;-;4;-;-;-;-;2;1;-;2;-;46
"350945 Campina do Monte Alegre";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350950 Campinas";-;-;10;-;64;1;309;1233;1;4;6;19;8;1;38;-;-;4;7;93;-;-;1;-;1799
"350960 Campo Limpo Paulista";-;-;-;-;7;-;10;7;-;-;-;1;-;-;8;-;-;-;1;3;1;-;-;-;38
"350970 Campos do Jordão";-;-;1;-;2;-;2;20;-;-;-;3;-;-;1;10;-;1;-;1;-;-;-;-;41
"350980 Campos Novos Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350990 Cananéia";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350995 Canas";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351000 Cândido Mota";-;-;1;-;6;-;1;38;-;-;-;1;-;-;1;-;-;-;-;3;1;-;-;-;52
"351010 Cândido Rodrigues";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351015 Canitar";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351020 Capão Bonito";-;-;1;-;11;-;5;15;-;-;-;1;-;-;2;-;-;-;1;3;-;-;-;-;39
"351030 Capela do Alto";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;6
"351040 Capivari";-;-;2;-;4;-;20;91;-;-;-;2;-;-;3;2;-;-;1;9;1;-;-;-;135
"351050 Caraguatatuba";-;-;1;-;8;-;20;64;-;-;-;2;1;-;5;2;-;-;1;10;1;1;1;1;118
"351060 Carapicuíba";-;-;3;-;12;-;13;15;-;-;-;3;-;-;7;-;-;2;-;6;2;1;-;1;65
"351070 Cardoso";-;-;-;-;5;-;-;5;-;-;-;1;-;-;-;-;-;-;1;3;-;-;-;-;15
"351080 Casa Branca";-;-;1;-;6;1;3;33;-;-;1;1;-;-;-;-;-;1;1;9;-;-;-;-;57
"351090 Cássia dos Coqueiros";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"351100 Castilho";-;-;-;-;1;-;-;5;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;8
"351110 Catanduva";-;-;-;-;23;-;60;180;-;2;3;3;-;-;2;-;-;-;1;18;-;-;1;1;294
"351120 Catiguá";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;3
"351130 Cedral";-;-;-;-;2;-;2;3;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;10
"351140 Cerqueira César";-;-;-;-;5;-;1;4;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;13
"351150 Cerquilho";-;-;1;-;6;-;10;94;-;-;-;1;-;-;11;-;-;-;1;5;-;-;-;-;129
"351160 Cesário Lange";-;-;-;-;3;-;-;6;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;12
"351170 Charqueada";-;-;-;-;4;-;2;6;-;-;-;1;-;-;3;-;-;-;1;1;-;-;-;-;18
"355720 Chavantes";-;-;-;-;3;-;1;9;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;16
"351190 Clementina";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;4
"351200 Colina";-;-;-;-;5;-;12;21;-;-;-;1;-;-;1;-;-;1;1;1;-;-;-;-;43
"351210 Colômbia";-;-;-;-;3;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;8
"351220 Conchal";-;-;-;-;6;-;2;24;-;-;-;1;-;-;-;-;-;1;-;3;-;-;-;-;37
"351230 Conchas";-;-;-;-;5;-;2;25;-;1;-;1;-;-;-;-;-;-;1;5;2;-;-;-;42
"351240 Cordeirópolis";-;-;-;-;4;-;2;6;-;-;-;-;-;-;3;1;-;-;1;3;-;-;-;-;20
"351250 Coroados";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"351260 Coronel Macedo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;3
"351270 Corumbataí";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351280 Cosmópolis";-;-;1;-;11;1;8;29;-;-;-;1;-;-;5;-;-;-;1;6;1;-;-;-;64
"351290 Cosmorama";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;1;1;-;-;-;-;5
"351300 Cotia";-;-;1;-;20;1;20;20;-;1;1;2;-;1;9;-;-;2;-;4;2;-;-;-;84
"351310 Cravinhos";-;-;-;-;3;-;2;15;-;-;-;1;-;-;-;-;-;1;1;3;-;-;-;-;26
"351320 Cristais Paulista";-;-;-;-;3;-;1;5;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;10
"351330 Cruzália";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351340 Cruzeiro";-;-;1;-;12;-;40;146;-;1;-;1;1;-;5;4;-;-;1;16;1;-;-;1;230
"351350 Cubatão";-;-;2;-;13;-;11;91;-;-;-;2;-;-;2;-;2;1;-;19;1;-;1;-;145
"351360 Cunha";-;-;-;-;6;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;11
"351370 Descalvado";-;-;-;-;13;-;4;46;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;66
"351380 Diadema";-;-;5;-;20;1;22;49;-;-;-;4;2;-;12;-;-;1;1;8;2;-;1;-;128
"351385 Dirce Reis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351390 Divinolândia";-;-;-;-;1;-;1;11;-;-;-;1;-;-;1;3;-;-;1;1;-;-;-;-;20
"351400 Dobrada";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351410 Dois Córregos";-;-;-;-;4;-;5;20;-;-;-;1;-;-;-;1;-;-;-;3;-;-;-;-;34
"351420 Dolcinópolis";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"351430 Dourado";-;-;-;-;2;-;-;4;-;-;-;1;-;-;-;1;-;1;-;2;-;-;-;-;11
"351440 Dracena";-;-;1;-;8;-;6;106;-;-;-;1;-;-;3;-;-;-;-;7;-;-;-;-;132
"351450 Duartina";-;-;-;-;4;-;1;10;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;18
"351460 Dumont";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351470 Echaporã";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"351480 Eldorado";-;-;-;-;3;-;1;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;7
"351490 Elias Fausto";-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;4
"351492 Elisiário";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351495 Embaúba";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351500 Embu das Artes";-;-;2;-;13;-;7;6;-;-;-;1;-;-;2;-;-;-;1;1;-;1;-;-;34
"351510 Embu-Guaçu";-;-;1;-;6;-;1;1;-;-;-;-;-;-;2;-;-;-;-;1;1;1;-;-;14
"351512 Emilianópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351515 Engenheiro Coelho";-;-;-;-;3;-;1;3;-;-;-;-;-;-;1;-;-;1;1;1;-;-;-;-;11
"351518 Espírito Santo do Pinhal";-;-;-;-;5;1;7;99;-;-;2;1;-;-;-;-;-;-;1;6;2;-;-;-;124
"351519 Espírito Santo do Turvo";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"355730 Estiva Gerbi";-;-;-;-;2;-;-;2;-;-;-;-;-;-;1;-;-;-;1;2;-;-;-;-;8
"351520 Estrela d'Oeste";-;-;-;-;1;-;1;12;-;-;-;1;-;-;1;-;-;-;1;1;-;-;-;-;18
"351530 Estrela do Norte";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351535 Euclides da Cunha Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;-;-;-;5
"351540 Fartura";-;-;-;-;2;-;1;22;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;28
"351560 Fernando Prestes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;3
"351550 Fernandópolis";-;-;1;-;16;-;8;186;1;1;-;2;-;-;5;2;-;-;1;22;1;-;-;1;247
"351565 Fernão";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351570 Ferraz de Vasconcelos";-;-;-;-;10;-;7;4;-;-;-;1;-;-;-;-;-;-;1;4;2;-;1;-;30
"351580 Flora Rica";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351590 Floreal";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351600 Flórida Paulista";-;-;-;-;2;-;-;2;-;-;-;1;-;-;-;2;-;-;-;2;-;-;-;-;9
"351610 Florínia";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351620 Franca";-;1;1;-;22;1;107;345;-;2;3;3;-;-;4;-;-;2;2;21;4;-;2;1;521
"351630 Francisco Morato";-;-;1;-;12;-;6;10;-;1;-;2;-;-;3;-;-;-;1;2;2;-;-;1;41
"351640 Franco da Rocha";-;-;-;-;11;1;7;24;-;2;2;2;-;-;-;-;-;-;-;5;6;1;-;-;61
"351650 Gabriel Monteiro";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351660 Gália";-;-;-;-;2;-;1;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;7
"351670 Garça";-;-;1;-;10;-;5;28;-;-;2;1;-;-;1;-;-;-;1;1;-;-;-;-;50
"351680 Gastão Vidigal";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351685 Gavião Peixoto";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"351690 General Salgado";-;-;-;-;1;-;3;6;-;-;-;1;-;-;-;2;-;-;1;2;-;-;-;-;16
"351700 Getulina";-;-;-;-;3;-;-;11;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;16
"351710 Glicério";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"351720 Guaiçara";-;-;-;-;5;-;-;5;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;12
"351730 Guaimbê";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"351740 Guaíra";-;-;-;-;10;-;6;33;-;-;-;1;-;-;-;1;-;-;-;3;2;-;-;-;56
"351750 Guapiaçu";-;-;1;-;3;-;6;2;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;15
"351760 Guapiara";-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;6;-;1;1;1;1;-;-;-;12
"351770 Guará";-;-;1;-;5;1;4;13;-;-;-;1;-;-;-;1;-;-;1;2;-;-;-;-;29
"351780 Guaraçaí";-;-;-;-;1;-;-;9;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;12
"351790 Guaraci";-;-;-;-;4;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;9
"351800 Guarani d'Oeste";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"351810 Guarantã";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"351820 Guararapes";-;-;-;-;4;-;-;21;-;-;-;1;-;-;-;-;-;-;-;3;1;-;-;-;30
"351830 Guararema";-;-;-;-;3;-;1;5;-;-;-;1;-;-;-;2;-;-;1;1;1;-;-;-;15
