"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"Total"
"352920 Martinópolis";-;-;1;-;7;-;2;12;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;25
"352930 Matão";-;-;1;-;7;-;10;96;-;-;-;1;-;-;2;1;-;-;-;4;1;-;-;1;124
"352940 Mauá";-;-;3;-;23;-;19;115;-;-;1;4;-;-;8;-;-;-;1;24;2;-;1;1;202
"352950 Mendonça";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352960 Meridiano";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;4
"352965 Mesópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352970 Miguelópolis";-;-;-;-;6;1;3;7;-;-;-;1;-;-;-;-;-;1;-;5;1;-;-;-;25
"352980 Mineiros do Tietê";-;-;-;-;2;-;2;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;8
"353000 Mira Estrela";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352990 Miracatu";-;-;-;-;2;-;-;2;-;-;-;1;-;-;-;4;-;-;-;1;-;-;-;-;10
"353010 Mirandópolis";-;-;-;-;6;-;-;26;-;-;-;2;-;-;-;3;-;-;-;7;2;-;-;-;46
"353020 Mirante do Paranapanema";-;-;-;-;7;-;1;6;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;17
"353030 Mirassol";-;-;1;-;5;-;19;21;-;-;-;2;-;-;-;1;-;1;1;7;1;-;-;-;59
"353040 Mirassolândia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353050 Mococa";-;-;1;-;21;1;24;80;-;-;-;1;1;-;5;-;-;1;1;9;2;-;1;1;149
"353060 Mogi das Cruzes";-;-;1;-;34;2;95;126;-;1;1;7;-;-;7;-;-;-;-;35;3;-;-;1;313
"353070 Mogi Guaçu";-;-;2;-;17;-;28;192;-;1;-;3;-;-;4;-;-;1;-;12;1;-;-;-;261
"353080 Mogi Mirim";-;-;2;-;13;1;11;118;-;-;1;1;-;-;3;-;-;-;-;14;1;-;-;-;165
"353090 Mombuca";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"353100 Monções";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;3
"353110 Mongaguá";-;-;-;-;8;-;6;5;-;1;-;1;-;-;1;-;-;2;-;1;1;-;-;-;26
"353120 Monte Alegre do Sul";-;-;-;-;3;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;7
"353130 Monte Alto";-;-;1;-;7;-;7;130;1;1;-;2;-;-;12;-;-;1;1;1;1;-;-;-;165
"353140 Monte Aprazível";-;-;-;-;4;-;11;10;-;-;-;1;-;-;-;2;-;-;1;1;-;-;-;-;30
"353150 Monte Azul Paulista";-;-;-;-;2;-;1;10;-;-;-;2;-;-;1;-;-;1;-;3;-;-;-;-;20
"353160 Monte Castelo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353180 Monte Mor";-;-;1;-;11;-;5;19;-;-;-;1;-;-;-;-;-;-;1;1;2;-;-;1;42
"353170 Monteiro Lobato";-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;5
"353190 Morro Agudo";-;-;1;-;6;-;2;34;-;-;-;1;-;-;-;2;-;-;-;3;2;-;-;-;51
"353200 Morungaba";-;-;-;-;5;-;2;-;-;-;-;1;-;-;-;-;-;-;1;2;-;-;-;-;11
"353205 Motuca";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"353210 Murutinga do Sul";-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"353215 Nantes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"353220 Narandiba";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353230 Natividade da Serra";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"353240 Nazaré Paulista";-;-;-;-;1;-;2;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;5
"353250 Neves Paulista";-;-;-;-;2;-;1;4;-;-;-;1;-;-;-;1;-;-;1;1;-;-;-;-;11
"353260 Nhandeara";-;-;-;-;4;-;2;16;-;-;1;1;-;-;-;-;-;-;1;3;-;-;-;-;28
"353270 Nipoã";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353280 Nova Aliança";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353282 Nova Campina";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;4
"353284 Nova Canaã Paulista";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"353286 Nova Castilho";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353290 Nova Europa";-;-;-;-;4;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;7
"353300 Nova Granada";-;-;-;-;3;-;2;1;-;-;-;1;-;-;1;2;-;-;1;1;-;-;-;-;12
"353310 Nova Guataporanga";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353320 Nova Independência";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353330 Nova Luzitânia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353340 Nova Odessa";-;-;-;-;4;-;4;37;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;48
"353325 Novais";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353350 Novo Horizonte";-;-;-;-;5;-;11;27;-;-;-;1;-;-;1;1;-;-;1;3;-;-;-;-;50
"353360 Nuporanga";-;-;-;-;4;-;-;12;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;19
"353370 Ocauçu";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353380 Óleo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;4
"353390 Olímpia";-;-;-;-;8;-;9;43;-;-;-;1;-;-;3;-;-;-;-;12;-;-;-;-;76
"353400 Onda Verde";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"353410 Oriente";-;-;-;-;2;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;8
"353420 Orindiúva";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353430 Orlândia";-;-;-;-;6;-;4;83;1;-;-;1;-;-;1;-;-;-;-;6;2;-;1;-;105
"353440 Osasco";-;1;2;-;36;1;131;358;-;4;2;6;-;-;7;-;-;4;-;36;3;-;1;1;593
"353450 Oscar Bressane";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353460 Osvaldo Cruz";-;-;-;-;5;1;2;23;-;-;-;2;-;-;2;2;-;-;-;8;1;-;-;1;47
"353470 Ourinhos";-;1;1;-;14;1;19;220;-;-;3;3;-;-;3;3;-;-;1;19;2;-;-;-;290
"353480 Ouro Verde";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;4
"353475 Ouroeste";-;-;-;-;1;-;-;5;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;8
"353490 Pacaembu";-;-;-;-;4;-;-;6;-;-;-;1;-;-;-;-;-;-;1;2;1;-;-;-;15
"353500 Palestina";-;-;-;-;1;-;2;2;-;-;-;-;-;-;1;2;-;-;1;1;-;-;-;-;10
"353510 Palmares Paulista";-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"353520 Palmeira d'Oeste";-;-;-;-;1;-;-;4;-;-;-;1;-;-;-;2;-;-;1;1;-;-;-;-;10
"353530 Palmital";-;-;-;-;5;1;-;14;-;-;-;1;-;-;2;-;-;-;1;1;1;-;-;-;26
"353540 Panorama";-;-;-;-;1;-;1;2;-;-;-;1;-;-;-;2;-;1;-;-;-;-;-;-;8
"353550 Paraguaçu Paulista";-;-;1;-;12;1;1;38;-;1;-;1;-;-;-;-;-;-;1;5;-;-;-;1;62
"353560 Paraibuna";-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;5;-;1;-;1;-;-;-;-;12
"353570 Paraíso";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"353580 Paranapanema";-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;1;1;-;-;7
"353590 Paranapuã";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353600 Parapuã";-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"353610 Pardinho";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"353620 Pariquera-Açu";-;-;-;-;5;-;-;3;-;-;-;1;-;-;-;-;-;-;1;2;-;-;1;-;13
"353625 Parisi";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353630 Patrocínio Paulista";-;-;-;-;5;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;9
"353640 Paulicéia";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"353650 Paulínia";-;-;2;-;6;1;13;67;-;-;-;2;-;-;9;-;-;-;1;5;1;-;-;1;108
"353657 Paulistânia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353660 Paulo de Faria";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;4
"353670 Pederneiras";-;-;-;-;12;-;2;31;-;-;-;1;-;-;-;-;-;-;-;4;-;-;-;-;50
"353680 Pedra Bela";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353690 Pedranópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;4
"353700 Pedregulho";-;-;-;-;6;-;3;6;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;18
"353710 Pedreira";-;-;1;-;6;-;1;7;-;-;-;1;-;-;3;-;-;1;1;8;-;-;-;-;29
"353715 Pedrinhas Paulista";-;-;-;-;2;1;-;3;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;8
"353720 Pedro de Toledo";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"353730 Penápolis";-;-;1;-;10;-;4;99;1;-;1;2;-;-;3;-;-;1;1;15;1;-;-;-;139
"353740 Pereira Barreto";-;-;-;-;5;1;3;16;-;-;-;1;-;1;-;1;-;-;-;2;2;-;-;-;32
"353750 Pereiras";-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;7
"353760 Peruíbe";-;-;-;-;6;-;6;15;-;-;-;1;-;-;1;6;-;-;1;1;1;-;-;-;38
"353770 Piacatu";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353780 Piedade";-;-;-;-;7;-;1;15;-;-;1;1;-;-;-;-;-;-;-;2;-;-;-;-;27
"353790 Pilar do Sul";-;-;-;-;7;-;1;3;-;-;-;1;-;-;1;-;-;-;-;1;1;-;-;-;15
"353800 Pindamonhangaba";-;-;1;-;21;1;18;172;-;-;-;3;-;-;7;-;-;1;-;14;1;-;-;1;240
"353810 Pindorama";-;-;-;-;4;-;-;4;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;10
"353820 Pinhalzinho";-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"353830 Piquerobi";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353850 Piquete";-;-;-;-;5;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;8
"353860 Piracaia";-;-;-;-;2;-;-;2;-;-;-;1;-;-;1;-;-;-;1;2;-;-;-;-;9
"353870 Piracicaba";-;-;1;-;62;-;133;409;-;1;-;5;1;-;5;-;1;4;1;66;2;-;1;1;693
"353880 Piraju";-;-;-;-;8;-;1;46;-;-;-;1;-;-;4;-;-;-;-;5;1;-;-;-;66
"353890 Pirajuí";-;-;-;-;7;-;1;21;-;-;1;1;-;-;-;-;-;1;-;4;-;-;-;1;37
"353900 Pirangi";-;-;-;-;3;-;1;7;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;14
"353910 Pirapora do Bom Jesus";-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;7
"353920 Pirapozinho";-;-;-;-;5;-;1;6;-;-;1;-;-;-;1;1;-;1;-;5;-;-;-;-;21
"353930 Pirassununga";-;-;2;-;-;-;8;109;-;-;-;2;-;-;2;16;-;1;-;7;-;-;1;-;148
"353940 Piratininga";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;3
"353950 Pitangueiras";-;-;-;-;6;-;3;16;-;-;-;1;-;-;4;1;-;1;1;3;-;-;-;-;36
"353960 Planalto";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353970 Platina";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353980 Poá";-;-;-;-;9;1;5;9;-;-;-;1;-;-;2;7;-;-;1;5;3;-;-;-;43
"353990 Poloni";-;-;-;-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"354000 Pompéia";-;-;1;-;6;-;9;46;-;-;-;1;-;-;-;1;-;1;1;2;-;-;-;-;68
"354010 Pongaí";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354020 Pontal";-;-;-;-;8;-;4;13;-;-;-;1;-;-;2;-;-;-;-;9;1;-;-;-;38
"354025 Pontalinda";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354030 Pontes Gestal";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354040 Populina";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"354050 Porangaba";-;-;-;-;1;-;-;6;-;-;-;-;-;-;-;3;-;-;-;-;2;-;-;-;12
"354060 Porto Feliz";-;-;-;-;9;-;5;35;-;1;-;1;-;-;1;-;-;-;1;3;1;-;-;-;57
"354070 Porto Ferreira";-;-;-;-;11;-;1;77;-;-;-;1;-;-;4;-;-;-;-;17;1;-;-;-;112
"354075 Potim";-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;4
"354080 Potirendaba";-;-;-;-;4;-;1;7;-;-;-;1;-;-;-;-;-;-;1;3;-;-;-;-;17
"354085 Pracinha";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354090 Pradópolis";-;-;-;-;5;-;-;6;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;13
"354100 Praia Grande";-;-;1;-;21;-;16;53;1;-;-;1;3;-;8;-;1;2;1;13;-;-;-;1;122
"354105 Pratânia";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"354110 Presidente Alves";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354120 Presidente Bernardes";-;-;-;-;9;-;-;9;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;21
"354130 Presidente Epitácio";-;-;-;-;9;-;1;18;-;-;-;1;-;-;-;1;-;-;-;6;1;-;-;-;37
"354140 Presidente Prudente";-;-;1;-;24;-;52;420;-;-;6;8;-;1;6;-;-;1;1;34;2;-;1;-;557
"354150 Presidente Venceslau";-;-;1;-;10;-;-;29;-;-;-;1;-;-;-;-;-;-;-;8;1;-;-;-;50
"354160 Promissão";-;-;-;-;11;-;6;29;-;-;-;1;-;-;1;-;-;-;1;3;2;-;-;-;54
"354165 Quadra";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354170 Quatá";-;-;-;-;3;-;1;10;-;-;-;-;-;-;-;1;-;1;-;2;-;-;-;-;18
"354180 Queiroz";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354190 Queluz";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;4
"354200 Quintana";-;-;-;-;3;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"354210 Rafard";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"354220 Rancharia";-;-;1;-;6;-;2;25;-;-;-;1;-;-;-;-;-;-;-;4;-;-;-;-;39
"354230 Redenção da Serra";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354240 Regente Feijó";-;-;-;-;7;-;-;3;-;-;-;1;-;-;-;-;-;-;-;3;2;-;-;-;16
"354250 Reginópolis";-;-;-;-;3;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"354260 Registro";-;-;-;-;15;-;10;50;-;1;-;2;-;-;1;-;-;1;1;8;-;-;-;-;89
"354270 Restinga";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354280 Ribeira";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"354290 Ribeirão Bonito";-;-;-;-;4;-;1;16;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;23
"354300 Ribeirão Branco";-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;2;-;-;-;1;1;-;-;-;10
"354310 Ribeirão Corrente";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354320 Ribeirão do Sul";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354323 Ribeirão dos Índios";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354325 Ribeirão Grande";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"354330 Ribeirão Pires";-;-;3;-;9;-;20;38;-;-;-;2;1;-;5;-;-;-;-;8;1;-;-;-;87
"354340 Ribeirão Preto";-;-;3;-;37;-;170;778;-;1;4;12;-;1;46;11;-;1;2;94;3;-;-;3;1166
"354360 Rifaina";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354370 Rincão";-;-;-;-;1;-;-;5;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;9
"354380 Rinópolis";-;-;-;-;2;-;-;2;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;7
"354390 Rio Claro";-;-;2;-;17;-;61;173;1;2;1;4;1;1;8;-;-;2;1;28;3;-;-;-;305
"354400 Rio das Pedras";-;-;-;-;2;-;5;53;-;-;-;1;-;-;1;-;-;1;-;3;1;-;-;-;67
"354410 Rio Grande da Serra";-;-;-;-;6;-;2;3;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;14
"354420 Riolândia";-;-;-;-;2;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"354350 Riversul";-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;4
"354425 Rosana";-;-;-;-;1;-;1;17;-;-;-;1;-;-;-;8;-;-;-;4;1;-;-;-;33
"354430 Roseira";-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;5
"354440 Rubiácea";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354450 Rubinéia";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"354460 Sabino";-;-;-;-;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354470 Sagres";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354480 Sales";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"354490 Sales Oliveira";-;-;-;-;3;-;-;16;-;-;-;1;-;-;-;-;-;1;-;2;-;-;-;-;23
"354500 Salesópolis";-;-;-;-;2;1;-;1;-;-;-;1;-;-;-;-;-;-;1;1;2;-;-;-;9
"354510 Salmourão";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354515 Saltinho";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354520 Salto";-;-;1;-;10;-;12;71;-;-;-;2;-;-;5;-;-;-;1;4;-;-;-;1;107
"354530 Salto de Pirapora";-;-;-;-;7;-;2;33;-;-;2;1;-;-;1;-;-;-;-;-;-;-;-;-;46
"354540 Salto Grande";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"354550 Sandovalina";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354560 Santa Adélia";-;-;-;-;2;-;1;5;-;-;-;1;-;-;-;3;-;-;1;1;-;-;-;-;14
"354570 Santa Albertina";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"354580 Santa Bárbara d'Oeste";-;-;-;-;12;-;13;130;-;-;-;1;1;-;3;-;1;-;-;12;3;-;1;-;177
"354600 Santa Branca";-;-;-;-;5;-;1;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;10
"354610 Santa Clara d'Oeste";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354620 Santa Cruz da Conceição";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;4
"354625 Santa Cruz da Esperança";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354630 Santa Cruz das Palmeiras";-;-;-;-;2;-;1;42;-;-;-;1;1;-;5;-;-;-;-;3;-;-;-;-;55
"354640 Santa Cruz do Rio Pardo";-;-;1;-;6;1;8;80;-;-;-;2;-;-;1;-;-;-;1;5;1;-;-;-;106
"354650 Santa Ernestina";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354660 Santa Fé do Sul";-;-;-;-;8;-;9;43;-;-;-;1;-;-;4;-;-;1;1;6;-;-;-;-;73
"354670 Santa Gertrudes";-;-;1;-;5;-;2;16;-;-;-;-;-;-;2;-;-;-;1;2;1;-;-;-;30
"354680 Santa Isabel";-;-;-;-;10;1;3;4;-;-;-;1;-;-;-;-;-;-;1;3;2;-;-;-;25
"354690 Santa Lúcia";-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;5
"354700 Santa Maria da Serra";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3
"354710 Santa Mercedes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354740 Santa Rita d'Oeste";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354750 Santa Rita do Passa Quatro";-;-;2;-;6;-;4;50;-;-;1;1;-;-;-;-;-;-;1;1;-;-;-;-;66
"354760 Santa Rosa de Viterbo";-;-;-;-;5;-;6;26;-;-;-;1;-;-;-;1;-;-;1;4;1;-;-;-;45
"354765 Santa Salete";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354720 Santana da Ponte Pensa";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"354730 Santana de Parnaíba";-;-;3;-;8;-;5;5;-;-;-;1;-;-;1;-;-;1;1;2;1;-;-;-;28
"354770 Santo Anastácio";-;-;-;-;5;-;2;16;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;25
"354780 Santo André";-;-;5;-;38;-;177;291;1;3;1;11;2;1;104;2;-;5;1;53;2;-;1;-;698
"354790 Santo Antônio da Alegria";-;-;-;-;2;-;1;1;-;-;-;-;-;-;2;-;-;-;1;-;-;1;-;-;8
"354800 Santo Antônio de Posse";-;-;-;-;4;-;2;6;-;-;-;-;-;-;4;-;-;1;-;-;-;-;-;-;17
"354805 Santo Antônio do Aracanguá";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354810 Santo Antônio do Jardim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"354820 Santo Antônio do Pinhal";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;5
"354830 Santo Expedito";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354840 Santópolis do Aguapeí";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354850 Santos";-;-;7;-;31;1;134;1006;3;3;3;11;10;1;4;1;1;3;2;62;2;-;3;1;1289
"354860 São Bento do Sapucaí";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;-;1;-;2;-;-;-;-;7
"354870 São Bernardo do Campo";-;-;2;-;32;1;226;268;-;-;7;9;3;-;39;-;1;12;-;53;3;-;2;1;659
