"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"350350 Areias";-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"350360 Areiópolis";1;-;-;-;-;-;-;3;-;-;1;5;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;15
"350370 Ariranha";-;-;-;-;-;-;-;3;-;-;1;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;14
"350380 Artur Nogueira";-;1;-;-;-;1;-;16;-;-;5;43;-;1;-;3;-;-;1;5;-;1;-;-;1;1;-;-;-;5;1;-;-;-;-;-;85
"350390 Arujá";-;-;-;-;-;1;-;7;-;-;14;28;-;-;-;2;-;-;-;4;-;1;-;-;-;1;-;-;-;7;1;-;2;-;-;-;68
"350395 Aspásia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350400 Assis";1;1;1;2;-;2;-;19;-;-;9;299;-;6;-;4;6;-;-;7;-;2;2;-;-;2;-;-;-;22;-;-;2;-;-;-;387
"350410 Atibaia";1;-;-;-;-;1;-;20;-;-;5;202;-;1;-;3;-;-;-;25;-;-;1;-;-;1;3;-;-;34;1;-;2;-;-;-;300
"350420 Auriflama";-;1;-;-;-;-;-;6;-;-;-;14;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;26
"350430 Avaí";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350440 Avanhandava";-;-;-;-;-;-;-;5;-;-;1;8;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;17
"350450 Avaré";-;-;1;-;-;1;-;18;-;-;13;181;2;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;19;1;-;2;-;-;1;243
"350460 Bady Bassitt";-;-;-;-;-;-;-;4;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;10
"350470 Balbinos";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"350480 Bálsamo";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;4
"350490 Bananal";-;1;-;-;-;-;-;5;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;10
"350500 Barão de Antonina";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350510 Barbosa";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"350520 Bariri";-;-;-;-;-;1;-;6;-;-;5;44;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;9;-;-;-;-;-;-;69
"350530 Barra Bonita";1;-;-;-;-;1;-;7;-;-;2;73;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;8;-;-;-;-;-;-;95
"350535 Barra do Chapéu";-;1;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"350540 Barra do Turvo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;1;-;-;-;-;-;-;-;1;-;-;8
"350550 Barretos";2;2;1;-;-;1;-;15;-;-;29;222;-;2;3;3;1;-;1;4;-;-;2;-;-;3;1;-;-;9;1;-;3;-;-;-;305
"350560 Barrinha";-;-;-;-;-;-;-;7;-;-;4;9;-;-;-;-;-;-;-;3;-;-;1;-;-;1;-;-;-;3;2;-;1;-;-;-;31
"350570 Barueri";-;1;-;-;-;3;-;18;-;-;37;247;-;2;-;2;-;-;-;18;-;-;-;2;5;1;-;-;-;17;1;-;-;-;-;-;354
"350580 Bastos";-;1;-;-;-;1;-;6;-;-;8;8;-;1;-;1;-;-;-;1;-;-;-;-;1;1;-;-;-;2;1;-;-;-;-;-;32
"350590 Batatais";-;1;-;-;-;1;-;9;-;-;7;223;-;1;-;1;-;-;-;1;-;-;1;-;1;1;-;-;-;8;-;-;2;-;-;-;257
"350600 Bauru";-;2;1;-;-;4;-;25;-;-;44;638;-;4;4;6;1;-;1;28;1;4;4;1;-;2;1;1;-;33;1;1;12;-;-;-;819
"350610 Bebedouro";1;1;-;-;-;2;-;16;-;-;41;169;-;-;-;3;3;-;-;19;-;-;1;-;-;1;-;-;-;12;-;-;-;1;-;-;270
"350620 Bento de Abreu";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;4
"350630 Bernardino de Campos";-;-;-;-;-;1;-;4;-;-;2;4;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;16
"350635 Bertioga";-;-;-;-;-;1;-;5;-;-;8;11;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;9;3;-;3;-;-;-;43
"350640 Bilac";-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;8
"350650 Birigui";-;-;-;-;-;-;-;10;-;-;30;138;-;-;-;2;-;-;-;3;-;-;1;-;1;1;1;-;-;15;-;-;-;-;-;-;202
"350660 Biritiba-Mirim";-;1;-;-;-;-;-;5;-;-;1;9;-;-;-;-;-;-;-;2;-;-;1;-;-;1;-;-;-;1;1;-;1;-;-;-;23
"350670 Boa Esperança do Sul";-;-;-;-;-;-;-;4;-;-;1;10;-;2;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;22
"350680 Bocaina";-;-;-;-;-;-;-;4;-;-;1;13;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;21
"350690 Bofete";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350700 Boituva";1;1;-;-;-;1;-;7;-;-;12;56;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;8;-;-;-;1;-;-;91
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;-;1;-;-;1;9;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;1;1;-;-;-;16
"350715 Bom Sucesso de Itararé";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"350720 Borá";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350730 Boracéia";-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"350740 Borborema";-;-;-;-;-;1;-;4;-;-;2;19;-;-;-;1;-;-;-;2;-;1;-;-;1;1;-;-;-;2;-;-;-;-;-;-;34
"350745 Borebi";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"350750 Botucatu";-;1;1;-;-;3;-;19;-;1;39;541;-;1;1;2;-;-;-;1;-;-;1;-;-;1;-;-;-;8;3;-;2;-;-;2;627
"350760 Bragança Paulista";2;1;1;-;-;2;-;29;-;-;14;271;-;2;-;4;3;-;-;28;-;-;2;-;-;1;-;-;-;24;-;-;3;2;-;-;389
"350770 Braúna";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350775 Brejo Alegre";1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"350780 Brodowski";-;-;-;-;-;-;-;6;-;-;1;34;-;-;-;-;-;-;-;3;-;-;1;-;-;1;-;-;-;4;-;-;1;-;-;-;51
"350790 Brotas";-;-;-;1;-;-;-;4;-;-;3;55;-;1;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;2;-;-;-;-;-;-;69
"350800 Buri";-;1;-;-;-;1;-;4;-;-;2;3;-;2;-;-;-;-;-;1;-;3;1;-;-;1;-;-;-;2;-;-;-;-;-;-;21
"350810 Buritama";1;-;-;-;-;1;-;2;-;-;6;8;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;-;-;-;24
"350820 Buritizal";-;-;-;-;-;-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;7
"350830 Cabrália Paulista";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350840 Cabreúva";-;-;-;-;-;1;-;9;-;-;5;9;-;1;-;1;-;-;-;3;-;-;1;-;-;1;-;-;-;6;-;-;-;-;-;-;37
"350850 Caçapava";-;1;-;1;-;3;-;19;-;-;12;238;-;2;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;8;1;1;2;-;-;2;294
"350860 Cachoeira Paulista";1;-;-;-;-;1;-;9;-;-;4;32;-;1;-;1;-;-;-;6;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;58
"350870 Caconde";1;-;-;-;-;-;-;4;-;-;5;18;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;4;-;-;-;-;-;-;36
"350880 Cafelândia";1;-;-;-;-;1;-;4;-;-;-;28;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;40
"350890 Caiabu";1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"350900 Caieiras";-;1;-;-;-;1;-;12;-;-;19;20;-;-;-;2;-;-;-;6;-;-;1;-;-;1;-;-;-;6;2;1;-;-;-;-;72
"350910 Caiuá";-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"350920 Cajamar";1;-;-;-;-;1;-;10;-;-;10;30;-;-;-;1;1;-;-;5;-;-;1;-;-;1;-;-;-;2;2;-;-;-;-;-;65
"350925 Cajati";1;-;-;-;-;1;-;9;-;-;4;21;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;3;-;-;-;-;-;-;42
"350930 Cajobi";1;-;-;-;-;-;-;3;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;11
"350940 Cajuru";1;-;-;-;-;-;-;8;-;-;10;40;-;1;-;1;-;-;-;3;-;-;1;-;-;1;-;-;-;2;1;-;2;1;-;-;72
"350945 Campina do Monte Alegre";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"350950 Campinas";1;2;1;-;6;14;-;66;-;-;288;1936;-;6;4;21;15;1;-;65;-;7;3;-;1;10;9;-;-;147;6;-;22;-;-;-;2631
"350960 Campo Limpo Paulista";1;-;-;-;-;1;-;8;-;-;10;9;-;1;-;1;-;-;-;3;-;1;-;-;-;1;-;-;-;4;1;-;-;-;-;-;41
"350970 Campos do Jordão";-;-;-;-;1;1;-;2;-;-;8;47;-;-;-;2;-;-;-;-;-;10;-;-;1;1;-;-;-;4;1;-;2;-;-;-;80
"350980 Campos Novos Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"350990 Cananéia";-;-;-;-;-;-;-;6;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8
"350995 Canas";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351000 Cândido Mota";1;-;-;-;-;1;-;6;-;-;3;51;-;2;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;11;-;-;-;-;-;-;79
"351010 Cândido Rodrigues";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351015 Canitar";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351020 Capão Bonito";-;1;-;-;-;1;-;9;-;-;6;17;-;-;-;1;-;-;-;4;-;4;-;-;-;1;-;-;-;5;-;-;-;-;-;-;49
"351030 Capela do Alto";-;1;-;-;1;1;-;6;-;-;1;2;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;15
"351040 Capivari";-;-;-;-;-;2;-;2;-;-;3;91;-;-;-;2;-;-;1;6;-;6;-;-;-;1;-;-;-;28;-;-;-;-;-;1;143
"351050 Caraguatatuba";-;1;-;-;1;1;-;11;-;-;29;98;-;2;-;1;4;-;-;12;-;2;2;-;-;1;-;-;-;18;2;-;6;-;-;2;193
"351060 Carapicuíba";-;-;-;-;-;3;-;16;-;-;16;35;-;1;-;2;-;-;-;14;-;-;-;-;2;1;-;-;-;10;3;1;5;2;-;-;111
"351070 Cardoso";1;-;-;-;-;-;-;6;-;-;-;8;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;1;-;-;-;21
"351080 Casa Branca";-;1;-;-;-;2;-;3;-;-;4;51;-;-;1;1;-;-;-;1;-;2;-;-;1;1;-;-;-;9;1;-;1;-;-;-;79
"351090 Cássia dos Coqueiros";1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"351100 Castilho";-;-;-;-;-;-;-;2;-;-;3;12;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;23
"351110 Catanduva";2;1;1;-;1;2;-;23;-;-;165;296;-;2;1;3;4;-;-;1;-;-;1;-;-;1;-;-;-;17;1;-;4;-;-;-;526
"351120 Catiguá";-;-;-;-;-;-;-;2;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;10
"351130 Cedral";-;-;-;-;-;-;-;3;-;-;1;5;-;-;-;-;-;-;1;3;-;-;-;-;-;1;-;-;-;-;1;2;1;-;-;-;18
"351140 Cerqueira César";-;-;-;-;-;-;-;9;-;-;1;9;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;5;-;-;1;-;-;-;27
"351150 Cerquilho";-;1;-;-;-;1;-;7;-;-;10;97;-;-;-;1;-;-;1;9;-;-;-;-;-;1;-;-;-;8;-;-;-;-;-;1;137
"351160 Cesário Lange";-;1;-;-;-;-;-;4;-;-;1;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;16
"351170 Charqueada";-;-;-;-;-;-;-;5;-;-;2;11;-;-;-;1;-;-;-;3;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;25
"355720 Chavantes";-;-;-;-;-;1;-;3;-;-;1;12;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;21
"351190 Clementina";1;-;-;-;-;-;-;1;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;9
"351200 Colina";-;-;-;-;-;-;-;4;-;-;4;25;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;2;-;-;1;-;-;-;39
"351210 Colômbia";1;-;-;-;-;-;-;3;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;11
"351220 Conchal";1;-;-;-;-;1;-;7;-;-;1;20;-;-;-;1;-;-;-;-;-;1;-;-;1;1;-;-;-;4;-;-;1;-;-;-;39
"351230 Conchas";1;-;-;-;-;-;-;4;-;-;3;25;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;7;-;-;-;-;-;-;44
"351240 Cordeirópolis";1;-;-;1;-;1;-;7;-;-;4;16;-;-;-;-;-;-;-;3;-;-;-;-;1;1;-;-;-;2;-;-;1;-;-;-;38
"351250 Coroados";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351260 Coronel Macedo";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;5
"351270 Corumbataí";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;6
"351280 Cosmópolis";-;1;-;-;-;2;-;10;-;-;8;37;-;-;-;2;-;-;-;5;-;-;-;-;-;1;-;-;3;6;2;-;-;-;-;1;78
