"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"Total"
"352990 Miracatu";-;-;-;-;3;-;-;2;-;-;-;1;-;-;-;4;-;-;-;1;1;-;-;-;-;12
"353010 Mirandópolis";-;-;-;-;6;-;-;29;-;1;-;2;-;-;-;3;-;-;-;-;7;2;-;-;-;50
"353020 Mirante do Paranapanema";-;-;-;-;6;-;1;7;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;17
"353030 Mirassol";-;-;1;-;6;-;21;22;-;-;-;2;-;-;-;1;-;-;1;1;7;1;-;-;-;63
"353040 Mirassolândia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353050 Mococa";-;-;2;-;7;1;35;90;-;-;-;1;-;-;5;1;-;1;-;1;10;3;-;1;1;159
"353060 Mogi das Cruzes";-;1;1;-;29;2;98;136;-;1;1;7;-;-;7;-;-;-;-;-;36;3;-;-;3;325
"353070 Mogi Guaçu";-;-;2;-;17;-;32;196;-;1;-;3;-;-;6;-;-;-;1;1;12;1;-;-;-;272
"353080 Mogi Mirim";-;-;2;-;14;-;14;118;-;1;1;1;-;-;5;-;-;-;-;1;15;1;-;-;-;173
"353090 Mombuca";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"353100 Monções";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;4
"353110 Mongaguá";-;-;-;-;8;-;6;5;-;1;-;1;-;-;1;-;-;-;2;-;1;1;-;-;-;26
"353120 Monte Alegre do Sul";-;-;-;-;3;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;9
"353130 Monte Alto";-;-;1;-;7;-;7;127;1;1;-;2;-;-;18;-;-;-;1;-;1;1;-;-;-;167
"353140 Monte Aprazível";-;-;-;-;4;-;11;10;-;-;-;1;-;-;-;2;-;-;-;1;1;-;-;-;-;30
"353150 Monte Azul Paulista";-;-;-;-;2;-;1;11;-;-;-;2;-;-;1;-;-;-;1;-;3;-;-;-;-;21
"353160 Monte Castelo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353180 Monte Mor";-;-;1;-;11;-;6;21;-;-;-;1;-;-;-;-;-;-;-;1;3;2;-;-;1;47
"353170 Monteiro Lobato";-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;5
"353190 Morro Agudo";-;-;1;-;5;-;6;29;-;-;-;1;-;-;1;2;-;-;-;1;6;-;-;-;-;52
"353200 Morungaba";-;-;-;-;5;-;2;-;-;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;-;11
"353205 Motuca";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"353210 Murutinga do Sul";-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"353215 Nantes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"353220 Narandiba";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353230 Natividade da Serra";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3
"353240 Nazaré Paulista";-;-;-;-;1;-;2;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;6
"353250 Neves Paulista";-;-;-;-;3;-;1;4;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;-;-;12
"353260 Nhandeara";-;-;-;-;4;-;2;17;-;-;1;1;-;-;-;-;-;-;-;1;2;-;-;-;-;28
"353270 Nipoã";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353280 Nova Aliança";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"353282 Nova Campina";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;4
"353284 Nova Canaã Paulista";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"353286 Nova Castilho";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353290 Nova Europa";-;-;-;-;3;-;2;1;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;9
"353300 Nova Granada";-;-;-;-;3;-;2;2;-;-;-;1;-;-;2;2;-;-;-;1;1;-;-;-;-;14
"353310 Nova Guataporanga";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353320 Nova Independência";-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"353330 Nova Luzitânia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353340 Nova Odessa";-;-;-;-;4;-;4;37;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;49
"353325 Novais";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353350 Novo Horizonte";-;-;-;-;5;-;11;26;-;-;-;1;-;-;1;1;-;-;-;1;4;-;-;-;-;50
"353360 Nuporanga";-;-;-;-;4;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;19
"353370 Ocauçu";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"353380 Óleo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;4
"353390 Olímpia";-;-;-;-;7;-;9;44;-;-;-;1;-;-;4;-;-;-;-;1;13;-;-;-;-;79
"353400 Onda Verde";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"353410 Oriente";-;-;-;-;2;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"353420 Orindiúva";-;-;-;-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"353430 Orlândia";-;-;-;-;7;-;12;92;1;-;-;1;-;-;3;-;-;-;-;1;8;-;-;1;-;126
"353440 Osasco";-;1;2;-;36;-;154;363;-;4;2;6;-;-;7;-;4;-;4;1;37;1;-;1;1;624
"353450 Oscar Bressane";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353460 Osvaldo Cruz";-;-;-;-;6;1;4;28;-;-;-;2;-;-;1;1;-;-;-;1;10;-;-;-;1;55
"353470 Ourinhos";-;1;1;-;15;1;19;219;-;-;3;3;-;-;3;3;-;-;-;1;23;1;-;-;-;293
"353480 Ouro Verde";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;4
"353475 Ouroeste";-;-;-;-;1;-;-;5;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;9
"353490 Pacaembu";-;-;-;-;4;-;-;8;-;-;-;1;-;-;-;-;-;-;-;1;2;1;-;-;-;17
"353500 Palestina";-;-;-;-;1;-;2;3;-;-;-;-;-;-;1;2;-;-;-;1;1;-;-;-;-;11
"353510 Palmares Paulista";-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;6
"353520 Palmeira d'Oeste";-;-;-;-;3;-;-;4;-;-;-;1;-;-;-;2;-;-;-;1;1;-;-;-;-;12
"353530 Palmital";-;-;-;-;5;1;1;14;-;1;-;1;-;-;2;-;-;-;-;1;1;-;-;-;-;27
"353540 Panorama";-;-;-;-;1;-;1;5;-;-;-;1;-;-;-;2;-;-;1;1;-;-;-;-;-;12
"353550 Paraguaçu Paulista";-;-;1;-;12;1;1;46;-;1;-;1;-;-;-;-;-;-;-;1;6;-;-;-;1;71
"353560 Paraibuna";-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;4;-;-;1;1;1;-;-;-;-;12
"353570 Paraíso";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"353580 Paranapanema";-;-;-;-;3;-;-;2;-;-;-;1;-;-;1;-;-;-;-;1;1;-;-;-;-;9
"353590 Paranapuã";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353600 Parapuã";-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"353610 Pardinho";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"353620 Pariquera-Açu";-;-;-;-;7;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;3;-;-;1;-;16
"353625 Parisi";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353630 Patrocínio Paulista";-;-;-;-;5;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;10
"353640 Paulicéia";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"353650 Paulínia";-;-;2;-;6;1;15;67;-;-;-;2;-;-;10;-;1;-;-;1;6;1;-;-;1;113
"353657 Paulistânia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353660 Paulo de Faria";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;5
"353670 Pederneiras";-;-;1;-;12;-;2;32;-;-;-;1;-;-;-;-;-;-;-;1;4;-;-;-;-;53
"353680 Pedra Bela";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353690 Pedranópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;4
"353700 Pedregulho";-;-;-;-;6;-;3;5;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;17
"353710 Pedreira";-;-;1;-;8;-;2;6;-;-;-;1;-;-;3;-;-;-;1;1;10;-;-;-;-;33
"353715 Pedrinhas Paulista";-;-;-;-;2;1;-;3;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;8
"353720 Pedro de Toledo";-;-;-;-;4;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"353730 Penápolis";-;-;1;-;10;-;4;111;1;-;1;2;-;-;3;-;1;-;1;2;15;-;-;-;-;152
"353740 Pereira Barreto";-;-;-;-;5;-;3;20;-;-;-;1;-;-;-;1;-;-;-;1;3;-;-;-;-;34
"353750 Pereiras";-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;8
"353760 Peruíbe";-;-;1;-;6;-;7;14;-;-;-;1;-;-;2;6;-;-;-;1;1;1;-;-;-;40
"353770 Piacatu";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353780 Piedade";-;-;-;-;7;-;1;19;-;-;1;1;-;-;-;-;-;-;-;1;3;-;-;-;-;33
"353790 Pilar do Sul";-;-;-;-;7;-;1;4;-;-;-;1;-;-;1;-;-;-;-;1;1;-;-;-;-;16
"353800 Pindamonhangaba";-;-;1;-;20;1;17;173;-;-;-;3;-;-;7;-;1;-;-;1;13;1;-;-;-;238
"353810 Pindorama";-;-;-;-;3;-;-;3;-;-;-;-;-;-;-;1;-;-;1;1;4;-;-;-;-;13
"353820 Pinhalzinho";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;3;-;-;-;1;1;-;-;-;-;7
"353830 Piquerobi";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353850 Piquete";-;-;-;-;5;-;1;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;12
"353860 Piracaia";-;-;-;-;2;-;1;2;-;-;-;1;-;-;1;-;-;-;-;1;2;-;-;-;-;10
"353870 Piracicaba";-;-;1;-;61;-;155;437;-;1;-;5;1;-;5;-;-;1;4;2;68;-;-;1;1;743
"353880 Piraju";-;-;-;-;8;-;4;46;-;-;-;1;-;-;4;-;-;-;-;1;5;1;-;-;-;70
"353890 Pirajuí";-;-;-;-;7;-;1;23;-;-;1;1;-;-;-;-;-;-;1;1;4;-;-;-;1;40
"353900 Pirangi";-;-;-;-;3;-;1;7;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;14
"353910 Pirapora do Bom Jesus";-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;7
"353920 Pirapozinho";-;-;-;-;6;-;1;7;-;-;1;-;-;-;1;1;-;-;1;-;5;-;-;-;-;23
"353930 Pirassununga";-;-;2;-;-;-;8;124;-;-;-;2;-;-;2;16;-;-;1;1;7;1;-;1;-;165
"353940 Piratininga";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;1;1;-;-;-;-;-;5
"353950 Pitangueiras";-;-;-;-;6;-;3;34;-;-;-;1;-;-;7;-;1;-;-;1;3;-;-;-;-;56
"353960 Planalto";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353970 Platina";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353980 Poá";-;-;-;-;9;1;7;9;-;-;-;1;-;-;2;7;-;-;-;1;5;3;-;-;-;45
"353990 Poloni";-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;6
"354000 Pompéia";-;-;1;-;6;-;12;48;-;-;-;1;-;-;-;1;-;-;1;1;4;-;-;-;-;75
"354010 Pongaí";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"354020 Pontal";-;-;-;-;8;-;4;15;-;-;-;1;-;-;2;-;-;-;-;-;9;1;-;-;-;40
"354025 Pontalinda";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"354030 Pontes Gestal";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"354040 Populina";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"354050 Porangaba";-;-;-;-;1;-;-;6;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;10
"354060 Porto Feliz";-;-;-;-;9;-;5;40;-;1;-;1;-;-;1;-;-;-;-;1;4;1;-;-;-;63
"354070 Porto Ferreira";-;-;-;-;10;-;1;84;-;-;-;1;-;-;4;-;1;-;-;1;18;-;-;-;-;120
"354075 Potim";-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;4
"354080 Potirendaba";-;-;-;-;5;-;1;5;-;-;-;1;-;-;-;-;-;-;-;1;3;-;-;-;-;16
"354085 Pracinha";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"354090 Pradópolis";-;-;-;-;5;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;13
"354100 Praia Grande";-;-;1;-;20;-;19;52;-;-;-;1;3;-;13;1;1;1;2;1;13;-;-;-;1;129
"354105 Pratânia";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"354110 Presidente Alves";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"354120 Presidente Bernardes";-;-;-;-;9;-;-;9;-;-;-;1;-;-;-;-;-;-;-;-;3;-;-;-;-;22
"354130 Presidente Epitácio";-;-;-;-;9;-;1;19;-;-;-;1;-;-;-;1;-;-;-;-;6;1;-;-;-;38
"354140 Presidente Prudente";-;-;1;-;26;-;56;453;-;1;6;8;-;1;7;-;1;-;-;2;33;-;-;1;-;596
"354150 Presidente Venceslau";-;-;1;-;10;-;-;30;-;-;-;1;-;-;-;-;-;-;-;-;8;3;-;-;-;53
"354160 Promissão";-;-;-;-;11;-;5;30;-;-;-;1;-;-;1;-;-;-;-;1;4;2;-;-;-;55
"354165 Quadra";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"354170 Quatá";-;-;-;-;3;-;1;10;-;-;-;-;-;-;-;1;-;-;1;-;2;-;-;-;-;18
"354180 Queiroz";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"354190 Queluz";-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;7
"354200 Quintana";-;-;-;-;3;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"354210 Rafard";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"354220 Rancharia";-;-;1;-;6;-;2;25;-;-;-;1;-;-;-;-;-;-;-;-;4;-;-;-;-;39
"354230 Redenção da Serra";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"354240 Regente Feijó";-;-;-;-;7;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;3;2;-;-;-;16
"354250 Reginópolis";-;-;-;-;3;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"354260 Registro";-;-;-;-;15;-;10;50;-;1;-;2;-;-;2;-;-;-;1;2;9;-;-;-;-;92
"354270 Restinga";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"354280 Ribeira";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"354290 Ribeirão Bonito";-;-;-;-;4;-;1;17;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;25
"354300 Ribeirão Branco";-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;-;-;9
"354310 Ribeirão Corrente";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"354320 Ribeirão do Sul";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"354323 Ribeirão dos Índios";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354325 Ribeirão Grande";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"354330 Ribeirão Pires";-;-;3;-;9;-;20;41;-;-;-;2;1;-;6;-;-;-;-;1;8;-;-;-;-;91
"354340 Ribeirão Preto";-;4;3;-;37;-;226;937;-;1;4;12;-;1;59;11;-;-;1;2;83;3;-;-;3;1387
"354360 Rifaina";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354370 Rincão";-;-;-;-;1;-;-;7;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;11
"354380 Rinópolis";-;-;-;-;4;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;3;-;-;-;-;10
"354390 Rio Claro";-;-;2;-;17;-;63;178;1;2;1;4;1;1;11;-;-;-;2;1;33;3;-;-;-;320
"354400 Rio das Pedras";-;-;-;-;2;-;7;53;-;-;-;1;-;-;1;-;-;-;1;1;3;-;-;-;-;69
"354410 Rio Grande da Serra";-;-;-;-;6;-;3;3;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;15
"354420 Riolândia";-;-;-;-;2;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"354350 Riversul";-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;4
"354425 Rosana";-;-;-;-;1;-;1;18;-;-;-;1;-;-;-;8;-;-;-;-;5;1;-;-;-;35
"354430 Roseira";-;-;-;-;3;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;7
"354440 Rubiácea";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354450 Rubinéia";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"354460 Sabino";-;-;-;-;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"354470 Sagres";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"354480 Sales";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"354490 Sales Oliveira";-;-;-;-;3;-;-;19;-;-;-;1;-;-;-;-;-;-;1;-;3;1;-;-;-;28
"354500 Salesópolis";-;-;-;-;2;1;-;1;-;-;-;1;-;-;-;-;-;-;-;1;1;2;-;-;-;9
"354510 Salmourão";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"354515 Saltinho";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354520 Salto";-;-;1;-;9;-;14;76;-;-;-;2;-;-;3;-;-;-;-;1;4;-;-;-;1;111
"354530 Salto de Pirapora";-;-;-;-;7;-;2;31;-;-;2;1;-;-;1;-;-;-;-;1;1;-;-;-;-;46
"354540 Salto Grande";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"354550 Sandovalina";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354560 Santa Adélia";-;-;-;-;3;-;1;13;-;-;-;1;-;-;-;3;-;-;-;1;1;-;-;-;-;23
"354570 Santa Albertina";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;5
"354580 Santa Bárbara d'Oeste";-;-;-;-;12;-;14;146;-;-;-;1;1;-;4;-;-;1;-;1;14;3;-;1;-;198
"354600 Santa Branca";-;-;-;-;2;-;1;2;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;8
"354610 Santa Clara d'Oeste";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"354620 Santa Cruz da Conceição";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;4
"354625 Santa Cruz da Esperança";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354630 Santa Cruz das Palmeiras";-;-;-;-;2;-;1;44;-;-;-;1;1;-;5;-;-;-;-;1;3;-;-;-;-;58
"354640 Santa Cruz do Rio Pardo";-;-;1;-;6;1;8;95;-;-;-;2;-;-;1;-;1;-;-;1;10;1;-;-;-;127
"354650 Santa Ernestina";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354660 Santa Fé do Sul";-;-;1;-;8;-;14;42;-;-;-;1;-;-;5;-;-;-;1;1;6;-;-;-;-;79
"354670 Santa Gertrudes";-;-;1;-;6;-;5;28;-;-;-;-;-;-;2;-;-;-;-;1;2;1;-;-;-;46
"354680 Santa Isabel";-;-;-;-;9;2;4;4;-;-;-;1;-;-;-;-;-;-;-;1;3;2;-;-;-;26
"354690 Santa Lúcia";-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;6
"354700 Santa Maria da Serra";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3
"354710 Santa Mercedes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354740 Santa Rita d'Oeste";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"354750 Santa Rita do Passa Quatro";-;-;2;-;6;-;5;49;-;-;1;1;-;-;-;-;-;-;-;1;1;-;-;-;-;66
"354760 Santa Rosa de Viterbo";-;-;-;-;3;-;8;32;-;-;-;1;-;-;-;1;1;-;-;2;3;-;-;-;-;51
"354765 Santa Salete";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"354720 Santana da Ponte Pensa";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"354730 Santana de Parnaíba";-;-;3;-;8;1;5;6;-;-;-;1;-;-;2;-;-;-;1;1;3;1;-;-;-;32
"354770 Santo Anastácio";-;-;-;-;5;-;1;24;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;32
"354780 Santo André";-;-;5;-;39;-;188;306;1;3;1;11;3;1;110;2;-;-;4;1;54;2;-;1;-;732
"354790 Santo Antônio da Alegria";-;-;-;-;2;-;1;1;-;-;-;-;-;-;2;-;-;-;-;1;-;-;1;-;-;8
"354800 Santo Antônio de Posse";-;-;1;-;4;-;2;7;-;-;-;-;-;-;4;-;-;-;1;1;-;-;-;-;-;20
"354805 Santo Antônio do Aracanguá";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354810 Santo Antônio do Jardim";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;3
"354820 Santo Antônio do Pinhal";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;6
"354830 Santo Expedito";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354840 Santópolis do Aguapeí";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354850 Santos";-;-;7;-;32;1;136;979;3;3;2;11;10;1;6;1;-;1;3;2;64;2;-;3;1;1268
"354860 São Bento do Sapucaí";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;-;-;1;1;2;-;-;-;-;8
"354870 São Bernardo do Campo";-;-;4;-;32;1;230;291;-;2;6;11;3;-;40;-;-;1;13;-;56;3;-;2;1;696
"354880 São Caetano do Sul";-;-;1;-;12;1;167;302;-;-;-;6;-;-;2;-;-;-;1;1;36;1;1;-;4;535
