"Município";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"Total"
"354140 Presidente Prudente";-;25;1;51;309;-;-;6;8;-;1;3;-;-;1;-;32;2;-;1;-;-;440
"354150 Presidente Venceslau";-;10;-;1;29;-;-;-;1;-;-;-;-;-;-;-;8;1;-;-;-;-;50
"354160 Promissão";-;11;-;3;15;-;-;-;1;-;-;1;-;-;-;-;3;2;-;-;-;-;36
"354165 Quadra";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354170 Quatá";-;3;-;1;5;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;12
"354180 Queiroz";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354190 Queluz";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"354200 Quintana";-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354210 Rafard";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"354220 Rancharia";-;6;-;2;20;-;-;-;1;-;-;-;-;-;-;-;5;-;-;-;-;-;34
"354230 Redenção da Serra";-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354240 Regente Feijó";-;4;-;-;1;-;-;-;1;-;-;-;-;-;-;-;3;2;-;-;-;-;11
"354250 Reginópolis";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354260 Registro";-;10;-;8;45;-;1;-;2;-;-;-;1;-;1;-;8;-;-;-;-;-;76
"354270 Restinga";-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354280 Ribeira";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"354290 Ribeirão Bonito";-;3;-;1;8;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;14
"354300 Ribeirão Branco";-;5;-;-;-;-;-;-;1;-;-;-;2;-;-;-;1;1;1;-;-;-;11
"354310 Ribeirão Corrente";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354320 Ribeirão do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354323 Ribeirão dos Índios";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354325 Ribeirão Grande";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"354330 Ribeirão Pires";-;9;-;23;29;-;-;-;2;-;-;5;-;-;1;-;8;1;-;-;-;-;78
"354340 Ribeirão Preto";-;37;1;127;374;-;1;4;11;-;1;26;13;-;1;-;90;4;-;2;-;3;695
"354360 Rifaina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354370 Rincão";-;1;-;-;1;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;5
"354380 Rinópolis";-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354390 Rio Claro";-;14;-;59;121;-;-;1;4;2;1;5;-;-;2;-;34;2;-;-;-;-;245
"354400 Rio das Pedras";-;2;-;4;53;-;-;-;1;-;-;-;-;-;1;-;2;1;-;-;-;-;64
"354410 Rio Grande da Serra";-;6;-;2;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;12
"354420 Riolândia";-;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354350 Riversul";-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;4
"354425 Rosana";-;7;-;1;11;-;-;-;1;-;-;-;2;-;-;-;3;1;-;-;-;-;26
"354430 Roseira";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"354440 Rubiácea";-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"354450 Rubinéia";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354460 Sabino";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354470 Sagres";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354480 Sales";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354490 Sales Oliveira";-;2;-;-;8;-;-;-;1;-;-;-;2;-;1;-;1;-;-;-;-;-;15
"354500 Salesópolis";-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"354510 Salmourão";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354515 Saltinho";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354520 Salto";-;10;-;10;26;-;-;-;3;-;-;2;-;-;-;-;5;2;-;-;-;-;58
"354530 Salto de Pirapora";-;8;-;2;11;-;-;3;1;-;-;1;-;-;-;-;-;-;-;-;-;-;26
"354540 Salto Grande";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354550 Sandovalina";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354560 Santa Adélia";-;2;-;-;2;-;-;-;1;-;-;-;3;-;-;-;2;-;-;-;-;-;10
"354570 Santa Albertina";-;2;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"354580 Santa Bárbara d'Oeste";-;12;-;9;53;-;-;-;1;1;-;3;-;-;1;-;11;3;-;1;-;-;95
"354600 Santa Branca";-;5;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;9
"354610 Santa Clara d'Oeste";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354620 Santa Cruz da Conceição";-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;4
"354625 Santa Cruz da Esperança";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354630 Santa Cruz das Palmeiras";-;2;-;1;41;-;-;-;1;1;-;4;-;-;-;-;3;-;-;-;-;-;53
"354640 Santa Cruz do Rio Pardo";-;6;-;8;25;-;-;-;2;-;-;1;-;-;-;-;6;1;-;-;-;-;49
"354650 Santa Ernestina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354660 Santa Fé do Sul";-;9;-;13;31;-;-;-;1;-;-;2;-;-;1;-;8;-;-;-;-;-;65
"354670 Santa Gertrudes";-;4;-;1;24;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;33
"354680 Santa Isabel";-;12;-;2;2;-;-;-;1;-;-;-;-;-;-;-;3;2;-;-;-;-;22
"354690 Santa Lúcia";-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;4
"354700 Santa Maria da Serra";-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"354710 Santa Mercedes";-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354740 Santa Rita d'Oeste";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354750 Santa Rita do Passa Quatro";-;6;-;5;37;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;51
"354760 Santa Rosa de Viterbo";-;5;-;3;14;-;-;-;1;-;-;-;-;-;-;-;4;-;-;-;-;-;27
"354765 Santa Salete";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354720 Santana da Ponte Pensa";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354730 Santana de Parnaíba";-;8;-;6;3;-;-;-;-;-;-;1;-;-;2;-;1;1;-;-;-;-;22
"354770 Santo Anastácio";-;4;-;2;14;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;23
"354780 Santo André";-;38;2;181;192;1;2;2;12;2;-;110;2;-;4;-;50;2;-;-;-;-;600
"354790 Santo Antônio da Alegria";-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;4
"354800 Santo Antônio de Posse";-;4;-;1;-;-;-;-;-;-;-;3;-;-;1;-;1;-;-;-;-;-;10
"354805 Santo Antônio do Aracanguá";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354810 Santo Antônio do Jardim";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"354820 Santo Antônio do Pinhal";-;1;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;5
"354830 Santo Expedito";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354840 Santópolis do Aguapeí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354850 Santos";-;28;2;138;1070;3;-;3;11;8;1;5;5;3;4;-;67;4;-;1;-;1;1354
"354860 São Bento do Sapucaí";-;1;-;-;2;-;-;-;1;-;-;-;4;-;1;-;2;-;-;-;-;-;11
"354870 São Bernardo do Campo";-;28;-;190;176;-;-;4;10;1;-;35;-;1;8;-;44;3;3;1;-;1;505
"354880 São Caetano do Sul";-;16;-;114;203;-;-;1;3;-;-;3;-;-;1;-;30;1;1;-;-;1;374
"354890 São Carlos";-;23;1;30;110;-;-;-;3;-;-;39;-;-;2;-;25;2;-;1;-;1;237
"354900 São Francisco";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354910 São João da Boa Vista";-;11;2;27;193;-;-;-;2;-;-;2;-;-;1;-;12;3;-;-;-;-;253
"354920 São João das Duas Pontes";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354925 São João de Iracema";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354930 São João do Pau d'Alho";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354940 São Joaquim da Barra";-;10;-;3;77;-;-;-;1;-;-;-;-;-;-;-;10;-;-;-;-;-;101
"354950 São José da Bela Vista";-;2;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;7
"354960 São José do Barreiro";-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;3
"354970 São José do Rio Pardo";-;4;-;21;32;1;-;-;1;-;-;5;-;-;1;-;9;1;-;-;-;-;75
"354980 São José do Rio Preto";-;24;3;222;109;1;2;6;6;1;1;57;-;-;1;1;62;4;-;1;-;1;502
"354990 São José dos Campos";-;40;1;111;695;3;1;7;9;5;-;27;1;2;4;-;43;3;1;-;-;2;955
"354995 São Lourenço da Serra";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355000 São Luís do Paraitinga";-;4;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"355010 São Manuel";-;6;-;-;26;-;-;-;1;-;-;-;-;-;-;-;9;1;-;-;-;-;43
"355020 São Miguel Arcanjo";-;9;-;1;22;-;-;-;1;-;-;1;-;-;-;-;1;1;-;-;-;-;36
"355030 São Paulo";1;424;9;1891;5355;7;16;49;137;14;-;203;25;4;18;1;484;38;1;11;-;7;8695
"355040 São Pedro";-;4;-;3;28;-;1;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;39
"355050 São Pedro do Turvo";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355060 São Roque";-;9;-;20;63;-;-;-;2;-;-;5;1;-;-;-;4;2;-;-;-;-;106
"355070 São Sebastião";-;15;1;10;88;-;-;-;1;-;-;-;1;-;2;-;3;1;-;-;-;1;123
"355080 São Sebastião da Grama";-;3;-;-;7;-;-;-;1;-;-;-;-;-;1;-;2;2;-;-;-;-;16
"355090 São Simão";-;3;-;2;22;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;31
"355100 São Vicente";-;27;-;28;114;-;1;-;3;1;-;3;2;1;3;1;7;-;-;-;-;-;191
"355110 Sarapuí";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;5
"355120 Sarutaiá";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355130 Sebastianópolis do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355140 Serra Azul";-;4;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"355160 Serra Negra";-;1;-;1;14;-;-;-;1;-;-;1;5;-;-;-;5;-;-;-;-;-;28
"355150 Serrana";-;7;-;3;-;-;-;-;1;-;-;3;-;-;-;-;1;1;-;-;-;-;16
"355170 Sertãozinho";-;10;-;8;31;-;-;-;2;1;-;-;-;-;1;-;10;1;-;-;-;-;64
"355180 Sete Barras";-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"355190 Severínia";-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;6
"355200 Silveiras";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"355210 Socorro";-;5;-;2;5;-;-;-;1;-;-;1;6;-;-;-;4;-;-;-;-;-;24
"355220 Sorocaba";-;29;1;74;178;-;-;5;6;3;1;22;-;-;3;-;36;6;-;1;-;7;372
"355230 Sud Mennucci";-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;7
"355240 Sumaré";-;18;-;12;33;-;1;-;1;1;-;11;-;-;1;1;14;1;-;-;-;-;94
"355255 Suzanápolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355250 Suzano";-;16;-;32;29;-;1;-;2;-;-;6;-;-;1;-;15;1;-;1;-;-;104
"355260 Tabapuã";-;2;-;2;4;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;11
"355270 Tabatinga";-;4;-;-;17;-;-;-;1;-;-;1;-;-;1;-;3;1;-;-;-;-;28
"355280 Taboão da Serra";-;10;1;19;24;-;1;1;3;1;-;7;-;-;1;-;5;1;-;1;-;-;75
"355290 Taciba";-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355300 Taguaí";-;1;-;-;6;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;9
"355310 Taiaçu";-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"355320 Taiúva";-;2;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;9
"355330 Tambaú";-;1;-;1;22;-;-;-;1;-;-;1;5;-;1;-;4;1;-;-;-;-;37
"355340 Tanabi";-;5;-;12;1;-;-;-;1;-;-;-;3;-;-;-;2;-;-;-;-;-;24
"355350 Tapiraí";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355360 Tapiratiba";-;2;-;-;2;-;-;1;1;-;-;1;1;-;-;-;2;1;-;-;-;-;11
"355365 Taquaral";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355370 Taquaritinga";-;10;-;10;56;-;-;1;1;-;-;1;-;-;1;-;9;1;-;-;-;1;91
"355380 Taquarituba";-;5;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;10
"355385 Taquarivaí";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"355390 Tarabai";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355395 Tarumã";-;4;-;3;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;11
"355400 Tatuí";-;16;-;19;159;-;-;-;2;-;-;6;1;-;1;-;18;2;-;-;-;-;224
"355410 Taubaté";-;54;-;117;256;-;-;1;3;1;-;4;-;-;1;1;31;6;-;-;-;3;478
"355420 Tejupá";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355430 Teodoro Sampaio";-;7;-;1;5;-;-;-;1;-;-;-;2;-;-;-;3;1;-;-;-;-;20
"355440 Terra Roxa";-;3;-;1;3;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;10
"355450 Tietê";-;3;-;11;52;-;-;-;1;-;-;-;5;-;-;-;11;2;-;-;-;-;85
"355460 Timburi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355465 Torre de Pedra";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355470 Torrinha";-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355475 Trabiju";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355480 Tremembé";-;4;-;2;4;-;-;-;1;-;-;-;3;-;1;-;1;-;-;-;-;-;16
"355490 Três Fronteiras";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355495 Tuiuti";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355500 Tupã";-;7;-;8;57;-;-;3;2;-;-;6;7;-;-;-;7;-;-;-;-;-;97
"355510 Tupi Paulista";-;6;-;-;8;-;-;-;1;-;-;-;-;-;1;-;3;-;-;-;-;-;19
"355520 Turiúba";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355530 Turmalina";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355535 Ubarana";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355540 Ubatuba";-;19;-;5;16;-;-;-;1;-;-;-;2;-;-;-;4;1;-;-;-;-;48
"355550 Ubirajara";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355560 Uchoa";-;2;-;2;2;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;8
"355570 União Paulista";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"355580 Urânia";-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"355590 Uru";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355600 Urupês";-;3;-;1;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;7
"355610 Valentim Gentil";-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355620 Valinhos";-;13;-;18;137;-;-;-;2;-;-;2;-;-;1;-;8;2;-;-;-;-;183
"355630 Valparaíso";-;4;-;1;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"355635 Vargem";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355640 Vargem Grande do Sul";-;4;-;-;13;-;-;-;1;-;-;1;2;-;1;-;3;1;-;-;-;-;26
"355645 Vargem Grande Paulista";-;5;-;3;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;12
"355650 Várzea Paulista";-;13;-;7;4;-;-;-;-;-;-;1;-;-;-;-;2;1;1;-;-;-;29
"355660 Vera Cruz";-;2;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"355670 Vinhedo";-;5;-;28;133;-;-;-;1;-;-;2;-;-;-;-;16;1;-;-;-;-;186
"355680 Viradouro";-;5;-;2;13;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;23
"355690 Vista Alegre do Alto";-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;6
"355695 Vitória Brasil";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355700 Votorantim";-;16;-;4;29;-;-;-;3;1;-;1;-;-;-;-;5;1;1;-;-;1;62
"355710 Votuporanga";-;14;-;19;98;-;-;-;2;-;-;1;-;-;-;-;14;-;-;-;-;1;149
"355715 Zacarias";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"Total";1;4061;46;6426;21271;23;60;186;702;78;11;1134;305;19;201;27;2937;402;37;52;1;83;38063
&
