"Município";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"Total"
"352150 Irapuã";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352160 Irapuru";-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"352170 Itaberá";-;5;-;-;-;-;-;-;1;-;-;5;-;-;1;1;-;-;-;-;13
"352180 Itaí";-;5;-;-;17;-;-;-;1;-;2;-;-;-;2;1;-;-;-;-;28
"352190 Itajobi";-;1;-;-;1;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;5
"352200 Itaju";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352210 Itanhaém";-;8;-;13;1;-;1;-;1;-;3;-;-;-;3;2;-;-;-;1;33
"352215 Itaóca";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"352220 Itapecerica da Serra";-;10;-;6;3;-;-;1;2;-;3;-;-;-;2;1;-;-;-;-;28
"352230 Itapetininga";-;26;-;5;29;-;-;-;2;-;4;1;-;-;11;5;-;2;-;-;85
"352240 Itapeva";-;26;-;5;19;-;-;-;1;-;2;-;-;-;8;5;-;1;-;1;68
"352250 Itapevi";-;11;-;5;11;-;-;-;2;-;1;-;-;3;1;1;-;-;-;1;36
"352260 Itapira";-;15;-;16;67;-;-;3;2;-;8;-;-;-;8;1;-;-;-;-;120
"352265 Itapirapuã Paulista";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;4
"352270 Itápolis";-;5;-;-;20;-;-;-;1;-;2;2;-;-;4;1;-;-;-;1;36
"352280 Itaporanga";-;1;-;-;-;-;-;-;1;-;-;-;-;-;2;1;-;-;-;-;5
"352290 Itapuí";-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"352300 Itapura";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352310 Itaquaquecetuba";-;4;-;3;-;-;-;-;2;-;3;10;-;-;4;1;-;-;-;-;27
"352320 Itararé";-;7;-;6;19;-;-;-;1;-;2;5;-;-;4;1;-;-;-;-;45
"352330 Itariri";-;4;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;7
"352340 Itatiba";-;14;-;9;16;-;-;-;2;-;5;-;-;-;9;1;-;1;-;1;58
"352350 Itatinga";-;1;-;-;6;-;-;-;1;-;-;-;-;-;2;1;-;-;-;-;11
"352360 Itirapina";-;3;-;-;14;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;19
"352370 Itirapuã";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352380 Itobi";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;2
"352390 Itu";-;15;-;22;48;-;-;2;3;-;6;-;-;2;13;3;-;-;-;4;118
"352400 Itupeva";-;10;-;2;12;-;-;-;1;-;3;-;-;-;1;1;-;-;-;-;30
"352410 Ituverava";-;10;1;11;53;-;-;1;1;-;-;-;-;-;9;1;-;-;-;-;87
"352420 Jaborandi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"352430 Jaboticabal";-;9;-;11;14;-;-;-;2;-;3;-;-;1;6;1;-;-;-;-;47
"352440 Jacareí";-;16;-;20;164;-;-;-;5;-;1;1;1;-;15;1;-;1;-;-;225
"352450 Jaci";-;1;-;4;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;7
"352460 Jacupiranga";-;4;-;-;1;-;-;-;1;-;-;2;-;-;1;-;-;-;-;-;9
"352470 Jaguariúna";-;4;-;2;6;-;2;-;1;-;-;-;-;-;4;2;-;-;-;1;22
"352480 Jales";-;9;-;9;31;-;-;-;1;-;2;-;-;1;12;1;-;-;-;-;66
"352490 Jambeiro";-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"352500 Jandira";-;9;-;3;-;-;-;-;1;-;1;-;-;-;1;1;-;-;-;1;17
"352510 Jardinópolis";-;10;-;2;5;-;-;-;1;-;1;-;-;-;2;1;-;-;-;-;22
"352520 Jarinu";-;2;-;-;1;-;-;-;-;-;-;1;-;-;1;1;1;-;-;-;7
"352530 Jaú";-;13;-;36;62;-;-;2;2;-;2;1;-;1;11;2;-;-;-;-;132
"352540 Jeriquara";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352550 Joanópolis";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"352560 João Ramalho";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352570 José Bonifácio";-;6;-;4;4;-;-;-;1;-;2;1;-;-;4;1;-;-;-;-;23
"352580 Júlio Mesquita";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352585 Jumirim";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"352590 Jundiaí";-;37;-;120;240;-;1;2;5;5;2;-;-;4;45;3;-;1;-;-;465
"352600 Junqueirópolis";-;4;-;-;1;-;-;-;1;-;-;1;-;1;2;-;-;-;-;-;10
"352610 Juquiá";-;5;-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;-;-;-;9
"352620 Juquitiba";-;5;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;8
"352630 Lagoinha";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352640 Laranjal Paulista";-;7;-;1;14;-;-;-;1;-;1;-;-;-;5;1;-;-;-;-;30
"352650 Lavínia";-;2;-;-;4;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;8
"352660 Lavrinhas";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352670 Leme";-;16;-;25;33;-;-;-;2;-;1;-;-;-;12;1;-;-;-;6;96
"352680 Lençóis Paulista";-;8;-;3;55;-;-;-;1;1;-;-;-;-;7;1;-;-;-;1;77
"352690 Limeira";-;25;-;53;186;-;-;-;4;-;7;-;-;-;17;1;-;2;-;-;295
"352700 Lindóia";-;3;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"352710 Lins";-;6;-;5;156;-;-;2;3;-;1;3;-;-;8;2;-;-;-;2;188
"352720 Lorena";-;14;-;8;90;-;-;-;2;-;-;-;-;-;9;-;-;-;-;-;123
"352725 Lourdes";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"352730 Louveira";-;2;-;1;1;-;-;-;1;-;-;-;-;-;2;1;-;-;-;-;8
"352740 Lucélia";-;3;-;-;3;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;9
"352750 Lucianópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352760 Luís Antônio";-;2;-;1;2;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;7
"352770 Luiziânia";-;1;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;5
"352780 Lupércio";-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352790 Lutécia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352800 Macatuba";-;3;-;2;2;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;9
"352810 Macaubal";-;1;-;2;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;6
"352820 Macedônia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352830 Magda";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352840 Mairinque";-;15;-;4;3;-;-;-;1;-;-;-;-;-;2;2;-;-;-;-;27
"352850 Mairiporã";-;2;-;3;5;-;-;-;1;-;3;1;-;-;1;1;-;-;-;-;17
"352860 Manduri";-;3;-;-;6;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;11
"352870 Marabá Paulista";-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"352880 Maracaí";-;4;-;1;1;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;9
"352885 Marapoama";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352890 Mariápolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352900 Marília";-;46;1;29;140;-;-;2;5;-;2;-;1;1;17;2;-;1;-;-;247
"352910 Marinópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352920 Martinópolis";-;5;-;2;8;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;18
"352930 Matão";-;8;-;18;12;-;-;-;1;-;1;1;-;-;2;1;-;-;-;1;45
"352940 Mauá";-;22;-;19;74;-;-;-;4;-;6;-;-;-;24;3;-;1;-;-;153
"352950 Mendonça";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352960 Meridiano";-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352965 Mesópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352970 Miguelópolis";-;3;-;1;4;-;-;-;1;-;-;-;-;1;6;-;-;-;-;-;16
"352980 Mineiros do Tietê";-;2;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"353000 Mira Estrela";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352990 Miracatu";-;4;-;-;1;-;-;-;1;-;-;2;-;-;1;-;-;-;-;-;9
"353010 Mirandópolis";-;9;-;-;8;-;-;-;2;-;-;-;-;-;5;2;-;-;-;-;26
"353020 Mirante do Paranapanema";-;6;-;1;1;-;-;-;-;-;2;2;-;-;1;-;-;-;-;-;13
"353030 Mirassol";-;4;-;15;6;-;-;-;2;-;-;1;-;1;6;1;-;-;-;-;36
"353040 Mirassolândia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353050 Mococa";-;48;-;36;7;1;-;1;1;4;6;-;-;1;9;2;-;1;-;-;117
"353060 Mogi das Cruzes";-;33;1;49;41;-;1;-;7;-;6;-;-;-;35;4;-;1;-;1;179
"353070 Mogi Guaçu";-;15;-;29;81;-;-;-;3;-;-;-;-;1;10;2;-;-;-;-;141
"353080 Mogi Mirim";-;12;-;5;6;-;-;1;1;-;1;-;-;-;13;1;-;-;-;-;40
"353090 Mombuca";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353100 Monções";-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;3
"353110 Mongaguá";-;7;-;4;4;-;-;-;1;-;1;-;-;2;-;1;-;-;-;-;20
"353120 Monte Alegre do Sul";-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;5
"353130 Monte Alto";-;6;-;3;88;-;-;-;2;-;17;-;-;1;2;1;-;-;-;-;120
"353140 Monte Aprazível";-;3;-;10;5;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;22
"353150 Monte Azul Paulista";-;2;-;1;8;-;-;-;2;-;1;-;-;1;3;-;-;-;-;-;18
"353160 Monte Castelo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353180 Monte Mor";-;4;-;4;4;-;-;-;1;-;1;-;-;-;2;2;-;-;-;1;19
"353170 Monteiro Lobato";-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;3
"353190 Morro Agudo";-;6;-;1;24;-;-;-;1;-;-;-;-;-;4;2;-;-;-;-;38
"353200 Morungaba";-;3;-;2;-;-;-;-;1;-;-;-;-;-;2;1;-;-;-;-;9
"353205 Motuca";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353210 Murutinga do Sul";-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;4
"353215 Nantes";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353220 Narandiba";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353230 Natividade da Serra";-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"353240 Nazaré Paulista";-;1;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;4
"353250 Neves Paulista";-;2;-;1;1;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;7
"353260 Nhandeara";-;4;-;3;4;-;-;1;1;-;-;-;-;-;4;-;-;-;-;-;17
"353270 Nipoã";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353280 Nova Aliança";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353282 Nova Campina";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"353284 Nova Canaã Paulista";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353286 Nova Castilho";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353290 Nova Europa";-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"353300 Nova Granada";-;2;-;2;-;-;-;-;1;-;1;2;-;-;1;-;-;-;-;-;9
"353310 Nova Guataporanga";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353320 Nova Independência";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353330 Nova Luzitânia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353340 Nova Odessa";-;4;-;5;17;-;-;-;1;-;-;-;-;-;1;2;-;-;-;-;30
"353325 Novais";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353350 Novo Horizonte";-;5;-;20;5;-;-;-;1;-;-;1;-;-;3;-;-;-;-;-;35
"353360 Nuporanga";-;3;-;-;8;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;14
"353370 Ocauçu";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353380 Óleo";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353390 Olímpia";-;9;-;4;19;-;-;-;1;-;2;-;-;-;11;-;-;-;-;-;46
"353400 Onda Verde";-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"353410 Oriente";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353420 Orindiúva";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353430 Orlândia";-;6;-;1;57;-;-;-;1;-;2;-;-;-;5;2;-;1;-;-;75
"353440 Osasco";-;37;1;34;57;-;2;1;7;-;2;-;1;4;28;2;-;-;-;1;177
"353450 Oscar Bressane";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353460 Osvaldo Cruz";-;3;-;-;11;-;-;-;2;-;1;1;-;-;7;1;-;-;-;1;27
"353470 Ourinhos";-;14;-;15;107;-;-;2;3;-;6;1;-;-;21;2;-;1;-;-;172
"353480 Ouro Verde";-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;3
"353475 Ouroeste";-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;3
"353490 Pacaembu";-;4;1;-;4;-;-;-;1;-;-;-;-;-;2;1;-;-;-;-;13
"353500 Palestina";-;1;-;1;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;5
"353510 Palmares Paulista";-;1;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"353520 Palmeira d'Oeste";-;1;-;-;-;-;-;-;1;-;-;3;-;-;1;-;-;-;-;-;6
"353530 Palmital";-;5;-;1;3;-;-;-;2;-;1;-;-;-;1;1;-;-;-;-;14
"353540 Panorama";-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;3
"353550 Paraguaçu Paulista";-;12;-;2;19;-;-;-;1;-;1;-;-;-;6;1;-;-;-;1;43
"353560 Paraibuna";-;1;-;-;-;-;-;-;1;-;-;7;-;1;1;-;-;-;-;-;11
"353570 Paraíso";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353580 Paranapanema";-;2;-;-;-;-;-;-;1;-;-;-;-;-;1;1;1;-;-;-;6
"353590 Paranapuã";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"353600 Parapuã";-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"353610 Pardinho";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"353620 Pariquera-Açu";-;4;-;-;2;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;9
"353625 Parisi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353630 Patrocínio Paulista";-;5;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;8
"353640 Paulicéia";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353650 Paulínia";-;6;1;9;18;-;-;-;2;-;2;-;-;-;3;1;-;-;-;1;43
"353657 Paulistânia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353660 Paulo de Faria";-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;3
"353670 Pederneiras";-;9;-;1;-;-;-;-;2;-;-;-;-;-;5;-;-;-;-;-;17
"353680 Pedra Bela";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353690 Pedranópolis";-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;3
"353700 Pedregulho";-;5;-;2;3;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;13
"353710 Pedreira";-;6;-;2;1;-;-;-;1;-;3;-;-;-;4;-;-;-;-;-;17
"353715 Pedrinhas Paulista";-;2;-;-;3;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;7
"353720 Pedro de Toledo";-;3;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5
"353730 Penápolis";-;12;1;3;57;-;-;1;2;-;-;-;-;1;11;1;-;-;-;1;90
"353740 Pereira Barreto";-;3;-;-;5;-;-;-;1;-;-;1;-;-;2;2;-;-;-;-;14
"353750 Pereiras";-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"353760 Peruíbe";-;9;-;4;3;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;19
"353770 Piacatu";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"353780 Piedade";-;8;-;-;4;-;-;1;1;-;-;-;-;-;2;1;-;-;-;-;17
"353790 Pilar do Sul";-;3;-;1;1;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;8
"353800 Pindamonhangaba";-;18;-;15;113;-;-;-;3;-;8;-;-;-;11;1;-;-;-;1;170
"353810 Pindorama";-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"353820 Pinhalzinho";-;3;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"353830 Piquerobi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353850 Piquete";-;3;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"353860 Piracaia";-;2;-;-;-;-;-;-;1;-;2;-;-;-;1;-;-;-;-;-;6
"353870 Piracicaba";-;55;1;50;63;-;1;-;6;1;4;-;1;4;53;2;-;1;-;-;242
"353880 Piraju";-;7;-;1;11;-;-;-;1;-;1;-;-;-;2;1;-;-;-;1;25
"353890 Pirajuí";-;7;-;1;-;-;-;1;1;-;-;-;-;1;3;-;-;-;-;-;14
"353900 Pirangi";-;2;-;1;4;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;9
"353910 Pirapora do Bom Jesus";-;4;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;7
"353920 Pirapozinho";-;4;-;1;5;-;-;1;-;-;-;1;-;1;6;-;-;-;-;-;19
"353930 Pirassununga";-;17;-;6;15;-;-;-;1;-;2;3;-;-;7;-;-;-;-;-;51
"353940 Piratininga";-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;3
"353950 Pitangueiras";-;7;-;2;4;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;17
"353960 Planalto";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353970 Platina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353980 Poá";-;10;-;1;2;-;-;-;1;-;2;-;-;-;5;3;-;-;-;-;24
"353990 Poloni";-;1;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"354000 Pompéia";-;4;-;3;16;-;-;-;1;-;-;1;-;1;4;-;-;-;-;-;30
"354010 Pongaí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354020 Pontal";-;7;-;1;8;-;-;-;1;-;3;-;-;-;7;1;-;-;-;-;28
"354025 Pontalinda";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354030 Pontes Gestal";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354040 Populina";-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;3
"354050 Porangaba";-;3;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"354060 Porto Feliz";-;7;-;3;10;-;-;-;1;-;1;-;-;-;3;1;-;-;-;-;26
"354070 Porto Ferreira";-;2;-;-;12;-;-;-;1;-;2;5;-;-;4;1;-;-;-;-;27
"354075 Potim";-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;3
"354080 Potirendaba";-;4;-;1;5;-;-;-;1;-;-;-;-;-;3;1;-;-;-;-;15
"354085 Pracinha";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354090 Pradópolis";-;4;-;-;2;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;8
"354100 Praia Grande";-;21;1;14;21;1;-;-;1;3;3;1;-;3;10;2;-;-;-;1;82
"354105 Pratânia";-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"354110 Presidente Alves";-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"354120 Presidente Bernardes";-;7;-;-;3;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;13
"354130 Presidente Epitácio";-;7;-;-;10;-;-;-;1;-;-;1;-;-;3;1;-;-;-;1;24
"354140 Presidente Prudente";-;24;1;39;156;-;-;6;8;-;2;-;-;1;30;2;-;1;-;-;270
"354150 Presidente Venceslau";-;9;-;1;16;-;-;-;1;-;-;1;-;-;6;1;-;-;-;-;35
"354160 Promissão";-;11;-;2;-;-;-;-;2;-;-;-;-;-;3;2;-;-;-;-;20
"354165 Quadra";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354170 Quatá";-;3;-;-;2;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;8
"354180 Queiroz";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354190 Queluz";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"354200 Quintana";-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;3
"354210 Rafard";-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"354220 Rancharia";-;7;-;2;8;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;21
"354230 Redenção da Serra";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354240 Regente Feijó";-;4;-;-;1;-;-;-;1;-;-;-;-;-;2;2;-;-;-;-;10
"354250 Reginópolis";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354260 Registro";-;11;-;9;36;-;1;-;1;-;-;-;-;1;8;-;-;-;-;-;67
"354270 Restinga";-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354280 Ribeira";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"354290 Ribeirão Bonito";-;3;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;6
"354300 Ribeirão Branco";-;5;-;-;-;-;-;-;1;-;-;2;-;-;1;1;1;-;-;-;11
"354310 Ribeirão Corrente";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354320 Ribeirão do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354323 Ribeirão dos Índios";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354325 Ribeirão Grande";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"354330 Ribeirão Pires";-;9;-;19;21;-;-;-;2;-;5;-;-;1;6;1;-;-;-;-;64
"354340 Ribeirão Preto";-;37;1;71;197;-;1;4;10;-;21;4;-;1;88;3;-;2;-;2;442
"354360 Rifaina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354370 Rincão";-;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;4
"354380 Rinópolis";-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"354390 Rio Claro";-;13;-;34;50;-;-;1;4;2;5;-;-;2;31;2;-;-;-;-;144
"354400 Rio das Pedras";-;1;-;1;48;-;-;-;1;-;-;-;-;1;2;2;-;-;-;-;56
"354410 Rio Grande da Serra";-;6;-;1;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;10
"354420 Riolândia";-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"354350 Riversul";-;3;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;5
"354425 Rosana";-;3;-;1;2;-;-;-;1;-;-;2;-;-;3;1;-;-;-;-;13
"354430 Roseira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"354440 Rubiácea";-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"354450 Rubinéia";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354460 Sabino";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
